date,pm25,o3,no2,so2,co,pm10,Áp suất,Hướng gió,Nhiệt độ,Sương,Sức gió,Tốc độ gió
30/12/2019,306,7,47,7,39,89,1019.7,7.2,14,117,20,7.4
31/12/2019,267,7,36,6,27,81,1023.2,7.2,15,131,18,4.8
1/01/2020,297,6,42,8,29,92,1023.8,5.6,18,129,17,5.1
2/01/2020,245,6,41,8,30,87,1022.1,6.9,16,122,20,6.3
3/01/2020,146,7,40,6,24,57,1020.5,12.7,20,85,18,5.1
4/01/2020,172,7,29,5,25,55,1021,9.3,23,94,20.5,5.9
5/01/2020,155,11,31,3,19,57,1020,9.4,19,94,20,4.1
6/01/2020,162,8,27,3,28,58,1019,14.8,21,93,20,6.4
7/01/2020,262,7,46,4,27,71,1019,7.6,25,96.5,20,4.1
8/01/2020,168,8,27,5,36,64,1019,12.4,23,94,20,6.9
9/01/2020,174,7,34,17,29,65,1018,10.9,20,88,20,4.6
10/01/2020,155,9,29,4,23,53,1016,15.1,17,94,20,5.6
11/01/2020,156,8,24,7,26,52,1017,15.7,16,94,20,7.4
12/01/2020,178,8,29,9,19,82,1021,10.9,18,82,11.5,5.4
13/01/2020,238,6,24,12,29,92,1018,4.6,18,93,16,2.8
14/01/2020,296,6,55,12,48,104,1017,4.8,22,93,19,3
15/01/2020,244,7,18,4,14,54,1015,17.5,12.5,93,20,7.2
16/01/2020,191,8,23,16,24,52,1018,15.8,26,88,20,6.1
17/01/2020,144,9,22,9,20,53,1022,17,18,93,13,6.1
18/01/2020,137,10,19,6,20,69,1020,10.8,15,93,14,3.6
19/01/2020,164,13,18,4,12,71,1023,12.8,16,93,14,4.8
20/01/2020,164,15,23,4,28,71,1023,7.5,15,93,14,2.8
21/01/2020,201,9,37,5,31,79,1022,6.1,21.5,100,18.5,4.3
22/01/2020,201,11,42,3,32,75,1019,8.3,24,100,20,3.8
23/01/2020,215,12,16,3,15,44,1016,15.4,27,94,20.5,6.4
24/01/2020,216,13,11,3,9,32,1016,13,23,94,21,5.4
25/01/2020,285,17,12,3,7,47,1019.5,18.9,20.5,93,19,8.4
26/01/2020,193,19,18,4,12,29,1021,12.2,19,76.5,10.5,6.4
27/01/2020,209,16,23,5,12,38,1019,11.3,16,76,9,4.6
28/01/2020,222,17,17,3,8,46,1021.5,11.2,16,71,9,4.6
29/01/2020,159,16,15,4,9,62,1025,9.2,16,82,11,4.1
30/01/2020,175,17,54,4,22,71,1025,6.2,20,93,11,4.1
31/01/2020,170,13,38,14,20,72,1023,8.2,20.5,84.5,12,3.6
1/02/2020,191,15,32,7,22,89,1021,5.1,16.5,87,14,2.5
2/02/2020,235,15,29,6,22,94,1021,4.1,20,93,17,2.5
3/02/2020,209,14,18,5,33,94,1019,11.8,20,100,18.5,7.4
4/02/2020,156,22,3,3,10,22,1021,12.8,14,93,13,4.8
5/02/2020,177,21,3,4,23,48,1021,8,15,93,14,3
6/02/2020,157,8,11,5,27,67,1018,5.9,19.5,100,16,2.5
7/02/2020,177,3,13,4,29,74,1020.5,7.3,20,100,18.5,4.1
8/02/2020,171,3,18.53135393,5,17,52,1025,14.4,19,100,17,5.6
9/02/2020,317,6,26.80207991,7,8,21,1028,12.5,16,93,13,5.1
10/02/2020,217,4,35.55125471,16,25,64,1027.478848,8.3,16.21987565,93.53732691,10.35440636,4.450287481
11/02/2020,182,19,42.2025911,11,18,65,1026.878454,6.9,15.51044065,92.84444192,8.292317695,4.502824825
12/02/2020,158,5,45,6,29,71,1026.278059,7,14.95809642,92.15155693,6.976665595,4.551223127
13/02/2020,104,12,38,5,44,68,1025.677665,7.3,14.56742671,91.45867193,6.321203603,4.595482387
14/02/2020,159,17,28,4,30,43,1025.07727,12.7,14.34301528,90.76578694,6.23968526,4.635602605
15/02/2020,187,17,31,4,25,53,1024.476876,11.2,14.2894459,90.07290195,6.645864107,4.671583781
16/02/2020,217,18,35,10,8,52,1023.876481,20,14.41130233,89.38001696,7.453493686,4.703425915
17/02/2020,169,17,42,13,20,58,1023.276087,11.1,14.71316833,88.68713197,8.576327538,4.731129007
18/02/2020,178,18,60,83,21,60,1022.675693,9.2,15.19962766,87.99424698,9.928119205,4.754693057
19/02/2020,220,14,57,29,24,85,1022.075298,6.7,15.87526408,87.30136198,11.42262223,4.774118065
20/02/2020,252,14,36,15,17,109,1021.474904,7.2,16.74466136,86.60847699,12.97359015,4.789404032
21/02/2020,252,12,43,7,19,107,1020.874509,9.4,17.81240325,85.915592,14.49477651,4.800550956
22/02/2020,235,26,71,6,48,98,1020.274115,6.9,19.08307352,85.22270701,15.89993485,4.807558838
23/02/2020,310,19,64,9,46,95,1019.67372,6.8,20.56125593,84.52982202,17.10281872,4.810427678
24/02/2020,162,14,42,7,23,59,1019.073326,10.8,22.25153424,83.83693703,18.01718164,4.809157477
25/02/2020,153,8,33,4,20,53,1017,10.2,24,82.5,18,4.1
26/02/2020,159,6,40,6,26,53,1020,10.5,27,100,19,4.3
27/02/2020,142,9,41,7,21,50,1019.5,9.9,28,88,20,4.8
28/02/2020,147,10,36,4,24,45,1018,12.6,27,85,19,4.8
29/02/2020,153,18,25,4,13,46,1015,13.2,27,88,20,4.6
1/03/2020,144,12,26,4,17,44,1015,12.9,27,94,21,5.6
2/03/2020,169,13,23,4,23,36,1015.5,13.9,25.5,94,21,5.1
3/03/2020,193,12,28,4,12,32,1014,14,21.5,94,20,5.9
4/03/2020,157,115,98,8,15,36,1020,12.6,18,88,15,2.8
5/03/2020,182,12,30,5,28,50,1021.5,11.7,18,93,14.5,4.8
6/03/2020,280,24,43,8,23,71,1018,8.5,23,93,18,4.3
7/03/2020,164,9,29,6,26,55,1014,7.5,24,93,20,3.6
8/03/2020,163,21,29,5,17,52,1009,9.4,29,94,22,4.6
9/03/2020,232,45,34,4,18,66,1008,7.8,33,97,23.5,3.6
10/03/2020,181,21,52,7,13,61,1016,12.8,26,94,23,6.9
11/03/2020,170,15,47,12,22,64,1017,9.9,24,82,18,4.6
12/03/2020,167,14,35,5,32,52,1015,8.2,25,100,21,3.6
13/03/2020,185,18,29,4,22,61,1015,7.5,28,94,23,5.1
14/03/2020,155,15,50,8,14,54,1019.5,9.2,25,91,20.5,5.1
15/03/2020,188,12,27,8,15,63,1020,6.2,21.5,88,17,2.8
16/03/2020,197,5,35,13,37,66,1017.5,5.8,21,96.5,20,2.8
17/03/2020,188,12,34,6,28,51,1018,7.8,23,96.5,22,5.4
18/03/2020,165,8,22,5,25,26,1016,13.5,19.5,93,18.5,5.6
19/03/2020,129,11,18,5,12,36,1017,7.9,21,96.5,18,4.3
20/03/2020,179,12,37,7,27,55,1016,7.2,25,94,20,5.1
21/03/2020,172,20,25,5,21,40,1014.5,10,27,94,22,5.1
22/03/2020,200,17,15,4,15,28,1014,9.6,28,91,23,5.4
23/03/2020,201,17,23,4,23,40,1015,10.5,27.5,94,22.5,5.9
24/03/2020,334,16,14,4,22,28,1014,14.2,29,94,22,6.1
25/03/2020,234,16,12,4,13,26,1011.5,13.1,28,88,23,7.2
26/03/2020,204,17,9,4,11,19,1011,17.5,29,88,23,6.4
27/03/2020,149,20,13,4,18,29,1010.5,14.4,29,88,23,5.1
28/03/2020,137,16,7,4,14,23,1012.5,14.2,28,88,22,6.1
