date,max
2022-12-22,82.3
2022-12-23,57.9
2022-12-24,71.9
2022-12-25,99.9
2022-12-26,94.8
2022-12-27,124.1
2022-12-28,114.4
2022-12-29,203.8
2022-12-30,137.1
2022-12-31,50
2023-01-01,80.2
2023-01-02,121.5
2023-01-03,41.4
2023-01-04,40.5
2023-01-05,29.5
2023-01-06,20.4
2023-01-07,232.7
2023-01-08,208
2023-01-09,105.9
2023-01-10,60.9
2023-01-11,56.7
2023-01-12,116.1
2023-01-13,51.6
2023-01-14,195.5
2023-01-15,111
2023-01-16,142.7
2023-01-17,206.2
2023-01-18,55.9
2023-01-19,177.1
2023-01-20,148.8
2023-01-21,231
2023-01-22,31.2
2023-01-23,28.3
2023-01-24,35.2
2023-01-25,33
2023-01-26,58.4
2023-01-27,63.7
2023-01-28,125.7
2023-01-29,76.4
2023-01-30,106.4
2023-01-31,134.4
2023-02-01,183.5
2023-02-02,109.8
2023-02-03,54.2
2023-02-04,159.9
2023-02-05,61.8
2023-02-06,55.8
2023-02-07,105.5
2023-02-08,84.7
2023-02-09,54.9
2023-02-10,67.5
2023-02-11,35.7
2023-02-12,165.3
2023-02-13,68.3
2023-02-14,57.6
2023-02-15,97.9
2023-02-16,101.3
2023-02-17,63.7
2023-02-18,61.2
2023-02-19,68
2023-02-20,46.2
2023-02-21,70.3
2023-02-22,82.6
2023-02-23,105.4
2023-02-24,100.6
2023-02-25,102.4
2023-02-26,58.9
2023-02-27,73
2023-02-28,55.6
2023-03-01,114.1
2023-03-02,99
2023-03-04,30.4
2023-03-05,74.8
2023-03-06,89.1
2023-03-07,101.8
2023-03-08,103.5
2023-03-09,185.5
2023-03-10,93.1
2023-03-11,89.9
2023-03-12,80.1
2023-03-13,98.9
2023-03-14,112.4
2023-03-15,110.7
2023-03-16,66.4
2023-03-17,54
2023-03-18,37.4
2023-03-19,69.8
2023-03-20,34.3
2023-03-21,54
2023-03-22,46.5
2023-03-23,41.4
2023-03-24,151.3
2023-03-25,45.7
2023-03-26,68
2023-03-27,33.6
2023-03-28,45.5
2023-03-29,47.9
2023-03-30,137
2023-03-31,36.1
2023-04-01,48.6
2023-04-02,43
2023-04-03,40
2023-04-04,35.4
2023-04-05,76.7
2023-04-06,72.8
2023-04-07,36
2023-04-08,89.2
2023-04-17,42.7
2023-04-18,43.6
2023-04-19,156.3
2023-04-20,43.1
2023-04-21,119.9
2023-04-22,213.4
2023-04-23,38.9
2023-04-24,36
2023-04-26,53.6
2023-04-27,47.8
2023-04-28,65.4
2023-04-29,45.4
2023-04-30,47.9
2023-05-01,33.2
2023-05-02,56
2023-05-03,51.8
2023-05-04,107.1
2023-05-05,77.4
2023-05-06,34.9
2023-05-07,103.1
2023-05-15,98.5
2023-05-16,106.4
2023-05-17,88.6
2023-05-18,78.3
2023-05-19,83.9
2023-05-20,58.3
2023-05-21,84.3
2023-05-22,130.6
2023-05-23,65.3
2023-05-24,75.3
2023-05-25,68.1
2023-05-26,71.1
2023-05-27,78.3
2023-05-28,66.9
2023-05-29,72.2
2023-05-30,52.6
2023-05-31,44.5
2023-06-01,48.8
2023-06-02,115.8
2023-06-03,74.9
2023-06-04,41.9
2023-06-05,46.2
2023-06-06,59
2023-06-07,56
2023-06-08,183.1
2023-06-09,224.4
2023-06-10,181.5
2023-06-11,31.7
2023-06-12,41.4
2023-06-13,121.8
2023-06-14,59.5
2023-06-15,66.4
2023-06-16,57.6
2023-06-17,101.1
2023-06-18,47.6
2023-06-19,39.4
2023-06-20,44.3
2023-06-21,114.3
2023-06-22,71.1
2023-06-23,49.9
2023-06-24,129.2
2023-06-25,91.2
2023-06-26,66
2023-06-27,52.4
2023-06-28,61.4
2023-06-29,30.2
2023-06-30,193.6
2023-07-01,61.3
2023-07-02,45.1
2023-07-03,35.3
2023-07-04,66.8
2023-07-05,77.7
2023-07-06,72.9
2023-07-07,63.4
2023-07-08,38.8
2023-07-09,107.4
2023-07-10,118.5
2023-07-11,150.8
2023-07-12,82.5
2023-07-13,103.5
2023-07-14,92.5
2023-07-15,50.9
2023-07-16,42.4
2023-07-17,39.8
2023-07-18,33.4
2023-07-19,43.7
2023-07-20,56.4
2023-07-21,104.3
2023-07-22,39.8
2023-07-23,35.7
2023-07-24,52.4
2023-07-25,54.1
2023-07-26,39
2023-07-28,32.2
2023-07-29,41.5
2023-07-30,32.6
2023-07-31,108.6
2023-08-01,43.8
2023-08-02,62.3
2023-08-03,34.2
2023-08-04,59.9
2023-08-05,71.3
2023-08-06,64.6
2023-08-07,76.9
2023-08-08,201.7
2023-08-09,43.3
2023-08-10,101.7
2023-08-11,31.1
2023-08-12,60.7
2023-08-13,165.8
2023-08-14,95.2
2023-08-15,73.3
2023-08-16,112.5
2023-08-17,62.4
2023-08-18,56.7
2023-08-19,178.1
2023-08-20,46.9
2023-08-21,38.9
2023-08-22,100
2023-08-23,95
2023-08-24,71.1
2023-08-25,139.4
2023-08-26,73.8
2023-08-27,89.1
2023-08-28,52.8
2023-08-29,86.7
2023-08-30,59.4
2023-08-31,41.6
2023-09-01,52.6
2023-09-02,106.9
2023-09-03,41.5
2023-09-04,89.4
2023-09-05,75.1
2023-09-06,59.6
2023-09-07,44.6
2023-09-08,53.1
2023-09-09,196
2023-09-10,38.7
2023-09-18,76.6
2023-09-19,50.8
2023-09-20,83.4
2023-09-21,85
2023-09-22,66.2
2023-09-23,57.9
2023-09-24,40.2
2023-09-25,34.1
2023-09-26,33.2
2023-09-27,56.7
2023-09-28,93.9
2023-09-29,68.8
2023-09-30,39.2
2023-10-01,79.3
2023-10-02,45.8
2023-10-03,27.5
2023-10-04,49.6
2023-10-05,74.2
2023-10-06,106
2023-10-07,79.4
2023-10-08,209.1
2023-10-09,84.3
2023-10-10,82.6
2023-10-11,113.6
2023-10-12,79.9
2023-10-13,105.7
2023-10-14,90.4
2023-10-15,50.8
2023-10-16,74.1
2023-10-17,59.9
2023-10-18,72.5
2023-10-19,76.5
2023-10-20,82.5
2023-10-21,85.9
2023-10-22,61.4
2023-10-24,102.2
2023-10-25,162.6
2023-10-26,103.2
2023-10-28,121.2
2023-10-29,49.8
2023-11-02,79.6
2023-11-03,69.9
2023-11-04,209.4
2023-11-05,45.4
2023-11-06,44.7
2023-11-07,131.4
2023-11-08,121.6
2023-11-09,133
2023-11-10,81.9
2023-11-11,111
2023-11-12,71.8
2023-11-13,104.5
2023-11-14,100
2023-11-15,89.6
2023-11-16,87.2
2023-11-17,56.7
2023-11-18,64.8
2023-11-19,75.1
2023-11-20,86.5
2023-11-21,113.6
2023-11-22,120.9
2023-11-23,71.5
2023-11-24,62.4
2023-11-25,46.1
