date,pm10,pm25
12/21/2022,58.4,47.45
12/22/2022,44.1,37.2
12/23/2022,41.8,35.7
12/24/2022,39.35,33.79
12/25/2022,55.8,45.9
12/26/2022,64,51.3
12/27/2022,78.2,73.09
12/28/2022,69.45,58.2
12/29/2022,65.2,53
12/30/2022,47.6,39.45
12/31/2022,40.15,34.79
1/1/2023,34.79,31.7
1/2/2023,59,48.2
1/3/2023,11.4,10.75
1/4/2023,14.2,13.5
1/5/2023,12.7,11.8
1/6/2023,7.3,6.75
1/7/2023,17.2,16.3
1/8/2023,62.85,51.05
1/9/2023,49.25,40.95
1/10/2023,27.6,26.25
1/11/2023,20.6,19.64
1/12/2023,24.85,23.6
1/13/2023,45.75,38.6
1/14/2023,62.5,50.8
1/15/2023,54.9,45.65
1/16/2023,57.65,47.1
1/17/2023,44.85,37.75
1/18/2023,25.15,23.9
1/19/2023,49.5,40.79
1/20/2023,37.45,33.7
1/21/2023,49.2,41.1
1/22/2023,19.05,18.05
1/23/2023,16.2,15
1/24/2023,12.1,11.3
1/25/2023,10.9,10.19
1/26/2023,30.9,29.15
1/27/2023,25.3,24.1
1/28/2023,14.8,14
1/29/2023,24.1,22.9
1/30/2023,47.8,39.9
1/31/2023,57.5,47
2/1/2023,77.3,71.8
2/2/2023,46.5,39.29
2/3/2023,33.54,30.6
2/4/2023,27.9,25.8
2/5/2023,27.6,26.15
2/6/2023,32.4,30.2
2/7/2023,30.45,28.8
2/8/2023,29.3,27.85
2/9/2023,28,27.05
2/10/2023,27.9,26.4
2/11/2023,35.9,32.2
2/12/2023,38.2,33.79
2/13/2023,38.29,33.79
2/14/2023,44.55,38.1
2/15/2023,53,43.75
2/16/2023,48.85,40.6
2/17/2023,45.1,37.79
2/18/2023,55.6,45.9
2/19/2023,37.4,33.1
2/20/2023,37.85,33.04
2/21/2023,58,46.9
2/22/2023,58.3,47.5
2/23/2023,64.59,51.75
2/24/2023,52.3,43.5
2/25/2023,52,43.1
2/26/2023,35.6,31.8
2/27/2023,26.2,24.4
2/28/2023,48,39.85
3/1/2023,47.2,39.5
3/2/2023,41.6,35.79
3/4/2023,50,41.4
3/5/2023,53.8,44.15
3/6/2023,69.84,58.5
3/7/2023,50.6,42.2
3/8/2023,55.5,45.7
3/9/2023,54.95,44.8
3/10/2023,58.45,48
3/11/2023,57,46.5
3/12/2023,59.35,48.4
3/13/2023,48.75,40.1
3/14/2023,51.3,42.65
3/15/2023,36.2,31.95
3/16/2023,40,34.65
3/17/2023,32.2,29.7
3/18/2023,27.25,25.8
3/19/2023,23.3,22.2
3/20/2023,35.4,32.2
3/21/2023,37.3,33.29
3/22/2023,48.2,40.7
3/23/2023,38.1,33.1
3/24/2023,33.5,31.25
3/25/2023,44.5,38.1
3/26/2023,24.3,23.5
3/27/2023,27.4,26.4
3/28/2023,29.8,28.6
3/29/2023,36.1,32.5
3/30/2023,37.1,33
3/31/2023,38.35,33.8
4/1/2023,46.8,39.5
4/2/2023,39.75,34.9
4/3/2023,41.6,35.79
4/4/2023,32.85,30.6
4/5/2023,29.7,27.8
4/6/2023,24.9,23.75
4/7/2023,23.95,22.8
4/8/2023,21.4,21.7
4/17/2023,55.3,45.4
4/18/2023,48.65,40.7
