date,min,max,median,q1,q3,stdev,count
2022-12-21T00:00:00.000Z,32,125.7,58.4,50.5,79,21.808,251
2022-12-22T00:00:00.000Z,14.7,136.8,44.1,33.7,59.9,21.406,675
2022-12-23T00:00:00.000Z,13.5,87.4,41.8,28.85,53.7,17.465,653
2022-12-24T00:00:00.000Z,19.5,132,39.35,27.3,56.8,19.741,658
2022-12-25T00:00:00.000Z,25.4,174.4,55.8,35.2,71.4,28.92,667
2022-12-26T00:00:00.000Z,27.5,160,64,52.1,76.6,25.957,627
2022-12-27T00:00:00.000Z,36.1,215.1,78.2,65.1,110.1,39.683,618
2022-12-28T00:00:00.000Z,12,192.3,69.45,42.3,88.5,44.207,628
2022-12-29T00:00:00.000Z,17.7,441.2,65.2,52.1,97,47.254,630
2022-12-30T00:00:00.000Z,6.8,212.4,47.6,29.1,66.1,28.232,658
2022-12-31T00:00:00.000Z,19.8,89.3,40.15,32.5,51.6,12.586,644
2023-01-01T00:00:00.000Z,10.2,128.1,34.79,24.6,49,21.196,521
2023-01-02T00:00:00.000Z,9.1,219.8,59,35.2,90.2,37.034,659
2023-01-03T00:00:00.000Z,0.2,67.3,11.4,7,19.64,13.051,645
2023-01-04T00:00:00.000Z,2.3,68.5,14.2,8.15,21.6,10.244,669
2023-01-05T00:00:00.000Z,4.9,55.6,12.7,9.9,16.2,5.651,632
2023-01-06T00:00:00.000Z,1,34.8,7.3,4.59,10.7,5.93,630
2023-01-07T00:00:00.000Z,5.6,453.1,17.2,12.2,27.6,48.051,655
2023-01-08T00:00:00.000Z,16.1,468.1,62.85,39.1,75.8,42.123,682
2023-01-09T00:00:00.000Z,4.7,182.3,49.25,31.9,61.5,31.427,686
2023-01-10T00:00:00.000Z,3,92.3,27.6,13.3,43.3,17.424,655
2023-01-11T00:00:00.000Z,8.7,87.9,20.6,14.25,36.1,17.448,557
2023-01-12T00:00:00.000Z,10,199.5,24.85,17.5,45.5,22.824,662
2023-01-13T00:00:00.000Z,14.6,84.1,45.75,30.8,55,14.312,654
2023-01-14T00:00:00.000Z,39.4,326.7,62.5,53.5,72.1,36.215,653
2023-01-15T00:00:00.000Z,26.8,166.2,54.9,44.35,71.7,18.673,657
2023-01-16T00:00:00.000Z,28,247.1,57.65,48.8,67.4,35.229,670
2023-01-17T00:00:00.000Z,16.4,728.3,44.85,31.4,61.2,48.443,670
2023-01-18T00:00:00.000Z,8.5,85.4,25.15,17.7,40,18.314,658
2023-01-19T00:00:00.000Z,9.5,366.4,49.5,26.85,69.65,29.172,684
2023-01-20T00:00:00.000Z,12.7,318.6,37.45,22.9,62.15,29.984,672
2023-01-21T00:00:00.000Z,8.2,482,49.2,33.95,62.5,40.369,661
2023-01-22T00:00:00.000Z,10.3,55.5,19.05,14.6,28.1,10.57,672
2023-01-23T00:00:00.000Z,5.8,47.6,16.2,10.5,20.35,6.938,657
2023-01-24T00:00:00.000Z,2.3,65.3,12.1,6.75,15.1,6.017,649
2023-01-25T00:00:00.000Z,5.7,59.3,10.9,8.6,16.1,8.099,661
2023-01-26T00:00:00.000Z,13.1,101,30.9,22.1,45.95,13.755,645
2023-01-27T00:00:00.000Z,0.7,103.8,25.3,4.9,43.25,19.32,669
2023-01-28T00:00:00.000Z,1.7,197.3,14.8,12.4,18.39,16.199,656
2023-01-29T00:00:00.000Z,8,112.4,24.1,15.5,28,9.917,684
2023-01-30T00:00:00.000Z,29,154.7,47.8,40.54,54.6,21.601,648
2023-01-31T00:00:00.000Z,20.3,269.7,57.5,50.4,72.95,23.928,644
2023-02-01T00:00:00.000Z,15.5,380.5,77.3,58.95,95,39.725,620
2023-02-02T00:00:00.000Z,16.9,178.7,46.5,35.2,73,34.026,631
2023-02-03T00:00:00.000Z,7.5,80.5,33.54,20.14,47.8,17.572,644
2023-02-04T00:00:00.000Z,9.2,248.7,27.9,15.3,59.7,40.49,659
2023-02-05T00:00:00.000Z,6.1,96.2,27.6,17.89,46.4,18.174,655
2023-02-06T00:00:00.000Z,13.2,76.8,32.4,26.6,36.79,8.734,640
2023-02-07T00:00:00.000Z,18.8,199.3,30.45,26.7,40.5,23.076,654
2023-02-08T00:00:00.000Z,14.8,134,29.3,23.7,43.4,23.172,644
2023-02-09T00:00:00.000Z,16.4,84.5,28,22.2,43.35,14.81,537
2023-02-10T00:00:00.000Z,14.3,109.3,27.9,22.2,34.04,13.779,653
2023-02-11T00:00:00.000Z,21.8,67.7,35.9,29.8,46.75,10.481,656
2023-02-12T00:00:00.000Z,23.6,321.3,38.2,33.9,47.5,22.848,651
