date,min,max,median,q1,q3,stdev,count
2022-11-17T00:00:00.000Z,48.7,182,111.2,78.7,140.9,36.545,214
2022-11-18T00:00:00.000Z,9.5,121.7,30.8,26.5,37.95,16.138,669
2022-11-19T00:00:00.000Z,20.6,98.6,35.9,30.4,46.6,13.915,667
2022-11-20T00:00:00.000Z,6.5,167.1,28.9,23.3,36.54,23.402,689
2022-11-21T00:00:00.000Z,21.7,299,48.8,37.45,71.4,44.416,668
2022-11-22T00:00:00.000Z,15.4,180.7,42.55,28.6,69.1,27.691,694
2022-11-23T00:00:00.000Z,7.3,117,23.5,19,28.2,13.986,687
2022-11-24T00:00:00.000Z,11.4,114,24.6,20.7,29.4,11.626,684
2022-11-25T00:00:00.000Z,8,206.8,25.75,19.6,32.2,27.64,654
2022-11-26T00:00:00.000Z,12.2,132.9,28,24.65,32.7,20.214,681
2022-11-27T00:00:00.000Z,4.5,86,20.2,13.8,27,11.869,687
2022-11-28T00:00:00.000Z,9,111.5,24.6,20.4,31.35,15.612,688
2022-11-29T00:00:00.000Z,13.2,190.5,30.6,24.8,36.95,35.081,660
2022-11-30T00:00:00.000Z,21.1,157.3,37.1,31.3,51.9,20.56,682
2022-12-01T00:00:00.000Z,5.1,141.4,52.85,23.5,67.8,27.477,640
2022-12-02T00:00:00.000Z,6.6,185.5,24.55,18,63.7,37.921,682
2022-12-03T00:00:00.000Z,1.8,128.2,19.14,9.5,33.25,25.695,684
2022-12-04T00:00:00.000Z,2.8,225.7,21.5,13.5,32.7,42.205,686
2022-12-05T00:00:00.000Z,14.3,157.2,32.7,25.95,59.4,25.374,685
2022-12-06T00:00:00.000Z,13.7,102.9,33.29,28.6,39.7,12.066,674
2022-12-07T00:00:00.000Z,21.5,255.8,43.3,33.1,127.2,57.005,658
2022-12-08T00:00:00.000Z,14.9,197.1,38.85,29.8,80.84,45.202,680
2022-12-09T00:00:00.000Z,16.3,145.1,35.29,31.1,58.2,28.426,670
2022-12-10T00:00:00.000Z,20.3,116,32.79,28.7,39.9,14.583,681
2022-12-11T00:00:00.000Z,21.2,107.1,31.2,28.15,38.29,13.024,688
2022-12-12T00:00:00.000Z,21.1,155.5,36.7,31.8,56.5,33.601,675
2022-12-13T00:00:00.000Z,26.6,179.7,39.15,33.9,52.65,27.162,688
2022-12-14T00:00:00.000Z,27,178,63.8,53.1,91.1,28.397,683
2022-12-15T00:00:00.000Z,27.7,159.2,46.8,37.2,57,22.189,691
2022-12-16T00:00:00.000Z,25.5,165,44,36,69.05,28.043,685
2022-12-17T00:00:00.000Z,4.4,77.9,27.2,13.1,34.1,13.053,679
2022-12-18T00:00:00.000Z,4,112.7,13.7,9.1,19.2,18.466,669
2022-12-19T00:00:00.000Z,16.7,181,31.5,26.2,44.5,27.206,677
2022-12-20T00:00:00.000Z,22.2,156.8,37.79,31.2,50.5,28.709,646
2022-12-21T00:00:00.000Z,24.9,171.6,38.95,33.1,61.3,33.965,622
2022-12-22T00:00:00.000Z,22.3,175.5,38.7,32.35,62.65,32.577,677
2022-12-23T00:00:00.000Z,19.8,233.7,46.4,32.29,91.6,36.211,643
2022-12-24T00:00:00.000Z,21.1,169.5,34.25,29.3,50.8,29.342,658
2022-12-25T00:00:00.000Z,20.4,206.3,47.8,34.9,73.3,41.366,667
2022-12-26T00:00:00.000Z,30,255.1,60.4,46.35,76.9,48.553,661
2022-12-27T00:00:00.000Z,29.1,266.4,87.3,60,132,62.459,653
2022-12-28T00:00:00.000Z,30.9,273,54.15,41.4,89.5,46.156,688
