date,median
2022-11-17,184.95
2022-11-18,55.2
2022-11-19,65.15
2022-11-20,52.7
2022-11-21,77
2022-11-22,71.4
2022-11-23,38.95
2022-11-24,41.1
2022-11-25,44.3
2022-11-26,48.1
2022-11-27,31
2022-11-28,40.5
2022-11-29,53.5
2022-11-30,64.84
2022-12-01,81.05
2022-12-02,39.4
2022-12-03,27.4
2022-12-04,32.95
2022-12-05,58.9
2022-12-06,60.25
2022-12-07,70.09
2022-12-08,68.25
2022-12-09,63.6
2022-12-10,59.7
2022-12-11,56.2
2022-12-12,66.4
2022-12-13,69.2
2022-12-14,104
2022-12-15,75.5
2022-12-16,72.7
2022-12-17,47.1
2022-12-18,19.55
2022-12-19,56.2
2022-12-20,68.05
2022-12-21,67.2
2022-12-22,69.15
2022-12-23,75.55
2022-12-24,62.05
2022-12-25,77.4
2022-12-26,94.5
2022-12-27,141.3
2022-12-28,83.8
2022-12-29,88.4
2022-12-30,84.8
2022-12-31,66.25
2023-01-01,64.7
2023-01-02,82.4
2023-01-03,51.9
2023-01-04,41.95
2023-01-05,37.5
2023-01-06,37.29
2023-01-07,50.2
2023-01-08,74.2
2023-01-09,58.3
2023-01-10,40.4
2023-01-11,40.29
2023-01-12,45.2
2023-01-13,61
2023-01-14,71.55
2023-01-15,82.7
2023-01-16,66.2
2023-01-17,63.3
2023-01-18,61.45
2023-01-19,64.09
2023-01-20,61.9
2023-01-21,73.9
2023-01-22,50.15
2023-01-23,36.65
2023-01-24,25.2
2023-01-25,34.5
2023-01-26,54.55
2023-01-27,55.6
2023-01-28,32.6
2023-01-29,63.05
2023-01-30,63.6
2023-01-31,71.5
2023-02-01,76.2
2023-02-02,40.6
2023-02-03,37.5
2023-02-04,33.95
2023-02-05,42.1
2023-02-06,42.4
2023-02-07,40.29
2023-02-08,53.4
2023-02-09,42.65
2023-02-10,44.4
2023-02-11,48.35
2023-02-12,46.3
2023-02-13,48.5
2023-02-14,55.2
2023-02-15,59.45
2023-02-16,73.05
2023-02-17,54.4
2023-02-18,87.1
2023-02-19,54.15
2023-02-20,59.3
2023-02-21,63.8
2023-02-22,73.15
2023-02-23,67.65
2023-02-24,62.25
2023-02-25,102.4
2023-02-26,60.25
2023-02-27,71.05
2023-02-28,57.1
2023-03-01,53.35
2023-03-02,60.65
2023-03-03,72.34
2023-03-04,73.59
2023-03-05,68.4
2023-03-06,67.3
2023-03-07,59.7
2023-03-08,54.6
2023-03-09,53.8
2023-03-10,61.4
2023-03-11,56.5
2023-03-12,60.6
2023-03-13,60.1
2023-03-14,60.6
2023-03-15,45.8
2023-03-16,43.7
2023-03-17,46.2
2023-03-18,36.4
2023-03-19,30.6
2023-03-20,39.65
2023-03-21,44.9
2023-03-22,48.65
2023-03-23,45.8
2023-03-24,46.3
2023-03-25,48.5
2023-03-26,35.85
2023-03-27,36.5
2023-03-28,39.2
2023-03-29,47.6
2023-03-30,38.65
2023-03-31,44.2
2023-04-01,55.65
2023-04-02,42
2023-04-03,60.9
2023-04-04,45.5
2023-04-05,32.5
2023-04-06,33
2023-04-07,29.95
2023-04-08,35.1
2023-04-09,62.05
2023-04-10,62.4
2023-04-11,55.9
2023-04-12,60.9
2023-04-13,65
2023-04-14,64.8
2023-04-15,67.7
2023-04-16,64.1
2023-04-17,60.2
2023-04-18,58.55
2023-04-19,63.5
2023-04-20,67.8
2023-04-21,60.7
2023-04-22,57.3
2023-04-23,45
2023-04-24,43.75
2023-04-25,49
2023-04-26,55
2023-04-27,52.8
2023-04-28,47.7
2023-04-29,47
2023-04-30,45.7
2023-05-01,36.7
2023-05-02,36.04
2023-05-03,35.2
