,Unnamed: 0,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,0,Bình Định,2020-06-20,0,25,72,0,5,0,72
1,1,Bình Định,2020-06-21,41,16,70,0,5,0,70
2,2,Bình Định,2020-06-22,23,16,108,0,5,0,108
3,3,Bình Định,2020-06-23,23,15,58,1,5,0,58
4,4,Bình Định,2020-06-24,21,25,82,2,6,0,82
5,5,Bình Định,2020-06-25,40,14,88,1,6,0,88
6,6,Bình Định,2020-06-26,20,14,81,0,5,0,81
7,7,Bình Định,2020-06-27,20,16,72,0,5,0,72
8,8,Bình Định,2020-06-28,23,15,77,0,6,0,77
9,9,Bình Định,2020-06-29,23,16,102,0,5,0,102
10,10,Bình Định,2020-06-30,25,19,55,1,6,0,55
11,11,Bình Định,2020-07-01,28,16,48,1,6,0,48
12,12,Bình Định,2020-07-02,24,8,47,1,6,0,47
13,13,Bình Định,2020-07-03,11,9,42,0,6,0,42
14,14,Bình Định,2020-07-04,12,7,47,1,6,0,47
15,15,Bình Định,2020-07-05,10,11,49,0,6,0,49
16,16,Bình Định,2020-07-06,14,14,53,0,6,0,53
17,17,Bình Định,2020-07-07,19,15,86,1,6,0,86
18,18,Bình Định,2020-07-08,20,16,41,1,6,0,41
19,19,Bình Định,2020-07-09,19,16,38,2,5,0,38
20,20,Bình Định,2020-07-10,19,0,40,2,6,0,40
21,21,Bình Định,2020-07-11,0,0,72,1,6,0,72
22,22,Bình Định,2020-07-12,0,0,51,0,6,0,51
23,23,Bình Định,2020-07-13,0,0,87,1,6,0,87
24,24,Bình Định,2020-07-14,0,0,48,0,6,0,48
25,25,Bình Định,2020-07-15,0,0,50,0,6,0,50
26,26,Bình Định,2020-07-16,0,0,70,0,6,0,70
27,27,Bình Định,2020-07-17,0,0,83,1,6,0,83
28,28,Bình Định,2020-07-18,0,0,58,0,6,0,58
29,29,Bình Định,2020-07-19,0,0,40,0,6,0,40
30,30,Bình Định,2020-07-20,0,0,40,0,6,0,40
31,31,Bình Định,2020-07-21,0,0,35,0,6,0,35
32,32,Bình Định,2020-07-22,0,0,38,0,6,0,38
33,33,Bình Định,2020-07-23,0,0,41,0,6,0,41
34,34,Bình Định,2020-07-24,0,0,45,0,6,0,45
35,35,Bình Định,2020-07-25,0,0,45,0,6,0,45
36,36,Bình Định,2020-07-26,0,0,42,1,7,0,42
37,37,Bình Định,2020-07-27,0,0,59,5,6,0,59
38,38,Bình Định,2020-07-28,0,0,0,7,6,0,7
39,39,Bình Định,2020-07-29,0,0,0,4,7,0,7
40,40,Bình Định,2020-07-30,0,0,0,5,7,0,7
41,41,Bình Định,2020-07-31,0,0,0,2,7,0,7
42,42,Bình Định,2020-08-01,0,0,0,1,9,0,9
43,43,Bình Định,2020-08-02,0,0,0,6,9,0,9
44,44,Bình Định,2020-08-03,0,0,28,7,9,0,28
45,45,Bình Định,2020-08-04,0,0,36,3,9,0,36
46,46,Bình Định,2020-08-05,0,0,31,3,9,0,31
47,47,Bình Định,2020-08-06,0,0,30,3,9,0,30
48,48,Bình Định,2020-08-07,0,0,37,3,8,0,37
49,49,Bình Định,2020-08-08,0,0,42,3,8,0,42
50,50,Bình Định,2020-08-09,0,0,61,2,7,0,61
51,51,Bình Định,2020-08-10,0,0,63,2,8,0,63
52,52,Bình Định,2020-08-11,0,0,42,2,7,0,42
53,53,Bình Định,2020-08-12,0,0,36,2,9,0,36
54,54,Bình Định,2020-08-13,0,0,28,3,10,0,28
55,55,Bình Định,2020-08-14,0,0,27,4,10,0,27
56,56,Bình Định,2020-08-15,0,0,40,3,9,0,40
57,57,Bình Định,2020-08-16,0,0,32,4,10,0,32
58,58,Bình Định,2020-08-17,0,0,32,7,10,0,32
59,59,Bình Định,2020-08-18,0,0,35,5,10,0,35
60,60,Bình Định,2020-08-19,0,0,35,5,8,0,35
61,61,Bình Định,2020-08-20,0,0,39,5,7,0,39
62,62,Bình Định,2020-08-21,0,0,37,3,7,0,37
63,63,Bình Định,2020-08-22,0,0,44,2,7,0,44
64,64,Bình Định,2020-08-23,0,0,88,2,7,0,88
65,65,Bình Định,2020-08-24,0,0,96,3,7,0,96
66,66,Bình Định,2020-08-25,0,0,76,4,6,0,76
67,67,Bình Định,2020-08-26,0,0,95,5,6,0,95
68,68,Bình Định,2020-08-27,0,0,67,3,6,0,67
69,69,Bình Định,2020-08-28,0,0,70,3,6,0,70
70,70,Bình Định,2020-08-29,0,0,93,2,6,0,93
71,71,Bình Định,2020-08-30,0,0,96,2,6,0,96
72,72,Bình Định,2020-08-31,0,0,101,4,6,0,101
73,73,Bình Định,2020-09-01,0,0,106,4,6,0,106
74,74,Bình Định,2020-09-02,0,0,130,3,6,0,130
75,75,Bình Định,2020-09-03,0,0,79,4,6,0,79
76,76,Bình Định,2020-09-04,0,0,38,4,6,0,38
77,77,Bình Định,2020-09-05,0,0,36,2,6,0,36
78,78,Bình Định,2020-09-06,0,0,23,4,7,0,23
79,79,Bình Định,2020-09-07,0,0,28,8,8,0,28
80,80,Bình Định,2020-09-08,0,0,26,6,7,0,26
81,81,Bình Định,2020-09-09,0,0,27,8,7,0,27
82,82,Bình Định,2020-09-10,0,0,30,4,6,0,30
83,83,Bình Định,2020-09-11,0,0,27,3,6,0,27
84,84,Bình Định,2020-09-12,0,0,21,5,6,0,21
85,85,Bình Định,2020-09-13,0,0,22,7,7,0,22
86,86,Bình Định,2020-09-14,0,0,25,4,6,0,25
87,87,Bình Định,2020-09-15,0,0,21,5,6,0,21
88,88,Bình Định,2020-09-16,0,0,33,7,8,0,33
89,89,Bình Định,2020-09-17,0,0,23,4,7,0,23
90,90,Bình Định,2020-09-18,0,0,19,0,8,0,19
91,91,Bình Định,2020-09-19,0,0,13,0,10,0,13
92,92,Bình Định,2020-09-20,0,0,21,3,8,0,21
93,93,Bình Định,2020-09-21,0,0,18,3,7,0,18
94,94,Bình Định,2020-09-22,0,0,18,7,7,0,18
95,95,Bình Định,2020-09-23,0,0,30,0,8,0,30
96,96,Bình Định,2020-09-24,0,0,30,0,8,0,30
97,97,Bình Định,2020-09-25,0,0,28,2,7,0,28
98,98,Bình Định,2020-09-26,0,0,22,0,8,0,22
99,99,Bình Định,2020-09-27,0,0,29,5,9,0,29
100,100,Bình Định,2020-09-28,0,0,40,2,8,0,40
101,101,Bình Định,2020-09-29,0,0,28,3,7,0,28
102,102,Bình Định,2020-09-30,0,0,21,8,9,0,21
103,103,Bình Định,2020-10-01,0,0,32,10,10,0,32
104,104,Bình Định,2020-10-02,0,0,21,10,9,0,21
105,105,Bình Định,2020-10-03,0,0,24,4,7,0,24
106,106,Bình Định,2020-10-04,0,0,24,4,7,0,24
107,107,Bình Định,2020-10-05,0,0,20,2,10,0,20
108,108,Bình Định,2020-10-06,0,0,26,0,9,0,26
109,109,Bình Định,2020-10-07,0,0,27,0,9,0,27
110,110,Bình Định,2020-10-08,0,0,26,2,9,0,26
111,111,Bình Định,2020-10-09,0,0,26,1,9,0,26
112,112,Bình Định,2020-10-10,0,0,30,0,9,0,30
113,113,Bình Định,2020-10-11,0,0,32,0,9,0,32
114,114,Bình Định,2020-10-12,0,0,38,0,10,0,38
115,115,Bình Định,2020-10-13,0,0,35,0,10,0,35
116,116,Bình Định,2020-10-14,0,0,21,0,8,0,21
117,117,Bình Định,2020-10-18,0,0,18,0,10,0,18
118,118,Bình Định,2020-10-19,0,0,20,0,10,0,20
119,119,Bình Định,2020-10-20,0,0,24,0,10,0,24
120,120,Bình Định,2020-10-21,0,0,31,0,10,0,31
121,121,Bình Định,2020-10-22,0,0,37,0,10,0,37
122,122,Bình Định,2020-10-23,0,0,43,0,12,0,43
123,123,Bình Định,2020-10-24,0,0,64,11,12,0,64
124,124,Bình Định,2020-10-25,0,0,34,11,13,0,34
125,125,Bình Định,2020-10-26,0,0,29,3,9,0,29
126,126,Bình Định,2020-10-27,0,0,35,9,12,0,35
127,127,Bình Định,2020-10-28,0,0,30,0,10,0,30
