,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Bảo Thắng,1/1/2022,0,31,17,8,1,3,31,Tốt
1,Bảo Thắng,2/1/2022,39,38,20,7,2,3,39,Tốt
2,Bảo Thắng,3/1/2022,51,50,24,8,2,3,51,Vừa Phải
3,Bảo Thắng,4/1/2022,73,62,19,9,8,4,73,Vừa Phải
4,Bảo Thắng,5/1/2022,99,59,18,10,2,3,99,Vừa Phải
5,Bảo Thắng,6/1/2022,94,47,29,8,1,2,94,Vừa Phải
6,Bảo Thắng,7/1/2022,65,34,25,8,1,2,65,Vừa Phải
7,Bảo Thắng,8/1/2022,50,18,16,8,1,3,50,Tốt
8,Bảo Thắng,9/1/2022,27,22,18,7,1,3,27,Tốt
9,Bảo Thắng,10/1/2022,27,32,18,6,1,3,32,Tốt
10,Bảo Thắng,11/1/2022,38,54,21,7,1,4,54,Vừa Phải
11,Bảo Thắng,12/1/2022,80,43,13,7,1,3,80,Vừa Phải
12,Bảo Thắng,13/01/2022,70,42,19,7,5,3,70,Vừa Phải
13,Bảo Thắng,14/01/2022,56,57,20,8,20,10,57,Vừa Phải
14,Bảo Thắng,15/01/2022,86,0,0,0,0,0,86,Vừa Phải
15,Bảo Thắng,17/01/2022,0,42,15,7,7,7,42,Tốt
16,Bảo Thắng,18/01/2022,50,56,15,9,4,6,56,Vừa Phải
17,Bảo Thắng,19/01/2022,79,46,19,7,1,2,79,Vừa Phải
18,Bảo Thắng,20/01/2022,73,25,15,7,2,4,73,Vừa Phải
19,Bảo Thắng,21/01/2022,39,29,20,7,5,7,39,Tốt
20,Bảo Thắng,22/01/2022,45,0,0,0,0,0,45,Tốt
21,Bảo Thắng,23/01/2022,0,60,4,6,15,13,60,Vừa Phải
22,Bảo Thắng,24/01/2022,82,54,22,4,11,6,82,Vừa Phải
23,Bảo Thắng,25/01/2022,69,46,22,4,1,3,69,Vừa Phải
24,Bảo Thắng,26/01/2022,51,39,20,3,1,3,51,Vừa Phải
25,Bảo Thắng,27/01/2022,46,34,22,2,2,2,46,Tốt
26,Bảo Thắng,28/01/2022,42,30,19,2,2,3,42,Tốt
27,Bảo Thắng,29/01/2022,39,15,13,1,1,4,39,Tốt
28,Bảo Thắng,30/01/2022,18,19,12,1,2,4,19,Tốt
29,Bảo Thắng,31/01/2022,27,17,14,0,1,3,27,Tốt
30,Bảo Thắng,1/2/2022,26,17,10,1,1,3,26,Tốt
31,Bảo Thắng,2/2/2022,25,12,12,1,1,3,25,Tốt
32,Bảo Thắng,3/2/2022,17,20,15,1,3,3,20,Tốt
33,Bảo Thắng,4/2/2022,31,29,15,1,1,3,31,Tốt
34,Bảo Thắng,5/2/2022,44,36,15,2,1,3,44,Tốt
35,Bảo Thắng,6/2/2022,56,35,16,2,3,4,56,Vừa Phải
36,Bảo Thắng,7/2/2022,52,41,16,3,9,9,52,Vừa Phải
37,Bảo Thắng,8/2/2022,58,16,11,3,1,3,58,Vừa Phải
38,Bảo Thắng,9/2/2022,19,21,16,2,10,4,21,Tốt
39,Bảo Thắng,10/2/2022,25,36,19,4,11,5,36,Tốt
40,Bảo Thắng,11/2/2022,52,36,15,3,8,5,52,Vừa Phải
41,Bảo Thắng,12/2/2022,52,14,7,3,1,3,52,Vừa Phải
42,Bảo Thắng,13/02/2022,16,19,19,2,1,3,19,Tốt
43,Bảo Thắng,14/02/2022,23,41,21,2,1,4,41,Tốt
44,Bảo Thắng,15/02/2022,58,46,18,2,1,4,58,Vừa Phải
45,Bảo Thắng,16/02/2022,69,59,19,6,4,11,69,Vừa Phải
46,Bảo Thắng,17/02/2022,91,51,12,6,3,17,91,Vừa Phải
47,Bảo Thắng,18/02/2022,86,28,8,4,1,8,86,Vừa Phải
48,Bảo Thắng,19/02/2022,48,13,15,1,1,3,48,Tốt
49,Bảo Thắng,20/02/2022,16,16,15,2,0,3,16,Tốt
50,Bảo Thắng,21/02/2022,22,21,14,3,17,3,22,Tốt
51,Bảo Thắng,22/02/2022,32,43,16,5,2,8,43,Tốt
52,Bảo Thắng,23/02/2022,61,49,23,4,0,5,61,Vừa Phải
53,Bảo Thắng,24/02/2022,72,58,27,4,2,3,72,Vừa Phải
54,Bảo Thắng,25/02/2022,98,69,24,5,2,5,98,Vừa Phải
55,Bảo Thắng,26/02/2022,124,71,25,7,5,8,124,Không tốt cho người nhạy cảm
56,Bảo Thắng,27/02/2022,125,69,23,6,4,9,125,Không tốt cho người nhạy cảm
57,Bảo Thắng,28/02/2022,132,71,17,9,12,14,132,Không tốt cho người nhạy cảm
58,Bảo Thắng,1/3/2022,132,56,20,7,3,4,132,Không tốt cho người nhạy cảm
59,Bảo Thắng,2/3/2022,95,49,21,9,5,5,95,Vừa Phải
60,Bảo Thắng,3/3/2022,75,45,15,8,1,3,75,Vừa Phải
61,Bảo Thắng,4/3/2022,67,23,11,7,1,3,67,Vừa Phải
62,Bảo Thắng,5/3/2022,31,19,14,6,4,5,31,Tốt
63,Bảo Thắng,6/3/2022,25,34,23,7,7,4,34,Tốt
64,Bảo Thắng,7/3/2022,39,47,37,6,3,4,47,Tốt
65,Bảo Thắng,8/3/2022,54,56,34,8,1,2,56,Vừa Phải
66,Bảo Thắng,9/3/2022,71,44,24,7,6,2,71,Vừa Phải
67,Bảo Thắng,10/3/2022,64,16,21,5,12,2,64,Vừa Phải
68,Bảo Thắng,11/3/2022,18,25,20,6,14,3,25,Tốt
69,Bảo Thắng,12/3/2022,33,22,15,7,4,2,33,Tốt
70,Bảo Thắng,13/03/2022,27,26,16,6,3,2,27,Tốt
71,Bảo Thắng,14/03/2022,28,12,15,3,0,1,28,Tốt
72,Bảo Thắng,15/03/2022,13,36,22,5,3,3,36,Tốt
73,Bảo Thắng,16/03/2022,42,35,20,6,1,3,42,Tốt
74,Bảo Thắng,17/03/2022,45,36,26,5,9,5,45,Tốt
75,Bảo Thắng,18/03/2022,45,36,28,5,1,3,45,Tốt
76,Bảo Thắng,19/03/2022,43,29,15,6,0,3,43,Tốt
77,Bảo Thắng,20/03/2022,36,36,16,5,13,3,36,Tốt
78,Bảo Thắng,21/03/2022,45,49,14,6,13,5,49,Tốt
79,Bảo Thắng,22/03/2022,65,27,10,4,7,5,65,Vừa Phải
80,Bảo Thắng,23/03/2022,30,13,18,3,13,4,30,Tốt
81,Bảo Thắng,24/03/2022,12,41,22,6,29,7,41,Tốt
82,Bảo Thắng,25/03/2022,46,62,34,10,22,12,62,Vừa Phải
