,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,Bắc Từ Liêm,2020-08-22,0,52,1,22,3,11,52
1,Bắc Từ Liêm,2020-08-23,74,60,0,19,4,10,74
2,Bắc Từ Liêm,2020-08-24,76,49,1,15,1,9,76
3,Bắc Từ Liêm,2020-08-25,54,52,1,16,2,10,54
4,Bắc Từ Liêm,2020-08-26,66,70,1,30,2,10,70
5,Bắc Từ Liêm,2020-08-27,99,58,1,26,2,11,99
6,Bắc Từ Liêm,2020-08-28,75,57,1,23,1,11,75
7,Bắc Từ Liêm,2020-08-29,74,62,1,25,1,11,74
8,Bắc Từ Liêm,2020-08-30,79,62,1,22,3,10,79
9,Bắc Từ Liêm,2020-08-31,80,58,1,13,3,10,80
10,Bắc Từ Liêm,2020-09-01,79,82,1,20,4,8,82
11,Bắc Từ Liêm,2020-09-02,127,73,1,17,1,12,127
12,Bắc Từ Liêm,2020-09-03,99,71,1,14,3,11,99
13,Bắc Từ Liêm,2020-09-04,104,70,0,16,2,12,104
14,Bắc Từ Liêm,2020-09-05,96,0,0,0,0,0,96
15,Bắc Từ Liêm,2020-09-06,0,47,0,21,2,11,47
16,Bắc Từ Liêm,2020-09-07,54,65,1,29,1,12,65
17,Bắc Từ Liêm,2020-09-08,87,59,1,27,1,11,87
18,Bắc Từ Liêm,2020-09-09,70,63,1,37,1,14,70
19,Bắc Từ Liêm,2020-09-10,63,60,1,36,1,12,63
20,Bắc Từ Liêm,2020-09-11,66,63,1,42,4,12,66
21,Bắc Từ Liêm,2020-09-12,73,52,1,27,1,9,73
22,Bắc Từ Liêm,2020-09-13,61,50,1,25,1,12,61
23,Bắc Từ Liêm,2020-09-14,51,63,2,32,2,12,63
24,Bắc Từ Liêm,2020-09-15,66,61,0,26,3,11,66
25,Bắc Từ Liêm,2020-09-16,69,71,1,31,3,8,71
26,Bắc Từ Liêm,2020-09-17,85,33,0,25,2,3,85
27,Bắc Từ Liêm,2020-09-18,40,39,0,18,1,7,40
28,Bắc Từ Liêm,2020-09-19,44,58,0,20,1,12,58
29,Bắc Từ Liêm,2020-09-20,70,77,0,33,3,13,77
30,Bắc Từ Liêm,2020-09-21,105,57,1,44,1,15,105
