,Unnamed: 0,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,0,Cao Đức,2020-08-22,0,24,0,3,18,1,24
1,1,Cao Đức,2020-08-23,34,37,0,5,18,1,37
2,2,Cao Đức,2020-08-24,46,37,0,5,19,1,46
3,3,Cao Đức,2020-08-25,47,40,0,6,18,1,47
4,4,Cao Đức,2020-08-26,50,49,0,8,18,2,50
5,5,Cao Đức,2020-08-27,71,49,0,8,18,2,71
6,6,Cao Đức,2020-08-28,63,45,0,7,18,1,63
7,7,Cao Đức,2020-08-29,47,41,0,7,18,1,47
8,8,Cao Đức,2020-08-30,52,53,0,6,19,2,53
9,9,Cao Đức,2020-08-31,75,56,0,6,19,2,75
10,10,Cao Đức,2020-09-01,85,72,0,11,19,3,85
11,11,Cao Đức,2020-09-02,133,69,0,7,19,3,133
12,12,Cao Đức,2020-09-03,123,52,0,7,19,2,123
13,13,Cao Đức,2020-09-04,83,34,0,5,19,1,83
14,14,Cao Đức,2020-09-05,49,33,0,4,19,1,49
15,15,Cao Đức,2020-09-06,42,24,0,5,21,1,42
16,16,Cao Đức,2020-09-07,32,35,0,13,20,2,35
17,17,Cao Đức,2020-09-08,44,26,0,11,20,1,44
18,18,Cao Đức,2020-09-09,27,40,0,14,20,2,40
19,19,Cao Đức,2020-09-10,38,33,0,4,20,1,38
20,20,Cao Đức,2020-09-11,39,28,0,2,20,1,39
21,21,Cao Đức,2020-09-12,31,25,0,2,21,1,31
22,22,Cao Đức,2020-09-13,23,32,0,2,21,1,32
23,23,Cao Đức,2020-09-14,31,29,0,2,22,1,31
24,24,Cao Đức,2020-09-15,30,30,0,1,24,1,30
25,25,Cao Đức,2020-09-16,32,30,0,3,24,1,32
26,26,Cao Đức,2020-09-17,30,18,0,17,23,1,30
27,27,Cao Đức,2020-09-18,18,10,0,7,26,1,26
28,28,Cao Đức,2020-09-19,12,17,0,3,25,2,25
29,29,Cao Đức,2020-09-20,23,27,0,4,24,2,27
30,30,Cao Đức,2020-09-21,28,23,0,2,23,1,28
31,31,Cao Đức,2020-09-22,26,30,0,3,23,1,30
32,32,Cao Đức,2020-09-23,29,22,0,1,24,2,29
33,33,Cao Đức,2020-09-24,25,38,0,7,22,2,38
34,34,Cao Đức,2020-09-25,54,43,0,5,21,2,54
35,35,Cao Đức,2020-09-26,61,24,0,3,21,1,61
36,36,Cao Đức,2020-09-27,24,27,0,7,22,2,27
37,37,Cao Đức,2020-09-28,35,31,0,2,22,1,35
38,38,Cao Đức,2020-09-29,42,30,0,2,22,1,42
39,39,Cao Đức,2020-09-30,38,29,0,4,23,2,38
40,40,Cao Đức,2020-10-01,37,34,0,5,22,2,37
41,41,Cao Đức,2020-10-02,45,34,0,4,20,1,45
42,42,Cao Đức,2020-10-03,44,36,0,6,21,1,44
43,43,Cao Đức,2020-10-04,43,47,0,5,22,2,47
44,44,Cao Đức,2020-10-05,54,0,0,0,0,0,54
45,45,Cao Đức,2020-10-17,0,35,0,3,26,2,35
46,46,Cao Đức,2020-10-18,55,19,0,3,30,1,55
47,47,Cao Đức,2020-10-19,24,26,0,4,28,1,28
48,48,Cao Đức,2020-10-20,35,35,0,5,26,1,35
49,49,Cao Đức,2020-10-21,48,56,0,8,27,2,56
50,50,Cao Đức,2020-10-22,76,74,0,11,27,2,76
51,51,Cao Đức,2020-10-23,102,89,0,10,28,2,102
52,52,Cao Đức,2020-10-24,134,91,0,8,28,2,134
53,53,Cao Đức,2020-10-25,150,53,0,5,27,2,150
54,54,Cao Đức,2020-10-26,82,53,0,7,25,2,82
55,55,Cao Đức,2020-10-27,85,58,0,6,25,2,85
56,56,Cao Đức,2020-10-28,97,30,0,3,25,2,97
57,57,Cao Đức,2020-10-29,46,18,0,3,27,2,46
58,58,Cao Đức,2020-10-30,29,30,0,4,28,3,30
59,59,Cao Đức,2020-10-31,44,67,0,8,28,3,67
60,60,Cao Đức,2020-11-01,119,54,0,5,29,2,119
61,61,Cao Đức,2020-11-02,96,32,0,4,32,2,96
62,62,Cao Đức,2020-11-03,48,66,0,7,33,3,66
63,63,Cao Đức,2020-11-04,102,84,0,11,34,4,102
64,64,Cao Đức,2020-11-05,149,94,0,9,31,4,149
65,65,Cao Đức,2020-11-06,170,54,0,5,32,2,170
66,66,Cao Đức,2020-11-07,91,51,0,6,34,2,91
67,67,Cao Đức,2020-11-08,79,59,0,8,35,2,79
68,68,Cao Đức,2020-11-09,81,67,0,9,34,2,81
69,69,Cao Đức,2020-11-10,90,81,0,11,37,2,90
70,70,Cao Đức,2020-11-11,121,96,0,12,30,3,121
71,71,Cao Đức,2020-11-12,151,80,0,10,28,2,151
72,72,Cao Đức,2020-11-13,126,73,0,9,32,2,126
73,73,Cao Đức,2020-11-14,125,50,0,5,28,2,125
74,74,Cao Đức,2020-11-15,84,36,0,5,15,5,84
75,75,Cao Đức,2020-11-16,64,39,0,8,3,4,64
76,76,Cao Đức,2020-11-17,60,35,0,7,3,3,60
77,77,Cao Đức,2020-11-18,47,51,0,9,3,3,51
78,78,Cao Đức,2020-11-19,66,39,0,9,2,3,66
79,79,Cao Đức,2020-11-20,49,35,0,6,3,3,49
80,80,Cao Đức,2020-11-21,42,50,0,12,3,4,50
81,81,Cao Đức,2020-11-22,62,45,0,8,3,3,62
82,82,Cao Đức,2020-11-23,62,64,0,13,3,4,64
83,83,Cao Đức,2020-11-24,106,61,0,11,3,4,106
84,84,Cao Đức,2020-11-25,103,59,0,13,3,4,103
85,85,Cao Đức,2020-11-26,85,57,0,7,4,4,85
86,86,Cao Đức,2020-11-27,92,36,0,4,4,4,92
87,87,Cao Đức,2020-11-28,48,39,0,4,4,5,48
88,88,Cao Đức,2020-11-29,54,42,0,4,4,5,54
89,89,Cao Đức,2020-11-30,60,59,0,6,4,5,60
90,90,Cao Đức,2020-12-01,102,65,0,8,4,5,102
91,91,Cao Đức,2020-12-02,116,53,0,4,4,4,116
92,92,Cao Đức,2020-12-03,83,35,0,5,4,5,83
93,93,Cao Đức,2020-12-04,44,42,0,6,4,5,44
94,94,Cao Đức,2020-12-05,56,58,0,8,4,5,58
95,95,Cao Đức,2020-12-06,89,69,0,8,4,5,89
96,96,Cao Đức,2020-12-07,123,58,0,7,4,4,123
97,97,Cao Đức,2020-12-08,93,68,0,10,5,5,93
98,98,Cao Đức,2020-12-09,118,86,0,14,3,4,118
99,99,Cao Đức,2020-12-10,149,93,0,16,1,4,149
100,100,Cao Đức,2020-12-11,162,74,0,17,1,3,162
101,101,Cao Đức,2020-12-12,139,72,0,12,1,3,139
102,102,Cao Đức,2020-12-13,136,55,0,20,1,4,136
103,103,Cao Đức,2020-12-14,88,20,0,7,1,3,88
104,104,Cao Đức,2020-12-15,28,20,0,5,1,3,28
105,105,Cao Đức,2020-12-16,27,28,0,5,1,3,28
106,106,Cao Đức,2020-12-17,40,33,0,5,1,2,40
107,107,Cao Đức,2020-12-18,45,48,0,6,1,2,48
108,108,Cao Đức,2020-12-19,67,0,0,0,0,0,67
109,109,Cao Đức,2020-12-20,0,83,0,13,1,3,83
110,110,Cao Đức,2020-12-21,132,89,0,12,1,3,132
111,111,Cao Đức,2020-12-22,144,95,0,20,2,4,144
112,112,Cao Đức,2020-12-23,159,80,0,10,1,4,159
113,113,Cao Đức,2020-12-24,134,89,0,17,1,4,134
114,114,Cao Đức,2020-12-25,160,81,0,24,1,4,160
115,115,Cao Đức,2020-12-26,147,75,0,26,1,4,147
116,116,Cao Đức,2020-12-27,147,61,0,18,1,3,147
117,117,Cao Đức,2020-12-28,108,53,0,14,1,2,108
118,118,Cao Đức,2020-12-29,78,54,0,9,1,4,78
119,119,Cao Đức,2020-12-30,61,60,0,17,1,3,61
120,120,Cao Đức,2020-12-31,84,84,0,14,2,3,84
121,121,Cao Đức,2021-01-01,134,90,0,12,1,4,134
122,122,Cao Đức,2021-01-02,153,96,0,14,1,4,153
123,123,Cao Đức,2021-01-03,170,112,0,14,1,4,170
124,124,Cao Đức,2021-01-04,192,115,0,22,1,4,192
125,125,Cao Đức,2021-01-05,197,114,0,14,1,4,197
126,126,Cao Đức,2021-01-06,193,77,0,8,1,6,193
127,127,Cao Đức,2021-01-07,140,33,0,7,2,4,140
128,128,Cao Đức,2021-01-08,31,50,0,7,4,3,50
129,129,Cao Đức,2021-01-09,80,56,0,6,4,2,80
130,130,Cao Đức,2021-01-10,84,57,0,10,5,2,84
131,131,Cao Đức,2021-01-11,78,73,0,11,3,3,78
132,132,Cao Đức,2021-01-12,104,97,0,22,6,4,104
133,133,Cao Đức,2021-01-13,161,88,0,17,6,3,161
134,134,Cao Đức,2021-01-14,157,109,0,22,5,4,157
135,135,Cao Đức,2021-01-15,185,113,0,36,8,4,185
136,136,Cao Đức,2021-01-16,189,94,0,14,4,4,189
137,137,Cao Đức,2021-01-17,163,68,0,10,3,3,163
138,138,Cao Đức,2021-01-18,101,92,0,20,5,4,101
139,139,Cao Đức,2021-01-19,157,114,0,20,4,4,157
140,140,Cao Đức,2021-01-20,182,121,0,30,6,5,182
141,141,Cao Đức,2021-01-21,199,164,0,22,5,7,199
142,142,Cao Đức,2021-01-22,273,144,0,21,4,6,273
143,143,Cao Đức,2021-01-23,244,104,0,17,3,5,244
144,144,Cao Đức,2021-01-24,184,75,0,31,4,3,184
145,145,Cao Đức,2021-01-25,137,63,0,19,5,2,137
