,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Chí Linh,6/21/2020,0,40,22,6,8,1,40,Tốt
1,Chí Linh,6/22/2020,51,27,18,5,8,1,51,Vừa Phải
2,Chí Linh,6/23/2020,32,0,0,0,0,0,32,Tốt
3,Chí Linh,6/28/2020,0,35,13,5,9,1,35,Tốt
4,Chí Linh,6/29/2020,35,31,21,5,8,1,35,Tốt
5,Chí Linh,6/30/2020,35,39,9,9,7,1,39,Tốt
6,Chí Linh,7/1/2020,46,38,27,10,7,1,46,Tốt
7,Chí Linh,7/2/2020,53,0,0,0,0,0,53,Vừa Phải
8,Chí Linh,7/5/2020,0,27,138,4,6,1,138,Không tốt cho người nhạy cảm
9,Chí Linh,7/6/2020,28,29,130,4,7,1,130,Không tốt cho người nhạy cảm
10,Chí Linh,7/7/2020,32,30,128,5,7,1,128,Không tốt cho người nhạy cảm
11,Chí Linh,7/8/2020,32,35,78,7,8,1,78,Vừa Phải
12,Chí Linh,7/9/2020,33,31,159,0,6,1,159,Không tốt
13,Chí Linh,7/10/2020,31,44,103,8,7,1,103,Không tốt cho người nhạy cảm
14,Chí Linh,7/11/2020,54,41,135,6,6,1,135,Không tốt cho người nhạy cảm
15,Chí Linh,7/12/2020,50,33,113,4,7,1,113,Không tốt cho người nhạy cảm
16,Chí Linh,7/13/2020,36,36,89,5,7,1,89,Vừa Phải
17,Chí Linh,7/14/2020,48,31,153,4,7,1,153,Không tốt
18,Chí Linh,7/15/2020,37,32,135,6,7,1,135,Không tốt cho người nhạy cảm
19,Chí Linh,7/16/2020,33,30,136,4,7,1,136,Không tốt cho người nhạy cảm
20,Chí Linh,7/17/2020,30,32,107,3,7,1,107,Không tốt cho người nhạy cảm
21,Chí Linh,7/18/2020,34,35,125,4,7,1,125,Không tốt cho người nhạy cảm
22,Chí Linh,7/19/2020,39,29,118,5,7,1,118,Không tốt cho người nhạy cảm
23,Chí Linh,7/20/2020,29,19,120,6,7,1,120,Không tốt cho người nhạy cảm
24,Chí Linh,7/21/2020,22,18,102,0,7,1,102,Không tốt cho người nhạy cảm
25,Chí Linh,7/22/2020,19,20,10,0,7,1,20,Tốt
26,Chí Linh,7/23/2020,21,23,29,3,7,1,29,Tốt
27,Chí Linh,7/24/2020,26,34,125,3,7,1,125,Không tốt cho người nhạy cảm
28,Chí Linh,7/25/2020,39,29,122,5,7,1,122,Không tốt cho người nhạy cảm
29,Chí Linh,7/26/2020,34,50,113,0,7,2,113,Không tốt cho người nhạy cảm
30,Chí Linh,7/27/2020,76,42,131,0,8,2,131,Không tốt cho người nhạy cảm
31,Chí Linh,7/28/2020,60,35,157,10,6,2,157,Không tốt
32,Chí Linh,7/29/2020,44,46,225,10,5,1,225,Rất không tốt
33,Chí Linh,7/30/2020,57,34,167,7,5,1,167,Không tốt
34,Chí Linh,7/31/2020,47,27,0,4,6,1,47,Tốt
35,Chí Linh,8/1/2020,35,8,0,2,6,1,35,Tốt
36,Chí Linh,8/2/2020,10,7,0,4,7,1,10,Tốt
37,Chí Linh,8/3/2020,8,15,0,8,7,1,15,Tốt
38,Chí Linh,8/4/2020,16,16,0,9,8,1,16,Tốt
39,Chí Linh,8/5/2020,18,15,0,9,8,1,18,Tốt
40,Chí Linh,8/6/2020,14,14,0,7,8,1,14,Tốt
41,Chí Linh,8/7/2020,16,20,0,6,7,1,20,Tốt
42,Chí Linh,8/8/2020,21,23,0,6,7,1,23,Tốt
43,Chí Linh,8/9/2020,22,27,0,6,7,1,27,Tốt
44,Chí Linh,8/10/2020,28,16,0,5,7,2,28,Tốt
45,Chí Linh,8/11/2020,17,22,0,6,7,1,22,Tốt
46,Chí Linh,8/12/2020,23,13,0,10,8,1,23,Tốt
47,Chí Linh,8/13/2020,14,15,0,9,9,1,15,Tốt
48,Chí Linh,8/14/2020,16,19,0,13,9,1,19,Tốt
49,Chí Linh,8/15/2020,18,20,0,8,9,1,20,Tốt
50,Chí Linh,8/16/2020,18,16,0,12,9,1,18,Tốt
51,Chí Linh,8/17/2020,13,12,0,9,10,1,13,Tốt
52,Chí Linh,8/18/2020,11,25,0,8,9,1,25,Tốt
53,Chí Linh,8/19/2020,22,34,0,8,8,1,34,Tốt
54,Chí Linh,8/20/2020,34,39,0,15,9,1,39,Tốt
55,Chí Linh,8/21/2020,31,42,0,6,8,1,42,Tốt
56,Chí Linh,8/22/2020,34,31,0,7,8,1,34,Tốt
57,Chí Linh,8/23/2020,34,31,0,5,7,1,34,Tốt
58,Chí Linh,8/24/2020,31,42,0,8,7,1,42,Tốt
59,Chí Linh,8/25/2020,44,41,0,7,8,1,44,Tốt
60,Chí Linh,8/26/2020,45,52,0,11,7,1,52,Vừa Phải
61,Chí Linh,8/27/2020,66,55,0,11,8,1,66,Vừa Phải
62,Chí Linh,8/28/2020,65,51,0,10,7,1,65,Vừa Phải
63,Chí Linh,8/29/2020,47,48,0,7,7,1,48,Tốt
64,Chí Linh,8/30/2020,54,58,0,8,7,1,58,Vừa Phải
65,Chí Linh,8/31/2020,73,60,0,7,8,2,73,Vừa Phải
66,Chí Linh,9/1/2020,88,59,0,6,9,2,88,Vừa Phải
67,Chí Linh,9/2/2020,97,0,0,13,10,3,97,Vừa Phải
68,Chí Linh,9/3/2020,0,0,0,8,8,1,8,Tốt
69,Chí Linh,9/4/2020,0,0,0,7,8,1,8,Tốt
70,Chí Linh,9/5/2020,0,0,0,6,8,1,8,Tốt
71,Chí Linh,9/6/2020,0,0,0,5,8,1,8,Tốt
72,Chí Linh,9/7/2020,0,0,0,14,9,2,14,Tốt
73,Chí Linh,9/8/2020,0,0,0,13,9,1,13,Tốt
74,Chí Linh,9/9/2020,0,0,0,17,9,2,17,Tốt
75,Chí Linh,9/10/2020,0,0,0,12,9,1,12,Tốt
76,Chí Linh,9/11/2020,0,0,0,9,9,1,9,Tốt
77,Chí Linh,9/12/2020,0,0,0,9,9,1,9,Tốt
78,Chí Linh,9/13/2020,0,0,0,9,9,1,9,Tốt
79,Chí Linh,9/14/2020,0,0,0,9,9,1,9,Tốt
80,Chí Linh,9/15/2020,0,0,0,9,9,1,9,Tốt
81,Chí Linh,9/16/2020,0,0,0,8,8,1,8,Tốt
82,Chí Linh,9/17/2020,0,0,0,3,9,1,9,Tốt
83,Chí Linh,9/18/2020,0,0,0,3,11,1,11,Tốt
84,Chí Linh,9/19/2020,0,0,0,7,10,2,10,Tốt
85,Chí Linh,9/20/2020,0,0,0,9,9,1,9,Tốt
86,Chí Linh,9/21/2020,0,0,0,9,9,1,9,Tốt
87,Chí Linh,9/22/2020,0,0,0,10,9,1,10,Tốt
88,Chí Linh,9/23/2020,0,0,0,5,9,1,9,Tốt
89,Chí Linh,9/24/2020,0,0,0,8,9,1,9,Tốt
90,Chí Linh,9/25/2020,0,0,0,14,8,1,14,Tốt
91,Chí Linh,9/26/2020,0,0,0,5,9,1,9,Tốt
92,Chí Linh,9/27/2020,0,0,0,6,10,2,10,Tốt
93,Chí Linh,9/28/2020,0,0,0,5,9,1,9,Tốt
94,Chí Linh,9/29/2020,0,0,0,7,8,1,8,Tốt
95,Chí Linh,9/30/2020,0,0,0,14,9,2,14,Tốt
96,Chí Linh,10/1/2020,0,0,0,11,9,2,11,Tốt
97,Chí Linh,10/2/2020,0,0,0,9,9,1,9,Tốt
98,Chí Linh,10/3/2020,0,0,0,8,9,1,9,Tốt
99,Chí Linh,10/4/2020,0,0,0,8,9,1,9,Tốt
100,Chí Linh,10/5/2020,0,21,0,10,10,1,21,Tốt
101,Chí Linh,10/6/2020,28,20,0,0,0,0,28,Tốt
102,Chí Linh,10/7/2020,28,18,0,3,12,1,28,Tốt
103,Chí Linh,10/8/2020,24,25,0,2,12,1,25,Tốt
104,Chí Linh,10/9/2020,39,24,0,2,12,1,39,Tốt
105,Chí Linh,10/10/2020,36,37,0,2,12,1,37,Tốt
106,Chí Linh,10/11/2020,59,55,0,4,12,2,59,Vừa Phải
107,Chí Linh,10/12/2020,93,60,0,5,12,2,93,Vừa Phải
108,Chí Linh,10/13/2020,98,25,0,6,12,2,98,Vừa Phải
109,Chí Linh,10/14/2020,41,0,0,2,11,1,41,Tốt
110,Chí Linh,10/17/2020,0,20,0,0,0,0,20,Tốt
111,Chí Linh,10/18/2020,30,18,2,3,11,1,30,Tốt
112,Chí Linh,10/19/2020,27,27,5,3,13,1,27,Tốt
113,Chí Linh,10/20/2020,40,39,6,4,12,1,40,Tốt
114,Chí Linh,10/21/2020,55,53,12,6,11,2,55,Vừa Phải
115,Chí Linh,10/22/2020,75,66,15,11,11,2,75,Vừa Phải
116,Chí Linh,10/23/2020,95,84,22,12,10,2,95,Vừa Phải
117,Chí Linh,10/24/2020,129,88,12,11,11,3,129,Không tốt cho người nhạy cảm
118,Chí Linh,10/25/2020,149,50,10,10,12,3,149,Không tốt cho người nhạy cảm
