date, pm25, pm10, o3, no2, so2, co
2023/7/1, 1, , , , , 
2023/7/12, 1, 1, 25, 3, , 
2023/7/13, 1, 1, 24, 3, , 
2023/7/14, 1, 1, 5, 1, , 
2023/7/15, 1, , , , , 
2023/8/1, 1, 1, 2, 1, , 
2023/8/2, 1, , 1, , , 
2023/8/3, 1, , 1, 1, , 
2023/8/6, 1, 1, 1, 1, , 
2023/8/7, 1, 1, 2, 2, , 
2023/8/8, 1, 1, 2, 2, , 
2023/8/9, 1, 1, 2, 2, , 
2023/8/10, 1, , 1, 3, , 
2023/8/12, 2, 1, 2, 2, , 
2023/8/13, 2, 1, 2, 2, , 
2023/8/14, 1, , 1, , , 
2023/8/15, 1, 1, 3, 2, , 
2023/8/16, 2, 1, 3, 2, , 
2023/8/17, 1, 1, 2, 3, , 
2023/8/18, 2, 1, 2, 3, , 
2023/8/19, 1, 1, 1, 5, , 
2023/8/20, 1, , 2, 3, , 
2023/8/21, 1, 1, 2, 1, , 
2023/8/22, 1, 1, 3, 3, , 
2023/8/23, 1, , 2, 2, , 
2023/8/24, 1, 1, 2, 3, , 
2023/8/25, 1, 1, 1, 3, , 
2023/8/26, 1, 1, 3, 5, , 
2023/8/27, 1, 1, 1, 6, , 
2023/8/28, 1, 1, 2, , , 
2023/8/29, 1, 3, 2, 3, , 
2023/8/30, 2, 1, 3, 1, , 
2023/8/31, 2, 1, 3, 2, , 
2023/9/1, 2, 1, 3, 1, , 
2023/9/2, 2, 1, 2, , , 
2023/9/3, 1, 1, 2, , , 
2023/9/4, 1, 1, 3, 1, , 
2023/9/5, 1, 1, 3, 2, , 
2023/9/6, 1, 1, 4, 5, , 
2023/9/7, 2, 1, 2, 11, , 
2023/9/8, 2, 1, 2, 4, , 
2023/9/9, 1, 1, 2, 3, , 
2023/9/10, 1, 1, 2, 6, , 
2023/9/11, 1, , 1, 6, , 
2023/9/12, 1, , 1, , , 
2023/9/15, 1, 1, 1, 4, , 
2023/9/16, 1, , 2, 2, , 
2023/9/17, 1, 1, 2, 3, , 
2023/9/18, 1, 1, 2, 2, , 
2023/9/19, 1, , 2, 2, , 
2023/4/1, 2, 1, 4, 2, 1, 2
2023/4/2, 1, 1, 6, 1, 1, 1
2023/4/3, 1, 1, 4, 1, 1, 1
2023/4/4, 1, 1, 5, 1, 1, 1
2023/4/5, 2, 1, 6, 1, 1, 1
2023/4/6, 2, 2, 4, 1, 1, 1
2023/4/7, 3, 1, 4, 1, 1, 1
2023/4/8, 2, 1, 3, , 1, 1
2023/4/9, 2, 2, 3, 2, 1, 1
2023/4/10, 2, 1, 3, 2, 1, 2
2023/4/11, 1, 1, 2, 5, 1, 2
2023/4/12, 2, 1, 2, 4, 1, 1
2023/4/13, 1, 2, 2, 3, 1, 2
2023/4/14, 2, 2, 3, 1, 1, 1
2023/4/15, 2, 2, 4, 2, 1, 2
2023/4/16, 2, 1, 3, 3, 1, 2
2023/4/17, 2, 1, 3, 1, 1, 2
2023/4/18, 1, 1, 4, 2, 1, 1
2023/4/19, 2, , , , , 
2023/4/26, 1, 1, 5, 2, 1, 1
2023/4/27, 1, 1, 3, 2, 1, 1
2023/4/28, 1, 1, 4, 2, 1, 1
2023/4/29, 1, 1, 4, 1, 1, 1
2023/4/30, 1, 1, 6, 1, 1, 1
2023/5/1, 2, 1, 5, 2, 1, 1
2023/5/2, 1, 1, 4, 1, 1, 1
2023/5/3, 1, 1, 4, 1, 1, 1
2023/5/4, 1, 1, 7, 1, 1, 1
2023/5/5, 2, 1, 12, 3, 1, 1
2023/5/6, 3, 1, 16, 2, 1, 1
2023/5/7, 3, 1, 8, 3, 1, 1
2023/5/8, 2, 1, 6, 3, 1, 1
2023/5/9, 3, 1, 8, 4, 1, 1
2023/5/10, 2, 1, 6, 2, 1, 1
2023/5/11, 1, 1, 8, , 1, 1
2023/5/12, 1, 1, 8, , 1, 1
2023/5/13, 1, 1, 6, , 1, 1
2023/5/14, 1, 1, 10, 1, 1, 1
2023/5/15, 3, 2, 9, 3, 1, 1
2023/5/16, 4, 1, 24, 3, 1, 1
2023/5/17, 2, , 21, 3, 1, 1
2023/6/1, 2, 1, 30, 2, 1, 1
2023/6/2, 2, 1, 23, 2, 1, 1
2023/6/3, 2, 1, 28, 1, 1, 1
2023/6/4, 2, 1, 19, 3, 1, 1
2023/6/5, 2, 1, 16, 3, 1, 1
2023/6/6, 1, 2, 22, 2, 1, 1
2023/6/7, 3, 1, 26, 1, , 1
2023/6/8, 3, , , , , 
2023/6/24, 1, , 8, 4, 1, 1
2023/6/26, 1, 1, 7, 5, 1, 1
2023/6/27, 1, 1, 11, 3, 1, 1
2023/6/28, 1, 1, 16, 1, 1, 1
2023/6/29, 1, 1, 23, 2, 1, 
2023/6/30, 1, , 24, 2, 1, 
2023/1/2, 1, 3, 14, 7, 60, 1
2023/1/3, 6, 4, 9, 12, 61, 2
2023/1/4, 8, 2, 15, 4, 62, 1
2023/1/5, 4, 1, 22, 1, 62, 1
2023/1/6, 3, 1, 23, 5, 63, 2
2023/1/7, 2, 1, 30, 12, 64, 2
2023/1/8, 1, 1, 29, 11, 65, 2
2023/1/9, 1, , 12, 3, 65, 1
2023/3/29, 1, 1, 4, 1, 1, 1
2023/3/30, 1, 1, 3, 2, 1, 2
2023/3/31, 2, 1, 2, 2, 1, 3
2022/10/1, 1, , 5, 1, 1, 1
2022/10/12, 4, 4, 23, 3, 11, 2
