date, pm25, pm10, o3, no2, so2, co
2023/7/1, 32, 36, , , , 2
2023/7/2, 30, 35, , , , 3
2023/7/3, 29, 41, , , , 2
2023/7/4, 34, 35, , , , 3
2023/7/5, 31, 29, , , , 2
2023/7/6, 27, 32, , , , 2
2023/7/7, 31, 33, , , , 2
2023/7/8, 31, 28, , , , 2
2023/7/9, 26, 34, , , , 3
2023/7/10, 31, 33, , , , 2
2023/7/11, 29, 33, , , , 2
2023/7/12, 27, 30, , , , 3
2023/7/13, 35, 37, , , , 3
2023/7/14, 34, 35, , , , 3
2023/7/15, 32, 49, , , , 3
2023/7/16, 45, 58, , , , 4
2023/7/17, 48, , , , , 
2023/4/1, 79, 40, , , , 6
2023/4/2, 58, 47, , , , 4
2023/4/3, 64, 56, , , , 4
2023/4/4, 81, 67, , , , 4
2023/4/5, 94, 64, , , , 4
2023/4/6, 96, 57, , , , 4
2023/4/7, 79, 62, , , , 3
2023/4/8, 85, 61, , , , 3
2023/4/9, 88, 58, , , , 7
2023/4/10, 84, 57, , , , 9
2023/4/11, 88, 46, , , , 6
2023/4/12, 67, 34, , , , 4
2023/4/13, 45, 28, , , , 3
2023/4/14, 43, , , , , 
2023/4/21, 110, 61, , , , 4
2023/4/22, 88, 55, , , , 3
2023/4/23, 73, 48, , , , 3
2023/4/24, 60, , , , , 
2023/4/27, 54, 47, , , , 4
2023/4/28, 56, , , , , 
2023/5/5, 73, 61, , , , 4
2023/5/6, 57, 59, , , , 3
2023/5/7, 68, , , , , 
2023/5/9, 75, 38, , , , 4
2023/5/10, 40, 36, , , , 4
2023/5/11, 35, 24, , , , 4
2023/5/12, 29, 24, , , , 3
2023/5/13, 33, , , , , 
2023/5/15, 54, 45, , , , 4
2023/5/16, 54, 59, , , , 6
2023/5/17, 68, , , , , 
2023/5/23, 71, 56, , , , 4
2023/5/24, 80, 40, , , , 4
2023/5/25, 56, 32, , , , 4
2023/5/26, 38, 37, , , , 3
2023/5/27, 37, 27, , , , 2
2023/5/28, 32, 37, , , , 3
2023/5/29, 44, 47, , , , 3
2023/5/30, 52, 56, , , , 4
2023/5/31, 72, 59, , , , 3
2023/6/1, 82, 55, , , , 4
2023/6/2, 67, 47, , , , 3
2023/6/3, 47, 45, , , , 2
2023/6/4, 57, 47, , , , 3
2023/6/5, 59, 37, , , , 4
2023/6/6, 48, 47, , , , 3
2023/6/7, 71, 58, , , , 2
2023/6/8, 95, 30, , , , 4
2023/6/9, 36, 53, , , , 4
2023/6/10, 64, 58, , , , 2
2023/6/11, 87, 49, , , , 2
2023/6/12, 80, , , , , 
2023/6/15, 39, 36, , , , 3
2023/6/16, 37, 42, , , , 2
2023/6/17, 37, 27, , , , 2
2023/6/18, 31, 38, , , , 4
2023/6/19, 43, 36, , , , 3
2023/6/20, 37, 39, , , , 5
2023/6/21, 47, 42, , , , 4
2023/6/22, 48, 30, , , , 2
2023/6/23, 41, 25, , , , 4
2023/6/24, 32, 13, , , , 3
2023/6/25, 17, 29, , , , 5
2023/6/26, 45, 26, , , , 3
2023/6/27, 30, 24, , , , 2
2023/6/28, 27, 29, , , , 2
2023/6/29, 34, 33, , , , 2
2023/6/30, 36, 42, , , , 3
2023/1/2, 117, 96, 1, 17, 1, 5
2023/1/3, 157, 94, 1, 20, 1, 9
2023/1/4, 159, 89, 1, 21, 1, 11
2023/1/5, 141, 58, 1, 16, 1, 7
2023/1/6, 94, , , , , 
2023/1/8, 137, 82, 1, 10, 1, 4
2023/1/9, 149, 80, 1, 10, 1, 3
2023/1/10, 134, 61, 1, 12, 1, 4
2023/1/11, 95, 54, 1, 15, 1, 5
2023/1/12, 79, 41, 2, 22, 1, 10
2023/1/13, 52, , , , , 
2023/1/15, 75, 49, 2, 26, 1, 9
2023/1/16, 68, 57, 1, 15, 1, 4
2023/1/17, 82, 59, 2, 19, 1, 3
2023/1/18, 88, 78, 4, 19, 1, 3
2023/1/19, 130, 90, 2, 26, 1, 3
2023/1/20, 157, 87, 2, 28, 1, 3
2023/1/21, 155, 88, 2, 24, , 3
2023/1/22, 155, 65, 6, 22, , 3
2023/1/23, 111, 41, 2, 15, 1, 2
2023/1/24, 58, 59, 3, 7, 1, 1
2023/1/25, 84, 66, 2, 6, 1, 2
2023/1/26, 90, , , , , 
2023/1/29, 111, 92, 2, 24, 1, 4
2023/1/30, 152, 81, 1, 19, 1, 3
2023/1/31, 122, , , , , 3
2023/2/10, 62, 35, , , , 3
2023/2/11, 47, 46, , , , 3
2023/2/12, 65, 54, , , , 4
2023/2/13, 71, 49, , , , 6
2023/2/14, 54, 52, , , , 5
2023/2/15, 72, 62, , , , 6
2023/2/16, 98, 81, , , , 8
2023/2/17, 134, 56, , , , 4
2023/2/18, 81, 64, , , , 5
2023/2/19, 108, 52, , , , 6
2023/2/20, 84, 66, , , , 5
2023/2/21, 103, 57, , , , 3
2023/2/22, 75, 56, , , , 2
2023/2/23, 67, 51, , , , 5
2023/2/24, 64, 39, , , , 4
2023/2/25, 57, 59, , , , 3
2023/2/26, 94, 67, , , , 4
2023/2/27, 113, 66, , , , 4
2023/2/28, 98, 68, , , , 5
2023/3/1, 94, 93, , , , 5
2023/3/2, 152, , , , , 
2023/3/10, 124, 55, , , , 4
2023/3/11, 80, 62, , , , 5
2023/3/12, 92, 63, , , , 4
2023/3/13, 72, 91, , , , 4
2023/3/14, 109, 76, , , , 4
2023/3/15, 100, 48, , , , 3
2023/3/16, 56, 47, , , , 4
2023/3/17, 59, 45, , , , 3
2023/3/18, 57, 43, , , , 2
2023/3/19, 57, 48, , , , 4
2023/3/20, 62, 55, , , , 5
2023/3/21, 78, 71, , , , 5
2023/3/22, 110, 67, , , , 5
2023/3/23, 96, 69, , , , 5
2023/3/24, 105, 52, , , , 4
2023/3/25, 71, 33, , , , 4
2023/3/26, 48, 22, , , , 5
2023/3/27, 33, 36, , , , 4
2023/3/28, 51, 35, , , , 4
2023/3/29, 43, 46, , , , 6
2023/3/30, 52, 62, , , , 10
2023/3/31, 87, 53, , , , 10
2022/12/21, 110, 79, 5, 18, 1, 5
2022/12/22, 137, 85, 2, 19, 1, 7
2022/12/23, 144, , , , , 
2022/12/25, 117, 79, 1, 19, 1, 10
2022/12/26, 124, 70, 1, 15, 2, 10
2022/12/27, 111, 82, 1, 9, 1, 6
2022/12/28, 140, 51, 1, 7, 1, 4
2022/12/29, 76, 59, , 6, 1, 4
2022/12/30, 95, 56, 1, 10, 1, 4
2022/12/31, 89, , , , , 
2021/10/1, 59, 48, , 9, , 2
2021/10/2, 59, 57, , 9, , 3
2021/10/3, 92, 53, , 12, , 4
2021/10/4, 79, 56, , 11, , 2
2021/10/5, 78, 60, , 11, , 4
2021/10/6, 85, 70, , 10, , 3
2021/10/7, 107, 67, , 11, , 4
2021/10/8, 114, 53, , 12, , 3
2021/10/9, 76, 19, , 12, , 2
2021/10/10, 30, 10, , 13, , 3
2021/10/11, 19, 20, , 12, , 3
2021/10/12, 26, 30, , 12, , 2
2021/10/13, 37, 13, , 14, , 3
2021/10/14, 70, 12, , 14, , 3
2021/10/15, 21, 11, , 14, , 4
2021/10/16, 21, 14, , 12, , 3
2021/10/17, 24, 15, , 12, , 4
2021/10/18, 23, 44, , 17, , 7
2021/10/19, 59, 71, , 15, , 5
2021/10/20, 86, 44, , 19, , 4
2021/10/21, 50, 25, , 19, , 3
2021/10/22, 34, 38, , 12, , 2
2021/10/23, 55, 54, , 13, , 2
2021/10/24, 81, 69, , 17, , 5
2021/10/25, 107, 104, , 22, , 8
2021/10/26, 158, 98, , 19, , 6
2021/10/27, 151, 92, , 18, , 5
2021/10/28, 144, 30, , 16, , 5
2021/10/29, 41, 17, , 15, , 4
2021/10/30, 28, 40, , 14, , 5
2021/10/31, 50, 26, , 15, , 5
2021/11/1, 29, 34, , 15, , 6
2021/11/2, 44, 48, , 14, , 7
2021/11/3, 63, 55, , 12, , 3
2021/11/4, 68, 53, , 12, , 3
2021/11/5, 64, 54, , 14, , 2
2021/11/6, 57, 49, , 8, , 2
2021/11/7, 43, 29, , 12, , 3
2021/11/8, 36, 37, , 11, , 3
2021/11/9, 56, 60, , 13, , 3
2021/11/10, 97, , , , , 
2021/11/12, 109, 57, , 13, , 3
2021/11/13, 83, 70, , 14, , 4
2021/11/14, 118, 104, , 17, , 5
2021/11/15, 151, 110, , 18, , 5
2021/11/16, 141, 91, , 18, , 5
2021/11/17, 126, 40, , 16, , 4
2021/11/18, 49, 86, , 20, , 6
2021/11/19, 133, , , , , 
2021/11/22, 25, 30, , 12, , 2
