,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Lai Cách,2021-12-27,0,3,0,5,0,0,5,Tốt
1,Lai Cách,2021-12-28,4,7,0,4,0,0,7,Tốt
2,Lai Cách,2021-12-29,12,7,0,4,0,0,12,Tốt
3,Lai Cách,2021-12-30,13,14,0,4,0,0,14,Tốt
4,Lai Cách,2021-12-31,26,19,0,4,0,0,26,Tốt
5,Lai Cách,2022-01-01,36,18,0,3,0,0,36,Tốt
6,Lai Cách,2022-01-02,32,23,0,4,0,0,32,Tốt
7,Lai Cách,2022-01-03,43,21,0,4,0,0,43,Tốt
8,Lai Cách,2022-01-04,38,16,0,4,0,0,38,Tốt
9,Lai Cách,2022-01-05,29,9,0,3,0,0,29,Tốt
10,Lai Cách,2022-01-06,17,17,0,4,0,0,17,Tốt
11,Lai Cách,2022-01-07,32,21,0,5,0,0,32,Tốt
12,Lai Cách,2022-01-08,39,16,0,4,0,0,39,Tốt
13,Lai Cách,2022-01-09,28,5,0,3,0,0,28,Tốt
14,Lai Cách,2022-01-10,11,11,0,4,0,0,11,Tốt
15,Lai Cách,2022-01-11,16,15,0,5,0,0,16,Tốt
16,Lai Cách,2022-01-12,25,12,0,5,0,0,25,Tốt
17,Lai Cách,2022-01-13,21,20,0,5,0,0,21,Tốt
18,Lai Cách,2022-01-14,37,28,0,5,0,0,37,Tốt
19,Lai Cách,2022-01-15,55,16,0,3,0,0,55,Vừa Phải
20,Lai Cách,2022-01-16,30,2,0,4,0,0,30,Tốt
21,Lai Cách,2022-01-17,3,11,0,5,28,0,28,Tốt
22,Lai Cách,2022-01-18,18,11,1,5,19,0,19,Tốt
23,Lai Cách,2022-01-19,19,16,1,10,0,0,19,Tốt
24,Lai Cách,2022-01-20,29,15,0,10,0,0,29,Tốt
25,Lai Cách,2022-01-21,28,10,0,6,0,0,28,Tốt
26,Lai Cách,2022-01-22,19,13,1,5,0,0,19,Tốt
27,Lai Cách,2022-01-23,26,4,1,2,0,0,26,Tốt
28,Lai Cách,2022-01-24,9,5,0,3,0,0,9,Tốt
29,Lai Cách,2022-01-25,9,6,0,4,0,0,9,Tốt
30,Lai Cách,2022-01-26,13,5,0,4,0,0,13,Tốt
31,Lai Cách,2022-01-27,10,7,1,3,0,0,10,Tốt
32,Lai Cách,2022-01-28,12,12,0,3,0,0,12,Tốt
33,Lai Cách,2022-01-29,22,6,0,2,0,0,22,Tốt
34,Lai Cách,2022-01-30,12,3,0,1,0,0,12,Tốt
35,Lai Cách,2022-01-31,4,4,1,1,0,0,4,Tốt
36,Lai Cách,2022-02-01,7,3,0,1,0,0,7,Tốt
37,Lai Cách,2022-02-02,6,4,1,1,0,0,6,Tốt
38,Lai Cách,2022-02-03,7,8,1,1,0,0,8,Tốt
39,Lai Cách,2022-02-04,15,19,1,2,0,0,19,Tốt
40,Lai Cách,2022-02-05,35,4,0,3,0,0,35,Tốt
41,Lai Cách,2022-02-06,8,12,1,7,0,1,12,Tốt
42,Lai Cách,2022-02-07,21,8,0,7,1,2,21,Tốt
43,Lai Cách,2022-02-08,15,4,1,6,1,1,15,Tốt
44,Lai Cách,2022-02-09,8,7,0,7,1,1,8,Tốt
45,Lai Cách,2022-02-10,14,6,1,10,1,2,14,Tốt
46,Lai Cách,2022-02-11,11,2,1,6,1,1,11,Tốt
47,Lai Cách,2022-02-12,5,1,2,4,0,1,5,Tốt
48,Lai Cách,2022-02-13,2,6,3,8,0,1,8,Tốt
49,Lai Cách,2022-02-14,10,8,2,11,1,1,11,Tốt
50,Lai Cách,2022-02-15,15,1,1,9,1,1,15,Tốt
51,Lai Cách,2022-02-16,1,8,3,12,1,2,12,Tốt
52,Lai Cách,2022-02-17,16,0,3,10,0,1,16,Tốt
53,Lai Cách,2022-02-18,0,1,3,8,0,1,8,Tốt
54,Lai Cách,2022-02-19,1,1,6,8,0,1,8,Tốt
55,Lai Cách,2022-02-20,1,2,17,9,12,3,17,Tốt
56,Lai Cách,2022-02-21,2,2,6,8,1,2,8,Tốt
57,Lai Cách,2022-02-22,4,6,8,13,1,2,13,Tốt
58,Lai Cách,2022-02-23,10,10,28,11,11,2,28,Tốt
59,Lai Cách,2022-02-24,17,14,13,13,1,2,17,Tốt
60,Lai Cách,2022-02-25,24,21,9,17,1,3,24,Tốt
61,Lai Cách,2022-02-26,36,36,20,8,1,3,36,Tốt
62,Lai Cách,2022-02-27,70,28,21,9,0,3,70,Vừa Phải
63,Lai Cách,2022-02-28,54,21,11,11,1,2,54,Vừa Phải
64,Lai Cách,2022-03-01,42,27,13,9,1,3,42,Tốt
