,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Duyên Hải,12/27/2021,0,7,27,1,14,2,27,Tốt
1,Duyên Hải,12/28/2021,14,7,29,1,15,8,29,Tốt
2,Duyên Hải,12/29/2021,14,7,33,2,16,13,33,Tốt
3,Duyên Hải,12/30/2021,13,7,36,1,17,14,36,Tốt
4,Duyên Hải,12/31/2021,14,7,0,0,0,14,14,Tốt
5,Duyên Hải,1/1/2022,14,7,0,0,0,12,14,Tốt
6,Duyên Hải,1/2/2022,14,7,0,0,0,11,14,Tốt
7,Duyên Hải,1/3/2022,14,7,0,0,0,10,14,Tốt
8,Duyên Hải,1/4/2022,14,7,0,0,0,10,14,Tốt
9,Duyên Hải,1/5/2022,13,7,0,0,0,10,13,Tốt
10,Duyên Hải,1/6/2022,13,7,0,0,0,10,13,Tốt
11,Duyên Hải,1/7/2022,14,7,0,0,0,11,14,Tốt
12,Duyên Hải,1/8/2022,13,7,32,1,16,6,32,Tốt
13,Duyên Hải,1/9/2022,13,6,32,1,15,9,32,Tốt
14,Duyên Hải,1/10/2022,13,7,33,1,16,5,33,Tốt
15,Duyên Hải,1/11/2022,13,7,33,0,18,9,33,Tốt
16,Duyên Hải,1/12/2022,13,7,47,1,12,5,47,Tốt
17,Duyên Hải,1/13/2022,13,6,56,2,11,6,56,Vừa Phải
18,Duyên Hải,1/14/2022,13,7,48,4,12,9,48,Tốt
19,Duyên Hải,1/15/2022,13,7,70,2,11,5,70,Vừa Phải
20,Duyên Hải,1/16/2022,13,7,44,2,12,6,44,Tốt
21,Duyên Hải,1/17/2022,13,7,48,2,12,5,48,Tốt
22,Duyên Hải,1/18/2022,13,7,44,2,11,4,44,Tốt
23,Duyên Hải,1/19/2022,13,7,0,0,0,8,13,Tốt
24,Duyên Hải,1/20/2022,13,7,44,0,8,5,44,Tốt
25,Duyên Hải,1/21/2022,13,7,48,1,11,5,48,Tốt
26,Duyên Hải,1/22/2022,13,6,41,3,13,6,41,Tốt
27,Duyên Hải,1/23/2022,13,6,36,1,13,7,36,Tốt
28,Duyên Hải,1/24/2022,13,6,35,0,12,5,35,Tốt
29,Duyên Hải,1/25/2022,12,6,34,0,11,8,34,Tốt
30,Duyên Hải,1/26/2022,13,7,39,0,9,3,39,Tốt
31,Duyên Hải,1/27/2022,13,7,43,0,11,9,43,Tốt
32,Duyên Hải,1/28/2022,13,7,44,2,13,8,44,Tốt
