,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Dân Thành,2021-12-27,0,7,27,1,14,2,27,Tốt
1,Dân Thành,2021-12-28,14,7,29,1,15,8,29,Tốt
2,Dân Thành,2021-12-29,14,7,33,2,16,13,33,Tốt
3,Dân Thành,2021-12-30,13,7,36,1,17,14,36,Tốt
4,Dân Thành,2021-12-31,14,7,0,0,0,14,14,Tốt
5,Dân Thành,2022-01-01,14,7,0,0,0,12,14,Tốt
6,Dân Thành,2022-01-02,14,7,0,0,0,11,14,Tốt
7,Dân Thành,2022-01-03,14,7,0,0,0,10,14,Tốt
8,Dân Thành,2022-01-04,14,7,0,0,0,10,14,Tốt
9,Dân Thành,2022-01-05,13,7,0,0,0,10,13,Tốt
10,Dân Thành,2022-01-06,13,7,0,0,0,10,13,Tốt
11,Dân Thành,2022-01-07,14,7,0,0,0,11,14,Tốt
12,Dân Thành,2022-01-08,13,7,32,1,16,6,32,Tốt
13,Dân Thành,2022-01-09,13,6,32,1,15,9,32,Tốt
14,Dân Thành,2022-01-10,13,7,33,1,16,5,33,Tốt
15,Dân Thành,2022-01-11,13,7,33,0,18,9,33,Tốt
16,Dân Thành,2022-01-12,13,7,47,1,12,5,47,Tốt
17,Dân Thành,2022-01-13,13,6,56,2,11,6,56,Vừa Phải
18,Dân Thành,2022-01-14,13,7,48,4,12,9,48,Tốt
19,Dân Thành,2022-01-15,13,7,70,2,11,5,70,Vừa Phải
20,Dân Thành,2022-01-16,13,7,44,2,12,6,44,Tốt
21,Dân Thành,2022-01-17,13,7,48,2,12,5,48,Tốt
22,Dân Thành,2022-01-18,13,7,44,2,11,4,44,Tốt
23,Dân Thành,2022-01-19,13,7,0,0,0,8,13,Tốt
24,Dân Thành,2022-01-20,13,7,44,0,8,5,44,Tốt
25,Dân Thành,2022-01-21,13,7,48,1,11,5,48,Tốt
26,Dân Thành,2022-01-22,13,6,41,3,13,6,41,Tốt
27,Dân Thành,2022-01-23,13,6,36,1,13,7,36,Tốt
28,Dân Thành,2022-01-24,13,6,35,0,12,5,35,Tốt
29,Dân Thành,2022-01-25,12,6,34,0,11,8,34,Tốt
30,Dân Thành,2022-01-26,13,7,39,0,9,3,39,Tốt
31,Dân Thành,2022-01-27,13,7,43,0,11,9,43,Tốt
32,Dân Thành,2022-01-28,13,7,44,2,13,8,44,Tốt
33,Dân Thành,2022-01-29,13,6,43,0,10,8,43,Tốt
34,Dân Thành,2022-01-30,13,6,40,0,13,7,40,Tốt
35,Dân Thành,2022-01-31,13,7,40,0,11,8,40,Tốt
36,Dân Thành,2022-02-01,13,7,39,1,12,6,39,Tốt
37,Dân Thành,2022-02-02,13,7,38,1,11,6,38,Tốt
38,Dân Thành,2022-02-03,13,7,38,1,10,5,38,Tốt
39,Dân Thành,2022-02-04,13,7,42,0,13,5,42,Tốt
40,Dân Thành,2022-02-05,14,7,42,0,12,8,42,Tốt
41,Dân Thành,2022-02-06,14,7,46,0,11,5,46,Tốt
42,Dân Thành,2022-02-07,14,7,37,0,12,5,37,Tốt
43,Dân Thành,2022-02-08,14,7,40,0,10,4,40,Tốt
44,Dân Thành,2022-02-09,13,7,37,1,9,3,37,Tốt
45,Dân Thành,2022-02-10,13,7,40,0,11,5,40,Tốt
46,Dân Thành,2022-02-11,13,7,38,1,11,5,38,Tốt
47,Dân Thành,2022-02-12,13,7,43,1,10,7,43,Tốt
48,Dân Thành,2022-02-13,14,7,37,0,10,3,37,Tốt
49,Dân Thành,2022-02-14,13,7,35,7,9,4,35,Tốt
50,Dân Thành,2022-02-15,13,7,13,6,3,7,13,Tốt
51,Dân Thành,2022-02-16,13,7,13,6,3,8,13,Tốt
52,Dân Thành,2022-02-17,13,6,12,6,3,7,13,Tốt
53,Dân Thành,2022-02-18,13,6,11,6,3,6,13,Tốt
54,Dân Thành,2022-02-19,13,6,10,6,3,8,13,Tốt
55,Dân Thành,2022-02-20,12,6,19,6,3,22,22,Tốt
56,Dân Thành,2022-02-21,12,7,19,6,3,25,25,Tốt
57,Dân Thành,2022-02-22,13,7,22,8,2,26,26,Tốt
58,Dân Thành,2022-02-23,13,7,27,7,3,7,27,Tốt
59,Dân Thành,2022-02-24,13,7,17,7,3,7,17,Tốt
60,Dân Thành,2022-02-25,13,6,15,5,2,4,15,Tốt
61,Dân Thành,2022-02-26,13,7,16,6,2,6,16,Tốt
62,Dân Thành,2022-02-27,13,7,16,5,2,6,16,Tốt
63,Dân Thành,2022-02-28,13,7,14,5,2,6,14,Tốt
64,Dân Thành,2022-03-01,13,7,11,6,3,6,13,Tốt
65,Dân Thành,2022-03-02,13,7,13,6,3,6,13,Tốt
66,Dân Thành,2022-03-03,13,7,16,7,2,6,16,Tốt
67,Dân Thành,2022-03-04,13,7,14,7,3,6,14,Tốt
68,Dân Thành,2022-03-05,12,7,15,6,2,6,15,Tốt
69,Dân Thành,2022-03-06,12,7,13,7,2,6,13,Tốt
70,Dân Thành,2022-03-07,12,7,28,6,3,6,28,Tốt
71,Dân Thành,2022-03-08,13,7,28,7,3,7,28,Tốt
72,Dân Thành,2022-03-09,13,7,26,7,3,7,26,Tốt
73,Dân Thành,2022-03-10,13,7,23,6,3,6,23,Tốt
74,Dân Thành,2022-03-11,13,7,26,8,3,6,26,Tốt
75,Dân Thành,2022-03-12,13,7,14,6,3,6,14,Tốt
76,Dân Thành,2022-03-13,13,6,12,6,3,6,13,Tốt
77,Dân Thành,2022-03-14,12,6,11,6,2,6,12,Tốt
78,Dân Thành,2022-03-15,12,6,12,6,3,6,12,Tốt
79,Dân Thành,2022-03-16,12,6,11,6,3,6,12,Tốt
80,Dân Thành,2022-03-17,12,6,9,6,3,6,12,Tốt
81,Dân Thành,2022-03-18,12,6,10,6,3,6,12,Tốt
82,Dân Thành,2022-03-19,13,6,6,6,3,5,13,Tốt
83,Dân Thành,2022-03-20,12,6,10,6,3,6,12,Tốt
84,Dân Thành,2022-03-21,12,6,11,6,2,5,12,Tốt
85,Dân Thành,2022-03-22,12,6,8,7,1,6,12,Tốt
86,Dân Thành,2022-03-23,12,6,6,5,0,4,12,Tốt
87,Dân Thành,2022-03-24,12,6,6,5,0,5,12,Tốt
