date, pm25, pm10, o3, no2, so2, co
2023/10/2, 11, 10, 4, , 6, 3
2023/10/3, 13, 9, 5, , , 3
2023/10/4, 10, 12, 5, , 6, 3
2023/10/5, 15, , , , , 
2023/10/10, 9, 7, 8, , 6, 1
2023/10/11, 8, 8, 5, , 6, 1
2023/10/12, 9, , , , , 
2023/10/17, 13, 10, 8, , 6, 3
2023/10/18, 12, 11, 10, , 6, 3
2023/10/19, 14, , , , , 
2023/7/2, 4, 4, 1, , 4, 2
2023/7/3, 4, 5, 1, , 4, 2
2023/7/4, 4, 5, 1, , 4, 1
2023/7/5, 5, 6, 1, , 5, 2
2023/7/6, 6, 4, 1, , 4, 2
2023/7/7, 4, 8, 1, , 4, 2
2023/7/8, 9, 5, 1, , 4, 1
2023/7/9, 6, 7, 1, , 4, 3
2023/7/10, 7, 7, , , 4, 2
2023/7/11, 8, 5, 1, , 4, 2
2023/7/12, 6, 6, , , 4, 2
2023/7/13, 6, 8, 10, , 4, 1
2023/7/14, 9, 8, 10, , 4, 2
2023/7/15, 8, 5, 12, , 4, 1
2023/7/16, 5, 5, 11, , 4, 1
2023/7/17, 7, 5, 10, , 4, 2
2023/7/18, 6, 10, 8, , 5, 3
2023/7/19, 11, 8, 8, , 5, 2
2023/7/20, 8, 6, 9, , 6, 1
2023/7/21, 5, 8, 4, , 5, 2
2023/7/22, 8, 10, 10, , 5, 2
2023/7/23, 11, 5, 8, , 5, 2
2023/7/24, 5, 5, 11, , 4, 2
2023/7/25, 5, 4, 11, , 5, 1
2023/7/26, 4, 7, 10, , 4, 2
2023/7/27, 7, 9, 9, , 5, 2
2023/7/28, 10, 6, 7, , 6, 2
2023/7/29, 7, 5, 9, , 5, 1
2023/7/30, 6, 9, 8, , 5, 2
2023/7/31, 9, 9, 8, , 5, 2
2023/8/1, 8, 8, 6, , 5, 2
2023/8/2, 9, 11, 6, , 5, 2
2023/8/3, 12, 9, 7, , 5, 1
2023/8/4, 10, 15, 6, , 5, 1
2023/8/5, 16, 16, 5, , 6, 1
2023/8/6, 16, 16, 6, , 5, 2
2023/8/7, 15, 14, 4, , 5, 2
2023/8/8, 14, 14, 6, , 4, 2
2023/8/9, 15, 16, 7, , 4, 2
2023/8/10, 18, 17, 9, , 4, 2
2023/8/11, 20, 12, 4, , 4, 2
2023/8/12, 13, 13, 6, , 4, 2
2023/8/13, 14, 16, 5, , 4, 2
2023/8/14, 18, 15, 5, , 5, 2
2023/8/15, 17, 14, 5, , 5, 2
2023/8/16, 14, 11, 4, , 5, 2
2023/8/17, 13, 11, 5, , 5, 2
2023/8/18, 11, 14, 4, , 5, 1
2023/8/19, 18, , , , , 
2023/8/21, 13, 10, 4, , 5, 2
2023/8/22, 12, 8, 4, , 5, 2
2023/8/23, 8, 8, 4, , 5, 2
2023/8/24, 9, 9, 4, , 5, 2
2023/8/25, 9, 10, 5, , 5, 2
2023/8/26, 10, 9, 7, , 5, 2
2023/8/27, 11, 9, 6, , 5, 2
2023/8/28, 10, 9, 5, , 5, 2
2023/8/29, 10, 6, 5, , 5, 2
2023/8/30, 7, 3, 5, , 6, 1
2023/8/31, 3, , , , , 
2023/9/5, 7, 5, 5, , 5, 2
2023/9/6, 4, 8, 4, , 5, 2
2023/9/7, 8, 11, 5, , 5, 3
2023/9/8, 12, 9, 5, , 5, 2
2023/9/9, 11, 5, 4, , 5, 1
2023/9/10, 5, 5, 4, , 5, 2
2023/9/11, 4, 7, 3, , 5, 2
2023/9/12, 7, 5, 5, , 6, 2
2023/9/13, 5, 4, 5, , 6, 2
2023/9/14, 5, 7, 3, , 6, 3
2023/9/15, 7, 7, 4, , 5, 3
2023/9/16, 7, 8, 4, , 5, 2
2023/9/17, 8, 10, 5, , 5, 3
2023/9/18, 10, 10, 4, , 5, 1
2023/9/19, 13, 13, 5, , 5, 1
2023/9/20, 17, 13, 5, , 5, 1
2023/9/21, 17, 12, 4, , 5, 1
2023/9/22, 16, , , , , 
2023/9/25, 7, 7, 5, , 6, 3
2023/9/26, 7, 8, 5, , 6, 3
2023/9/27, 8, 16, 6, , 6, 4
2023/9/28, 21, 17, 4, , 6, 2
2023/9/29, 26, , , , , 
2023/4/1, 46, 29, 7, 3, 1, 3
2023/4/2, 43, 30, 9, 4, 1, 4
2023/4/3, 45, 26, 12, 4, 1, 4
2023/4/4, 37, 27, 7, 3, 1, 3
2023/4/5, 40, 28, 8, 3, 2, 3
2023/4/6, 41, 22, 12, 2, 1, 2
2023/4/7, 32, 16, 6, 1, 1, 1
2023/4/8, 24, 21, 8, 1, 1, 2
2023/4/9, 31, 30, 10, 3, 2, 4
2023/4/10, 46, 47, 7, 4, 2, 5
2023/4/11, 73, 53, 8, 4, 2, 6
2023/4/12, 89, 48, 6, 4, 2, 5
2023/4/13, 79, 54, 4, 4, 2, 5
2023/4/14, 94, 52, 1, 4, 2, 6
2023/4/15, 88, 36, 2, 3, 2, 3
2023/4/16, 59, 33, 2, 4, 2, 5
2023/4/17, 52, 37, , 4, 2, 5
2023/4/18, 59, 36, 1, 4, 2, 4
2023/4/19, 57, 31, 3, 4, 2, 4
2023/4/20, 50, 34, 2, 5, 2, 5
2023/4/21, 52, 34, 5, 4, 2, 4
2023/4/22, 51, 24, 3, 3, 2, 3
2023/4/23, 33, 17, 4, 3, 2, 3
2023/4/24, 22, 13, 2, 1, 2, 1
2023/4/25, 18, 10, 3, 1, 2, 1
2023/4/26, 15, 12, 5, 1, 2, 1
2023/4/27, 17, 14, 4, 2, 2, 2
2023/4/28, 18, 15, 5, 2, 2, 2
2023/4/29, 22, 12, 4, 1, 2, 1
2023/4/30, 18, 9, 5, 1, 2, 1
2023/5/1, 14, 7, 4, 1, 2, 1
2023/5/2, 10, 11, 4, 2, 2, 2
2023/5/3, 13, 17, 8, 3, 2, 3
2023/5/4, 23, 28, 6, 4, 2, 4
2023/5/5, 41, 32, 5, 4, 2, 4
2023/5/6, 46, 35, 7, 3, 2, 4
2023/5/7, 52, 28, , 4, 2, 4
2023/5/8, 39, 23, , 3, 2, 3
2023/5/9, 33, 13, , 2, 2, 2
2023/5/10, 18, 10, , 3, 2, 2
2023/5/11, 12, 7, , 2, 2, 2
2023/5/12, 8, 7, , 2, 2, 2
2023/5/13, 8, 9, , 1, 3, 1
2023/5/14, 8, 13, 1, 1, 2, 3
2023/5/15, 16, 21, 1, 1, 2, 3
2023/5/16, 29, 27, 1, 1, 2, 3
2023/5/17, 38, 25, 5, 1, 2, 3
2023/5/18, 34, 30, 4, 1, 2, 3
2023/5/19, 40, 30, 3, 1, 2, 3
2023/5/20, 41, 24, 2, 1, 2, 2
2023/5/21, 33, 21, 3, 1, 2, 2
2023/5/22, 27, 22, 2, 1, 2, 3
2023/5/23, 28, 20, 2, 1, 3, 2
2023/5/24, 26, 8, 2, 1, 3, 2
2023/5/25, 8, 10, 1, 1, 3, 3
2023/5/26, 13, 9, 1, 1, 3, 2
2023/5/27, 10, 10, , , 3, 1
2023/5/28, 11, 7, 1, 1, 3, 3
2023/5/29, 7, 9, , 1, 3, 3
2023/5/30, 11, 9, , 1, 3, 3
2023/5/31, 11, 8, 1, 1, 3, 2
2023/6/1, 9, 11, , 1, 3, 3
2023/6/2, 13, 13, 6, 1, 3, 3
2023/6/3, 14, 12, 1, 1, 3, 3
2023/6/4, 13, 10, 1, 1, , 2
2023/6/5, 10, 5, , 1, , 2
2023/6/6, 5, 5, 1, 1, 3, 2
2023/6/7, 6, 8, 1, 1, 3, 2
2023/6/8, 8, 6, 1, 1, 3, 2
2023/6/9, 7, , , , , 
2023/6/12, 5, 6, 1, , 3, 2
2023/6/13, 6, 7, 1, , 3, 2
2023/6/14, 7, 9, 1, , 4, 3
2023/6/15, 9, 9, 1, , 4, 2
2023/6/16, 9, 6, 1, , 4, 1
2023/6/17, 5, 6, 1, , 4, 2
2023/6/18, 6, 5, 1, , 3, 2
2023/6/19, 5, 7, 1, , 3, 2
2023/6/20, 7, 8, 1, , 3, 2
2023/6/21, 9, 10, 1, , 3, 2
2023/6/22, 12, 11, 1, , 3, 2
2023/6/23, 11, 11, , , 3, 3
2023/6/24, 13, 9, 1, , 3, 2
2023/6/25, 11, 9, 1, , 3, 3
2023/6/26, 12, 9, 1, , 3, 2
2023/6/27, 11, 10, 1, , 3, 2
2023/6/28, 12, 8, 1, , 4, 2
2023/6/29, 9, 7, 1, , 4, 2
2023/6/30, 7, , , , , 
2023/1/2, 11, 4, 23, 1, , 1
2023/1/3, 3, 5, 20, 1, 1, 1
2023/1/4, 5, 6, 18, 1, 1, 1
2023/1/5, 6, 5, 26, 1, 1, 1
2023/1/6, 6, , , , , 
2023/1/9, 13, 14, 10, 1, 1, 1
2023/1/10, 21, 14, 8, 1, 1, 2
2023/1/11, 19, 24, 7, 2, 1, 3
2023/1/12, 29, 31, 3, 1, 2, 5
2023/1/13, 40, 33, 10, 3, 1, 4
2023/1/14, 45, 38, 12, 3, 1, 3
2023/1/15, 55, 19, 17, 2, 1, 1
2023/1/16, 28, 6, 17, 1, 1, 2
2023/1/17, 7, 9, 21, 1, , 1
2023/1/18, 13, 9, 19, 1, , 2
2023/1/19, 12, 12, 16, 1, , 1
2023/1/20, 18, 15, 15, 1, , 2
2023/1/21, 23, 19, 9, 1, , 1
2023/1/22, 31, 10, 5, 1, , 1
2023/1/23, 14, , , , , 
2023/1/30, 29, 11, 19, 1, 1, 1
2023/1/31, 14, 10, 8, 1, 2, 1
2023/2/1, 12, 9, 8, 1, 1, 1
2023/2/2, 13, , , , , 
2023/2/10, 6, 9, 12, 3, 1, 3
2023/2/11, 10, 11, 11, 3, 1, 3
2023/2/12, 14, 17, 10, 4, 1, 4
2023/2/13, 23, 17, 9, 3, 1, 3
2023/2/14, 23, 5, 22, 1, 1, 1
2023/2/15, 7, 5, 26, 1, 2, 2
2023/2/16, 9, , , , , 
2023/2/20, 6, 12, 30, 1, 1, 1
2023/2/21, 18, 8, 28, 1, 1, 1
2023/2/22, 10, 7, 19, 1, 1, 1
2023/2/23, 9, 13, 28, 1, 1, 1
2023/2/24, 18, 22, 41, 1, 1, 1
2023/2/25, 27, 15, 34, 1, 1, 2
2023/2/26, 21, 4, 24, 1, 1, 1
2023/2/27, 3, 3, 18, 1, 1, 1
2023/2/28, 3, 8, 14, 2, 1, 1
2023/3/1, 9, 10, 27, 1, 1, 1
2023/3/2, 14, 16, 26, 1, 1, 1
