date, pm25, pm10, no2, co
2021/4/1, 103, 73, 26, 20
2021/4/2, 94, 67, 19, 13
2021/4/3, 84, 74, 30, 19
2021/4/4, 101, 85, 29, 28
2021/4/5, 118, 85, 32, 27
2021/4/6, 123, 70, 23, 20
2021/4/7, 91, 68, 25, 15
2021/4/8, 86, 59, 22, 17
2021/4/9, 73, 71, 31, 26
2021/4/10, 90, 89, 44, 25
2021/4/11, 121, 65, 24, 11
2021/4/12, 76, 57, 28, 21
2021/4/13, 70, 63, 27, 16
2021/4/14, 77, 55, 26, 15
2021/4/15, 67, 54, 25, 22
2021/4/16, 57, 55, 33, 26
2021/4/17, 66, 67, 29, 18
2021/4/18, 86, 59, 34, 17
2021/4/19, 78, 54, 33, 19
2021/4/20, 63, 51, 36, 24
2021/4/21, 56, 49, 32, 21
2021/4/22, 54, 48, 31, 22
2021/4/23, 53, 50, 27, 19
2021/4/24, 55, 51, 27, 18
2021/4/25, 57, 53, 43, 23
2021/4/26, 61, 47, 36, 24
2021/4/27, 56, , , 
2021/1/4, 171, 165, 40, 30
2021/1/5, 213, 118, 37, 27
2021/1/6, 182, 120, 26, 15
2021/1/7, 161, 33, 16, 13
2021/1/8, 43, 48, 16, 16
2021/1/9, 69, 68, 20, 16
2021/1/10, 97, 72, 25, 21
2021/1/11, 110, 86, 27, 18
2021/1/12, 120, 109, 24, 17
2021/1/13, 162, 133, 34, 27
2021/1/14, 172, 143, 50, 38
2021/1/15, 186, 145, 33, 30
2021/1/16, 186, 125, 36, 32
2021/1/17, 158, 87, 32, 24
2021/1/18, 123, 101, 28, 20
2021/1/19, 153, 126, 39, 38
2021/1/20, 180, 173, 55, 46
2021/1/21, 208, 161, 45, 35
2021/1/22, 200, 153, 44, 41
2021/1/23, 188, 173, 63, 47
2021/1/24, 207, 126, 32, 32
2021/1/25, 166, 83, 31, 27
2021/1/26, 122, 74, 37, 36
2021/1/27, 111, 80, 27, 24
2021/1/28, 113, 92, 36, 31
2021/1/29, 146, 134, 43, 30
2021/1/30, 181, 139, 38, 34
2021/1/31, 186, 97, 27, 27
2021/2/1, 141, 85, 26, 21
2021/2/2, 124, 96, 37, 36
2021/2/3, 131, 79, 23, 23
2021/2/4, 112, 97, 25, 22
2021/2/5, 139, 86, 29, 24
2021/2/6, 127, 91, 31, 30
2021/2/7, 142, 95, 30, 27
2021/2/8, 137, 36, 13, 15
2021/2/9, 41, 84, 28, 32
2021/2/10, 119, 87, 21, 25
2021/2/11, 123, 58, 30, 25
2021/2/12, 74, 55, 28, 19
2021/2/13, 83, 64, 19, 11
2021/2/14, 101, 81, 27, 23
2021/2/15, 120, 79, 36, 32
2021/2/16, 108, 71, 28, 23
2021/2/17, 93, 70, 34, 29
2021/2/18, 106, 82, 47, 32
2021/2/19, 149, 81, 41, 25
2021/2/20, 140, 63, 27, 16
2021/2/21, 116, 71, 31, 28
2021/2/22, 113, 68, 34, 30
2021/2/23, 109, 54, 26, 24
2021/2/24, 92, 58, 23, 27
2021/2/25, 92, 51, 28, 31
2021/2/26, 87, 56, 26, 12
2021/2/27, 101, 68, 11, 17
2021/2/28, 127, 81, 17, 32
2021/3/1, 139, 54, 22, 26
2021/3/2, 74, 82, 23, 21
2021/3/3, 130, 80, 17, 30
2021/3/4, 138, 86, 24, 25
