date,median
2019-12-09,79.5
2019-12-10,64.76
2019-12-11,70.86
2019-12-12,94.58
2019-12-13,79.73
2019-12-14,107.25
2019-12-15,41.59
2019-12-16,33.56
2019-12-17,35.14
2019-12-18,25.84
2019-12-19,30.58
2019-12-20,46.25
2019-12-21,39.61
2019-12-22,37.86
2019-12-23,76.68
2019-12-24,50.94
2019-12-25,21.81
2019-12-26,13.62
2019-12-27,16.41
2019-12-28,35.42
2019-12-29,37.61
2019-12-30,34.61
2019-12-31,64.84
2020-01-01,87.66
2020-01-02,38.85
2020-01-03,28.12
2020-01-04,27.84
2020-01-05,29.42
2020-01-06,26.81
2020-01-07,40.69
2020-01-08,24.45
2020-01-09,28.01
2020-01-10,23.5
2020-01-11,7.23
2020-01-12,32.86
2020-01-13,86.72
2020-01-14,85.6
2020-01-15,15.07
2020-01-16,19.97
2020-01-17,27.6
2020-01-18,45.7
2020-01-19,13.02
2020-01-20,56.1
2020-01-21,68.94
2020-01-22,31.92
2020-01-23,20.35
2020-01-24,21.24
2020-01-25,1.73
2020-01-26,6.36
2020-01-27,7.95
2020-01-28,16.29
2020-01-29,17.37
2020-01-30,30.15
2020-01-31,32.35
2020-02-01,81.78
2020-02-02,108.6
2020-02-03,14.13
2020-02-04,6.11
2020-02-05,18.6
2020-02-06,35.15
2020-02-07,43.58
2020-02-08,13.89
2020-02-09,10.66
2020-02-10,50.14
2020-02-11,51.61
2020-02-12,54.94
2020-02-13,38.28
2020-02-14,27.17
2020-02-15,21.75
2020-02-16,6.82
2020-02-17,14.76
2020-02-18,19.29
2020-02-19,41.97
2020-02-20,120.3
2020-02-21,111.28
2020-02-22,121.92
2020-02-23,38.45
2020-02-24,29.08
2020-02-25,33.08
2020-02-26,30.93
2020-02-27,19.22
2020-02-28,19.59
2020-02-29,24.68
2020-03-01,21.76
2020-03-02,19.05
2020-03-03,14.79
2020-03-04,4.22
2020-03-05,21.3
2020-03-06,37.21
2020-03-07,43
2020-03-08,54.78
2020-03-09,62.25
2020-03-10,20.17
2020-03-11,39.02
2020-03-12,43.1
2020-03-13,37.79
2020-03-14,26.9
2020-03-15,94.82
2020-03-16,76.52
2020-03-17,23.89
2020-03-18,13.89
2020-03-19,12.09
2020-03-20,47.25
2020-03-21,42.28
2020-03-22,33.14
2020-03-23,31.56
2020-03-24,15.63
2020-03-25,8.93
2020-03-26,21.81
2020-03-27,27.63
2020-03-28,25.76
2020-03-29,16.64
2020-03-30,21.93
2020-03-31,8.77
2020-04-01,23.34
2020-04-02,56.04
2020-04-03,19.8
2020-04-04,6.17
2020-04-05,3.9
2020-04-06,15.5
2020-04-07,53
2020-04-08,58.46
2020-04-09,54.15
2020-04-10,37.25
2020-04-11,31.47
