date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,32.42,140.31,79.5,66.7,105.85,29.65,88
2019-12-10T00:00:00.000Z,19.6,146.38,64.76,39.86,99.55,34.804,386
2019-12-11T00:00:00.000Z,17.67,173.39,70.86,38.28,115.22,42.524,386
2019-12-12T00:00:00.000Z,36.52,142.04,94.58,75.29,106.01,20.431,444
2019-12-13T00:00:00.000Z,32.22,158.29,79.73,64.94,102.86,25.223,381
2019-12-14T00:00:00.000Z,34.61,173.6,107.25,71.92,120.31,34.087,382
2019-12-15T00:00:00.000Z,16.34,123.18,41.59,34.49,48.17,10.527,523
2019-12-16T00:00:00.000Z,6.5,74,33.56,23.37,50.05,14.311,268
2019-12-17T00:00:00.000Z,9.68,53,35.14,30.99,36.97,6.771,249
2019-12-18T00:00:00.000Z,8.91,44.48,25.84,21.49,33.97,8.599,433
2019-12-19T00:00:00.000Z,14,64.31,30.58,26.28,38.28,10.838,504
2019-12-20T00:00:00.000Z,21.45,81.81,46.25,40.04,51.08,9.635,542
2019-12-21T00:00:00.000Z,11.54,72.77,39.61,33.46,46.31,11.014,497
2019-12-22T00:00:00.000Z,6.88,97.84,37.86,18.63,55.3,25.568,535
2019-12-23T00:00:00.000Z,31,155.65,76.68,57.85,90.68,22.779,519
2019-12-24T00:00:00.000Z,20.32,124.07,50.94,43.44,74.98,24.038,541
2019-12-25T00:00:00.000Z,3.66,41.91,21.81,8.22,31.66,12.139,538
2019-12-26T00:00:00.000Z,4.03,41.24,13.62,9.4,20.29,8.625,540
2019-12-27T00:00:00.000Z,4.36,40.52,16.41,12.2,19.37,5.771,514
2019-12-28T00:00:00.000Z,13.48,86.28,35.42,28.33,43.32,12.227,536
2019-12-29T00:00:00.000Z,14.52,57.61,37.61,33.07,42.67,7.766,545
2019-12-30T00:00:00.000Z,12.72,78.12,34.61,27.25,42.54,10.881,540
2019-12-31T00:00:00.000Z,21.98,107.31,64.84,55.48,76.5,17.207,527
2020-01-01T00:00:00.000Z,33.14,128.6,87.66,54.06,100.35,26.865,536
2020-01-02T00:00:00.000Z,15.51,71.06,38.85,25.26,49.22,14.201,533
2020-01-03T00:00:00.000Z,14.16,104.28,28.12,24.45,31.47,7.783,509
2020-01-04T00:00:00.000Z,14.92,62.08,27.84,23.65,34.11,10.315,527
2020-01-05T00:00:00.000Z,8.75,45.38,29.42,22.62,32.63,7.097,521
2020-01-06T00:00:00.000Z,8.89,58.61,26.81,19.02,32.47,10.649,496
2020-01-07T00:00:00.000Z,22.22,99.16,40.69,34.38,46.46,15.074,390
2020-01-08T00:00:00.000Z,6.86,65.17,24.45,17.97,31.72,10.682,464
2020-01-09T00:00:00.000Z,8.94,66.9,28.01,22.33,34.01,8.636,497
2020-01-10T00:00:00.000Z,4.28,63.27,23.5,12.7,32.36,12.664,411
2020-01-11T00:00:00.000Z,2.83,43.96,7.23,4.91,25.49,12.086,341
2020-01-12T00:00:00.000Z,2.9,65.81,32.86,9.28,39.29,17.484,312
2020-01-13T00:00:00.000Z,50.58,114.93,86.72,69.44,92.15,15.432,300
2020-01-14T00:00:00.000Z,10.35,165.98,85.6,32.35,123.76,47.334,351
2020-01-15T00:00:00.000Z,7.47,40.67,15.07,13.18,17.27,5.738,290
2020-01-16T00:00:00.000Z,5.62,37.2,19.97,11.65,25.89,8.219,248
2020-01-17T00:00:00.000Z,9.23,65.84,27.6,23.06,31.17,9.247,174
2020-01-18T00:00:00.000Z,5.9,88.86,45.7,24.62,57.59,20.535,431
2020-01-19T00:00:00.000Z,3.44,32.34,13.02,7.11,19.14,7.382,377
2020-01-20T00:00:00.000Z,11.14,80.26,56.1,46.99,63.07,14.59,336
2020-01-21T00:00:00.000Z,24.46,201.96,68.94,57.21,91.51,27.409,433
2020-01-22T00:00:00.000Z,22.66,37.22,31.92,28.75,36.33,4.25,13
2020-01-23T00:00:00.000Z,16.32,25.66,20.35,18.82,21.38,2.064,77
2020-01-24T00:00:00.000Z,4.7,52.85,21.24,16.98,24.92,8.523,257
2020-01-25T00:00:00.000Z,0.55,27.74,1.73,1.35,3.01,6.838,292
2020-01-26T00:00:00.000Z,1.2,16.38,6.36,4.59,8.26,2.582,297
2020-01-27T00:00:00.000Z,2.94,18.12,7.95,6.22,11.04,2.924,247
2020-01-28T00:00:00.000Z,5.45,31.15,16.29,12.98,19.48,4.693,260
2020-01-29T00:00:00.000Z,8.85,37.47,17.37,13.44,27.08,8.052,298
2020-01-30T00:00:00.000Z,12.5,66.7,30.15,24.21,42.48,10.589,283
2020-01-31T00:00:00.000Z,22.8,54.72,32.35,28.66,38.29,7.556,280
2020-02-01T00:00:00.000Z,31.27,130.51,81.78,60.42,91.04,17.393,307
2020-02-02T00:00:00.000Z,55.34,137.69,108.6,94.94,118.7,17.147,294
2020-02-03T00:00:00.000Z,1.71,99.95,14.13,3.46,72.13,35.765,300
2020-02-04T00:00:00.000Z,2.08,19.42,6.11,4.43,7.79,2.179,252
2020-02-05T00:00:00.000Z,2.67,56.42,18.6,9.76,40.11,16.253,227
2020-02-06T00:00:00.000Z,9.76,59.3,35.15,25.85,42.06,10.797,228
2020-02-07T00:00:00.000Z,7.25,103.08,43.58,29.69,58.45,22.092,208
2020-02-08T00:00:00.000Z,2,40.67,13.89,6.2,28.84,12.29,143
2020-02-09T00:00:00.000Z,1.58,20.96,10.66,5.86,14.8,4.838,169
2020-02-10T00:00:00.000Z,17.3,77.9,50.14,34.36,56.12,13.091,322
2020-02-11T00:00:00.000Z,13.7,85.9,51.61,40.02,59.5,16.053,331
2020-02-12T00:00:00.000Z,16.64,92.18,54.94,38.14,66.08,16.695,352
2020-02-13T00:00:00.000Z,17.14,104.86,38.28,25.01,58.24,21.87,346
2020-02-14T00:00:00.000Z,14.74,57.14,27.17,22.95,36.09,10.351,362
2020-02-15T00:00:00.000Z,6.85,54.7,21.75,18.8,37.72,11.344,308
2020-02-16T00:00:00.000Z,1.99,24.42,6.82,3.04,9.36,4.76,363
2020-02-17T00:00:00.000Z,4.38,31.82,14.76,8.84,21.12,7.528,339
2020-02-18T00:00:00.000Z,10.78,48.74,19.29,15.76,22.67,6.818,298
2020-02-19T00:00:00.000Z,24.48,93.68,41.97,32.5,58.03,13.876,426
2020-02-20T00:00:00.000Z,43.45,175.25,120.3,81.53,141.94,35.489,463
2020-02-21T00:00:00.000Z,45.2,163.75,111.28,92.28,129.65,25.843,395
2020-02-22T00:00:00.000Z,60.29,164.4,121.92,101.27,135.3,21.775,348
2020-02-23T00:00:00.000Z,17.1,171.55,38.45,29.47,54.86,36.573,412
2020-02-24T00:00:00.000Z,11.8,144.22,29.08,25.02,38.17,19.955,481
2020-02-25T00:00:00.000Z,13.89,51.44,33.08,28.8,39.44,8.388,429
2020-02-26T00:00:00.000Z,11.08,112.96,30.93,22.08,45.69,17.746,368
2020-02-27T00:00:00.000Z,6.93,49.72,19.22,15,22.52,5.201,512
2020-02-28T00:00:00.000Z,6.85,50.15,19.59,15.46,24.07,7.07,508
2020-02-29T00:00:00.000Z,6.98,54.48,24.68,18.27,29.7,8.242,533
2020-03-01T00:00:00.000Z,9.38,44.92,21.76,17.62,25.96,6.456,527
2020-03-02T00:00:00.000Z,1.55,50.5,19.05,7.47,29.29,11.548,444
2020-03-03T00:00:00.000Z,1.42,44.21,14.79,9.9,16.93,7.806,397
2020-03-04T00:00:00.000Z,0.66,36.36,4.22,2.67,6.78,4.934,528
2020-03-05T00:00:00.000Z,3.59,71.84,21.3,14.67,30.55,15.314,537
2020-03-06T00:00:00.000Z,24.26,90.03,37.21,32.9,41.15,13.081,523
2020-03-07T00:00:00.000Z,6.53,71.89,43,28.81,48.25,13.462,544
2020-03-08T00:00:00.000Z,30.62,75.12,54.78,47.35,63.15,10.098,545
2020-03-09T00:00:00.000Z,23.39,102.35,62.25,46.07,78.8,18.798,536
2020-03-10T00:00:00.000Z,6.96,44.06,20.17,12.88,28.03,8.588,543
2020-03-11T00:00:00.000Z,13.61,63.3,39.02,33.81,47.59,9.882,544
2020-03-12T00:00:00.000Z,8.44,65.2,43.1,34.21,49.02,10.425,487
2020-03-13T00:00:00.000Z,7.18,84.55,37.79,23.26,66.19,21.878,481
2020-03-14T00:00:00.000Z,11.52,75.84,26.9,20.19,38.54,14.284,499
2020-03-15T00:00:00.000Z,66.8,130.28,94.82,86.36,99.08,10.698,267
2020-03-16T00:00:00.000Z,14.6,117.4,76.52,52.93,92.99,26.251,532
2020-03-17T00:00:00.000Z,2.44,62.44,23.89,13.6,38.72,15.898,507
2020-03-18T00:00:00.000Z,3.62,25.22,13.89,10.55,16.66,4.191,458
2020-03-19T00:00:00.000Z,2.7,54,12.09,5.8,29.06,12.35,514
2020-03-20T00:00:00.000Z,32.75,64.93,47.25,43.9,51.95,6.32,409
2020-03-21T00:00:00.000Z,15.45,76.94,42.28,36.85,47.65,10.653,466
2020-03-22T00:00:00.000Z,11.43,54.58,33.14,25.57,40.34,9.342,433
2020-03-23T00:00:00.000Z,11.6,54.22,31.56,27.7,36.11,8.186,411
2020-03-24T00:00:00.000Z,4.26,62.94,15.63,11.9,24.83,8.164,424
2020-03-25T00:00:00.000Z,4.3,79.09,8.93,7.36,11.45,8.439,408
2020-03-26T00:00:00.000Z,10.02,47.95,21.81,17.87,25.24,5.177,413
2020-03-27T00:00:00.000Z,12.65,43.64,27.63,21.6,35.61,8.847,343
2020-03-28T00:00:00.000Z,15.48,37.31,25.76,24.47,27.51,3.458,153
2020-03-29T00:00:00.000Z,9.73,69.75,16.64,13.44,24.38,9.447,322
2020-03-30T00:00:00.000Z,10.62,51.72,21.93,17.47,30.04,9.209,123
2020-03-31T00:00:00.000Z,2.44,40.42,8.77,5.7,12.17,5.806,309
2020-04-01T00:00:00.000Z,11.23,60.78,23.34,21.12,39.38,11.918,170
2020-04-02T00:00:00.000Z,9.77,81,56.04,26.08,61.85,19.121,380
2020-04-03T00:00:00.000Z,5.51,63.62,19.8,11.43,34.54,14.851,433
2020-04-04T00:00:00.000Z,1.83,13.44,6.17,4.3,8.07,2.56,476
2020-04-05T00:00:00.000Z,1.17,11.92,3.9,2.11,7.66,3.287,509
2020-04-06T00:00:00.000Z,4.78,45.97,15.5,10.94,26.11,10.092,418
2020-04-07T00:00:00.000Z,9.57,80.72,53,32.86,64.95,17.991,410
2020-04-08T00:00:00.000Z,28.34,190.6,58.46,51.99,74.5,17.978,443
2020-04-09T00:00:00.000Z,16.52,107.68,54.15,45.92,63.14,18.352,420
2020-04-10T00:00:00.000Z,18.39,74.15,37.25,31.47,42.69,10.524,468
2020-04-11T00:00:00.000Z,4.68,57.46,31.47,7.8,39,16.262,143
2020-04-12T00:00:00.000Z,2.68,17.47,6.88,4.88,10.88,3.669,531
2020-04-13T00:00:00.000Z,5.11,32.21,15.68,10.46,22.94,7.081,534
2020-04-14T00:00:00.000Z,5.65,70.79,22.86,17.32,39.67,16.885,509
2020-04-15T00:00:00.000Z,10.73,77.08,49.3,35.88,54.59,14.036,475
2020-04-16T00:00:00.000Z,11.63,106.78,39.86,28.2,60.93,17.542,465
2020-04-17T00:00:00.000Z,8.72,41.86,24.35,20.3,29.7,6.488,514
2020-04-18T00:00:00.000Z,17.63,69.16,29.34,26.36,34.65,7.527,545
2020-04-19T00:00:00.000Z,14.92,74.28,29.53,20.44,46.64,15.41,535
2020-04-20T00:00:00.000Z,12.24,45.88,25.27,22.04,28.95,5.05,475
2020-04-21T00:00:00.000Z,12.8,68.81,24.68,21.1,43.24,13.94,349
2020-04-22T00:00:00.000Z,4.38,31.4,11.9,8.5,15.52,4.889,407
2020-04-23T00:00:00.000Z,2.25,11.12,4.97,3.73,6.92,2.025,436
2020-04-24T00:00:00.000Z,3.58,25.7,8.77,6.46,12.81,4.185,476
2020-04-25T00:00:00.000Z,5.43,29.89,11.66,9.1,14.99,3.997,478
2020-04-26T00:00:00.000Z,4.12,56.72,8.73,6.76,14.16,8.48,524
2020-04-27T00:00:00.000Z,5.36,140.18,13.06,8.85,38.97,21.822,489
2020-04-28T00:00:00.000Z,13.48,77.62,48.42,29.49,60.93,17.646,373
2020-04-29T00:00:00.000Z,13.58,72.7,34.61,28.03,54.13,14.496,481
2020-04-30T00:00:00.000Z,17.18,56.58,31.26,27.31,38.06,8.725,507
2020-05-01T00:00:00.000Z,5.7,59.31,25.93,17.47,46.39,14.551,520
2020-05-02T00:00:00.000Z,4.57,56.46,14.08,9.73,22.01,12.12,512
2020-05-03T00:00:00.000Z,5.57,49.84,26.36,18.75,34.36,9.499,530
2020-05-04T00:00:00.000Z,9.82,57.82,20.5,16.48,24.14,7.751,500
2020-05-05T00:00:00.000Z,6.99,48.74,17.2,9.57,31.8,12.631,473
2020-05-06T00:00:00.000Z,6.82,40.9,13.09,11.31,20.25,7.849,548
2020-05-07T00:00:00.000Z,10.48,85.12,20.26,16.05,35.86,12.404,377
2020-05-08T00:00:00.000Z,3.7,31.51,15.39,12.98,19.63,6.644,326
2020-05-09T00:00:00.000Z,10.66,58.76,28.18,21.78,36.06,10.932,311
2020-05-10T00:00:00.000Z,8.14,44.76,13.11,10.19,20.46,7.523,240
2020-05-11T00:00:00.000Z,3.88,34.52,11.75,9.56,24.77,8.827,340
2020-05-12T00:00:00.000Z,3.42,34.47,14.08,10.3,19.39,6.879,435
2020-05-13T00:00:00.000Z,1.69,21.2,6.38,3.94,10.34,4.671,416
2020-05-14T00:00:00.000Z,1.27,36.61,8.55,3.68,12.96,7.108,443
2020-05-15T00:00:00.000Z,3.4,30.08,11.5,8.86,19.32,6.319,496
2020-05-16T00:00:00.000Z,5.45,32.67,16.01,7.58,20.72,7.091,318
2020-05-17T00:00:00.000Z,3.37,43.78,8.68,5.78,18.42,9.443,518
2020-05-18T00:00:00.000Z,5.3,46.6,16.45,13.79,22.75,9.867,436
2020-05-19T00:00:00.000Z,9.48,74.08,26.35,23.31,46.46,15.499,510
2020-05-20T00:00:00.000Z,3.47,35.08,15,10.13,19.75,7.603,524
2020-05-21T00:00:00.000Z,2.7,38.79,15.05,5.88,19.39,7.839,478
2020-05-22T00:00:00.000Z,4.11,31.1,10.03,7.16,13.48,4.583,516
2020-05-23T00:00:00.000Z,5.53,45.3,23.52,13.85,31.92,9.953,478
2020-05-24T00:00:00.000Z,7.2,46.42,16.7,11.45,33.13,11.521,506
2020-05-25T00:00:00.000Z,1.85,31.25,16.8,8.39,19.47,6.649,512
2020-05-26T00:00:00.000Z,2.1,20.67,6.9,4.29,9.32,3.18,480
2020-05-27T00:00:00.000Z,4.07,43.7,15.8,9.22,24.19,9.629,501
2020-05-28T00:00:00.000Z,5.37,39.65,26.05,18.8,30.04,7.039,501
2020-05-29T00:00:00.000Z,5.65,31.12,14.5,10.38,18.3,5.431,501
2020-05-30T00:00:00.000Z,3.37,40.75,10.45,5.95,16.87,7.81,539
2020-05-31T00:00:00.000Z,1.02,67.78,10.48,6.47,24.63,14.647,471
2020-06-01T00:00:00.000Z,1.2,37.38,11.02,3.49,17.69,8.215,453
2020-06-02T00:00:00.000Z,1.48,78.68,9.24,5.85,18.07,17.095,506
2020-06-03T00:00:00.000Z,3.62,55.35,10.18,7.2,13.43,8.848,423
2020-06-04T00:00:00.000Z,3.28,67.68,14.15,8.02,25.29,15.083,509
2020-06-05T00:00:00.000Z,6.5,73.93,15.75,11.77,22.25,13.239,414
2020-06-06T00:00:00.000Z,2.97,151.68,11.72,6.05,36.22,37.018,456
2020-06-07T00:00:00.000Z,0.65,88.53,4.93,2.5,19.77,23.23,516
2020-06-08T00:00:00.000Z,0.35,49.4,7.7,1.33,19.29,14.554,512
2020-06-09T00:00:00.000Z,0.52,47.35,8.3,4.2,18.98,13.568,456
2020-06-10T00:00:00.000Z,0.4,16.75,3.7,2.5,5.94,2.898,496
2020-06-11T00:00:00.000Z,1.6,47.1,11.6,7.45,21.36,10.386,516
2020-06-12T00:00:00.000Z,0.82,30.1,5.59,2.9,8.68,5.778,526
2020-06-13T00:00:00.000Z,3.97,37.79,7.68,5.85,12.9,7.522,505
2020-06-14T00:00:00.000Z,2.12,36.4,7.62,4.2,12.75,7.815,326
2020-06-15T00:00:00.000Z,3.17,36.63,12.53,7.62,20.83,8.529,538
2020-06-16T00:00:00.000Z,0.52,12,4.87,3.72,6.78,2.358,537
2020-06-17T00:00:00.000Z,0.6,17.23,3.72,2.6,6.5,3.826,506
2020-06-18T00:00:00.000Z,1.33,13.57,5.2,3.3,6.77,2.13,476
2020-06-19T00:00:00.000Z,1.7,46.4,4.7,3.42,6.37,3.972,460
2020-06-20T00:00:00.000Z,1.95,15.98,5.85,4.47,7.72,2.443,543
2020-06-21T00:00:00.000Z,1.05,17.48,7.25,4.54,9.53,3.49,533
2020-06-22T00:00:00.000Z,0.4,18.89,3.47,1.62,6.68,4.009,517
2020-06-23T00:00:00.000Z,0.88,20.27,5.61,3.1,7.35,2.881,534
2020-06-24T00:00:00.000Z,1.17,71.78,5.05,2.61,10.14,5.602,553
2020-06-25T00:00:00.000Z,2.2,50.08,12.52,8.13,28.62,12.68,530
2020-06-26T00:00:00.000Z,0.3,18.87,4.36,2.59,6.22,2.762,504
2020-06-27T00:00:00.000Z,1.83,11.55,4.75,3.8,5.95,1.7,497
2020-06-28T00:00:00.000Z,2.62,21.08,6.53,5.46,8.13,2.033,428
2020-06-29T00:00:00.000Z,3.7,66.4,8.69,6.78,10,3.889,456
2020-06-30T00:00:00.000Z,3.47,26.58,11.95,8.57,14.64,4.172,377
2020-07-01T00:00:00.000Z,1.9,22.58,7.89,6.61,10.22,3.89,372
2020-07-02T00:00:00.000Z,3.55,141.72,9.75,8.19,12.01,7.423,424
2020-07-03T00:00:00.000Z,0.93,15.68,6.53,4.62,7.57,2.581,443
2020-07-04T00:00:00.000Z,0.8,210.68,6.25,4.15,8.02,18.436,466
2020-07-05T00:00:00.000Z,1.75,13.38,5.97,4.34,7.4,2.134,447
2020-07-06T00:00:00.000Z,1.37,10.38,4.3,3.46,5.42,1.544,272
2020-07-07T00:00:00.000Z,2,25.98,7.65,6.06,9.11,2.679,405
2020-07-08T00:00:00.000Z,1,19.6,6.34,2.94,7.86,3.077,412
2020-07-09T00:00:00.000Z,0.3,17.14,4.7,1.85,6.65,3.154,447
2020-07-10T00:00:00.000Z,0.5,35.03,3.85,3.05,5.9,4.188,393
2020-07-11T00:00:00.000Z,1.2,23.87,6.82,4.59,9.15,3.592,314
2020-07-12T00:00:00.000Z,1.75,26.3,9.8,7.3,15.7,5.715,384
2020-07-13T00:00:00.000Z,1.42,12.05,4.9,3.5,7.1,2.26,299
2020-07-14T00:00:00.000Z,3.83,62.38,12.7,9.38,17.75,9.226,127
2020-07-15T00:00:00.000Z,2.87,23.9,8.23,6.63,10.23,3.181,336
2020-07-16T00:00:00.000Z,2.1,17.07,6.15,4.8,8.05,2.719,309
2020-07-17T00:00:00.000Z,1.37,12.3,5.6,4.04,7.3,2.267,461
2020-07-18T00:00:00.000Z,1.45,14.57,5.57,4.12,7.47,2.448,411
2020-07-19T00:00:00.000Z,1.73,25.08,4.92,3.6,8.05,3.449,154
2020-07-20T00:00:00.000Z,2.22,15.77,7.75,5,8.93,2.712,159
2020-07-21T00:00:00.000Z,2.02,34.03,5.28,4.12,6.49,3.588,257
2020-07-22T00:00:00.000Z,1.25,10.65,4.25,3.12,6.15,2.176,265
2020-07-23T00:00:00.000Z,1.95,12.37,6.3,4.3,8.32,2.555,282
2020-07-24T00:00:00.000Z,1.83,16.42,6,4.96,9.14,2.673,369
2020-07-25T00:00:00.000Z,7.1,18.6,11.82,10.34,13.32,2.375,77
2020-07-26T00:00:00.000Z,0.7,24.8,7.43,4.94,11.6,4.876,412
2020-07-27T00:00:00.000Z,10.25,100.97,46.72,33.04,63.84,18.656,264
2020-07-28T00:00:00.000Z,18.55,113.88,47.28,39.79,64.81,22.337,399
2020-07-29T00:00:00.000Z,4.5,126.6,27.87,17.25,32.5,11.738,315
2020-07-30T00:00:00.000Z,2.72,30.15,11.07,8.93,13.68,4.014,370
2020-07-31T00:00:00.000Z,3.6,51.95,25.6,15.4,33.35,11.745,343
2020-08-01T00:00:00.000Z,1.33,10.68,4.15,2.75,5.9,2.086,334
2020-08-02T00:00:00.000Z,0.8,26.43,2.67,1.8,6.14,5.643,333
2020-08-03T00:00:00.000Z,4.32,35.63,10.93,7.7,13.52,5.956,343
2020-08-04T00:00:00.000Z,2.62,36.95,13.5,10.32,18.87,6.39,395
2020-08-05T00:00:00.000Z,1.48,36.83,16.87,4.87,24.42,10.482,413
