date,pm25,pm10
9/12/2019,140.31,255.17
10/12/2019,146.38,260.6
11/12/2019,173.39,297.76
12/12/2019,142.04,255.21
13/12/2019,158.29,248.8
14/12/2019,173.6,325.88
15/12/2019,123.18,176.46
16/12/2019,74,132.4
17/12/2019,53,103.62
18/12/2019,44.48,91.84
19/12/2019,64.31,122.82
20/12/2019,81.81,148.16
21/12/2019,72.77,149.3
22/12/2019,97.84,212.32
23/12/2019,155.65,336.89
24/12/2019,124.07,405.74
25/12/2019,41.91,94.9
26/12/2019,41.24,76.36
27/12/2019,40.52,93.02
28/12/2019,86.28,173.43
29/12/2019,57.61,116.8
30/12/2019,78.12,156.32
31/12/2019,107.31,209.98
1/01/2020,128.6,232.76
2/01/2020,71.06,128.87
3/01/2020,104.28,238.26
4/01/2020,62.08,109.48
5/01/2020,45.38,136.38
6/01/2020,58.61,113.61
7/01/2020,99.16,189.26
8/01/2020,65.17,116.25
9/01/2020,66.9,109.71
10/01/2020,63.27,105.54
11/01/2020,43.96,84.57
12/01/2020,65.81,126.53
13/01/2020,114.93,229.8
14/01/2020,165.98,400.25
15/01/2020,40.67,66.89
16/01/2020,37.2,66.7
17/01/2020,65.84,130.07
18/01/2020,88.86,196.95
19/01/2020,32.34,57.54
20/01/2020,80.26,235.88
21/01/2020,201.96,386.9
22/01/2020,37.22,91.97
23/01/2020,25.66,47.72
24/01/2020,52.85,81.41
25/01/2020,27.74,42.14
26/01/2020,16.38,32.56
27/01/2020,18.12,35.6
28/01/2020,31.15,50.99
29/01/2020,37.47,75.78
30/01/2020,66.7,135.32
31/01/2020,54.72,105
1/02/2020,130.51,264.64
2/02/2020,137.69,356.31
3/02/2020,99.95,250.16
4/02/2020,19.42,34.67
5/02/2020,56.42,226.35
6/02/2020,59.3,267.77
7/02/2020,103.08,274.38
8/02/2020,40.67,73.44
9/02/2020,20.96,39.5
10/02/2020,77.9,166.6
11/02/2020,85.9,174.3
12/02/2020,92.18,209.89
13/02/2020,104.86,316.88
14/02/2020,57.14,117.82
15/02/2020,54.7,97.78
16/02/2020,24.42,61.98
17/02/2020,31.82,67.34
18/02/2020,48.74,83.86
19/02/2020,93.68,157.52
20/02/2020,175.25,298.27
21/02/2020,163.75,288.7
22/02/2020,164.4,313.35
23/02/2020,171.55,327.62
24/02/2020,144.22,209.34
25/02/2020,51.44,96.87
26/02/2020,112.96,167.5
27/02/2020,49.72,67.87
28/02/2020,50.15,73.89
29/02/2020,54.48,85.16
1/03/2020,44.92,75.73
2/03/2020,50.5,120.7
3/03/2020,44.21,82.3
4/03/2020,36.36,69.81
5/03/2020,71.84,167.74
6/03/2020,90.03,234.76
7/03/2020,71.89,153.12
8/03/2020,75.12,170.11
9/03/2020,102.35,192.1
10/03/2020,44.06,91.06
11/03/2020,63.3,120.7
12/03/2020,65.2,118.11
13/03/2020,84.55,171.85
14/03/2020,75.84,140.1
15/03/2020,130.28,266.88
16/03/2020,117.4,326.3
17/03/2020,62.44,118.34
18/03/2020,25.22,32.85
19/03/2020,54,98.39
20/03/2020,64.93,148.54
21/03/2020,76.94,140.4
22/03/2020,54.58,103.4
23/03/2020,54.22,111.42
24/03/2020,62.94,90.54
25/03/2020,79.09,127
26/03/2020,47.95,111.44
27/03/2020,43.64,104.64
28/03/2020,37.31,66.8
29/03/2020,69.75,138.52
30/03/2020,51.72,96.52
31/03/2020,40.42,81.06
1/04/2020,60.78,118.65
2/04/2020,81,213.23
3/04/2020,63.62,132.44
4/04/2020,13.44,30
5/04/2020,11.92,22.23
6/04/2020,45.97,89.79
7/04/2020,80.72,160.19
8/04/2020,190.6,264.6
9/04/2020,107.68,196.43
10/04/2020,74.15,127.86
11/04/2020,57.46,119.64
12/04/2020,17.47,36.06
13/04/2020,32.21,61.98
14/04/2020,70.79,129.12
15/04/2020,77.08,123.18
16/04/2020,106.78,157.74
17/04/2020,41.86,62.64
18/04/2020,69.16,108.78
19/04/2020,74.28,138.5
20/04/2020,45.88,70.97
21/04/2020,68.81,131.16
22/04/2020,31.4,52.33
23/04/2020,11.12,18.19
24/04/2020,25.7,40.28
25/04/2020,29.89,56.91
26/04/2020,56.72,150.94
27/04/2020,140.18,258.29
28/04/2020,77.62,146.3
29/04/2020,72.7,116.25
30/04/2020,56.58,89.79
1/05/2020,59.31,100.36
2/05/2020,56.46,103.1
3/05/2020,49.84,82.06
4/05/2020,57.82,103.76
5/05/2020,48.74,82.6
6/05/2020,40.9,61.52
7/05/2020,85.12,111.88
8/05/2020,31.51,50.84
9/05/2020,58.76,92.02
10/05/2020,44.76,73.95
11/05/2020,34.52,56.54
12/05/2020,34.47,50.08
13/05/2020,21.2,32.38
14/05/2020,36.61,54.16
15/05/2020,30.08,70.62
16/05/2020,32.67,49.88
17/05/2020,43.78,97.49
18/05/2020,46.6,83.36
19/05/2020,74.08,118.58
20/05/2020,35.08,67.16
21/05/2020,38.79,70.9
22/05/2020,31.1,57.65
23/05/2020,45.3,71.95
24/05/2020,46.42,61.83
25/05/2020,31.25,55.4
26/05/2020,20.67,28.42
27/05/2020,43.7,64.09
28/05/2020,39.65,67.34
29/05/2020,31.12,54.35
30/05/2020,40.75,75.68
31/05/2020,67.78,120.15
1/06/2020,37.38,59.95
2/06/2020,78.68,134.94
3/06/2020,55.35,81.34
4/06/2020,67.68,106.28
5/06/2020,73.93,117.45
6/06/2020,151.68,225.68
7/06/2020,88.53,136.85
8/06/2020,49.4,91.75
9/06/2020,47.35,85.05
10/06/2020,16.75,33.22
11/06/2020,47.1,74.78
12/06/2020,30.1,48.03
13/06/2020,37.79,64.18
14/06/2020,36.4,65.3
15/06/2020,36.63,60.87
16/06/2020,12,31.67
17/06/2020,17.23,39.2
18/06/2020,13.57,37.42
19/06/2020,46.4,58.3
20/06/2020,15.98,43.63
21/06/2020,17.48,36.5
22/06/2020,18.89,37.67
23/06/2020,20.27,33.9
24/06/2020,71.78,88.47
25/06/2020,50.08,90.75
26/06/2020,18.87,39.25
27/06/2020,11.55,28.3
28/06/2020,21.08,39.83
29/06/2020,66.4,449.42
30/06/2020,26.58,78.31
1/07/2020,22.58,36.7
2/07/2020,141.72,158.63
3/07/2020,15.68,36.65
4/07/2020,210.68,233.2
5/07/2020,13.38,30.88
6/07/2020,10.38,30.37
7/07/2020,25.98,45.12
8/07/2020,19.6,40.85
9/07/2020,17.14,34.65
10/07/2020,35.03,79.87
11/07/2020,23.87,50.38
12/07/2020,26.3,47.53
13/07/2020,12.05,26.33
14/07/2020,62.38,94.55
15/07/2020,23.9,39.5
16/07/2020,17.07,32.08
17/07/2020,12.3,34.67
18/07/2020,14.57,30.37
19/07/2020,25.08,44.6
20/07/2020,15.77,34.35
21/07/2020,34.03,310.92
22/07/2020,10.65,26.42
23/07/2020,12.37,26.15
24/07/2020,16.42,27.65
25/07/2020,18.6,31.8
26/07/2020,24.8,49.25
27/07/2020,100.97,140.69
28/07/2020,113.88,190.25
29/07/2020,126.6,152.68
30/07/2020,30.15,44.3
31/07/2020,51.95,72.28
1/08/2020,10.68,24.12
2/08/2020,26.43,44.87
3/08/2020,35.63,60.42
4/08/2020,36.95,52.15
5/08/2020,36.83,54.03
6/08/2020,29.12,39.33
7/08/2020,38.25,62.9
8/08/2020,48.42,57.67
9/08/2020,23.08,35.53
10/08/2020,27.8,49.8
11/08/2020,14.32,29.3
12/08/2020,25.6,46.45
13/08/2020,14.8,20.07
14/08/2020,63.42,80.34
15/08/2020,20.25,47.5
16/08/2020,25.62,44.03
17/08/2020,34.13,57.97
18/08/2020,15.82,29.1
19/08/2020,46.17,64
20/08/2020,44.53,83.65
21/08/2020,32.47,52.42
22/08/2020,33.47,53.45
23/08/2020,36.83,56.67
24/08/2020,23.33,37.88
25/08/2020,29.15,59.38
26/08/2020,72.15,116.2
27/08/2020,54.78,96.45
28/08/2020,43.1,75.65
29/08/2020,34.9,60.7
30/08/2020,60.15,83.9
31/08/2020,37.54,64.25
1/09/2020,97.07,147.27
2/09/2020,102.22,154.72
3/09/2020,111.12,141
4/09/2020,58.9,88.4
5/09/2020,29.25,46.17
6/09/2020,29.25,45.92
7/09/2020,37.08,78.95
8/09/2020,52.92,90.65
9/09/2020,28.27,45.03
10/09/2020,35.4,52.92
11/09/2020,44.45,72.3
12/09/2020,46.65,81.43
13/09/2020,29.4,43.03
14/09/2020,28.8,108.35
15/09/2020,26.45,36.72
16/09/2020,45.08,82.7
17/09/2020,23.45,41.53
18/09/2020,6.72,23.58
19/09/2020,25.62,52.2
20/09/2020,69.25,141.05
21/09/2020,59.97,111.43
22/09/2020,23.02,38.7
23/09/2020,25.4,42.4
24/09/2020,45.17,80.75
25/09/2020,49.9,84.55
26/09/2020,20.12,41.45
27/09/2020,19.07,28.4
28/09/2020,109.87,191.35
29/09/2020,63.33,122.55
30/09/2020,48.7,81.25
1/10/2020,39.25,72.3
2/10/2020,45.38,75.9
3/10/2020,95.62,146.6
4/10/2020,23.4,49.47
5/10/2020,75.68,92.47
6/10/2020,15.85,29.42
7/10/2020,21.95,40.25
8/10/2020,18.17,37.45
9/10/2020,26.27,50.67
10/10/2020,25.23,50.88
11/10/2020,40.67,86.53
12/10/2020,46.45,89.8
13/10/2020,85.03,152.69
14/10/2020,16.37,30.2
15/10/2020,5.15,13.65
16/10/2020,20.58,35.42
17/10/2020,12.25,26.5
18/10/2020,22.73,44.28
19/10/2020,20.02,37.85
20/10/2020,34.45,63.63
21/10/2020,24.77,48.85
22/10/2020,37.72,79.65
23/10/2020,65.25,139.57
24/10/2020,69.4,142.53
25/10/2020,48.1,95.22
26/10/2020,37.7,65.7
27/10/2020,91.2,173.98
28/10/2020,56.35,93.45
29/10/2020,25,37.79
30/10/2020,29.9,47.28
31/10/2020,65.06,109.32
1/11/2020,82.88,147.68
2/11/2020,90.6,164.43
3/11/2020,31.65,70.47
4/11/2020,89.68,159.9
5/11/2020,190.68,252.73
6/11/2020,117.1,207.95
7/11/2020,34.2,73.3
8/11/2020,47.9,100.25
9/11/2020,46.28,95.3
10/11/2020,51.3,111.77
11/11/2020,63.1,123.87
12/11/2020,70.4,150.07
13/11/2020,58.72,224.65
14/11/2020,34.6,69.56
15/11/2020,24.73,55.75
16/11/2020,29.48,91.9
17/11/2020,65.9,144.93
18/11/2020,42.28,87.32
19/11/2020,63.13,114.88
20/11/2020,47.33,133.8
21/11/2020,42.1,139
22/11/2020,40.25,68.2
23/11/2020,41.6,86.07
24/11/2020,76.9,157.93
25/11/2020,66.59,142.77
26/11/2020,62.33,135.8
27/11/2020,50.05,127.28
28/11/2020,32.92,119
29/11/2020,28.77,56.33
30/11/2020,39.25,80.75
1/12/2020,65.05,200.57
2/12/2020,149.19,289.77
3/12/2020,36.9,86.68
4/12/2020,38.75,70.38
5/12/2020,37.29,76.25
6/12/2020,77.18,142.35
7/12/2020,62.58,118.47
8/12/2020,119.2,233.23
9/12/2020,118.55,362.7
10/12/2020,139.19,329.23
11/12/2020,142.69,256.13
12/12/2020,80.78,162.13
13/12/2020,81.47,164.88
14/12/2020,117.75,600.16
15/12/2020,27.52,53.33
16/12/2020,25.23,51.3
17/12/2020,23.6,52.08
18/12/2020,30.08,58.22
19/12/2020,18.1,42.7
20/12/2020,43.6,85.4
21/12/2020,58.03,116.38
22/12/2020,100.93,214
23/12/2020,75.7,140.38
24/12/2020,125.07,300.7
25/12/2020,107.9,193.6
26/12/2020,120.93,247.63
27/12/2020,153.72,299.42
28/12/2020,69.53,140.47
29/12/2020,72.31,121.8
30/12/2020,25.67,49.7
31/12/2020,56.33,118.2
1/01/2021,150.69,355.67
2/01/2021,92.25,162.75
3/01/2021,88.82,160.47
4/01/2021,182.43,326.14
5/01/2021,157.94,273.92
6/01/2021,115.03,206.48
7/01/2021,98.9,170.27
8/01/2021,26.88,52.47
9/01/2021,27.95,62.9
10/01/2021,54.03,151.4
11/01/2021,35.2,75.84
12/01/2021,66.34,156.22
13/01/2021,92.88,191.85
14/01/2021,97.13,169.38
15/01/2021,146.19,334.25
16/01/2021,173.32,310.83
17/01/2021,91.72,156.77
18/01/2021,84.78,159.19
19/01/2021,95.57,170.98
20/01/2021,128.15,227.77
21/01/2021,193.25,361.95
22/01/2021,259.3,517.33
23/01/2021,213.07,477.77
24/01/2021,155.88,330.33
25/01/2021,77.9,137.27
26/01/2021,56.4,116.32
27/01/2021,44.53,90.63
28/01/2021,94.93,174.98
29/01/2021,81.55,171.23
30/01/2021,138.93,276.64
31/01/2021,97,143.94
1/02/2021,55.05,105.8
2/02/2021,94.93,171.13
3/02/2021,53.55,113.28
4/02/2021,67.47,150.65
5/02/2021,294.5,520.54
6/02/2021,66.22,139.55
7/02/2021,118.47,287.39
8/02/2021,85.93,152.9
9/02/2021,26.25,40.2
10/02/2021,30.17,44.58
11/02/2021,85.88,125.57
12/02/2021,43.75,71.97
13/02/2021,34.45,55.7
14/02/2021,56.42,86.5
15/02/2021,56.2,107.53
16/02/2021,70.3,123.2
17/02/2021,24.7,51.58
18/02/2021,105.07,184.43
19/02/2021,78.68,138.63
20/02/2021,66.97,117.4
21/02/2021,44.42,97.93
22/02/2021,66.78,114.6
23/02/2021,64.05,115.7
24/02/2021,45.5,76.7
25/02/2021,46.53,80.65
26/02/2021,52.35,85.38
27/02/2021,59.13,99.88
28/02/2021,69.4,163.82
1/03/2021,80.34,140.5
2/03/2021,56.53,147.88
3/03/2021,71.3,183.93
4/03/2021,88.05,175.45
5/03/2021,77.43,184.52
6/03/2021,64.7,157.6
7/03/2021,83.47,172.07
8/03/2021,69.17,181.77
9/03/2021,49.47,92.25
10/03/2021,161.72,868.63
11/03/2021,55.03,99.88
12/03/2021,56,113.2
13/03/2021,68.43,145.43
14/03/2021,61.92,107.1
15/03/2021,41.58,89.78
16/03/2021,62.42,100.82
17/03/2021,43.53,81.5
18/03/2021,50.38,92.38
19/03/2021,86.45,103.75
20/03/2021,49.78,75.45
21/03/2021,39.28,62.22
22/03/2021,46.6,116.6
23/03/2021,44.35,126.27
24/03/2021,102.25,207.85
25/03/2021,95.88,242.7
26/03/2021,68.03,138.5
27/03/2021,47.33,87.43
28/03/2021,50.25,129.02
29/03/2021,80.2,151.13
30/03/2021,79,167.85
31/03/2021,84.15,150.5
1/04/2021,72.25,102.68
2/04/2021,55.22,70.31
3/04/2021,42.9,76.53
4/04/2021,62.13,112.27
5/04/2021,84.68,171.13
6/04/2021,83.45,173.32
7/04/2021,105.97,204.4
8/04/2021,39.1,70.78
9/04/2021,78.38,114.55
10/04/2021,82.32,229.3
11/04/2021,124.1,481.95
12/04/2021,33.7,64.05
13/04/2021,23.35,56.08
14/04/2021,15.35,38.13
15/04/2021,27.8,54.63
16/04/2021,32.4,61
17/04/2021,36.6,67.43
18/04/2021,66.78,142.15
19/04/2021,46.53,105.53
20/04/2021,24.58,50.9
21/04/2021,19.92,40.47
22/04/2021,18.88,42.47
23/04/2021,20.45,44.17
24/04/2021,31.92,69.78
25/04/2021,29.88,64.7
26/04/2021,34.47,60.83
27/04/2021,49.55,86.7
28/04/2021,41.38,81.78
29/04/2021,45.13,78.25
30/04/2021,48.13,80.31
1/05/2021,50.53,84.13
2/05/2021,47.13,85.18
3/05/2021,19.8,40.95
4/05/2021,28.13,45.05
5/05/2021,29.45,107.78
6/05/2021,50.8,79.09
7/05/2021,45.38,77.55
8/05/2021,35.22,57.38
9/05/2021,28.27,55.42
10/05/2021,27.15,50.08
11/05/2021,47.8,82.82
12/05/2021,38.25,88.28
13/05/2021,295.13,554.78
14/05/2021,222.55,422.98
15/05/2021,31.73,70.43
16/05/2021,33.88,49.35
17/05/2021,18.89,39.65
18/05/2021,34.22,79.18
19/05/2021,20.27,44.53
20/05/2021,24.27,40.33
21/05/2021,23.3,43.88
22/05/2021,67.37,160
23/05/2021,36.13,77.4
24/05/2021,16.75,27.15
25/05/2021,60.5,113.53
26/05/2021,55.67,112.2
27/05/2021,22.95,49.65
28/05/2021,31.6,55
29/05/2021,36.45,75.95
30/05/2021,67.53,108.9
