date,median
2020-04-04,14.5
2020-04-05,11.51
2020-04-06,25.3
2020-04-07,78.84
2020-04-08,138.93
2020-04-09,132.88
2020-04-10,91.46
2020-04-11,66
2020-04-12,20.12
2020-04-13,32.36
2020-04-14,60.3
2020-04-15,89.72
2020-04-16,63.16
2020-04-17,48.71
2020-04-18,70.97
2020-04-19,72.34
2020-04-20,33.06
2020-04-21,57.98
2020-04-22,26.24
2020-04-23,9.96
2020-04-24,28
2020-04-25,29.05
2020-04-26,24.26
2020-04-27,25.84
2020-04-28,104.49
2020-04-29,68.62
2020-04-30,60.33
2020-05-01,47.97
2020-05-02,33.01
2020-05-03,58.32
2020-05-04,38.64
2020-05-05,36.2
2020-05-06,33.46
2020-05-07,41.32
2020-05-08,24.21
2020-05-09,59.78
2020-05-10,33.14
2020-05-11,34.56
2020-05-12,22.39
2020-05-13,16.55
2020-05-14,11.37
2020-05-15,20.39
2020-05-16,29.83
2020-05-17,25.66
2020-05-18,28.3
2020-05-19,41.82
2020-05-20,31.96
2020-05-21,31.4
2020-05-22,23.97
2020-05-23,46.05
2020-05-24,31.74
2020-05-25,32.64
2020-05-26,15.43
2020-05-27,35.36
2020-05-28,49.35
2020-05-29,39.59
2020-05-30,26.35
2020-05-31,32.19
2020-06-01,26.78
2020-06-02,32.96
2020-06-03,30.9
2020-06-04,28.48
2020-06-05,32.96
2020-06-06,33.93
2020-06-07,25.4
2020-06-08,25.42
2020-06-09,29.44
2020-06-10,8.72
2020-06-11,26.85
2020-06-12,18.73
2020-06-13,18.14
2020-06-14,17.42
2020-06-15,17.77
2020-06-16,17.73
2020-06-17,18.57
2020-06-18,17.34
2020-06-19,15.94
2020-06-20,26.75
2020-06-21,27.77
2020-06-22,21.33
2020-06-23,21.2
2020-06-24,21.3
2020-06-25,38.03
2020-06-26,16.94
2020-06-27,20.98
2020-06-28,25.98
2020-06-29,26.47
2020-06-30,32.25
2020-07-01,20.48
2020-07-02,22.62
2020-07-03,16.23
2020-07-04,13.5
2020-07-05,18.1
2020-07-06,19.7
2020-07-07,29.79
2020-07-08,25.67
2020-07-09,21.79
2020-07-10,18.8
2020-07-11,27.15
2020-07-12,29.7
2020-07-13,20.65
2020-07-14,22.17
2020-07-15,17.19
2020-07-16,18.98
2020-07-17,20.14
2020-07-18,20.94
2020-07-19,20.77
2020-07-20,22.56
2020-07-21,19.55
2020-07-22,14.55
2020-07-23,17.5
2020-07-24,17.23
2020-07-25,29.29
2020-07-26,19.39
2020-07-27,53.17
2020-07-28,80.62
2020-07-29,46.61
2020-07-30,43.99
2020-07-31,37.72
