date,max
2021-10-10,81
2021-10-11,53.4
2021-10-12,64.2
2021-10-13,237.3
2021-10-14,85.5
2021-10-15,65.4
2021-10-16,118.4
2021-10-17,94.5
2021-10-18,180.2
2021-10-19,256.1
2021-10-20,238.1
2021-10-21,107.8
2021-10-22,74.7
2021-10-23,116.8
2021-10-24,84.7
2021-10-25,81.1
2021-10-27,254.5
2021-10-28,190.1
2021-10-29,195.9
2021-10-30,91.6
2021-10-31,150.4
2021-11-01,126.5
2021-11-02,133.8
2021-11-05,88
2021-11-06,396.4
2022-02-01,56.9
2022-02-02,138.9
2022-02-03,50.2
2022-02-04,88.5
2022-02-05,344.5
2022-02-06,159.4
2022-02-07,118.1
2022-02-08,58.7
2022-02-09,37.4
2022-02-10,50.6
2022-02-11,557.8
2022-02-12,121
2022-02-13,127.1
2022-02-14,161.7
2022-02-15,119.2
2022-02-16,66.4
2022-02-17,105.8
2022-02-18,755.6
2022-02-19,1435.4
2022-02-20,116.5
2022-02-21,79.6
2022-02-22,124
2022-02-23,101.7
2022-02-24,98.4
2022-02-25,112.4
2022-02-26,147.1
2022-02-27,149.3
2022-02-28,180.2
2022-03-01,216.1
2022-03-02,151.2
2022-03-03,133.7
2022-03-04,94.3
2022-03-05,63.2
2022-03-06,73.1
2022-03-07,277.5
2022-03-08,119.6
2022-03-09,144.9
2022-03-10,104.7
2022-03-11,58.3
2022-03-12,261.6
2022-03-13,91.8
2022-03-14,48.7
2022-03-15,80
2022-03-16,118.1
2022-03-17,131.5
2022-03-18,124.4
2022-03-19,122
2022-03-20,161.3
2022-03-21,105.2
2022-03-22,159.7
2022-03-23,121.2
2022-03-24,88.8
2022-03-25,66.3
2022-03-26,84.7
2022-03-27,577.5
2022-03-28,146.3
2022-03-29,105.8
2022-03-30,168.3
2022-03-31,44.7
2022-04-01,89.2
2022-04-02,204.5
2022-04-03,78.2
2022-04-04,124
2022-04-05,86
2022-04-06,178
2022-04-07,130
2022-04-08,114.7
2022-04-09,132.3
2022-04-10,135
2022-04-11,245
2022-04-12,85.1
2022-04-13,80.1
2022-04-14,122.9
2022-04-15,115.9
2022-04-16,39.9
2022-04-17,102.5
2022-04-18,39.4
2022-04-19,57.9
2022-04-20,104.8
2022-04-21,242.5
2022-04-22,137.5
2022-04-23,66
2022-04-24,78
2022-04-25,185.8
2022-04-26,112.2
2022-04-27,93.7
2022-04-28,79.1
2022-04-29,130.2
2022-04-30,62.1
2022-05-01,27.2
2022-05-02,170.9
2022-05-03,91.1
2022-05-04,81.2
2022-05-05,94.7
2022-05-06,149.9
2022-05-07,82.6
2022-05-08,51.1
2022-05-09,43.1
2022-05-10,167.2
2022-05-11,61.4
2022-05-12,32.3
2022-05-13,680.1
2022-05-14,37.9
2022-05-15,63.9
2022-05-16,28.3
2022-05-17,48
2022-05-18,68.1
2022-05-19,191.3
2022-05-20,194.8
2022-05-21,71.2
2022-05-22,41
2022-05-23,51.3
2022-05-24,44.8
2022-05-25,38.5
2022-05-26,120.6
2022-05-27,62.7
2022-05-28,67.5
2022-05-29,42.6
2022-05-30,138.1
2022-05-31,41.1
2022-06-01,49.5
2022-06-02,46.8
2022-06-03,40.8
2022-06-04,50.4
2022-06-05,148.8
2022-06-06,15.5
2022-06-07,102.1
2022-06-08,50.4
2022-06-09,45.4
2022-06-10,64.4
2022-06-11,37.7
2022-06-12,55.9
2022-06-13,50.7
2022-06-14,48
2022-06-15,38.2
2022-06-16,62.7
2022-06-17,53.4
2022-06-18,50.6
2022-06-19,44.6
2022-06-20,59.7
2022-06-21,225.9
2022-06-22,102
2022-06-23,47.9
2022-06-24,40.3
2022-06-25,44.1
2022-06-26,58.6
2022-06-27,71.2
2022-06-28,63.8
2022-06-29,33.9
2022-06-30,29.2
2022-07-01,38.3
2022-07-02,35.9
2022-07-03,42.9
2022-07-04,228.1
2022-07-05,44
2022-07-06,34
2022-07-07,44.4
2022-07-08,119.5
2022-07-09,47.1
2022-07-10,50.4
2022-07-11,215.2
2022-07-12,69
2022-07-13,51.7
2022-07-14,34.5
2022-07-15,41.6
2022-07-16,46.1
2022-07-17,60.9
2022-07-18,51.8
2022-07-19,47.3
2022-07-20,58.6
2022-07-21,110
2022-07-22,28.4
2022-07-23,42.5
2022-07-24,51.5
2022-07-25,86
2022-07-26,87.3
2022-07-27,67.2
2022-07-28,77.4
2022-07-29,373.2
2022-07-30,123.3
2022-07-31,215.6
2022-08-01,59.9
2022-08-02,41.8
2022-08-03,64.7
2022-08-04,175.6
2022-08-05,107.7
2022-08-06,65.2
2022-08-07,39.4
2022-08-08,208.8
2022-08-09,131.1
2022-08-10,115.9
2022-08-11,162.8
2022-08-12,49.5
2022-08-13,103.2
2022-08-14,48.4
2022-08-15,43.2
2022-08-16,62.4
2022-08-17,229.5
2022-08-18,52.3
2022-08-19,65.5
2022-08-20,77.8
2022-08-21,92.5
2022-08-22,91.5
2022-08-23,53.4
2022-08-24,140.7
2022-08-25,39
2022-08-26,63.4
2022-08-27,49.4
2022-08-28,41.2
2022-08-29,45.5
2022-08-30,42
2022-08-31,50.4
2022-09-01,64.6
2022-09-02,62.8
2022-09-03,50.6
2022-09-04,49.8
2022-09-05,49.8
2022-09-06,45.2
2022-09-07,165.1
2022-09-08,53.5
2022-09-09,97.2
2022-09-10,34.2
2022-09-11,267.3
2022-09-12,45.1
2022-09-13,39.2
2022-09-15,67
2022-10-16,68.8
2022-10-17,64.1
2022-10-18,121.4
2022-10-21,70.8
2022-10-22,204.8
2022-10-23,212.9
2022-10-24,184.4
2022-10-25,271.1
2022-10-26,254.8
2022-10-27,152.3
2022-10-28,211.3
2022-10-29,275
2022-10-30,117.3
2022-10-31,194
2022-11-01,318.4
2022-11-02,158.8
2022-11-03,121.3
2022-11-04,238.4
2022-11-05,323.8
2022-11-06,166.3
2022-11-07,227.7
2022-11-08,114.8
2022-11-09,323.8
2022-11-10,279
2022-11-11,160.7
2022-11-12,158.7
2022-11-13,220.1
2022-11-14,240.7
2022-11-15,70
2022-11-16,76.4
2022-11-17,70.6
2022-11-18,141.1
2022-11-19,280.6
2022-11-20,62.2
2022-11-21,369.5
2022-11-22,598.1
2022-11-23,402.4
2022-11-24,183.4
2022-11-25,208
2022-11-26,276.4
2022-11-27,48.1
2022-11-28,128.4
2022-11-29,291.8
2022-11-30,317.4
2022-12-01,21.1
2022-12-02,333.7
2022-12-03,329.2
2022-12-04,49.4
2022-12-05,102.8
2022-12-06,235.7
2022-12-07,211.5
2022-12-08,247
2022-12-09,216.3
2022-12-10,226.4
2022-12-11,149.6
2022-12-12,226.8
2022-12-13,258.3
2022-12-14,175.8
2022-12-15,144.8
2022-12-16,401.5
2022-12-17,244.4
2022-12-18,113.5
2022-12-19,118.4
2022-12-20,146.2
2022-12-21,240.4
2022-12-22,229.3
2022-12-23,239.1
2022-12-24,576.1
