,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,Hòa Thành,2021-12-27,0,10,0,2,16,5,16
1,Hòa Thành,2021-12-28,4,8,0,3,16,5,16
2,Hòa Thành,2021-12-29,2,9,0,3,23,5,23
3,Hòa Thành,2021-12-30,3,8,0,4,16,5,16
4,Hòa Thành,2021-12-31,3,11,0,3,33,6,33
5,Hòa Thành,2022-01-01,4,8,0,3,20,6,20
6,Hòa Thành,2022-01-02,4,13,0,4,33,6,33
7,Hòa Thành,2022-01-03,6,7,0,7,16,7,16
8,Hòa Thành,2022-01-04,5,19,0,4,22,7,22
9,Hòa Thành,2022-01-05,9,10,0,6,13,8,13
10,Hòa Thành,2022-01-06,7,21,31,4,2,4,31
11,Hòa Thành,2022-01-07,10,20,21,6,3,4,21
12,Hòa Thành,2022-01-08,7,21,26,4,3,4,26
13,Hòa Thành,2022-01-09,7,20,27,5,3,4,27
14,Hòa Thành,2022-01-10,7,21,26,5,3,4,26
15,Hòa Thành,2022-01-11,8,158,500,95,63,128,500
16,Hòa Thành,2022-01-12,127,221,224,90,59,126,224
17,Hòa Thành,2022-01-13,196,20,30,7,3,5,196
18,Hòa Thành,2022-01-14,7,26,38,7,3,5,38
19,Hòa Thành,2022-01-15,12,22,35,6,3,4,35
20,Hòa Thành,2022-01-16,9,24,26,8,3,6,26
21,Hòa Thành,2022-01-17,13,20,27,8,3,5,27
22,Hòa Thành,2022-01-18,10,19,24,4,3,3,24
23,Hòa Thành,2022-01-19,7,21,24,7,3,5,24
24,Hòa Thành,2022-01-20,8,22,39,6,3,5,39
25,Hòa Thành,2022-01-21,10,19,36,5,3,5,36
26,Hòa Thành,2022-01-22,8,20,27,6,3,4,27
27,Hòa Thành,2022-01-23,8,18,30,7,3,5,30
28,Hòa Thành,2022-01-24,7,17,25,5,3,4,25
29,Hòa Thành,2022-01-25,6,17,29,4,3,4,29
30,Hòa Thành,2022-01-26,7,22,29,6,3,5,29
31,Hòa Thành,2022-01-27,12,19,27,6,3,5,27
32,Hòa Thành,2022-01-28,8,21,28,6,3,6,28
33,Hòa Thành,2022-01-29,8,19,15,2,2,4,19
34,Hòa Thành,2022-01-30,9,0,0,0,0,0,9
35,Hòa Thành,2022-02-02,0,17,31,3,3,4,31
36,Hòa Thành,2022-02-03,6,18,29,3,4,3,29
37,Hòa Thành,2022-02-04,8,16,22,3,4,3,22
38,Hòa Thành,2022-02-05,5,14,27,2,6,3,27
39,Hòa Thành,2022-02-06,4,11,17,3,5,4,17
40,Hòa Thành,2022-02-07,2,10,20,3,6,3,20
41,Hòa Thành,2022-02-08,1,14,24,4,6,3,24
