,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,Hải Châu,2014-01-01,0,44,73,28,92,37,92
1,Hải Châu,2014-01-02,125,40,67,17,93,20,125
2,Hải Châu,2014-01-03,117,39,37,23,92,12,117
3,Hải Châu,2014-01-04,116,0,0,0,0,0,116
4,Hải Châu,2014-01-05,0,36,100,12,93,16,100
5,Hải Châu,2014-01-06,105,32,69,15,93,21,105
6,Hải Châu,2014-01-07,99,26,46,12,93,12,99
7,Hải Châu,2014-01-08,84,25,84,15,93,17,93
8,Hải Châu,2014-01-09,83,19,72,18,93,21,93
9,Hải Châu,2014-01-10,67,17,46,18,93,15,93
10,Hải Châu,2014-01-11,63,14,49,16,92,14,92
11,Hải Châu,2014-01-12,55,23,85,12,92,12,92
12,Hải Châu,2014-01-13,77,24,69,9,92,8,92
13,Hải Châu,2014-01-14,79,29,70,14,92,10,92
14,Hải Châu,2014-01-15,90,28,70,15,92,9,92
15,Hải Châu,2014-01-16,88,26,70,11,92,3,92
16,Hải Châu,2014-01-17,82,42,105,15,92,8,105
17,Hải Châu,2014-01-18,124,37,0,12,92,5,124
18,Hải Châu,2014-01-19,108,35,58,15,92,11,108
19,Hải Châu,2014-01-20,105,51,111,10,92,6,111
20,Hải Châu,2014-01-21,145,49,90,18,92,12,145
21,Hải Châu,2014-01-22,134,44,64,19,92,10,134
22,Hải Châu,2014-01-23,126,36,46,24,92,24,126
23,Hải Châu,2014-01-24,107,29,35,19,92,13,107
24,Hải Châu,2014-01-25,89,17,30,12,92,8,92
25,Hải Châu,2014-01-26,60,15,32,15,92,9,92
26,Hải Châu,2014-01-27,58,22,30,16,92,14,92
27,Hải Châu,2014-01-28,74,23,36,15,93,12,93
28,Hải Châu,2014-01-29,77,22,38,11,92,7,92
29,Hải Châu,2014-01-30,73,17,31,13,92,12,92
30,Hải Châu,2014-01-31,61,14,30,12,92,4,92
31,Hải Châu,2014-02-01,53,13,29,11,92,5,92
32,Hải Châu,2014-02-02,51,12,25,11,93,5,93
33,Hải Châu,2014-02-03,49,15,16,17,93,6,93
34,Hải Châu,2014-02-04,58,0,0,0,0,0,58
35,Hải Châu,2014-02-07,0,13,23,5,94,4,94
36,Hải Châu,2014-02-08,53,19,38,10,94,6,94
37,Hải Châu,2014-02-09,68,12,62,8,93,9,93
38,Hải Châu,2014-02-10,43,5,42,8,93,9,93
39,Hải Châu,2014-02-11,12,7,47,11,93,4,93
40,Hải Châu,2014-02-12,31,5,47,10,92,4,92
41,Hải Châu,2014-02-13,22,4,51,10,92,5,92
42,Hải Châu,2014-02-14,18,16,62,15,92,9,92
43,Hải Châu,2014-02-15,60,20,82,13,93,7,93
44,Hải Châu,2014-02-16,70,17,70,12,93,8,93
45,Hải Châu,2014-02-17,63,0,0,0,0,0,63
46,Hải Châu,2014-02-18,0,3,57,3,92,2,92
47,Hải Châu,2014-02-19,13,8,58,14,92,9,92
48,Hải Châu,2014-02-20,29,23,46,20,93,22,93
49,Hải Châu,2014-02-21,61,33,53,16,93,9,93
50,Hải Châu,2014-02-22,89,17,50,8,93,3,93
51,Hải Châu,2014-02-23,60,17,50,9,93,6,93
52,Hải Châu,2014-02-24,59,18,45,9,94,5,94
53,Hải Châu,2014-02-25,61,22,37,14,93,8,93
54,Hải Châu,2014-02-26,71,0,0,0,0,0,71
55,Hải Châu,2014-02-27,0,13,34,5,94,3,94
56,Hải Châu,2014-02-28,50,19,41,10,94,4,94
57,Hải Châu,2014-03-01,64,24,49,11,94,9,94
58,Hải Châu,2014-03-02,75,20,38,10,94,8,94
59,Hải Châu,2014-03-03,68,15,37,10,94,10,94
60,Hải Châu,2014-03-04,57,14,35,12,94,13,94
61,Hải Châu,2014-03-05,55,20,43,9,94,8,94
62,Hải Châu,2014-03-06,68,22,47,9,94,6,94
63,Hải Châu,2014-03-07,74,24,51,9,94,7,94
