,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,Hồng Phong,2021-12-27,0,4,9,6,2,3,9
1,Hồng Phong,2021-12-28,7,5,6,5,2,3,7
2,Hồng Phong,2021-12-29,7,9,9,6,2,3,9
3,Hồng Phong,2021-12-30,15,0,12,7,2,3,15
4,Hồng Phong,2021-12-31,0,0,9,7,2,3,9
5,Hồng Phong,2022-01-01,0,0,10,6,2,3,10
6,Hồng Phong,2022-01-03,0,0,20,7,2,3,20
7,Hồng Phong,2022-01-04,0,0,31,9,2,3,31
8,Hồng Phong,2022-01-05,0,0,23,7,2,3,23
9,Hồng Phong,2022-01-06,0,0,27,7,2,3,27
10,Hồng Phong,2022-01-07,0,0,22,6,2,4,22
11,Hồng Phong,2022-01-08,0,0,13,8,2,5,13
12,Hồng Phong,2022-01-09,0,13,6,5,2,4,13
13,Hồng Phong,2022-01-10,22,15,4,7,2,4,22
14,Hồng Phong,2022-01-11,19,21,20,4,2,3,21
15,Hồng Phong,2022-01-12,31,22,23,5,4,3,31
16,Hồng Phong,2022-01-13,36,23,16,7,2,4,36
17,Hồng Phong,2022-01-14,41,22,14,5,2,4,41
18,Hồng Phong,2022-01-15,34,22,23,7,2,4,34
19,Hồng Phong,2022-01-16,33,3,10,7,3,4,33
20,Hồng Phong,2022-01-17,5,12,14,4,2,3,14
21,Hồng Phong,2022-01-18,15,20,27,5,2,3,27
22,Hồng Phong,2022-01-19,27,15,27,6,2,4,27
23,Hồng Phong,2022-01-20,24,9,20,3,2,3,24
24,Hồng Phong,2022-01-21,16,9,9,5,2,3,16
25,Hồng Phong,2022-01-22,13,13,4,5,2,4,13
26,Hồng Phong,2022-01-23,16,13,21,5,2,4,21
27,Hồng Phong,2022-01-24,17,8,28,4,2,3,28
28,Hồng Phong,2022-01-25,14,10,10,3,2,4,14
29,Hồng Phong,2022-01-26,17,6,21,3,2,3,21
30,Hồng Phong,2022-01-27,10,9,26,2,3,2,26
31,Hồng Phong,2022-01-28,14,6,29,3,2,3,29
32,Hồng Phong,2022-01-29,10,5,9,3,2,6,10
33,Hồng Phong,2022-01-30,8,3,16,3,2,5,16
34,Hồng Phong,2022-01-31,6,4,16,2,2,4,16
35,Hồng Phong,2022-02-01,7,2,14,1,2,3,14
36,Hồng Phong,2022-02-02,4,3,14,1,2,3,14
37,Hồng Phong,2022-02-03,6,7,19,1,2,3,19
38,Hồng Phong,2022-02-04,11,0,21,2,2,3,21
39,Hồng Phong,2022-02-05,0,0,27,2,2,3,27
40,Hồng Phong,2022-02-06,0,0,18,2,2,3,18
41,Hồng Phong,2022-02-07,0,0,11,2,2,3,11
42,Hồng Phong,2022-02-08,0,0,14,3,2,3,14
43,Hồng Phong,2022-02-09,0,0,11,2,2,3,11
44,Hồng Phong,2022-02-10,0,6,9,3,2,3,9
45,Hồng Phong,2022-02-11,12,4,8,4,2,3,12
46,Hồng Phong,2022-02-12,8,2,8,4,2,3,8
47,Hồng Phong,2022-02-13,3,7,17,3,2,3,17
48,Hồng Phong,2022-02-14,12,8,23,2,2,3,23
49,Hồng Phong,2022-02-15,14,5,19,4,2,3,19
50,Hồng Phong,2022-02-16,10,8,7,5,2,3,10
51,Hồng Phong,2022-02-17,12,4,7,4,2,4,12
52,Hồng Phong,2022-02-18,6,1,6,4,2,4,6
53,Hồng Phong,2022-02-19,1,2,20,2,2,3,20
54,Hồng Phong,2022-02-20,3,4,22,2,2,2,22
55,Hồng Phong,2022-02-21,5,4,22,3,2,3,22
56,Hồng Phong,2022-02-22,6,6,19,2,2,2,19
57,Hồng Phong,2022-02-23,7,12,28,3,2,1,28
58,Hồng Phong,2022-02-24,19,21,31,4,3,2,31
59,Hồng Phong,2022-02-25,30,38,39,6,3,3,39
60,Hồng Phong,2022-02-26,64,40,35,7,4,4,64
61,Hồng Phong,2022-02-27,70,36,50,5,3,4,70
62,Hồng Phong,2022-02-28,57,25,50,7,4,3,57
63,Hồng Phong,2022-03-01,39,21,24,7,3,3,39
64,Hồng Phong,2022-03-02,30,14,24,6,3,3,30
65,Hồng Phong,2022-03-03,22,11,25,5,5,2,25
66,Hồng Phong,2022-03-04,16,11,20,4,3,2,20
67,Hồng Phong,2022-03-05,17,0,10,4,3,1,17
68,Hồng Phong,2022-03-06,0,0,7,5,3,2,7
69,Hồng Phong,2022-03-07,0,0,31,5,3,2,31
70,Hồng Phong,2022-03-08,0,9,45,5,5,2,45
71,Hồng Phong,2022-03-09,16,36,44,4,3,2,44
72,Hồng Phong,2022-03-10,53,14,30,3,3,2,53
73,Hồng Phong,2022-03-11,17,9,28,3,3,1,28
74,Hồng Phong,2022-03-12,14,11,26,4,4,1,26
75,Hồng Phong,2022-03-13,15,12,26,5,4,1,26
76,Hồng Phong,2022-03-14,15,14,26,6,4,1,26
77,Hồng Phong,2022-03-15,21,10,25,6,3,2,25
78,Hồng Phong,2022-03-16,14,13,23,7,4,1,23
79,Hồng Phong,2022-03-17,14,13,17,7,3,1,17
80,Hồng Phong,2022-03-18,18,16,27,6,3,2,27
81,Hồng Phong,2022-03-19,20,8,25,10,7,2,25
