,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Hữu Lũng,12/27/2021,0,59,10,0,0,4,59,Vừa Phải
1,Hữu Lũng,12/28/2021,55,57,15,0,0,3,57,Vừa Phải
2,Hữu Lũng,12/29/2021,49,66,21,0,0,3,66,Vừa Phải
3,Hữu Lũng,12/30/2021,48,93,15,0,0,3,93,Vừa Phải
4,Hữu Lũng,12/31/2021,78,90,19,0,0,4,90,Vừa Phải
5,Hữu Lũng,1/1/2022,92,103,18,0,0,3,103,Không tốt cho người nhạy cảm
6,Hữu Lũng,1/2/2022,81,217,22,0,0,5,217,Rất không tốt
7,Hữu Lũng,1/3/2022,166,193,19,0,0,6,193,Không tốt
8,Hữu Lũng,1/4/2022,176,147,8,0,0,5,176,Không tốt
9,Hữu Lũng,1/5/2022,147,140,10,0,0,5,147,Không tốt cho người nhạy cảm
10,Hữu Lũng,1/6/2022,138,68,15,0,0,3,138,Không tốt cho người nhạy cảm
11,Hữu Lũng,1/7/2022,75,78,24,0,0,4,78,Vừa Phải
12,Hữu Lũng,1/8/2022,106,55,13,0,0,4,106,Không tốt cho người nhạy cảm
13,Hữu Lũng,1/9/2022,45,28,11,0,0,4,45,Tốt
14,Hữu Lũng,1/10/2022,31,86,24,0,0,3,86,Vừa Phải
15,Hữu Lũng,1/11/2022,57,119,21,0,0,4,119,Không tốt cho người nhạy cảm
16,Hữu Lũng,1/12/2022,99,74,20,0,0,4,99,Vừa Phải
17,Hữu Lũng,1/13/2022,76,75,14,0,0,4,76,Vừa Phải
18,Hữu Lũng,1/14/2022,109,173,13,0,0,6,173,Không tốt
19,Hữu Lũng,1/15/2022,162,138,10,0,0,4,162,Không tốt
20,Hữu Lũng,1/16/2022,131,5,18,0,0,4,131,Không tốt cho người nhạy cảm
21,Hữu Lũng,1/17/2022,8,6,26,0,0,5,26,Tốt
22,Hữu Lũng,1/18/2022,8,8,26,0,0,4,26,Tốt
23,Hữu Lũng,1/19/2022,7,27,16,0,0,4,27,Tốt
24,Hữu Lũng,1/20/2022,35,50,5,0,0,4,50,Tốt
25,Hữu Lũng,1/21/2022,75,23,4,0,0,4,75,Vừa Phải
26,Hữu Lũng,1/22/2022,38,61,7,0,0,4,61,Vừa Phải
27,Hữu Lũng,1/23/2022,78,115,9,0,0,4,115,Không tốt cho người nhạy cảm
28,Hữu Lũng,1/24/2022,117,56,8,0,0,3,117,Không tốt cho người nhạy cảm
29,Hữu Lũng,1/25/2022,64,84,10,0,0,4,84,Vừa Phải
30,Hữu Lũng,1/26/2022,98,39,14,0,0,2,98,Vừa Phải
31,Hữu Lũng,1/27/2022,50,35,20,0,0,2,50,Tốt
32,Hữu Lũng,1/28/2022,47,10,14,0,0,4,47,Tốt
33,Hữu Lũng,1/29/2022,15,9,20,0,0,4,20,Tốt
34,Hữu Lũng,1/30/2022,13,8,21,0,0,4,21,Tốt
35,Hữu Lũng,1/31/2022,13,11,20,0,0,3,20,Tốt
36,Hữu Lũng,2/1/2022,19,6,20,0,0,3,20,Tốt
37,Hữu Lũng,2/2/2022,8,11,25,0,0,3,25,Tốt
38,Hữu Lũng,2/3/2022,14,24,26,0,0,3,26,Tốt
39,Hữu Lũng,2/4/2022,31,36,32,0,0,3,36,Tốt
40,Hữu Lũng,2/5/2022,57,38,10,0,0,3,57,Vừa Phải
41,Hữu Lũng,2/6/2022,73,19,7,0,0,3,73,Vừa Phải
42,Hữu Lũng,2/7/2022,34,7,13,0,0,3,34,Tốt
43,Hữu Lũng,2/8/2022,11,5,14,0,0,3,14,Tốt
44,Hữu Lũng,2/9/2022,6,22,6,0,0,3,22,Tốt
45,Hữu Lũng,2/10/2022,28,14,4,0,0,3,28,Tốt
46,Hữu Lũng,2/11/2022,24,23,4,0,0,4,24,Tốt
47,Hữu Lũng,2/12/2022,38,6,17,0,0,3,38,Tốt
48,Hữu Lũng,2/13/2022,9,45,26,0,0,4,45,Tốt
49,Hữu Lũng,2/14/2022,54,51,16,0,0,3,54,Vừa Phải
50,Hữu Lũng,2/15/2022,47,12,9,0,0,3,47,Tốt
51,Hữu Lũng,2/16/2022,21,22,8,0,0,4,22,Tốt
52,Hữu Lũng,2/17/2022,39,12,7,0,0,2,39,Tốt
53,Hữu Lũng,2/18/2022,19,2,21,0,0,3,21,Tốt
54,Hữu Lũng,2/19/2022,3,7,25,0,0,3,25,Tốt
55,Hữu Lũng,2/20/2022,12,6,27,0,0,3,27,Tốt
56,Hữu Lũng,2/21/2022,9,9,29,0,0,2,29,Tốt
57,Hữu Lũng,2/22/2022,10,32,33,0,0,3,33,Tốt
58,Hữu Lũng,2/23/2022,27,78,34,0,0,4,78,Vừa Phải
59,Hữu Lũng,2/24/2022,87,116,37,0,0,5,116,Không tốt cho người nhạy cảm
60,Hữu Lũng,2/25/2022,133,107,34,0,0,5,133,Không tốt cho người nhạy cảm
61,Hữu Lũng,2/26/2022,145,146,35,0,0,5,146,Không tốt cho người nhạy cảm
62,Hữu Lũng,2/27/2022,175,49,35,0,0,5,175,Không tốt
63,Hữu Lũng,2/28/2022,58,8,11,0,0,5,58,Vừa Phải
64,Hữu Lũng,3/1/2022,8,9,14,0,0,4,14,Tốt
65,Hữu Lũng,3/2/2022,10,6,12,0,0,4,12,Tốt
66,Hữu Lũng,3/3/2022,8,0,12,0,0,3,12,Tốt
67,Hữu Lũng,3/4/2022,0,0,7,0,0,2,7,Tốt
68,Hữu Lũng,3/5/2022,1,0,7,0,0,1,7,Tốt
69,Hữu Lũng,3/6/2022,1,1,16,0,0,3,16,Tốt
70,Hữu Lũng,3/7/2022,1,1,38,0,0,3,38,Tốt
71,Hữu Lũng,3/8/2022,1,1,28,0,0,3,28,Tốt
72,Hữu Lũng,3/9/2022,2,0,26,0,0,2,26,Tốt
73,Hữu Lũng,3/10/2022,0,0,15,0,0,2,15,Tốt
74,Hữu Lũng,3/11/2022,0,2,12,0,0,3,12,Tốt
75,Hữu Lũng,3/12/2022,3,0,9,0,0,2,9,Tốt
76,Hữu Lũng,3/13/2022,0,1,11,0,0,2,11,Tốt
77,Hữu Lũng,3/14/2022,1,1,12,0,0,3,12,Tốt
78,Hữu Lũng,3/15/2022,1,1,8,0,0,3,8,Tốt
79,Hữu Lũng,3/16/2022,1,3,8,0,0,2,8,Tốt
80,Hữu Lũng,3/17/2022,4,5,10,0,0,3,10,Tốt
81,Hữu Lũng,3/18/2022,7,2,8,0,0,3,8,Tốt
82,Hữu Lũng,3/19/2022,3,1,8,0,0,2,8,Tốt
83,Hữu Lũng,3/20/2022,2,0,9,0,0,3,9,Tốt
84,Hữu Lũng,3/21/2022,0,2,12,0,0,4,12,Tốt
85,Hữu Lũng,3/22/2022,3,0,9,0,0,2,9,Tốt
86,Hữu Lũng,3/23/2022,0,33,8,0,0,2,33,Tốt
87,Hữu Lũng,3/24/2022,43,56,10,0,0,4,56,Vừa Phải
88,Hữu Lũng,3/25/2022,73,127,15,0,0,4,127,Không tốt cho người nhạy cảm
89,Hữu Lũng,3/26/2022,112,55,13,0,0,2,112,Không tốt cho người nhạy cảm
90,Hữu Lũng,3/27/2022,47,112,13,0,0,3,112,Không tốt cho người nhạy cảm
91,Hữu Lũng,3/28/2022,79,108,9,0,0,4,108,Không tốt cho người nhạy cảm
92,Hữu Lũng,3/29/2022,124,43,9,0,0,4,124,Không tốt cho người nhạy cảm
93,Hữu Lũng,3/30/2022,58,79,10,0,0,2,79,Vừa Phải
94,Hữu Lũng,3/31/2022,55,14,19,0,0,1,55,Vừa Phải
95,Hữu Lũng,4/1/2022,7,34,27,0,0,2,34,Tốt
96,Hữu Lũng,4/2/2022,21,107,28,0,0,3,107,Không tốt cho người nhạy cảm
97,Hữu Lũng,4/3/2022,87,160,36,0,0,3,160,Không tốt
98,Hữu Lũng,4/4/2022,107,180,34,0,0,4,180,Không tốt
99,Hữu Lũng,4/5/2022,133,186,23,0,0,5,186,Không tốt
100,Hữu Lũng,4/6/2022,157,178,23,0,0,4,178,Không tốt
101,Hữu Lũng,4/7/2022,141,186,38,0,0,5,186,Không tốt
102,Hữu Lũng,4/8/2022,155,195,37,0,0,4,195,Không tốt
103,Hữu Lũng,4/9/2022,152,183,24,0,0,4,183,Không tốt
104,Hữu Lũng,4/10/2022,143,115,13,0,0,3,143,Không tốt cho người nhạy cảm
105,Hữu Lũng,4/11/2022,127,88,10,0,0,2,127,Không tốt cho người nhạy cảm
106,Hữu Lũng,4/12/2022,93,24,12,0,0,3,93,Vừa Phải
107,Hữu Lũng,4/13/2022,27,8,17,0,0,4,27,Tốt
108,Hữu Lũng,4/14/2022,6,3,13,0,0,3,13,Tốt
109,Hữu Lũng,4/15/2022,3,0,13,0,0,2,13,Tốt
110,Hữu Lũng,4/16/2022,1,2,11,0,0,2,11,Tốt
111,Hữu Lũng,4/17/2022,4,1,13,0,0,2,13,Tốt
112,Hữu Lũng,4/18/2022,1,3,15,0,0,3,15,Tốt
113,Hữu Lũng,4/19/2022,2,3,13,0,0,3,13,Tốt
114,Hữu Lũng,4/20/2022,2,4,9,0,0,4,9,Tốt
115,Hữu Lũng,4/21/2022,3,2,10,0,0,3,10,Tốt
116,Hữu Lũng,4/22/2022,3,1,15,0,0,2,15,Tốt
117,Hữu Lũng,4/23/2022,1,28,11,0,0,3,28,Tốt
118,Hữu Lũng,4/24/2022,31,54,16,0,0,3,54,Vừa Phải
119,Hữu Lũng,4/25/2022,59,99,9,0,0,3,99,Vừa Phải
120,Hữu Lũng,4/26/2022,97,71,6,0,0,3,97,Vừa Phải
121,Hữu Lũng,4/27/2022,79,73,3,0,0,3,79,Vừa Phải
122,Hữu Lũng,4/28/2022,71,60,3,0,0,4,71,Vừa Phải
123,Hữu Lũng,4/29/2022,56,62,4,0,0,5,62,Vừa Phải
124,Hữu Lũng,4/30/2022,54,26,8,0,0,10,54,Vừa Phải
125,Hữu Lũng,5/1/2022,17,84,11,0,0,5,84,Vừa Phải
126,Hữu Lũng,5/2/2022,55,192,10,0,0,1,192,Không tốt
127,Hữu Lũng,5/3/2022,114,225,12,0,0,3,225,Rất không tốt
128,Hữu Lũng,5/4/2022,134,223,12,0,0,4,223,Rất không tốt
129,Hữu Lũng,5/5/2022,148,211,9,0,0,4,211,Rất không tốt
130,Hữu Lũng,5/6/2022,141,92,3,0,0,2,141,Không tốt cho người nhạy cảm
131,Hữu Lũng,5/7/2022,99,24,4,0,0,2,99,Vừa Phải
132,Hữu Lũng,5/8/2022,19,35,3,0,0,1,35,Tốt
133,Hữu Lũng,5/9/2022,31,12,3,0,0,2,31,Tốt
134,Hữu Lũng,5/10/2022,18,53,8,0,0,1,53,Vừa Phải
135,Hữu Lũng,5/11/2022,49,48,1,0,110,1,110,Không tốt cho người nhạy cảm
136,Hữu Lũng,5/12/2022,35,24,0,0,115,2,115,Không tốt cho người nhạy cảm
137,Hữu Lũng,5/13/2022,18,36,1,0,119,2,119,Không tốt cho người nhạy cảm
138,Hữu Lũng,5/14/2022,31,29,0,0,120,1,120,Không tốt cho người nhạy cảm
139,Hữu Lũng,5/15/2022,26,30,1,0,119,1,119,Không tốt cho người nhạy cảm
140,Hữu Lũng,5/16/2022,20,176,1,0,119,2,176,Không tốt
141,Hữu Lũng,5/17/2022,110,126,2,0,118,1,126,Không tốt cho người nhạy cảm
142,Hữu Lũng,5/18/2022,96,117,2,0,118,1,118,Không tốt cho người nhạy cảm
