date, pm25, pm10, o3, no2, so2, co
2023/1/9, 1, 1, 26, 23, 7, 2
2023/1/14, 1, 1, 25, 18, 6, 2
2023/1/19, 1, 1, 25, 17, 11, 2
2023/1/28, 1, 1, 25, 5, 5, 1
2023/1/29, 1, 1, 25, 11, 6, 1
2023/1/30, 1, 1, 26, 15, 10, 1
2023/1/31, 1, 1, 25, 15, 8, 1
2023/2/27, 1, 1, , 7, 3, 
2023/3/2, 1, 1, 33, 13, 7, 2
2023/3/3, 1, 1, 31, 16, 7, 1
2023/3/13, 1, 1, 19, 7, 6, 1
2023/3/14, 1, , 35, 10, 5, 2
2022/10/5, 1, 1, 12, 8, 5, 1
2022/10/7, 1, 1, 2, 10, 4, 1
2022/10/8, 1, 1, 3, 9, 4, 1
2022/10/10, 1, 1, 3, 5, 3, 1
2022/10/11, 1, 1, 3, 8, 5, 1
2022/10/12, 1, 1, 3, 12, 9, 1
2022/10/13, 1, 1, 3, 12, 8, 2
2022/10/14, 1, 1, 3, 11, 7, 2
2022/10/15, 1, 1, , 11, 6, 2
2022/10/16, 1, 1, 3, 9, 7, 2
2022/10/17, 1, 1, 3, 6, 7, 1
2022/10/18, 1, 1, 3, 6, 6, 1
2022/10/19, 1, 1, 3, 7, 5, 1
2022/10/21, 1, , 3, 4, 4, 1
2022/10/23, 1, , 3, 12, 6, 2
2022/10/25, 1, , 3, 16, 7, 
2022/10/26, 1, , 3, 12, 5, 
2022/10/27, 1, , 3, 13, 8, 2
2022/10/28, 1, 1, 3, 15, 7, 2
2022/10/29, 1, 1, 3, 14, 6, 2
2022/10/30, 1, 1, 3, 9, 5, 2
2022/10/31, 1, , 3, 6, 6, 1
2022/11/1, 1, 1, 3, 9, 8, 1
2022/11/2, 1, 1, 3, 11, 7, 1
2022/11/3, 1, 1, 3, 11, 7, 
2022/11/4, 1, 1, 3, 12, 9, 1
2022/11/5, 1, , 3, 14, 7, 2
2022/11/6, 1, , 3, 17, 9, 3
2022/11/7, 1, , 3, 17, 8, 
2022/11/8, 1, , 3, 17, 10, 
2022/11/10, 1, 1, 3, 19, 8, 2
2022/11/13, 1, 1, 3, 16, 7, 1
2022/11/14, 1, 1, 3, 14, 6, 1
2022/11/15, 1, 1, 3, 16, 7, 1
2022/12/6, 2, 2, 3, 17, 12, 2
2022/12/7, 1, 1, 3, 16, 10, 2
2022/12/11, 1, 1, 3, 11, 6, 2
2022/12/12, 1, 1, 3, 12, 8, 2
