,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Lương Tài,6/20/2020,0,25,72,0,5,0,72,Vừa Phải
1,Lương Tài,6/21/2020,41,16,70,0,5,0,70,Vừa Phải
2,Lương Tài,6/22/2020,23,16,108,0,5,0,108,Không tốt cho người nhạy cảm
3,Lương Tài,6/23/2020,23,15,58,1,5,0,58,Vừa Phải
4,Lương Tài,6/24/2020,21,25,82,2,6,0,82,Vừa Phải
5,Lương Tài,6/25/2020,40,14,88,1,6,0,88,Vừa Phải
6,Lương Tài,6/26/2020,20,14,81,0,5,0,81,Vừa Phải
7,Lương Tài,6/27/2020,20,16,72,0,5,0,72,Vừa Phải
8,Lương Tài,6/28/2020,23,15,77,0,6,0,77,Vừa Phải
9,Lương Tài,6/29/2020,23,16,102,0,5,0,102,Không tốt cho người nhạy cảm
10,Lương Tài,6/30/2020,25,19,55,1,6,0,55,Vừa Phải
11,Lương Tài,7/1/2020,28,16,48,1,6,0,48,Tốt
12,Lương Tài,7/2/2020,24,8,47,1,6,0,47,Tốt
13,Lương Tài,7/3/2020,11,9,42,0,6,0,42,Tốt
14,Lương Tài,7/4/2020,12,7,47,1,6,0,47,Tốt
15,Lương Tài,7/5/2020,10,11,49,0,6,0,49,Tốt
16,Lương Tài,7/6/2020,14,14,53,0,6,0,53,Vừa Phải
17,Lương Tài,7/7/2020,19,15,86,1,6,0,86,Vừa Phải
18,Lương Tài,7/8/2020,20,16,41,1,6,0,41,Tốt
19,Lương Tài,7/9/2020,19,16,38,2,5,0,38,Tốt
20,Lương Tài,7/10/2020,19,0,40,2,6,0,40,Tốt
21,Lương Tài,7/11/2020,0,0,72,1,6,0,72,Vừa Phải
22,Lương Tài,7/12/2020,0,0,51,0,6,0,51,Vừa Phải
23,Lương Tài,7/13/2020,0,0,87,1,6,0,87,Vừa Phải
24,Lương Tài,7/14/2020,0,0,48,0,6,0,48,Tốt
25,Lương Tài,7/15/2020,0,0,50,0,6,0,50,Tốt
26,Lương Tài,7/16/2020,0,0,70,0,6,0,70,Vừa Phải
27,Lương Tài,7/17/2020,0,0,83,1,6,0,83,Vừa Phải
28,Lương Tài,7/18/2020,0,0,58,0,6,0,58,Vừa Phải
29,Lương Tài,7/19/2020,0,0,40,0,6,0,40,Tốt
30,Lương Tài,7/20/2020,0,0,40,0,6,0,40,Tốt
31,Lương Tài,7/21/2020,0,0,35,0,6,0,35,Tốt
32,Lương Tài,7/22/2020,0,0,38,0,6,0,38,Tốt
33,Lương Tài,7/23/2020,0,0,41,0,6,0,41,Tốt
34,Lương Tài,7/24/2020,0,0,45,0,6,0,45,Tốt
35,Lương Tài,7/25/2020,0,0,45,0,6,0,45,Tốt
36,Lương Tài,7/26/2020,0,0,42,1,7,0,42,Tốt
37,Lương Tài,7/27/2020,0,0,59,5,6,0,59,Vừa Phải
38,Lương Tài,7/28/2020,0,0,0,7,6,0,7,Tốt
39,Lương Tài,7/29/2020,0,0,0,4,7,0,7,Tốt
40,Lương Tài,7/30/2020,0,0,0,5,7,0,7,Tốt
41,Lương Tài,7/31/2020,0,0,0,2,7,0,7,Tốt
42,Lương Tài,8/1/2020,0,0,0,1,9,0,9,Tốt
