date, pm25, pm10, no2, co
2023/7/2, 35, 20, 6, 2
2023/7/3, 27, 29, 12, 4
2023/7/4, 39, 23, 14, 4
2023/7/5, 34, 21, 15, 3
2023/7/6, 31, 30, 21, 3
2023/7/7, 43, 25, 22, 2
2023/7/8, 35, , , 
2023/7/10, 46, 25, 17, 5
2023/7/11, 35, 26, 20, 8
2023/7/12, 37, 12, 25, 10
2023/7/13, 22, , , 
2023/4/1, 90, 48, 26, 8
2023/4/2, 71, 52, 17, 5
2023/4/3, 71, 49, 22, 6
2023/4/4, 77, 59, 18, 5
2023/4/5, 95, 55, 17, 5
2023/4/6, 80, 41, 18, 4
2023/4/7, 57, , , 
2023/4/9, 118, 59, 24, 5
2023/4/10, 90, 61, 24, 9
2023/4/11, 97, 52, 17, 5
2023/4/12, 81, 38, 18, 6
2023/4/13, 54, 30, 11, 2
2023/4/14, 43, , , 
2023/4/21, 124, 59, 11, 2
2023/4/22, 82, , , 
2023/5/9, 60, 37, 24, 8
2023/5/10, 52, 30, 20, 7
2023/5/11, 41, 24, 21, 8
2023/5/12, 32, 36, 16, 5
2023/5/13, 43, 34, 19, 5
2023/5/14, 47, 45, 27, 4
2023/5/15, 64, 39, 6, 1
2023/5/16, 61, , , 
2023/6/4, 49, 34, 13, 6
2023/6/5, 46, 45, 22, 9
2023/6/6, 61, 57, 22, 7
2023/6/7, 78, 53, 27, 9
2023/6/8, 73, 22, 12, 5
2023/6/9, 29, 39, 13, 5
2023/6/10, 50, 49, 15, 4
2023/6/11, 70, 54, 17, 4
2023/6/12, 78, 35, 16, 4
2023/6/13, 44, 39, 6, 4
2023/6/14, 49, , , 
2023/6/18, 20, 22, 15, 1
2023/6/19, 36, 14, 19, 2
2023/6/20, 20, 26, 17, 2
2023/6/21, 41, 26, 12, 2
2023/6/22, 36, 18, 8, 1
2023/6/23, 25, , , 
2023/6/25, 20, 37, 6, 2
2023/6/26, 50, 52, 5, 1
2023/6/27, 68, 23, 11, 1
2023/6/28, 32, 34, 7, 1
2023/6/29, 48, , , 
2023/1/2, 122, 79, 6, 5
2023/1/3, 130, 68, 5, 3
2023/1/4, 113, 73, 10, 7
2023/1/5, 131, 63, 9, 6
2023/1/6, 111, , , 
2023/1/8, 102, 72, 4, 3
2023/1/9, 127, 71, 4, 3
2023/1/10, 118, 57, 8, 4
2023/1/11, 93, 70, 7, 4
2023/1/12, 109, 64, 12, 4
2023/1/13, 85, , , 
2023/1/15, 86, 47, 11, 6
2023/1/16, 68, 62, 9, 5
