date,min,max,median,q1,q3,stdev,count
2022-05-28T00:00:00.000Z,6.3,39.6,20.9,18.2,22.95,4.673,465
2022-05-29T00:00:00.000Z,4.7,58.7,24.1,19.8,26.8,6.467,627
2022-05-30T00:00:00.000Z,0,53.4,20.3,14.05,28.05,10.102,608
2022-05-31T00:00:00.000Z,17.4,39.7,27.4,24.4,30.2,3.83,612
2022-06-01T00:00:00.000Z,1.3,37,23.35,21.4,28.2,7.01,628
2022-06-02T00:00:00.000Z,3.4,33.1,20.3,11.95,23.5,7.199,621
2022-06-03T00:00:00.000Z,10.8,27.9,19.5,16.1,21.8,3.864,634
2022-06-04T00:00:00.000Z,13.1,35.2,24.9,18.89,28.1,5.465,589
2022-06-05T00:00:00.000Z,7.6,92.1,26.1,22,30,6.287,640
2022-06-06T00:00:00.000Z,1.4,30.8,18.35,11.3,23.3,8.145,622
2022-06-07T00:00:00.000Z,9.1,40.2,20.7,16.1,25.3,7.077,626
2022-06-08T00:00:00.000Z,0.6,189.9,24.7,14.3,29.3,12.632,621
2022-06-09T00:00:00.000Z,21,77,32.4,26.95,36.29,6.979,637
2022-06-10T00:00:00.000Z,14.7,67.7,26.2,24.5,29,9.662,620
2022-06-11T00:00:00.000Z,19.4,110.7,34.95,32.29,39.2,7.589,618
2022-06-12T00:00:00.000Z,13.4,135.1,29.15,25.4,31.55,7.715,624
2022-06-13T00:00:00.000Z,1,40.7,19,12,26.3,9.018,630
2022-06-14T00:00:00.000Z,2.6,27.8,15.8,12.6,18.8,4.682,631
2022-06-15T00:00:00.000Z,7.5,37.9,19.5,15.95,23.6,5.654,620
2022-06-16T00:00:00.000Z,4.1,28.7,11.3,8.3,14.4,4.664,639
2022-06-17T00:00:00.000Z,4.8,70.8,14.6,10.7,19.3,10.047,577
2022-06-18T00:00:00.000Z,4.2,32.7,11.5,8.4,18.5,7.31,635
2022-06-19T00:00:00.000Z,1.8,96.5,13.4,6.2,23.7,18.36,613
2022-06-20T00:00:00.000Z,2.4,106.4,20.1,8.8,26.6,21.657,631
2022-06-21T00:00:00.000Z,4.9,137.6,20,12.95,31.55,30.21,641
2022-06-22T00:00:00.000Z,3.6,89.4,23.6,14.55,33.79,17.287,640
2022-06-23T00:00:00.000Z,11.4,83.9,34.45,27.85,46.65,17.818,620
2022-06-24T00:00:00.000Z,6.6,31.9,21.6,15.45,24.8,6.36,620
2022-06-25T00:00:00.000Z,8.9,32.4,20.6,15.7,22.5,4.34,628
2022-06-26T00:00:00.000Z,7.3,38.9,23.3,21.8,25.2,4.706,623
2022-06-27T00:00:00.000Z,7.4,43.1,18.5,11.1,27.6,9.853,630
2022-06-28T00:00:00.000Z,13.4,49.7,24.3,18.3,29,7.3,615
2022-06-29T00:00:00.000Z,1.8,56.2,32,19.1,40.2,14.299,630
2022-06-30T00:00:00.000Z,8,73.4,27.9,21.3,34.9,10.961,642
2022-07-01T00:00:00.000Z,17.3,28.1,22.4,20.9,23.8,2.176,630
2022-07-02T00:00:00.000Z,3.6,55.8,15.8,11.9,21.4,7.335,629
2022-07-03T00:00:00.000Z,8.1,36,24.6,19.1,26.6,5.578,636
2022-07-04T00:00:00.000Z,10.8,43.8,25.8,19.6,30.7,6.759,628
2022-07-05T00:00:00.000Z,0.2,32,13.9,10.8,18.75,7.884,636
2022-07-06T00:00:00.000Z,4,52.6,25.75,9.3,33.1,12.851,618
