date,max
2021-10-08,99.1
2021-10-09,85.6
2021-10-10,40.5
2021-10-11,243.9
2021-10-12,32.2
2021-10-13,201.3
2021-10-14,214.4
2021-10-15,28.3
2021-10-16,37.3
2021-10-17,35
2021-10-18,60.4
2021-10-19,138.3
2021-10-20,98.8
2021-10-21,62.8
2021-10-22,34.6
2021-10-23,172.4
2021-10-24,131.7
2021-10-25,174.8
2021-10-26,227.1
2021-10-27,277.6
2021-10-28,95.5
2021-10-29,44.9
2021-10-30,60.7
2021-10-31,308.5
2021-11-01,77.3
2021-11-02,56.8
2021-11-03,109.2
2021-11-04,67.8
2021-11-05,91.6
2021-11-06,70.9
2022-02-04,73.5
2022-02-05,288.3
2022-02-06,113.3
2022-02-07,108.2
2022-02-08,58.4
2022-02-09,69.7
2022-02-10,118.2
2022-02-11,158.3
2022-02-12,459.3
2022-02-13,47.1
2022-02-14,100.1
2022-02-15,587.4
2022-02-16,238.9
2022-02-17,146.7
2022-02-18,84.5
2022-02-19,83.8
2022-02-20,69.7
2022-02-21,242.6
2022-02-22,66.7
2022-02-23,97.6
2022-02-24,173.6
2022-02-25,149.8
2022-02-26,221.4
2022-02-27,298.7
2022-02-28,265.1
2022-03-01,210.9
2022-03-02,198.7
2022-03-03,159.1
2022-03-04,106
2022-03-05,81.4
2022-03-06,101.7
2022-03-07,241.5
2022-03-08,162.4
2022-03-09,80.3
2022-03-10,68
2022-03-11,88.1
2022-03-12,63.2
2022-03-13,74
2022-03-14,135.4
2022-03-15,117.6
2022-03-16,89.7
2022-03-17,105.5
2022-03-18,136.4
2022-03-19,88
2022-03-20,70.5
2022-03-21,85.3
2022-03-22,295.4
2022-03-23,126.1
2022-03-24,91.2
2022-03-25,128.2
2022-03-26,120.2
2022-03-27,72.5
2022-03-28,117.2
2022-03-29,163.5
2022-03-30,122.7
2022-03-31,129.4
2022-04-01,45
2022-04-02,70.1
2022-04-03,98.4
2022-04-04,115.5
2022-04-05,132.9
2022-04-06,218.7
2022-04-07,203.9
2022-04-08,201.4
2022-04-09,232.1
2022-04-10,81.2
2022-04-11,127.4
2022-04-12,95.3
2022-04-13,120.2
2022-04-14,80.6
2022-04-15,379.2
2022-04-16,94.8
2022-04-17,44.2
2022-04-18,282.8
2022-04-19,79.1
2022-04-20,142.6
2022-04-21,94.3
2022-04-22,133.8
2022-04-23,254.8
2022-04-24,273
2022-04-25,97.2
2022-04-26,87.1
2022-04-27,72.3
2022-04-28,94.3
2022-04-29,144.3
2022-04-30,65.1
2022-05-01,41.4
2022-05-02,79
2022-05-03,121.9
2022-05-04,88.4
2022-05-05,108
2022-05-06,110.9
2022-05-07,62.1
2022-05-08,46.6
2022-05-09,96.1
2022-05-10,57.7
2022-05-11,105.1
2022-05-12,60.9
2022-05-13,60.3
2022-05-14,88.4
2022-05-15,52.5
2022-05-16,48.8
2022-05-17,59.4
2022-05-18,70.5
2022-05-19,139.3
2022-05-20,63.2
2022-05-21,64.8
2022-05-22,64.8
2022-05-23,46.1
2022-05-24,59.7
2022-05-25,72.7
2022-05-26,70.4
2022-05-27,58.7
2022-05-28,56.5
2022-05-29,85.7
2022-05-30,77.6
2022-05-31,61.1
2022-06-01,53.2
2022-06-02,49.1
2022-06-03,40.5
2022-06-04,50
2022-06-05,174.5
2022-06-06,43.7
2022-06-07,61.9
2022-06-08,638.2
2022-06-09,113.9
2022-06-10,106.5
2022-06-11,175.5
2022-06-12,298.3
2022-06-13,58.4
2022-06-14,41
2022-06-15,58.5
2022-06-16,42.5
2022-06-17,105.3
2022-06-18,48.3
2022-06-19,135.8
2022-06-20,151
2022-06-21,195
2022-06-22,124.5
2022-06-23,121.6
2022-06-24,46.6
2022-06-25,47.6
2022-06-26,55.7
2022-06-27,60
2022-06-28,67.3
2022-06-29,80.9
2022-06-30,113.3
2022-07-01,41.4
2022-07-02,82.1
2022-07-03,51.5
2022-07-04,61.2
2022-07-05,44.7
2022-07-06,84.9
2022-07-07,50.7
2022-07-08,101.9
2022-07-09,75.5
2022-07-10,63.1
2022-07-11,147.4
2022-07-12,57.9
2022-07-13,94.9
2022-07-14,80.4
2022-07-15,85.1
2022-07-16,78.4
2022-07-17,43.7
2022-07-18,49.6
2022-07-19,54.1
2022-07-20,90.5
2022-07-21,35.5
2022-07-22,52.7
2022-07-23,50.2
2022-07-24,41.6
2022-07-25,42.9
2022-07-26,43
2022-07-27,79.1
2022-07-28,54.1
2022-07-29,50.6
2022-07-30,128.2
2022-07-31,55
2022-08-01,52.6
2022-08-02,60.8
2022-08-03,59.7
2022-08-04,74.8
2022-08-05,57.2
2022-08-06,73.5
2022-08-07,60.2
2022-08-08,248.7
2022-08-09,77
2022-08-10,151.7
2022-08-11,48.5
2022-08-12,65.2
2022-08-13,70.5
2022-08-14,61.9
2022-08-15,61.6
2022-08-16,64.3
2022-08-17,54.2
2022-08-18,68.7
2022-08-19,103.1
2022-08-20,42.9
2022-08-21,115.9
2022-08-22,54.7
2022-08-23,76.7
2022-08-24,96.7
2022-08-25,56.4
2022-08-26,37.8
2022-08-27,37.4
2022-08-28,39.9
2022-08-29,68.6
2022-08-30,52.2
2022-08-31,91.7
2022-09-01,99.1
2022-09-02,71.3
2022-09-03,67
2022-09-04,50.4
2022-09-05,203.7
2022-09-06,98.7
2022-09-07,96.2
2022-09-08,72.2
2022-09-09,64.2
2022-09-10,57
2022-09-11,53.8
2022-09-12,61.8
2022-09-13,115.9
2022-09-14,94.7
2022-09-15,57.6
2022-09-16,85.2
2022-09-17,125.6
2022-09-18,109.8
2022-09-19,131.6
2022-09-20,85.1
2022-09-21,87.1
2022-09-22,73.6
2022-09-23,60.1
2022-09-24,87.1
2022-09-25,78.4
2022-09-26,183.7
2022-09-27,214.3
2022-09-28,113.8
2022-09-29,84.9
2022-09-30,105.4
2022-10-01,43.9
2022-10-02,96.2
2022-10-03,90.1
2022-10-04,91.6
2022-10-05,94.4
2022-10-06,110.3
2022-10-07,231.2
2022-10-08,149.4
2022-10-09,55
2022-10-10,58.2
2022-10-11,157
2022-10-12,107.2
2022-10-13,296.3
2022-10-14,231.5
2022-10-15,260.8
2022-10-16,139.2
2022-10-17,142.3
2022-10-18,105.3
2022-10-21,59.1
2022-10-22,235.2
2022-10-23,168.1
2022-10-24,166.6
2022-10-25,134
2022-10-26,122.7
2022-10-27,31.5
2022-10-28,71.5
2022-10-29,98.4
2022-10-30,63.8
2022-10-31,35.6
2022-11-01,162.2
2022-11-02,167.3
2022-11-03,259.4
2022-11-04,210.3
2022-11-05,133.4
2022-11-06,133.2
2022-11-07,158.1
2022-11-08,158.5
2022-11-09,144.2
2022-11-10,139.7
2022-11-11,74.6
2022-11-12,77.7
2022-11-13,101.7
2022-11-14,128
2022-11-15,73.4
2022-11-16,76.6
2022-11-17,61.5
2022-11-18,52.8
2022-11-19,57
2022-11-20,130
2022-11-21,179.3
2022-11-22,232.3
2022-11-23,130.7
2022-11-24,270.2
2022-11-25,269.7
2022-11-26,216.6
2022-11-27,42.8
2022-11-28,261.2
2022-11-29,50
2022-11-30,51
2022-12-01,36.9
2022-12-02,207.3
2022-12-03,117.9
2022-12-04,147.3
2022-12-05,318
2022-12-06,182.5
2022-12-07,148
2022-12-08,226.5
2022-12-09,160
2022-12-10,106.3
2022-12-11,173.4
2022-12-12,225.5
2022-12-13,748.5
2022-12-14,245.9
2022-12-15,400.7
2022-12-16,440
2022-12-17,81.6
2022-12-18,201
2022-12-19,189.8
2022-12-20,237.5
2022-12-21,289.3
2022-12-22,191.6
2022-12-23,191.9
2022-12-24,174.2
2022-12-25,222.1
2022-12-26,219.2
2022-12-27,107.6
2022-12-28,135.1
2022-12-29,171.4
2022-12-30,150.8
2022-12-31,226.6
2023-01-01,223.6
2023-01-02,155.5
2023-01-03,166.9
2023-01-04,160.9
2023-01-05,113.3
2023-01-06,86.6
2023-01-07,313.3
2023-01-08,166.7
2023-01-09,332.1
2023-01-10,220.3
2023-01-11,119
2023-01-12,127.9
2023-01-13,292.2
2023-01-14,176
2023-01-15,338.6
2023-01-16,77.5
2023-01-17,151.4
2023-01-18,190.5
2023-01-19,210.3
2023-01-26,210.1
2023-01-27,91.9
2023-01-28,123.6
2023-01-29,215.2
2023-01-30,247.1
2023-01-31,142.3
2023-02-01,129.2
2023-02-02,267.6
2023-02-03,76.8
2023-02-04,90.5
2023-02-05,58.8
2023-02-06,68.1
2023-02-07,110.2
2023-02-08,56.3
2023-02-09,55.2
2023-02-10,61.9
2023-02-11,57.4
2023-02-12,74.9
2023-02-13,243.9
2023-02-14,204.8
2023-02-15,142
2023-02-16,112.1
2023-02-17,165
2023-02-18,140
2023-02-19,294.3
2023-02-20,375.1
2023-02-21,93.5
2023-02-22,92.4
2023-02-23,87.3
2023-02-24,95.3
2023-02-25,168.5
2023-02-26,113.3
2023-02-27,130.7
2023-02-28,97.5
2023-03-01,204.9
2023-03-02,176.4
2023-03-03,170.1
2023-03-04,135.6
2023-03-05,147.7
2023-03-06,113.4
2023-03-07,92.1
2023-03-08,216
2023-03-09,196.7
2023-03-10,155
2023-03-11,149.3
2023-03-12,120
2023-03-13,120
2023-03-14,89.6
2023-03-15,110.8
2023-03-16,57.6
2023-03-17,110.6
2023-03-18,77.8
2023-03-19,55
2023-03-20,83.4
2023-03-21,89.9
2023-03-22,123.6
2023-03-23,432.6
2023-03-24,456.5
2023-03-25,250.3
2023-03-26,60.9
2023-03-27,570.5
2023-03-28,113.4
2023-03-29,321.4
2023-03-30,250.2
2023-03-31,547.1
2023-04-01,240.9
2023-04-02,140.4
2023-04-03,191.7
2023-04-04,229.2
2023-04-05,212.2
2023-04-06,290.8
2023-04-07,226.8
2023-04-08,101.4
2023-04-09,503.1
2023-04-10,123.9
2023-04-11,111
2023-04-12,74.4
2023-04-13,59.6
2023-04-14,313.6
2023-04-15,92.6
2023-04-16,289.9
2023-04-17,81.4
2023-04-18,92.3
2023-04-19,178
2023-04-20,127.1
2023-04-21,215.6
2023-04-22,63.9
2023-04-23,70.1
2023-04-24,102.2
2023-04-25,56.9
2023-04-26,267.6
2023-04-27,72.1
2023-04-28,170.6
2023-04-29,40.9
2023-04-30,94.5
2023-05-01,55
2023-05-02,51.6
2023-05-03,41
2023-05-04,52.7
2023-05-05,55.6
2023-05-06,66.8
2023-05-07,72.9
2023-05-08,77.4
2023-05-09,113.4
2023-05-10,47.2
2023-05-11,36.4
2023-05-12,46.8
2023-05-13,59.8
2023-05-14,165.6
2023-05-15,59.8
2023-05-16,89
2023-05-17,81.9
2023-05-18,63.3
2023-05-19,76.7
2023-05-20,64.6
2023-05-21,57.2
2023-05-22,70.5
2023-05-23,66.7
2023-05-24,69.5
2023-05-25,55.1
2023-05-26,53.3
2023-05-27,39.9
2023-05-28,42
2023-05-29,56.1
2023-05-30,71.3
2023-05-31,128.3
2023-06-01,73.5
2023-06-02,109
2023-06-03,149.9
2023-06-04,78.6
2023-06-05,66.2
2023-06-06,78.3
2023-06-07,204.7
2023-06-08,68.4
2023-06-09,56.1
2023-06-10,95.2
2023-06-11,91.9
2023-06-12,81.2
2023-06-13,49.8
2023-06-14,48.3
2023-06-15,59.6
2023-06-16,77.7
2023-06-17,40.2
2023-06-18,47.5
2023-06-19,76.8
2023-06-20,47.6
2023-06-21,65.6
2023-06-22,56
2023-06-23,49.3
2023-06-24,47.9
2023-06-25,48.4
2023-06-26,56.7
2023-06-27,37.2
2023-06-28,41.3
2023-06-29,56.7
2023-06-30,60.4
2023-07-01,52.1
2023-07-02,42.6
2023-07-03,51.1
2023-07-04,41.7
2023-07-05,42.6
2023-07-06,36.1
2023-07-07,35.2
2023-07-08,45.6
2023-07-09,52.4
2023-07-10,44.6
2023-07-11,51
2023-07-12,48.7
2023-07-13,46.6
2023-07-14,47.3
2023-07-15,61.2
2023-07-16,159.2
2023-07-17,132.3
2023-07-18,70.2
2023-07-19,96.3
2023-07-20,128.7
2023-07-21,83.4
2023-07-22,44.7
2023-07-23,32.8
2023-07-24,48.4
2023-07-25,57
2023-07-26,44
2023-07-27,50.8
2023-07-28,135.8
2023-07-29,62.9
2023-07-30,55.1
2023-07-31,53.3
2023-08-01,54.2
2023-08-02,62.3
2023-08-03,50.8
2023-08-04,47.5
2023-08-05,19
2023-08-06,26.5
2023-08-07,21.1
2023-08-08,27.4
2023-08-09,67.8
2023-08-10,56.9
2023-08-11,58.5
2023-08-12,41.5
2023-08-13,38.1
2023-08-14,23.8
2023-08-15,41.6
2023-08-16,38.5
2023-08-17,33.3
2023-08-18,47.9
2023-08-19,50.7
2023-08-20,26.9
2023-08-21,30.6
2023-08-22,65.7
2023-08-23,41
2023-08-24,61.1
2023-08-25,34.8
2023-08-26,32.5
2023-08-27,49.9
2023-08-28,28.6
2023-08-29,30.8
2023-08-30,41.5
2023-08-31,57.5
2023-09-01,94.3
2023-09-02,69.1
2023-09-03,41.7
2023-09-04,62
2023-09-05,64.9
2023-09-06,45
2023-09-07,54.8
2023-09-08,33.7
2023-09-09,63.2
2023-09-10,50.2
2023-09-11,35.1
2023-09-12,48.7
2023-09-13,16.8
2023-09-14,25
2023-09-15,31.3
2023-09-16,60.5
2023-09-17,33.2
2023-09-18,23
2023-09-19,18.6
2023-09-20,21.7
2023-09-21,20.5
2023-09-22,63.5
2023-09-23,27.9
2023-09-24,48.4
2023-09-25,68.5
2023-09-26,32.5
2023-09-27,20.5
2023-09-28,25.4
2023-09-29,36.9
2023-09-30,69
2023-10-01,34.2
2023-10-02,37.7
2023-10-03,42.6
2023-10-04,43.9
2023-10-05,32
2023-10-06,32.7
2023-10-07,29.7
2023-10-08,28.2
2023-10-09,38.2
2023-10-10,32.6
2023-10-11,30.3
2023-10-12,35.2
2023-10-13,89.8
2023-10-14,44.8
2023-10-15,49.7
2023-10-16,83.3
2023-10-17,96.5
2023-10-18,110.2
2023-10-19,68.8
2023-10-20,41.9
2023-10-21,32.3
2023-10-22,63.7
2023-10-23,74.1
2023-10-24,128.6
2023-10-25,72
2023-10-26,87.9
2023-10-27,78.7
2023-10-28,32.6
2023-10-29,30.3
2023-10-30,76.2
2023-10-31,115.6
2023-11-01,72.1
2023-11-02,97.2
2023-11-03,37
2023-11-04,27.8
2023-11-05,33.9
2023-11-06,39.9
2023-11-07,58.2
2023-11-08,55.9
2023-11-09,55.7
2023-11-10,35.5
2023-11-11,30.4
2023-11-12,26.4
2023-11-13,13
2023-11-14,24.5
2023-11-15,66.8
2023-11-16,51.1
2023-11-17,96
2023-11-18,135.1
2023-11-19,114.4
2023-11-20,111.1
2023-11-21,108.2
2023-11-22,113.8
2023-11-23,98.4
2023-11-24,94.7
2023-11-25,73.3
