date,pm25,pm10
8/10/2021,99.1,105.8
9/10/2021,85.6,91.7
10/10/2021,40.5,47.7
11/10/2021,243.9,282.7
12/10/2021,32.2,37.3
13/10/2021,201.3,240.9
14/10/2021,214.4,259.1
15/10/2021,28.3,37.8
16/10/2021,37.3,44.9
17/10/2021,35,40.8
18/10/2021,60.4,65.5
19/10/2021,138.3,150.6
20/10/2021,98.8,112.4
21/10/2021,62.8,74.4
22/10/2021,34.6,41.4
23/10/2021,172.4,184
24/10/2021,131.7,142.9
25/10/2021,174.8,190.7
26/10/2021,227.1,248.7
27/10/2021,277.6,303.6
28/10/2021,95.5,104.4
29/10/2021,44.9,54.7
30/10/2021,60.7,66.8
31/10/2021,308.5,389.4
1/11/2021,77.3,88.4
2/11/2021,56.8,65
3/11/2021,109.2,119
4/11/2021,67.8,76.1
5/11/2021,91.6,100.1
6/11/2021,70.9,78.4
4/02/2022,73.5,80.9
5/02/2022,288.3,377.2
6/02/2022,113.3,129.4
7/02/2022,108.2,119.8
8/02/2022,58.4,68.9
9/02/2022,69.7,77.5
10/02/2022,118.2,131.5
11/02/2022,158.3,176.4
12/02/2022,459.3,540.1
13/02/2022,47.1,57.9
14/02/2022,100.1,108.6
15/02/2022,587.4,835.9
16/02/2022,238.9,332
17/02/2022,146.7,168.5
18/02/2022,84.5,93.3
19/02/2022,83.8,95.3
20/02/2022,69.7,81.8
21/02/2022,242.6,265.5
22/02/2022,66.7,76.6
23/02/2022,97.6,107.5
24/02/2022,173.6,212.1
25/02/2022,149.8,163.6
26/02/2022,221.4,245.9
27/02/2022,298.7,333.2
28/02/2022,265.1,297.7
1/03/2022,210.9,242.6
2/03/2022,198.7,222.5
3/03/2022,159.1,181.7
4/03/2022,106,117
5/03/2022,81.4,90
6/03/2022,101.7,110.8
7/03/2022,241.5,264.5
8/03/2022,162.4,179.4
9/03/2022,80.3,92.6
10/03/2022,68,76.5
11/03/2022,88.1,98.6
12/03/2022,63.2,75.2
13/03/2022,74,83.8
14/03/2022,135.4,148.7
15/03/2022,117.6,130.6
16/03/2022,89.7,98.6
17/03/2022,105.5,118.2
18/03/2022,136.4,150.6
19/03/2022,88,99.3
20/03/2022,70.5,82.2
21/03/2022,85.3,93.3
22/03/2022,295.4,314.8
23/03/2022,126.1,139.6
24/03/2022,91.2,101.5
25/03/2022,128.2,151.3
26/03/2022,120.2,135.3
27/03/2022,72.5,80.6
28/03/2022,117.2,127
29/03/2022,163.5,191.6
30/03/2022,122.7,138.9
31/03/2022,129.4,148.7
1/04/2022,45,55.1
2/04/2022,70.1,78.9
3/04/2022,98.4,111.8
4/04/2022,115.5,128.7
5/04/2022,132.9,144.5
6/04/2022,218.7,238.5
7/04/2022,203.9,222.2
8/04/2022,201.4,220.3
9/04/2022,232.1,259.7
10/04/2022,81.2,87.7
11/04/2022,127.4,144.5
12/04/2022,95.3,103.3
13/04/2022,120.2,131.9
14/04/2022,80.6,90.8
15/04/2022,379.2,441.2
16/04/2022,94.8,103.2
17/04/2022,44.2,51.9
18/04/2022,282.8,305
19/04/2022,79.1,85
20/04/2022,142.6,153.1
21/04/2022,94.3,103.5
22/04/2022,133.8,146.4
23/04/2022,254.8,280.5
24/04/2022,273,294.3
25/04/2022,97.2,105.9
26/04/2022,87.1,95.2
27/04/2022,72.3,84.6
28/04/2022,94.3,99.9
29/04/2022,144.3,154.5
30/04/2022,65.1,75.1
1/05/2022,41.4,50.5
2/05/2022,79,85.8
3/05/2022,121.9,134.7
4/05/2022,88.4,96.6
5/05/2022,108,117.7
6/05/2022,110.9,118.9
7/05/2022,62.1,73
8/05/2022,46.6,58.4
9/05/2022,96.1,104.7
10/05/2022,57.7,70.4
11/05/2022,105.1,115.8
12/05/2022,60.9,71.9
13/05/2022,60.3,70.8
14/05/2022,88.4,99.8
15/05/2022,52.5,67.8
16/05/2022,48.8,61.6
17/05/2022,59.4,71.2
18/05/2022,70.5,78.6
19/05/2022,139.3,148.9
20/05/2022,63.2,74.5
21/05/2022,64.8,74.5
22/05/2022,64.8,74.2
23/05/2022,46.1,56.9
24/05/2022,59.7,72.9
25/05/2022,72.7,82.3
26/05/2022,70.4,80.3
27/05/2022,58.7,71.2
28/05/2022,56.5,94383
29/05/2022,85.7,66.4
30/05/2022,77.6,82.6
31/05/2022,61.1,73.1
1/06/2022,53.2,67.6
2/06/2022,49.1,59.1
3/06/2022,40.5,49.6
4/06/2022,50,62.6
5/06/2022,174.5,193.8
6/06/2022,43.7,53.7
7/06/2022,61.9,72.6
8/06/2022,638.2,747.9
9/06/2022,113.9,121.1
10/06/2022,106.5,118
11/06/2022,175.5,188.6
12/06/2022,298.3,330.2
13/06/2022,58.4,69.7
14/06/2022,41,49.6
15/06/2022,58.5,70.9
16/06/2022,42.5,52.5
17/06/2022,105.3,112.2
18/06/2022,48.3,60.3
19/06/2022,135.8,144
20/06/2022,151,159.5
21/06/2022,195,205.7
22/06/2022,124.5,130.6
23/06/2022,121.6,130.1
24/06/2022,46.6,58
25/06/2022,47.6,60.3
26/06/2022,55.7,67.7
27/06/2022,60,70.4
28/06/2022,67.3,74.3
29/06/2022,80.9,88
30/06/2022,113.3,123
1/07/2022,41.4,50.7
2/07/2022,82.1,90.4
3/07/2022,51.5,64.3
4/07/2022,61.2,70.4
5/07/2022,44.7,55.5
6/07/2022,84.9,92.5
7/07/2022,50.7,62.1
8/07/2022,101.9,109.3
9/07/2022,75.5,82.6
10/07/2022,63.1,76.5
11/07/2022,147.4,194.3
12/07/2022,57.9,71.9
13/07/2022,94.9,100.1
14/07/2022,80.4,98.7
15/07/2022,85.1,96.3
16/07/2022,78.4,85
17/07/2022,43.7,52.8
18/07/2022,49.6,61.2
19/07/2022,54.1,64
20/07/2022,90.5,97.5
21/07/2022,35.5,41.8
22/07/2022,52.7,67.4
23/07/2022,50.2,65.4
24/07/2022,41.6,49.2
25/07/2022,42.9,52.5
26/07/2022,43,51.6
27/07/2022,79.1,87.4
28/07/2022,54.1,64.6
29/07/2022,50.6,63.1
30/07/2022,128.2,140.3
31/07/2022,55,69.2
1/08/2022,52.6,65.6
2/08/2022,60.8,71.6
3/08/2022,59.7,69.8
4/08/2022,74.8,82.6
5/08/2022,57.2,69.9
6/08/2022,73.5,87.5
7/08/2022,60.2,73.2
8/08/2022,248.7,276.9
9/08/2022,77,84.9
10/08/2022,151.7,164.1
11/08/2022,48.5,60.9
12/08/2022,65.2,78.4
13/08/2022,70.5,79.4
14/08/2022,61.9,75.3
15/08/2022,61.6,72
16/08/2022,64.3,74.4
17/08/2022,54.2,67.9
18/08/2022,68.7,76.6
19/08/2022,103.1,108.2
20/08/2022,42.9,52.2
21/08/2022,115.9,123.4
