date,min,max,median,q1,q3,stdev,count
2021-10-08T00:00:00.000Z,29.2,99.1,42.65,37,51.3,19.276,448
2021-10-09T00:00:00.000Z,10,85.6,31.4,24,39.75,19.812,605
2021-10-10T00:00:00.000Z,1.5,40.5,16.05,6.4,31.9,11.777,586
2021-10-11T00:00:00.000Z,2.3,243.9,14.1,9.1,18.3,11.046,581
2021-10-12T00:00:00.000Z,8.7,32.2,17.6,15.3,22.1,5.021,599
2021-10-13T00:00:00.000Z,8.9,201.3,23.8,20.2,27.3,12.36,584
2021-10-14T00:00:00.000Z,2.2,214.4,8.7,6.6,14.3,10.941,575
2021-10-15T00:00:00.000Z,5.1,28.3,13.1,8.9,15.6,4.106,577
2021-10-16T00:00:00.000Z,0.6,37.3,7.7,4,17.95,9.363,569
2021-10-17T00:00:00.000Z,5,35,15,8.2,19.2,5.901,594
2021-10-18T00:00:00.000Z,7.1,60.4,16.8,12,32.79,13.552,583
2021-10-19T00:00:00.000Z,33.6,138.3,58.1,47.5,73.7,17.053,616
2021-10-20T00:00:00.000Z,20.5,98.8,49.55,38.4,64.9,17.981,594
2021-10-21T00:00:00.000Z,1.7,62.8,17.25,8.1,27.4,14.953,586
2021-10-22T00:00:00.000Z,5.3,34.6,21.8,10.95,24.55,7.605,601
2021-10-23T00:00:00.000Z,24.6,172.4,43.05,34.2,62.9,28.679,578
2021-10-24T00:00:00.000Z,27.3,131.7,48.9,37.4,83.6,26.192,603
2021-10-25T00:00:00.000Z,36.1,174.8,88.7,44.8,109.35,36.444,616
2021-10-26T00:00:00.000Z,84.7,227.1,153.9,126,188,39.206,622
2021-10-27T00:00:00.000Z,46.6,277.6,103.5,56.1,180.1,65.916,611
2021-10-28T00:00:00.000Z,23.1,95.5,54.7,45.1,73.4,17.135,609
2021-10-29T00:00:00.000Z,3,44.9,30.4,22.85,35.7,11.22,592
2021-10-30T00:00:00.000Z,4.6,60.7,13.1,9.6,17.45,6.201,605
2021-10-31T00:00:00.000Z,14.4,308.5,40.9,29.1,44.3,29.084,629
2021-11-01T00:00:00.000Z,14.2,77.3,25.2,21.5,29.65,6.488,601
2021-11-02T00:00:00.000Z,15.4,56.8,32,24.6,36.1,6.763,604
2021-11-03T00:00:00.000Z,24.8,109.2,44.7,38.1,52.1,15.765,597
2021-11-04T00:00:00.000Z,11.4,67.8,41.65,21,46.4,14.76,590
2021-11-05T00:00:00.000Z,17.8,91.6,39.79,29.8,43.7,8.823,599
2021-11-06T00:00:00.000Z,22.7,70.9,37.29,33.8,40.5,6.019,565
2022-02-04T00:00:00.000Z,43.7,73.5,50.6,47.8,59.4,6.862,357
2022-02-05T00:00:00.000Z,46.6,288.3,84.1,57,92.2,28.779,623
2022-02-06T00:00:00.000Z,52,113.3,74.05,67.1,79.8,11.109,632
2022-02-07T00:00:00.000Z,29.6,108.2,68.7,60.4,90.4,19.42,595
2022-02-08T00:00:00.000Z,16.7,58.4,37.6,28.4,43.5,9.555,598
2022-02-09T00:00:00.000Z,19.5,69.7,30.6,24,39.1,7.972,606
2022-02-10T00:00:00.000Z,36.7,118.2,66.7,55.2,71.09,10.829,610
2022-02-11T00:00:00.000Z,31.1,158.3,51.5,43.5,92.3,31.479,615
2022-02-12T00:00:00.000Z,4.2,459.3,31.1,16.4,40.2,24.428,602
2022-02-13T00:00:00.000Z,4.5,47.1,23.35,13.7,33.35,12.114,604
2022-02-14T00:00:00.000Z,25.9,100.1,55.8,37.25,72.3,17.851,604
2022-02-15T00:00:00.000Z,42.5,587.4,62.3,49.3,80.4,65.858,626
