date,max
2022-05-28,280.5
2022-05-29,120
2022-05-30,184
2022-05-31,186.4
2022-06-01,75.4
2022-06-02,258.4
2022-06-03,239.7
2022-06-04,106.8
2022-06-05,247.6
2022-06-06,325.8
2022-06-07,369.2
2022-06-08,362
2022-06-09,201.7
2022-06-10,150.6
2022-06-11,168.8
2022-06-12,83.6
2022-06-13,118.2
2022-06-14,84.3
2022-06-15,144.7
2022-06-16,152.1
2022-06-17,212.3
2022-06-18,63.1
2022-06-19,112.7
2022-06-20,71.8
2022-06-21,210
2022-06-22,62.7
2022-06-23,78.7
2022-06-24,146.3
2022-06-25,74.3
2022-06-26,72
2022-06-27,59.1
2022-06-28,142.9
2022-06-29,198.3
2022-06-30,100.8
2022-07-01,284.6
2022-07-02,95.7
2022-07-03,103
2022-07-04,191.5
2022-07-05,155.4
2022-07-07,278.1
2022-07-08,258.6
2022-07-09,202.5
2022-07-10,205.3
2022-07-11,223.9
2022-07-12,121.7
2022-07-13,191.8
2022-07-14,246.1
2022-07-15,81.7
2022-07-16,104.9
2022-07-17,87.9
2022-07-18,122.2
2022-07-19,154.3
2022-07-20,249.5
2022-07-21,71
2022-07-22,207.9
2022-07-23,153.2
2022-07-24,57.9
2022-07-25,40.7
2022-07-26,175.9
2022-07-27,216
2022-07-28,218.1
2022-07-29,294.7
2022-07-30,254.7
2022-07-31,138
2022-08-01,174.2
2022-08-02,146.4
2022-08-03,183.1
2022-08-04,281.3
2022-08-05,248.6
2022-08-06,398.5
2022-08-07,112.1
2022-08-08,168.3
2022-08-09,138.6
2022-08-10,191
2022-08-11,273.3
2022-08-12,404
2022-08-13,250.1
2022-08-14,234.6
2022-08-15,138.4
2022-08-16,240.8
2022-08-17,54.5
2022-08-18,163.2
2022-08-19,325.5
2022-08-20,163.3
2022-08-21,232.2
2022-08-22,131.3
2022-08-23,191.8
2022-08-24,245.3
2022-08-25,79.5
2022-08-26,104.5
2022-08-27,152.3
2022-08-28,213.1
2022-08-29,197.9
2022-08-30,164.4
2022-08-31,114.3
2022-09-01,345.9
2022-09-02,215.4
2022-09-03,234.8
2022-09-04,128.7
2022-09-05,77.1
2022-09-06,116.7
2022-09-07,182.7
2022-09-08,330.8
2022-09-09,305
2022-09-10,272.2
2022-09-11,230.1
2022-09-12,91.4
2022-09-13,106.1
2022-09-14,179.5
2022-09-15,244.5
2022-09-16,68.8
2022-09-17,229.3
2022-09-18,286.2
2022-09-19,154.8
2022-09-20,291.4
2022-09-21,342.2
2022-09-22,383.9
2022-09-23,142.4
2022-09-24,377
2022-09-25,365.8
2022-09-26,181.2
2022-09-27,82
2022-09-28,256.1
2022-09-29,210.2
2022-09-30,175.5
