date,median
2022-02-01,47.1
2022-02-02,23.95
2022-02-03,41.3
2022-02-04,49.9
2022-02-05,71.09
2022-02-06,76.3
2022-02-07,88.3
2022-02-08,39.79
2022-02-09,62.75
2022-02-10,48.1
2022-02-11,62.6
2022-02-12,55.8
2022-02-13,26.8
2022-02-14,44.05
2022-02-15,64.4
2022-02-16,65.3
2022-02-17,47.05
2022-02-18,35.65
2022-02-19,6.4
2022-02-20,10.4
2022-02-21,20.7
2022-02-22,23.3
2022-02-23,31.9
2022-02-24,56
2022-02-25,63.4
2022-02-26,97.9
2022-02-27,141.3
2022-02-28,79.1
2022-03-01,62.8
2022-03-02,117.8
2022-03-03,76.6
2022-03-04,53.8
2022-03-05,50.3
2022-03-06,37.2
2022-03-07,58.3
2022-03-08,32.5
2022-03-09,46.4
2022-03-10,36.4
2022-03-11,40.4
2022-03-12,40.65
2022-03-13,43.2
2022-03-14,51.4
2022-03-15,83.9
2022-03-16,50.6
2022-03-17,46.7
2022-03-18,54.7
2022-03-19,48.2
2022-03-20,42.25
2022-03-21,48.5
2022-04-03,39
2022-04-04,45.25
2022-04-05,47.4
2022-04-06,80.2
2022-04-07,80.59
2022-04-08,72.4
2022-04-09,41.9
2022-04-10,51.5
2022-04-11,36.4
2022-04-12,31.75
2022-04-13,54.2
2022-04-14,57.15
2022-04-15,61.5
2022-04-16,28.2
2022-04-17,31.3
2022-04-18,20.5
2022-04-19,35
2022-04-20,64.2
2022-04-21,58.4
2022-04-22,39.6
2022-04-23,36.8
2022-04-24,40.7
2022-04-25,38.4
2022-04-26,36.5
2022-04-27,40.4
2022-04-28,40.5
2022-04-29,46.4
2022-04-30,19.6
2022-05-01,15.9
2022-05-02,37.54
2022-05-03,39.25
2022-05-04,55.4
2022-05-05,47.35
2022-05-06,34.6
2022-05-07,18.5
2022-05-08,26.9
2022-05-09,19.7
2022-05-10,32
2022-05-11,30.6
2022-05-12,29.75
2022-05-13,30.9
2022-05-14,32.25
2022-05-15,14.9
2022-05-16,16.7
2022-05-17,27.55
2022-05-18,34
2022-05-19,32.7
2022-05-20,22.2
2022-05-21,49.45
2022-05-22,13.2
2022-05-23,13
2022-05-24,34.25
2022-05-25,35.5
2022-05-26,33.95
2022-05-27,27.8
2022-05-28,97057
2022-05-29,24
2022-05-30,24.8
2022-05-31,26.9
2022-06-01,25.1
2022-06-02,18.4
2022-06-03,26.3
2022-06-04,15.2
2022-06-05,17
2022-06-06,40.54
2022-06-07,46.8
2022-06-08,28.2
2022-06-09,28.35
2022-06-10,26.2
2022-06-11,41.2
2022-06-12,25.2
2022-06-13,30.8
2022-06-14,26
2022-06-15,28.1
2022-06-16,17.95
2022-06-17,17.3
2022-06-18,17.3
2022-06-19,18.5
2022-06-20,18.89
