date,pm25,pm25
1/02/2022,188.3,200.8
2/02/2022,479.4,584.5
3/02/2022,516.6,618.4
4/02/2022,516,608
5/02/2022,947.6,1327.8
6/02/2022,642.4,784.9
7/02/2022,418.7,494.2
8/02/2022,563.1,642.2
9/02/2022,177.2,190.4
10/02/2022,538.4,646
11/02/2022,413.9,466.7
12/02/2022,377.3,446.2
13/02/2022,379.5,436.5
14/02/2022,480,556.9
15/02/2022,523.9,618.6
16/02/2022,1154.8,1507.6
17/02/2022,673.9,869.9
18/02/2022,187.5,195.6
19/02/2022,643.9,760.8
20/02/2022,90.9,101.4
21/02/2022,273.3,313.1
22/02/2022,403.6,555.9
23/02/2022,470.2,578.5
24/02/2022,464.6,576.3
25/02/2022,256.8,299.2
26/02/2022,759.4,849.7
27/02/2022,717.9,982.7
28/02/2022,616.5,782.2
1/03/2022,288.1,340.2
2/03/2022,428.8,492
3/03/2022,861.7,1026
4/03/2022,604.5,750.6
5/03/2022,477.4,567.5
6/03/2022,503.7,567.1
7/03/2022,352.4,379.7
8/03/2022,203.6,215.1
9/03/2022,615.3,694.5
10/03/2022,642.2,775.1
11/03/2022,612.7,715.4
12/03/2022,476.4,500.7
13/03/2022,605.9,703.9
14/03/2022,239.2,265.4
15/03/2022,305.9,328.7
16/03/2022,392.5,411.6
17/03/2022,749.9,810.6
18/03/2022,215.4,229.2
19/03/2022,391.5,436.5
20/03/2022,600.1,667.1
21/03/2022,86.5,91.5
3/04/2022,101.2,109.8
4/04/2022,286.6,330.8
5/04/2022,459.4,505.7
6/04/2022,530.1,619
7/04/2022,294.7,333.7
8/04/2022,570.8,638.8
9/04/2022,227.5,244.6
10/04/2022,789.7,932.7
11/04/2022,346.7,373.7
12/04/2022,235.9,240.3
13/04/2022,357.8,386.5
14/04/2022,340,375.9
15/04/2022,660.8,736.3
16/04/2022,1176.9,1559.6
17/04/2022,911.5,1261.8
18/04/2022,172.8,183.1
19/04/2022,305.1,335.4
20/04/2022,233,294.2
21/04/2022,524.7,592.4
22/04/2022,395.2,437.9
23/04/2022,208.4,223
24/04/2022,434.2,473.5
25/04/2022,397.1,443.6
26/04/2022,552.7,637
27/04/2022,172.4,182.1
28/04/2022,542.3,618.9
29/04/2022,290.4,294
30/04/2022,304.3,320.6
1/05/2022,189.4,219.3
2/05/2022,178.7,199.1
3/05/2022,190.6,208.8
4/05/2022,177.1,187.8
5/05/2022,100.5,110.8
6/05/2022,432,454.3
7/05/2022,585.8,652
8/05/2022,366.3,402.5
9/05/2022,589.2,685.7
10/05/2022,296.7,332
11/05/2022,461.1,523.2
12/05/2022,467.1,538.1
13/05/2022,121.8,133.1
14/05/2022,390.3,463.2
15/05/2022,331,365.8
16/05/2022,477.6,569.8
17/05/2022,84.4,95.1
18/05/2022,364.7,413.1
19/05/2022,742.1,902.2
20/05/2022,200.7,219.3
21/05/2022,264.6,293.5
22/05/2022,393.5,422
23/05/2022,261.4,277.5
24/05/2022,273.6,276.6
25/05/2022,360.6,380
26/05/2022,427.4,488.8
27/05/2022,79.6,90.1
28/05/2022,705.6,97057
29/05/2022,184.1,195.7
30/05/2022,310.7,333.2
31/05/2022,337.6,366.8
1/06/2022,122,133.6
2/06/2022,407.2,426.4
3/06/2022,637.1,754.9
4/06/2022,172.4,187.3
5/06/2022,595.7,672.4
6/06/2022,421.9,431.8
7/06/2022,876.3,1030.3
8/06/2022,612.8,649.7
9/06/2022,372.1,412.4
10/06/2022,256,277.7
11/06/2022,291.7,329.4
12/06/2022,188.7,235.6
13/06/2022,175.6,187
14/06/2022,119.4,130.6
15/06/2022,267.6,316
16/06/2022,224.3,236.1
17/06/2022,452.3,523.9
18/06/2022,91.3,97.5
19/06/2022,178.6,193
20/06/2022,119,130.6
21/06/2022,379.3,414.4
22/06/2022,81,85.6
23/06/2022,129.6,140.5
24/06/2022,246.2,263.7
25/06/2022,132,148.6
26/06/2022,123.2,136.5
27/06/2022,91.5,102.5
28/06/2022,249.1,269.5
29/06/2022,400.9,445.7
30/06/2022,143.2,150.3
1/07/2022,583.9,661.8
2/07/2022,147.5,156.4
3/07/2022,144.8,150.9
4/07/2022,419,476.1
5/07/2022,224.8,229.7
7/07/2022,414.3,430.2
8/07/2022,385.2,404
9/07/2022,442.7,520.3
10/07/2022,324.8,345.1
11/07/2022,311.9,322.6
12/07/2022,205.4,224.1
13/07/2022,381.5,425.6
14/07/2022,554.5,635.1
15/07/2022,122.1,133.1
16/07/2022,130.3,134.9
17/07/2022,127.7,137.1
18/07/2022,184.8,196.3
19/07/2022,248.8,263.5
20/07/2022,395.2,481.7
21/07/2022,85,87.4
22/07/2022,289.7,315.7
23/07/2022,225.2,245.5
24/07/2022,89.3,96
25/07/2022,62.1,69.8
26/07/2022,272.6,289.8
27/07/2022,455.5,512.6
28/07/2022,291,296.6
29/07/2022,587.7,640.5
30/07/2022,352.3,360.8
31/07/2022,277.5,312
1/08/2022,268,279.1
2/08/2022,257.8,280.4
3/08/2022,386.8,428.7
4/08/2022,564.9,678.3
5/08/2022,633.9,749.2
6/08/2022,1008.4,1212.4
7/08/2022,186.1,201.2
8/08/2022,236.4,244.1
9/08/2022,206.7,219.6
10/08/2022,319.9,339.8
11/08/2022,794.7,957.3
12/08/2022,795,854.9
13/08/2022,799.1,981.3
14/08/2022,528.2,608.5
15/08/2022,220.9,234.7
16/08/2022,404.2,424.8
17/08/2022,78,84.8
18/08/2022,275,294.4
19/08/2022,611.2,648.1
20/08/2022,182.5,184.1
21/08/2022,772.2,980.4
22/08/2022,198.2,209.7
23/08/2022,372,413.2
24/08/2022,378.1,417.8
25/08/2022,112.6,117.6
26/08/2022,154.2,162.6
27/08/2022,255.9,274.3
28/08/2022,360.4,395.6
29/08/2022,451.2,507.3
30/08/2022,279.7,301.5
31/08/2022,173.2,188.2
1/09/2022,497.9,512.3
2/09/2022,583.7,778.6
3/09/2022,457.8,494.5
4/09/2022,287.6,344
5/09/2022,107.4,114.8
6/09/2022,183.8,197.4
7/09/2022,237.2,246.8
8/09/2022,503.1,527.9
9/09/2022,487.9,524.4
10/09/2022,417.5,432.8
11/09/2022,440.4,495.3
12/09/2022,129.3,135.3
13/09/2022,140.5,143.4
14/09/2022,326.4,359.1
15/09/2022,486.7,546.8
16/09/2022,95.3,102.8
17/09/2022,430,469.1
18/09/2022,465.8,487.7
19/09/2022,184.1,186.9
20/09/2022,495.7,545.7
21/09/2022,437.2,467.9
22/09/2022,590.1,613.9
23/09/2022,289.4,324.1
24/09/2022,556.7,572.9
25/09/2022,758.3,845
26/09/2022,282,299.3
27/09/2022,115.1,121.2
28/09/2022,448.3,509
29/09/2022,359.9,383.9
30/09/2022,275.4,294.6
1/10/2022,241.5,249.3
3/10/2022,369.8,439.2
4/10/2022,233,264.9
5/10/2022,296.1,315.9
6/10/2022,207.9,232
7/10/2022,440.2,479.9
8/10/2022,226.3,242.6
9/10/2022,661.9,744.3
10/10/2022,370.3,470.8
11/10/2022,370.3,429.4
12/10/2022,271.9,296.2
13/10/2022,287.4,294.8
14/10/2022,266.5,306.8
15/10/2022,111,117.8
16/10/2022,300.7,328
17/10/2022,189.2,198.7
18/10/2022,329,379.1
21/10/2022,323.2,359.8
22/10/2022,233.1,246.1
23/10/2022,209.7,232.9
24/10/2022,296.9,318.6
25/10/2022,354.2,411.9
26/10/2022,384.7,460.7
27/10/2022,115,127.6
28/10/2022,502.1,564.9
29/10/2022,295.4,304.6
30/10/2022,685.2,819.6
31/10/2022,128.3,139.2
1/11/2022,216.7,260.3
2/11/2022,230.8,268.7
3/11/2022,334.8,366.5
4/11/2022,278.3,296
5/11/2022,242.9,270.5
6/11/2022,312.6,374.5
7/11/2022,189.3,198.7
8/11/2022,325.6,363.7
9/11/2022,262,270.8
10/11/2022,647.3,797.7
11/11/2022,336.9,351.2
12/11/2022,254.4,269.5
13/11/2022,480.2,550.6
