date,min,max,median,q1,q3,stdev,count
2022-02-01T00:00:00.000Z,28.6,188.3,39.15,34.4,49.7,13.293,414
2022-02-02T00:00:00.000Z,9,479.4,22.25,15.5,36.5,29.262,634
2022-02-03T00:00:00.000Z,22.2,516.6,35.6,32.6,40.29,48.128,625
2022-02-04T00:00:00.000Z,31.9,516,41.2,40,43.05,32.771,629
2022-02-05T00:00:00.000Z,44.8,947.6,59.7,51.65,85.8,49.6,613
2022-02-06T00:00:00.000Z,48.8,642.4,66.7,59.3,71.7,57.248,628
2022-02-07T00:00:00.000Z,30.1,418.7,80.3,48.2,97.9,43.532,618
2022-02-08T00:00:00.000Z,15.7,563.1,34.6,29.8,38.29,44.109,605
2022-02-09T00:00:00.000Z,17.2,177.2,50.6,30.65,57.3,22.322,308
2022-02-10T00:00:00.000Z,30,538.4,39.9,35.9,44.25,31.16,336
2022-02-11T00:00:00.000Z,28.7,413.9,49.3,47.7,52.8,24.317,614
2022-02-12T00:00:00.000Z,36.1,377.3,45,42.3,47.5,21.161,610
2022-02-13T00:00:00.000Z,8.4,379.5,25,18.2,32.1,25.467,607
2022-02-14T00:00:00.000Z,17,480,37.1,30.85,50.2,27.44,617
2022-02-15T00:00:00.000Z,32.9,523.9,52.3,42.4,64,39.883,593
2022-02-16T00:00:00.000Z,25,1154.8,52.8,47,58,73.052,615
2022-02-17T00:00:00.000Z,14,673.9,39.5,32.9,45.8,44.597,620
2022-02-18T00:00:00.000Z,1.5,187.5,32.35,16.8,36.5,13.923,600
2022-02-19T00:00:00.000Z,0.6,643.9,5.8,4,8.9,42.741,597
2022-02-20T00:00:00.000Z,1.3,90.9,9.5,6.5,13.7,6.777,591
2022-02-21T00:00:00.000Z,10.4,273.3,19.6,16.7,26.65,19.782,624
2022-02-22T00:00:00.000Z,9.6,403.6,22.25,14.9,29.1,26.188,610
2022-02-23T00:00:00.000Z,13.7,470.2,29.4,23.7,32.7,35.311,619
2022-02-24T00:00:00.000Z,29,464.6,45.4,40.4,52,32.639,599
2022-02-25T00:00:00.000Z,42.9,256.8,50.7,47.8,60.25,18.619,609
2022-02-26T00:00:00.000Z,46.7,759.4,91.1,70.5,126.4,67.055,635
2022-02-27T00:00:00.000Z,98.3,717.9,130.1,117.6,150.5,47.977,625
2022-02-28T00:00:00.000Z,52.3,616.5,72.1,66.9,91.5,45.107,643
2022-03-01T00:00:00.000Z,28.8,288.1,50.4,40.9,78.2,31.277,615
2022-03-02T00:00:00.000Z,52.4,428.8,110.1,91,121.9,31.573,636
2022-03-03T00:00:00.000Z,34.7,861.7,67.7,55.8,82.5,62.899,617
2022-03-04T00:00:00.000Z,26.7,604.5,44.1,39.1,53.05,41.621,625
2022-03-05T00:00:00.000Z,34.1,477.4,41.7,39.2,45.7,27.71,610
2022-03-06T00:00:00.000Z,12.6,503.7,33,29.6,38.15,26.03,605
2022-03-07T00:00:00.000Z,10.9,352.4,47.5,34.8,52.6,24.595,622
2022-03-08T00:00:00.000Z,12.8,203.6,29.9,26.1,36.4,18.492,622
2022-03-09T00:00:00.000Z,27,615.3,39.1,34.9,43.75,53.018,613
2022-03-10T00:00:00.000Z,19.6,642.2,32.29,28.6,37.6,51.955,604
2022-03-11T00:00:00.000Z,21.1,612.7,34.7,31.4,38.79,36.902,608
2022-03-12T00:00:00.000Z,19.3,476.4,35,32,38.7,33.01,622
2022-03-13T00:00:00.000Z,18.7,605.9,36.75,32.9,41.4,38.479,606
2022-03-14T00:00:00.000Z,14.3,239.2,42.6,33.6,55.7,23.036,614
2022-03-15T00:00:00.000Z,37.8,305.9,77.8,65.8,86.5,24.223,616
2022-03-16T00:00:00.000Z,31.6,392.5,41.9,36.29,52.4,38.077,616
2022-03-17T00:00:00.000Z,24.5,749.9,39.04,35.5,46.7,39.89,622
2022-03-18T00:00:00.000Z,29.9,215.4,44.6,41.6,48.8,12.826,586
2022-03-19T00:00:00.000Z,30.8,391.5,40.29,36.6,44.8,37.627,612
2022-03-20T00:00:00.000Z,27.6,600.1,36.2,32.85,39.6,45.356,612
2022-03-21T00:00:00.000Z,33.4,86.5,40.6,36.8,43.7,5.914,375
2022-04-03T00:00:00.000Z,16.4,101.2,33.85,29.1,44.5,17.242,434
2022-04-04T00:00:00.000Z,20.1,286.6,38,32.1,47.9,21.858,607
2022-04-05T00:00:00.000Z,18.7,459.4,39.1,30.5,56.05,38.458,625
2022-04-06T00:00:00.000Z,49.2,530.1,73.9,67.34,92.25,29.335,629
2022-04-07T00:00:00.000Z,42.9,294.7,74,53.9,103,29.882,609
2022-04-08T00:00:00.000Z,49.9,570.8,63.05,55.6,77.75,37.905,612
2022-04-09T00:00:00.000Z,22.5,227.5,36.1,31.45,45.1,21.806,573
2022-04-10T00:00:00.000Z,31.5,789.7,42.75,36.6,46.3,53.405,608
2022-04-11T00:00:00.000Z,26.5,346.7,32.5,30.9,38,27.819,611
2022-04-12T00:00:00.000Z,19.4,235.9,29.5,26.8,32.8,15.481,602
2022-04-13T00:00:00.000Z,34.7,357.8,44.5,41.2,50.7,24.625,610
2022-04-14T00:00:00.000Z,39.5,340,46.7,43.3,48.8,16.564,598
2022-04-15T00:00:00.000Z,36.1,660.8,49.7,46.2,54.7,59.888,603
2022-04-16T00:00:00.000Z,7.6,1176.9,26.45,16.5,36.1,88.37,632
2022-04-17T00:00:00.000Z,6.6,911.5,29,19.45,39.1,77.834,629
2022-04-18T00:00:00.000Z,4,172.8,19.64,13.85,32.1,17.478,612
2022-04-19T00:00:00.000Z,19.9,305.1,31.6,26.9,34.1,23.052,607
2022-04-20T00:00:00.000Z,35.8,233,52.15,44.2,58.9,18.119,628
2022-04-21T00:00:00.000Z,25.8,524.7,46.4,40.9,48.5,44.297,603
2022-04-22T00:00:00.000Z,26.5,395.2,34.1,30.8,39.9,29.266,635
2022-04-23T00:00:00.000Z,26.7,208.4,32.7,30.8,34.7,15.046,603
