date,max
2022-11-09,58.1
2022-11-10,35.3
2022-11-11,43.9
2022-11-12,53.6
2022-11-13,40.6
2022-11-14,32.2
2022-11-15,120.4
2022-11-16,64.9
2022-11-17,42.7
2022-11-18,57.3
2022-11-19,56.9
2022-11-20,50.7
2022-11-21,47.9
2022-11-22,125.8
2022-11-23,223.9
2022-11-24,153.5
2022-11-25,136
2022-11-26,67.9
2022-11-27,33.6
2022-11-28,42.3
2022-11-29,92.1
2022-11-30,44.2
2022-12-01,23.5
2022-12-02,119.4
2022-12-03,72.5
2022-12-04,31.1
2022-12-05,51.1
2022-12-06,49.5
2022-12-07,35.8
2022-12-08,38.7
2022-12-09,39.9
2022-12-10,63.3
2022-12-11,41.7
2022-12-12,58.5
2022-12-13,98.8
2022-12-14,108.8
2022-12-15,64
2022-12-16,54.4
2022-12-17,101.2
2022-12-18,75.3
2022-12-19,143.4
2022-12-20,92
2022-12-21,187
2022-12-22,141.8
2022-12-23,172.3
2022-12-24,71.9
2022-12-25,131.1
2022-12-26,155.3
2022-12-27,159.4
2022-12-28,92.5
2022-12-29,140.2
2022-12-30,74.1
2022-12-31,78.2
2023-01-01,147.3
2023-01-02,83.7
2023-01-03,89.2
2023-01-04,146.9
2023-01-05,162.8
2023-01-06,83.4
2023-01-07,101
2023-01-08,69.6
2023-01-09,64.7
2023-01-10,86.9
2023-01-11,290.2
2023-01-12,102.5
2023-01-13,42.5
2023-01-14,62.6
2023-01-15,103
2023-01-16,77.3
2023-01-17,181
2023-01-18,67.6
2023-01-19,95.6
2023-01-20,50.9
2023-01-21,206.5
2023-01-22,96.5
2023-01-23,99.7
2023-01-24,99.6
2023-01-25,13.9
2023-01-26,38.1
2023-01-27,24.1
2023-01-28,115.8
2023-01-29,167.9
2023-01-30,136.3
2023-01-31,103
2023-02-01,97
2023-02-02,60.5
2023-02-03,175.4
2023-02-04,98.6
2023-02-05,127.7
2023-02-06,92.1
2023-02-07,48
2023-02-08,40.4
2023-02-09,60.4
2023-02-10,53.3
2023-02-11,61.7
2023-02-12,76.1
2023-02-13,55.8
2023-02-14,42.2
2023-02-15,83.6
2023-02-16,90
2023-02-17,94.9
2023-02-18,48.4
2023-02-19,153.7
2023-02-20,87.7
2023-02-21,80.4
2023-02-22,57.5
2023-02-23,39.4
2023-02-24,90.7
2023-02-25,65.1
2023-02-26,55.8
2023-02-27,75.3
2023-02-28,91.4
2023-03-01,74.3
2023-03-02,103.6
2023-03-03,91.7
2023-03-04,93.4
2023-03-05,167.8
2023-03-06,142.7
2023-03-07,113.4
2023-03-08,177.3
2023-03-09,123.8
2023-03-10,59.9
2023-03-11,225.5
2023-03-12,309.4
2023-03-13,246.7
2023-03-14,263.3
2023-03-15,124.7
2023-03-16,122.9
2023-03-17,131.2
2023-03-18,77.1
2023-03-19,202.9
2023-03-20,72.4
2023-03-21,126.9
2023-03-22,176.5
2023-03-23,94
2023-03-24,41.3
2023-03-25,65.2
2023-03-26,112.4
2023-03-27,90.9
2023-03-28,64.9
2023-03-29,61.6
2023-03-30,142.8
2023-03-31,53.1
2023-04-01,59.8
2023-04-02,34.2
2023-04-03,164.2
2023-04-04,76.2
2023-04-05,65.1
2023-04-06,68.5
2023-04-07,31.3
2023-04-08,205.5
2023-04-09,41.9
2023-04-10,75.8
2023-04-11,47.5
2023-04-12,63.9
2023-04-13,64.3
2023-04-14,42.6
2023-04-15,189.6
2023-04-16,49.5
2023-04-17,38.5
2023-04-18,233
2023-04-19,84.9
2023-04-20,62.8
2023-04-21,60.2
2023-04-22,41.9
2023-04-23,106.5
2023-04-24,58.2
2023-04-25,28.5
2023-04-26,50.2
2023-04-27,72.7
2023-04-28,137.5
2023-04-29,67.7
2023-04-30,51.2
2023-05-01,40.7
2023-05-02,30.9
2023-05-03,44.3
2023-05-04,87.4
2023-05-05,49.1
2023-05-06,63.1
2023-05-07,197.5
2023-05-15,34.9
2023-05-16,33.1
2023-05-17,45.8
2023-05-18,201.8
2023-05-19,153.4
2023-05-20,43
2023-05-21,31
2023-05-22,143.2
2023-05-23,35.8
2023-05-24,33.1
2023-05-25,37.4
2023-05-26,67.3
2023-05-27,32
2023-05-28,28.4
2023-05-29,24.7
2023-05-30,41
2023-05-31,30.6
2023-06-01,53.1
2023-06-02,36.7
2023-06-03,47.8
2023-06-04,145.4
2023-06-05,28.4
2023-06-06,152
2023-06-07,87.4
2023-06-08,32.8
2023-06-09,41.3
2023-06-10,34.7
2023-06-11,32.2
2023-06-12,39.2
2023-06-13,74.3
2023-06-14,37.4
2023-06-15,49.3
2023-06-16,48
2023-06-17,34.5
2023-06-18,117.2
2023-06-19,44.8
2023-06-20,46.2
2023-06-21,132.6
2023-06-22,79.9
2023-06-23,45.2
2023-06-24,75.4
2023-06-25,41.3
2023-06-26,44.5
2023-06-27,65.9
2023-06-28,233.1
2023-06-29,276.9
2023-06-30,29.3
2023-07-01,37.2
2023-07-02,140.9
2023-07-03,49.9
2023-07-04,42.6
2023-07-05,97.2
2023-07-06,52
2023-07-07,72.5
2023-07-08,72
2023-07-09,73.9
2023-07-10,43.2
2023-07-11,73.2
2023-07-12,38
2023-07-13,45.7
2023-07-14,40.3
2023-07-15,38.7
2023-07-16,49.6
2023-07-17,50.2
2023-07-18,43.9
2023-07-19,45.3
2023-07-20,34.1
2023-07-21,83.5
2023-07-22,72
2023-07-23,34
2023-07-24,27
2023-07-25,33.5
2023-07-26,35.2
2023-07-27,81.8
2023-07-28,49.4
2023-07-29,49.4
2023-07-30,49
2023-07-31,47.1
2023-08-01,35.3
2023-08-02,43.9
2023-08-03,35.9
2023-08-04,33.6
2023-08-05,46.2
2023-08-06,71.8
2023-08-07,41.2
2023-08-08,48.5
2023-08-09,52.2
2023-08-10,45.7
2023-08-11,48.1
2023-08-12,210.1
2023-08-13,47.1
2023-08-14,31.6
2023-08-15,26.4
2023-08-16,55.2
2023-08-17,53.4
2023-08-18,35.1
2023-08-19,52.1
2023-08-20,30.2
2023-08-21,29.1
2023-08-22,30.9
2023-08-23,29.8
2023-08-24,31.3
2023-08-25,123.4
2023-08-26,29.2
2023-08-27,266.4
2023-08-28,213.7
2023-08-29,38.2
2023-08-30,78.2
2023-08-31,49.8
2023-09-01,92.6
2023-09-02,26.3
2023-09-03,44.2
2023-09-04,30.8
2023-09-05,21.9
2023-09-06,26.1
2023-09-07,31.7
2023-09-08,30
2023-09-09,32.8
2023-09-10,25.8
2023-09-18,28.2
2023-09-19,28.5
2023-09-20,190.7
2023-09-21,24.1
2023-09-22,43.8
2023-09-23,35
2023-09-24,52.8
2023-09-25,29.6
2023-09-26,43.5
2023-09-27,76
2023-09-28,35.9
2023-09-29,22.6
2023-09-30,24.8
2023-10-01,24.9
