date,min,max,median,q1,q3,stdev,count
2022-11-09T00:00:00.000Z,1.7,58.1,6.5,4,16.25,10.114,509
2022-11-10T00:00:00.000Z,1.9,35.3,4.5,3.4,6.1,5.209,629
2022-11-11T00:00:00.000Z,0.7,43.9,5.1,3.1,11.4,8.577,631
2022-11-12T00:00:00.000Z,0.6,53.6,8,5.7,10.3,7.185,649
2022-11-13T00:00:00.000Z,0,40.6,5.7,3.1,8.4,7.14,621
2022-11-14T00:00:00.000Z,1.4,32.2,8,4.8,15.55,7.438,637
2022-11-15T00:00:00.000Z,0.9,120.4,7.8,4.1,18.89,13.801,645
2022-11-16T00:00:00.000Z,0.6,64.9,5.3,3.5,21.95,14.267,621
2022-11-17T00:00:00.000Z,2.8,42.7,7,5.2,10.3,6.116,648
2022-11-18T00:00:00.000Z,2.2,57.3,5.2,3.9,7.8,7.628,635
2022-11-19T00:00:00.000Z,0.1,56.9,2.45,1,10.8,10.108,636
2022-11-20T00:00:00.000Z,0,50.7,6.2,3.1,13.7,10.248,639
2022-11-21T00:00:00.000Z,0,47.9,11,4.9,17.7,9.479,638
2022-11-22T00:00:00.000Z,2.2,125.8,17.8,12.9,30.2,13.638,659
2022-11-23T00:00:00.000Z,3.3,223.9,8.55,5.2,29.8,31.123,662
2022-11-24T00:00:00.000Z,3.1,153.5,9.4,6,22.35,20.97,648
2022-11-25T00:00:00.000Z,2.3,136,11.1,6.4,20.6,17.709,634
2022-11-26T00:00:00.000Z,2.1,67.9,7.8,5.9,13.5,8.357,638
2022-11-27T00:00:00.000Z,0,33.6,7.85,3.7,16.5,9.406,596
2022-11-28T00:00:00.000Z,0.6,42.3,9.19,3.7,20.2,9.687,627
2022-11-29T00:00:00.000Z,11.5,92.1,24.65,16.7,27.8,9.465,650
2022-11-30T00:00:00.000Z,2.9,44.2,6.7,5.4,10.2,8.45,625
2022-12-01T00:00:00.000Z,0.6,23.5,3,2.1,4.4,4.34,562
2022-12-02T00:00:00.000Z,0,119.4,4.9,2.1,11.5,13.024,653
2022-12-03T00:00:00.000Z,0,72.5,6.7,3,11.7,10.303,603
2022-12-04T00:00:00.000Z,0.2,31.1,4.8,2.8,15.5,7.85,654
2022-12-05T00:00:00.000Z,0.9,51.1,8,3.6,17.7,8.793,637
2022-12-06T00:00:00.000Z,0,49.5,2,1.3,4.4,7.824,626
2022-12-07T00:00:00.000Z,0,35.8,10.2,5.1,13.1,6.047,630
2022-12-08T00:00:00.000Z,0.2,38.7,4.3,3.3,8.9,8.281,629
2022-12-09T00:00:00.000Z,2.9,39.9,5.9,4.1,8.6,8.534,639
2022-12-10T00:00:00.000Z,7.1,63.3,11.1,9.6,12.2,7.727,644
2022-12-11T00:00:00.000Z,8.6,41.7,12.4,11,15.2,5.145,655
2022-12-12T00:00:00.000Z,13.8,58.5,18.5,17.4,21,5.301,648
2022-12-13T00:00:00.000Z,15.5,98.8,24,21,33.4,15.541,648
2022-12-14T00:00:00.000Z,7.6,108.8,16.8,11.4,22.2,8.844,639
2022-12-15T00:00:00.000Z,7.7,64,15.5,12.9,22.35,8.624,653
2022-12-16T00:00:00.000Z,3.2,54.4,9.2,6.7,15.8,8.334,646
2022-12-17T00:00:00.000Z,0,101.2,2.7,0.3,4.75,14.065,576
2022-12-18T00:00:00.000Z,0,75.3,1.6,0.7,3.3,15.833,605
2022-12-19T00:00:00.000Z,0,143.4,1.6,0.9,3.7,18.385,595
2022-12-20T00:00:00.000Z,1.6,92,4.3,3.4,7.6,15.314,635
2022-12-21T00:00:00.000Z,3.8,187,7.6,5.4,10.5,28.749,595
2022-12-22T00:00:00.000Z,8.7,141.8,22.5,18.35,24.3,9.151,633
2022-12-23T00:00:00.000Z,7.2,172.3,13.2,10.3,25.3,17.717,610
2022-12-24T00:00:00.000Z,6,71.9,9.3,8.1,13.25,10.667,629
2022-12-25T00:00:00.000Z,4.5,131.1,10.05,6.8,24.45,21.842,648
2022-12-26T00:00:00.000Z,6.9,155.3,11.4,9.3,31.25,26.664,628
2022-12-27T00:00:00.000Z,5.6,159.4,10.55,8,27.75,25.092,616
2022-12-28T00:00:00.000Z,1.7,92.5,9.19,6.2,24.2,16.727,645
2022-12-29T00:00:00.000Z,2.5,140.2,6.7,5.2,13.25,20.453,620
2022-12-30T00:00:00.000Z,7.2,74.1,13.9,10,17.1,8.759,613
2022-12-31T00:00:00.000Z,4.5,78.2,14.3,7,20,14.86,658
2023-01-01T00:00:00.000Z,0.4,147.3,4.8,2.9,9.5,20.617,607
2023-01-02T00:00:00.000Z,0.1,83.7,6.1,2.5,14.95,10.179,633
2023-01-03T00:00:00.000Z,0,89.2,1.2,0.6,2.5,12.644,501
2023-01-04T00:00:00.000Z,0,146.9,1.6,0.8,3.7,24.415,565
2023-01-05T00:00:00.000Z,0.5,162.8,4,2.6,8.35,24.693,637
2023-01-06T00:00:00.000Z,0,83.4,2.1,0.7,5.7,13.99,567
2023-01-07T00:00:00.000Z,0,101,13.6,6.7,24.95,21.745,632
2023-01-08T00:00:00.000Z,0,69.6,4.2,2.2,12.05,11.718,621
2023-01-09T00:00:00.000Z,0.5,64.7,10.8,6.3,18.2,11.241,630
2023-01-10T00:00:00.000Z,3.1,86.9,15.4,9.2,21.9,12.311,633
2023-01-11T00:00:00.000Z,4.5,290.2,16.6,13.1,21.5,18.433,615
2023-01-12T00:00:00.000Z,2.7,102.5,14.95,7,20.9,15.569,618
2023-01-13T00:00:00.000Z,6.1,42.5,15.1,10,20.8,6.901,615
2023-01-14T00:00:00.000Z,9.1,62.6,22.5,17.2,28.25,7.596,637
2023-01-15T00:00:00.000Z,22.7,103,28,26,29.9,7.87,643
2023-01-16T00:00:00.000Z,3.5,77.3,11.8,6.1,22.6,10.622,659
2023-01-17T00:00:00.000Z,2.4,181,9.2,6.8,26.1,27.589,647
2023-01-18T00:00:00.000Z,5.7,67.6,10,8.1,14.5,9.974,630
2023-01-19T00:00:00.000Z,5.2,95.6,12,7.8,17.6,11.439,645
2023-01-20T00:00:00.000Z,3.2,50.9,9.5,7.4,15.05,7.386,665
2023-01-21T00:00:00.000Z,3.8,206.5,13,9.7,19.39,15.603,664
2023-01-22T00:00:00.000Z,4.2,96.5,8.2,6.7,17,12.818,662
2023-01-23T00:00:00.000Z,5.5,99.7,7.2,6.6,9.3,11.778,647
