,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,Nha Trang.csv,2014-01-01,0,62,56,0,3,14,62
1,Nha Trang.csv,2014-01-02,128,46,71,0,3,10,128
2,Nha Trang.csv,2014-01-03,111,44,42,0,2,8,111
3,Nha Trang.csv,2014-01-04,99,0,0,0,0,0,99
4,Nha Trang.csv,2014-01-05,0,54,106,0,3,9,106
5,Nha Trang.csv,2014-01-06,116,50,45,0,8,9,116
6,Nha Trang.csv,2014-01-07,119,0,0,0,0,0,119
7,Nha Trang.csv,2014-01-08,0,49,85,0,3,7,85
8,Nha Trang.csv,2014-01-09,97,53,73,0,2,5,97
9,Nha Trang.csv,2014-01-10,115,51,58,0,2,7,115
10,Nha Trang.csv,2014-01-11,105,36,60,0,2,4,105
11,Nha Trang.csv,2014-01-12,75,41,59,0,2,4,75
12,Nha Trang.csv,2014-01-13,82,0,0,0,0,0,82
13,Nha Trang.csv,2014-01-14,0,40,92,0,7,8,92
14,Nha Trang.csv,2014-01-15,75,37,76,0,3,7,76
15,Nha Trang.csv,2014-01-16,77,33,60,0,3,8,77
16,Nha Trang.csv,2014-01-17,72,35,109,0,3,4,109
17,Nha Trang.csv,2014-01-18,73,36,95,0,3,6,95
18,Nha Trang.csv,2014-01-19,77,38,95,0,3,7,95
19,Nha Trang.csv,2014-01-20,81,21,84,0,3,3,84
20,Nha Trang.csv,2014-01-21,63,54,134,0,3,9,134
21,Nha Trang.csv,2014-01-22,119,50,105,0,3,8,119
22,Nha Trang.csv,2014-01-23,112,47,86,0,3,9,112
23,Nha Trang.csv,2014-01-24,99,38,73,0,3,8,99
24,Nha Trang.csv,2014-01-25,84,33,61,0,3,8,84
25,Nha Trang.csv,2014-01-26,76,33,66,0,3,8,76
26,Nha Trang.csv,2014-01-27,77,32,83,0,3,8,83
27,Nha Trang.csv,2014-01-28,77,39,78,0,3,8,78
28,Nha Trang.csv,2014-01-29,94,34,78,0,3,7,94
29,Nha Trang.csv,2014-01-30,79,30,56,0,3,10,79
30,Nha Trang.csv,2014-01-31,68,30,59,0,3,7,68
31,Nha Trang.csv,2014-02-01,68,25,54,0,3,5,68
32,Nha Trang.csv,2014-02-02,64,34,52,0,3,7,64
33,Nha Trang.csv,2014-02-03,79,33,49,0,3,6,79
34,Nha Trang.csv,2014-02-04,80,22,40,0,3,8,80
35,Nha Trang.csv,2014-02-05,58,24,43,0,3,7,58
36,Nha Trang.csv,2014-02-06,64,29,44,0,3,7,64
37,Nha Trang.csv,2014-02-07,74,30,42,0,3,8,74
38,Nha Trang.csv,2014-02-08,71,27,38,0,3,7,71
39,Nha Trang.csv,2014-02-09,69,28,51,0,3,6,69
40,Nha Trang.csv,2014-02-10,75,17,67,0,3,6,75
41,Nha Trang.csv,2014-02-11,39,28,72,0,3,9,72
42,Nha Trang.csv,2014-02-12,67,34,77,0,3,10,77
43,Nha Trang.csv,2014-02-13,82,20,85,0,3,8,85
44,Nha Trang.csv,2014-02-14,49,27,96,0,3,8,96
45,Nha Trang.csv,2014-02-15,67,31,91,0,3,8,91
46,Nha Trang.csv,2014-02-16,73,36,81,0,3,8,81
47,Nha Trang.csv,2014-02-17,85,36,59,0,3,8,85
48,Nha Trang.csv,2014-02-18,88,31,76,0,3,9,88
49,Nha Trang.csv,2014-02-19,74,14,80,0,3,9,80
50,Nha Trang.csv,2014-02-20,30,25,82,0,3,10,82
51,Nha Trang.csv,2014-02-21,60,28,81,0,3,7,81
52,Nha Trang.csv,2014-02-22,67,27,80,0,3,6,80
53,Nha Trang.csv,2014-02-23,65,32,72,0,3,7,72
54,Nha Trang.csv,2014-02-24,71,34,69,0,3,7,71
55,Nha Trang.csv,2014-02-25,79,41,28,0,3,10,79
56,Nha Trang.csv,2014-02-26,96,28,56,0,3,6,96
57,Nha Trang.csv,2014-02-27,64,29,54,0,3,7,64
58,Nha Trang.csv,2014-02-28,69,31,48,0,3,7,69
59,Nha Trang.csv,2014-03-01,77,30,56,0,3,7,77
60,Nha Trang.csv,2014-03-02,79,37,52,0,3,8,79
61,Nha Trang.csv,2014-03-03,88,42,54,0,3,9,88
62,Nha Trang.csv,2014-03-04,92,33,60,0,3,8,92
63,Nha Trang.csv,2014-03-05,78,37,75,0,3,8,78
64,Nha Trang.csv,2014-03-06,91,36,73,0,3,8,91
65,Nha Trang.csv,2014-03-07,92,37,79,0,3,9,92
66,Nha Trang.csv,2014-03-08,93,31,59,0,3,7,93
67,Nha Trang.csv,2014-03-09,81,24,61,0,3,6,81
68,Nha Trang.csv,2014-03-10,65,33,85,0,3,8,85
69,Nha Trang.csv,2014-03-11,80,32,75,0,3,7,80
70,Nha Trang.csv,2014-03-12,81,30,60,0,3,7,81
71,Nha Trang.csv,2014-03-13,80,24,44,0,3,5,80
72,Nha Trang.csv,2014-03-14,66,23,83,0,3,3,83
73,Nha Trang.csv,2014-03-15,60,28,68,0,3,6,68
74,Nha Trang.csv,2014-03-16,71,25,44,0,4,7,71
75,Nha Trang.csv,2014-03-17,68,32,36,0,4,9,68
76,Nha Trang.csv,2014-03-18,81,32,83,0,4,8,83
77,Nha Trang.csv,2014-03-19,83,32,65,0,4,8,83
78,Nha Trang.csv,2014-03-20,81,26,67,0,4,5,81
79,Nha Trang.csv,2014-03-21,69,35,88,0,4,5,88
80,Nha Trang.csv,2014-03-22,82,15,77,0,4,8,82
81,Nha Trang.csv,2014-03-23,49,22,62,0,4,6,62
82,Nha Trang.csv,2014-03-24,60,27,63,0,4,5,63
83,Nha Trang.csv,2014-03-25,68,28,48,0,4,6,68
84,Nha Trang.csv,2014-03-26,67,30,37,0,4,6,67
85,Nha Trang.csv,2014-03-27,75,10,32,0,42,5,75
86,Nha Trang.csv,2014-03-28,38,21,51,0,4,5,51
87,Nha Trang.csv,2014-03-29,54,21,40,0,4,5,54
88,Nha Trang.csv,2014-03-30,57,19,42,0,4,5,57
89,Nha Trang.csv,2014-03-31,55,22,43,0,4,7,55
90,Nha Trang.csv,2014-04-01,61,22,20,0,4,6,61
91,Nha Trang.csv,2014-04-02,60,19,26,0,4,6,60
92,Nha Trang.csv,2014-04-03,57,21,38,0,4,4,57
93,Nha Trang.csv,2014-04-04,53,34,47,0,4,7,53
94,Nha Trang.csv,2014-04-05,72,30,46,0,4,6,72
95,Nha Trang.csv,2014-04-06,70,35,40,0,4,10,70
96,Nha Trang.csv,2014-04-07,81,30,40,0,4,11,81
97,Nha Trang.csv,2014-04-08,72,27,44,0,4,8,72
98,Nha Trang.csv,2014-04-09,66,24,45,0,4,6,66
99,Nha Trang.csv,2014-04-10,60,33,38,0,4,7,60
100,Nha Trang.csv,2014-04-11,84,31,50,0,4,7,84
101,Nha Trang.csv,2014-04-12,76,26,49,0,4,5,76
102,Nha Trang.csv,2014-04-13,68,29,43,0,4,6,68
103,Nha Trang.csv,2014-04-14,71,28,84,0,30,5,84
104,Nha Trang.csv,2014-04-15,73,32,47,0,4,7,73
105,Nha Trang.csv,2014-04-16,78,37,53,0,4,8,78
106,Nha Trang.csv,2014-04-17,82,34,54,0,4,8,82
107,Nha Trang.csv,2014-04-18,77,31,48,0,4,7,77
108,Nha Trang.csv,2014-04-19,74,25,39,0,4,6,74
109,Nha Trang.csv,2014-04-20,64,21,39,0,4,6,64
110,Nha Trang.csv,2014-04-21,55,24,44,0,4,6,55
111,Nha Trang.csv,2014-04-22,58,27,41,0,4,7,58
112,Nha Trang.csv,2014-04-23,62,29,43,0,4,7,62
113,Nha Trang.csv,2014-04-24,69,27,50,0,4,7,69
114,Nha Trang.csv,2014-04-25,68,27,55,0,4,8,68
115,Nha Trang.csv,2014-04-26,69,25,48,0,4,6,69
116,Nha Trang.csv,2014-04-27,64,20,33,0,4,5,64
117,Nha Trang.csv,2014-04-28,51,19,38,0,4,6,51
118,Nha Trang.csv,2014-04-29,44,20,43,0,4,9,44
119,Nha Trang.csv,2014-04-30,59,18,38,0,4,10,59
120,Nha Trang.csv,2014-05-01,52,17,42,0,4,8,52
121,Nha Trang.csv,2014-05-02,49,17,42,0,4,7,49
122,Nha Trang.csv,2014-05-03,44,18,35,0,4,6,44
123,Nha Trang.csv,2014-05-04,50,17,33,0,4,5,50
124,Nha Trang.csv,2014-05-05,47,21,27,0,4,11,47
125,Nha Trang.csv,2014-05-06,57,22,37,0,4,7,57
126,Nha Trang.csv,2014-05-07,59,23,39,0,4,7,59
127,Nha Trang.csv,2014-05-08,62,24,37,0,4,9,62
128,Nha Trang.csv,2014-05-09,55,26,41,0,4,8,55
129,Nha Trang.csv,2014-05-10,61,23,23,0,31,8,61
130,Nha Trang.csv,2014-05-11,53,25,41,0,4,10,53
131,Nha Trang.csv,2014-05-12,58,20,55,4,4,7,58
132,Nha Trang.csv,2014-05-13,50,25,67,6,4,9,67
133,Nha Trang.csv,2014-05-14,64,25,69,7,4,9,69
134,Nha Trang.csv,2014-05-15,61,23,63,6,4,8,63
135,Nha Trang.csv,2014-05-16,58,22,52,6,4,7,58
136,Nha Trang.csv,2014-05-17,58,20,57,5,4,6,58
137,Nha Trang.csv,2014-05-18,52,16,57,5,4,7,57
138,Nha Trang.csv,2014-05-19,45,19,47,6,4,8,47
139,Nha Trang.csv,2014-05-20,47,21,54,7,4,9,54
140,Nha Trang.csv,2014-05-21,53,25,62,7,4,9,62
141,Nha Trang.csv,2014-05-22,60,26,65,8,4,10,65
142,Nha Trang.csv,2014-05-23,61,19,86,4,4,5,86
143,Nha Trang.csv,2014-05-24,55,16,48,4,4,5,55
144,Nha Trang.csv,2014-05-25,47,13,33,4,4,5,47
145,Nha Trang.csv,2014-05-26,41,15,41,5,4,6,41
146,Nha Trang.csv,2014-05-27,41,19,57,6,4,8,57
147,Nha Trang.csv,2014-05-28,49,22,69,7,5,8,69
148,Nha Trang.csv,2014-05-29,49,20,72,6,5,7,72
149,Nha Trang.csv,2014-05-30,53,19,68,8,5,9,68
150,Nha Trang.csv,2014-05-31,51,20,57,6,5,8,57
151,Nha Trang.csv,2014-06-01,53,20,49,7,7,9,53
152,Nha Trang.csv,2014-06-02,53,18,69,6,5,8,69
153,Nha Trang.csv,2014-06-03,46,22,68,8,5,8,68
154,Nha Trang.csv,2014-06-04,56,24,76,7,5,9,76
155,Nha Trang.csv,2014-06-05,56,23,74,7,5,9,74
156,Nha Trang.csv,2014-06-06,51,21,80,6,5,8,80
157,Nha Trang.csv,2014-06-07,53,21,73,7,5,8,73
158,Nha Trang.csv,2014-06-08,56,26,77,8,5,8,77
159,Nha Trang.csv,2014-06-09,64,24,51,7,5,8,64
160,Nha Trang.csv,2014-06-10,45,20,54,6,5,7,54
161,Nha Trang.csv,2014-06-11,40,16,43,6,5,7,43
162,Nha Trang.csv,2014-06-12,41,21,58,7,5,9,58
163,Nha Trang.csv,2014-06-13,52,19,46,6,5,7,52
164,Nha Trang.csv,2014-06-14,59,22,65,8,5,9,65
165,Nha Trang.csv,2014-06-15,61,24,54,9,5,9,61
166,Nha Trang.csv,2014-06-16,58,21,64,7,5,7,64
167,Nha Trang.csv,2014-06-17,52,30,64,9,5,9,64
168,Nha Trang.csv,2014-06-18,67,23,64,7,5,8,67
169,Nha Trang.csv,2014-06-19,57,29,54,6,5,8,57
170,Nha Trang.csv,2014-06-20,68,28,51,7,5,7,68
171,Nha Trang.csv,2014-06-21,69,22,50,6,5,5,69
172,Nha Trang.csv,2014-06-22,47,19,44,6,5,7,47
173,Nha Trang.csv,2014-06-23,45,18,63,5,5,5,63
174,Nha Trang.csv,2014-06-24,47,22,53,6,5,7,53
175,Nha Trang.csv,2014-06-25,57,23,50,8,5,10,57
176,Nha Trang.csv,2014-06-26,47,27,55,9,5,12,55
177,Nha Trang.csv,2014-06-27,60,23,47,8,5,13,60
178,Nha Trang.csv,2014-06-28,58,15,44,6,5,8,58
179,Nha Trang.csv,2014-06-29,39,16,63,6,5,10,63
