,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,Nho Quan,2022-01-01,0,48,0,0,0,0,48
1,Nho Quan,2022-01-02,91,56,0,0,0,0,91
2,Nho Quan,2022-01-03,116,54,0,0,0,0,116
3,Nho Quan,2022-01-04,109,41,0,0,0,0,109
4,Nho Quan,2022-01-05,79,35,0,0,0,0,79
5,Nho Quan,2022-01-06,65,40,0,0,0,0,65
6,Nho Quan,2022-01-07,78,52,0,0,0,0,78
7,Nho Quan,2022-01-08,103,46,0,0,0,0,103
8,Nho Quan,2022-01-09,96,33,0,0,0,0,96
9,Nho Quan,2022-01-10,65,23,0,0,0,0,65
10,Nho Quan,2022-01-11,43,35,0,0,0,0,43
11,Nho Quan,2022-01-12,67,42,0,0,0,0,67
12,Nho Quan,2022-01-13,84,0,0,0,0,0,84
13,Nho Quan,2022-01-14,0,41,0,0,0,0,41
14,Nho Quan,2022-01-15,78,48,0,0,0,0,78
15,Nho Quan,2022-01-16,91,13,0,0,0,0,91
16,Nho Quan,2022-01-17,24,23,0,0,0,0,24
17,Nho Quan,2022-01-18,42,39,0,0,0,0,42
18,Nho Quan,2022-01-19,74,38,0,0,0,0,74
19,Nho Quan,2022-01-20,75,38,0,0,0,0,75
20,Nho Quan,2022-01-21,77,20,0,0,0,0,77
21,Nho Quan,2022-01-22,38,55,0,0,0,0,55
22,Nho Quan,2022-01-23,111,39,0,0,0,0,111
23,Nho Quan,2022-01-24,73,0,0,0,0,0,73
24,Nho Quan,2022-01-26,0,25,0,0,0,0,25
25,Nho Quan,2022-01-27,45,23,0,0,0,0,45
26,Nho Quan,2022-01-28,41,36,0,0,0,0,41
27,Nho Quan,2022-01-29,71,21,0,0,0,0,71
28,Nho Quan,2022-01-30,40,14,0,0,0,0,40
29,Nho Quan,2022-01-31,26,21,0,0,0,0,26
30,Nho Quan,2022-02-01,40,21,0,0,0,0,40
31,Nho Quan,2022-02-02,42,14,0,0,0,0,42
32,Nho Quan,2022-02-03,26,28,0,0,0,0,28
33,Nho Quan,2022-02-04,51,42,0,0,0,0,51
34,Nho Quan,2022-02-05,79,49,0,0,0,0,79
