,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,Ninh Kiều,2021-12-27,0,28,0,0,0,0,28
1,Ninh Kiều,2021-12-28,27,28,0,0,0,0,28
2,Ninh Kiều,2021-12-29,25,31,0,0,0,0,31
3,Ninh Kiều,2021-12-30,28,32,0,0,0,0,32
4,Ninh Kiều,2021-12-31,30,38,0,0,0,0,38
5,Ninh Kiều,2022-01-01,37,36,0,0,0,0,37
6,Ninh Kiều,2022-01-02,37,32,0,0,0,0,37
7,Ninh Kiều,2022-01-03,31,37,0,0,0,0,37
8,Ninh Kiều,2022-01-04,36,29,0,0,0,0,36
9,Ninh Kiều,2022-01-05,28,34,0,0,0,0,34
10,Ninh Kiều,2022-01-06,31,33,0,0,0,0,33
11,Ninh Kiều,2022-01-07,32,37,0,0,0,0,37
12,Ninh Kiều,2022-01-08,34,30,0,0,0,0,34
13,Ninh Kiều,2022-01-09,30,24,0,0,0,0,30
14,Ninh Kiều,2022-01-10,22,29,0,0,0,0,29
15,Ninh Kiều,2022-01-11,25,31,0,0,0,0,31
16,Ninh Kiều,2022-01-12,29,35,0,0,0,0,35
17,Ninh Kiều,2022-01-13,36,0,0,0,0,0,36
18,Ninh Kiều,2022-01-14,0,43,0,0,0,0,43
19,Ninh Kiều,2022-01-15,41,32,0,0,0,0,41
20,Ninh Kiều,2022-01-16,35,39,0,0,0,0,39
21,Ninh Kiều,2022-01-17,41,40,0,0,0,0,41
22,Ninh Kiều,2022-01-18,42,39,0,0,0,0,42
23,Ninh Kiều,2022-01-19,36,41,0,0,0,0,41
24,Ninh Kiều,2022-01-20,37,36,0,0,0,0,37
25,Ninh Kiều,2022-01-21,33,32,0,0,0,0,33
26,Ninh Kiều,2022-01-22,30,36,0,0,0,0,36
27,Ninh Kiều,2022-01-23,40,26,0,0,0,0,40
28,Ninh Kiều,2022-01-24,30,0,0,0,0,0,30
29,Ninh Kiều,2022-01-26,0,45,0,0,0,0,45
30,Ninh Kiều,2022-01-27,48,42,0,0,0,0,48
31,Ninh Kiều,2022-01-28,48,42,0,0,0,0,48
32,Ninh Kiều,2022-01-29,49,45,0,0,0,0,49
33,Ninh Kiều,2022-01-30,57,29,0,0,0,0,57
34,Ninh Kiều,2022-01-31,30,24,0,0,0,0,30
35,Ninh Kiều,2022-02-01,24,22,0,0,0,0,24
36,Ninh Kiều,2022-02-02,21,21,0,0,0,0,21
37,Ninh Kiều,2022-02-03,24,22,0,0,0,0,24
38,Ninh Kiều,2022-02-04,22,27,0,0,0,0,27
39,Ninh Kiều,2022-02-05,24,29,0,0,0,0,29
40,Ninh Kiều,2022-02-06,26,28,0,0,0,0,28
41,Ninh Kiều,2022-02-07,27,27,0,0,0,0,27
42,Ninh Kiều,2022-02-08,28,23,0,0,0,0,28
43,Ninh Kiều,2022-02-09,23,23,0,0,0,0,23
44,Ninh Kiều,2022-02-10,22,25,0,0,0,0,25
45,Ninh Kiều,2022-02-11,25,31,0,0,0,0,31
46,Ninh Kiều,2022-02-12,29,23,0,0,0,0,29
47,Ninh Kiều,2022-02-13,22,22,0,0,0,0,22
48,Ninh Kiều,2022-02-14,20,18,0,0,0,0,20
49,Ninh Kiều,2022-02-15,16,21,0,0,0,0,21
50,Ninh Kiều,2022-02-16,23,23,0,0,0,0,23
51,Ninh Kiều,2022-02-17,23,28,0,0,0,0,28
52,Ninh Kiều,2022-02-18,31,29,0,0,0,0,31
53,Ninh Kiều,2022-02-19,35,26,0,0,0,0,35
54,Ninh Kiều,2022-02-20,30,21,0,0,0,0,30
55,Ninh Kiều,2022-02-21,19,34,0,0,0,0,34
56,Ninh Kiều,2022-02-22,34,43,0,0,0,0,43
57,Ninh Kiều,2022-02-23,52,30,0,0,0,0,52
58,Ninh Kiều,2022-02-24,30,22,0,0,0,0,30
59,Ninh Kiều,2022-02-25,18,26,0,0,0,0,26
60,Ninh Kiều,2022-02-26,19,23,0,0,0,0,23
61,Ninh Kiều,2022-02-27,20,21,0,0,0,0,21
62,Ninh Kiều,2022-02-28,19,25,0,0,0,0,25
63,Ninh Kiều,2022-03-01,22,26,0,0,0,0,26
64,Ninh Kiều,2022-03-02,23,34,0,0,0,0,34
65,Ninh Kiều,2022-03-03,33,29,0,0,0,0,33
66,Ninh Kiều,2022-03-04,26,23,0,0,0,0,26
67,Ninh Kiều,2022-03-05,21,24,0,0,0,0,24
68,Ninh Kiều,2022-03-06,28,27,0,0,0,0,28
69,Ninh Kiều,2022-03-07,32,24,0,0,0,0,32
70,Ninh Kiều,2022-03-08,24,37,0,0,0,0,37
71,Ninh Kiều,2022-03-09,35,36,0,0,0,0,36
72,Ninh Kiều,2022-03-10,32,46,0,0,0,0,46
73,Ninh Kiều,2022-03-11,54,37,0,0,0,0,54
