date, pm25, pm10, o3, no2, so2, co
2023/10/1, 77, 59, , 20, 18, 4
2023/10/2, 76, 63, , 22, 18, 4
2023/10/3, 92, 62, , 17, 18, 4
2023/10/4, 88, 57, , 18, 18, 4
2023/10/5, 67, 57, , 19, 17, 5
2023/10/6, 70, 53, , 23, 16, 5
2023/10/7, 49, 49, , 26, 16, 5
2023/10/8, 35, 54, , 29, 16, 4
2023/10/9, 59, 58, , 30, 17, 4
2023/10/10, 72, 61, , 36, 33, 4
2023/10/11, 81, 62, , 49, 33, 4
2023/10/12, 86, 61, , 39, 32, 5
2023/10/13, 83, 60, , 16, 28, 5
2023/10/14, 80, 61, , 5, 29, 5
2023/10/15, 83, 69, , 18, 28, 5
2023/10/16, 113, 76, , 26, 32, 6
2023/10/17, 132, 67, , 24, 31, 6
2023/10/18, 103, 52, , 19, 24, 5
2023/10/19, 62, 53, , 15, 18, 3
2023/10/20, 49, , , , , 
2023/7/1, 67, 51, , 15, 23, 3
2023/7/2, 62, 52, , 16, 23, 3
2023/7/3, 60, 44, , 14, 24, 2
2023/7/4, 49, 44, , 14, 25, 2
2023/7/5, 55, 42, , 13, 25, 5
2023/7/6, 56, 51, , 16, 24, 4
2023/7/7, 76, 45, , 15, 34, 5
2023/7/8, 67, 38, , 15, 43, 5
2023/7/9, 52, 47, , 15, 42, 5
2023/7/10, 67, 48, , 16, 20, 4
2023/7/11, 67, 53, , 19, 27, 4
2023/7/12, 67, 47, , 17, 29, 5
2023/7/13, 59, 53, , 20, 19, 5
2023/7/14, 69, 50, , 18, 21, 5
2023/7/15, 82, 61, , 18, 23, 6
2023/7/16, 92, 65, , 11, 21, 7
2023/7/17, 100, 35, , 7, 25, 3
2023/7/18, 48, 36, , 7, 20, 3
2023/7/19, 54, 32, , 7, 17, 3
2023/7/20, 47, 39, , 7, 16, 3
2023/7/21, 59, 44, , 8, 19, 3
2023/7/22, 50, 42, , 8, 15, 2
2023/7/23, 41, 47, , 8, 12, 2
2023/7/24, 46, 49, , 9, 11, 2
2023/7/25, 60, 50, , 9, 11, 2
2023/7/26, 66, 58, , 11, 14, 2
2023/7/27, 84, 55, , 12, 11, 3
2023/7/28, 87, 68, , 14, 12, 4
2023/7/29, 117, 41, , 13, 10, 2
2023/7/30, 53, 45, , 10, 14, 2
2023/7/31, 55, 41, , 11, 13, 3
2023/8/1, 60, 48, , 19, 14, 2
2023/8/2, 60, 40, , 10, 16, 3
2023/8/3, 54, 33, , 16, 21, 2
2023/8/4, 46, 31, , 9, 12, 3
2023/8/5, 33, 36, , 10, 17, 3
2023/8/6, 37, 37, , 12, 18, 3
2023/8/7, 43, 49, , 10, 17, 3
2023/8/8, 58, 57, , 11, 15, 3
2023/8/9, 72, 58, , 11, 21, 3
2023/8/10, 83, 52, , 10, 16, 3
2023/8/11, 81, 53, , 9, 15, 3
2023/8/12, 82, 48, , 13, 14, 3
2023/8/13, 69, 48, , 14, 14, 3
2023/8/14, 64, 54, , 13, 13, 4
2023/8/15, 80, 60, , 14, 13, 4
2023/8/16, 92, 52, , 10, 14, 4
2023/8/17, 56, 56, , 10, 16, 3
2023/8/18, 65, 56, , 8, 14, 4
2023/8/19, 64, 53, , 6, 16, 4
2023/8/20, 52, 52, , 7, 16, 3
2023/8/21, 48, 55, , 7, 16, 3
2023/8/22, 62, 58, , 9, 15, 3
2023/8/23, 70, 50, , 5, 13, 3
2023/8/24, 50, 55, , 8, 12, 3
2023/8/25, 60, 55, , 8, 12, 3
2023/8/26, 63, 57, , 11, 12, 4
2023/8/27, 70, 56, , 7, 12, 4
2023/8/28, 63, 57, , 6, 12, 3
2023/8/29, 67, 49, , 25, 18, 4
2023/8/30, 63, 61, , 24, 19, 4
2023/8/31, 86, 70, , 13, 20, 5
2023/9/1, 114, 65, , 12, 21, 5
2023/9/2, 97, 63, , 12, 21, 4
2023/9/3, 90, 56, , 9, 25, 4
2023/9/4, 64, 54, , 9, 23, 4
2023/9/5, 58, 62, , 13, 22, 4
2023/9/6, 93, 64, , 20, 22, 5
2023/9/7, 95, 59, , 21, 22, 5
2023/9/8, 74, 63, , 21, 22, 5
2023/9/9, 93, 61, , 17, 22, 4
2023/9/10, 84, 60, , 18, 22, 4
2023/9/11, 78, 56, , 16, 22, 4
2023/9/12, 63, 51, , 15, 22, 3
2023/9/13, 46, 51, , 14, 22, 4
2023/9/14, 43, 54, , 18, 22, 4
2023/9/15, 56, 55, , 15, 23, 4
2023/9/16, 58, 56, , 16, 22, 4
2023/9/17, 65, 59, , 16, 18, 3
2023/9/18, 77, 47, , 15, 18, 4
2023/9/19, 54, 60, , 15, 22, 3
2023/9/20, 80, 56, , 15, 22, 3
2023/9/21, 64, 58, , 16, 22, 3
2023/9/22, 73, 56, , 18, 22, 3
2023/9/23, 66, 59, , 15, 22, 3
2023/9/24, 74, 60, , 14, 22, 3
2023/9/25, 78, 56, , 14, 22, 3
2023/9/26, 65, 50, , 15, 20, 3
2023/9/27, 41, 51, , 16, 18, 3
2023/9/28, 42, 55, , 15, 18, 4
2023/9/29, 59, 58, , 17, 18, 4
2023/9/30, 72, 59, , 20, 18, 4
2023/4/1, 26, 12, 8, 9, 14, 2
2023/4/2, 19, 19, 14, 6, 14, 1
2023/4/3, 22, 25, 12, 10, 15, 1
2023/4/4, 31, 33, 18, 11, 16, 2
2023/4/5, 39, 30, 16, 10, 16, 1
2023/4/6, 38, 36, 13, 10, 21, 2
2023/4/7, 40, 27, 16, 6, 17, 2
2023/4/8, 37, 45, 11, 5, 18, 2
2023/4/9, 70, 39, 10, 9, 18, 2
2023/4/10, 63, 41, 6, 19, 18, 3
2023/4/11, 66, 50, 7, 28, 21, 3
2023/4/12, 77, 45, 10, 23, 15, 3
2023/4/13, 68, 48, 9, 17, 11, 2
2023/4/14, 72, 41, 14, 6, 12, 2
2023/4/15, 64, 56, 24, 8, 13, 3
2023/4/16, 92, 60, 12, 15, 14, 3
2023/4/17, 97, 48, 10, 11, 13, 2
2023/4/18, 71, 53, 12, 20, 15, 2
2023/4/19, 83, 56, 15, 20, 15, 3
2023/4/20, 86, 57, 22, 24, 17, 3
2023/4/21, 87, 49, 61, 29, 16, 2
2023/4/22, 64, 31, 251, 19, 15, 1
2023/4/23, 40, 36, , 18, 16, 1
2023/4/24, 41, 27, , 19, 17, 2
2023/4/25, 33, 31, , 19, 19, 2
2023/4/26, 39, 41, , 23, 21, 2
2023/4/27, 49, 31, , 22, 20, 1
2023/4/28, 40, 26, , 21, 21, 2
2023/4/29, 34, 35, , 16, 23, 2
2023/4/30, 42, 45, , 19, 25, 2
2023/5/1, 53, 40, , 21, 22, 2
2023/5/2, 48, 39, , 20, 24, 1
2023/5/3, 49, 30, , 18, 26, 1
2023/5/4, 38, 36, , 20, 26, 1
2023/5/5, 45, 37, , 22, 25, 1
2023/5/6, 45, , , , , 
2023/5/8, 34, 29, , 21, 27, 2
2023/5/9, 41, 37, , 27, 31, 2
2023/5/10, 50, 35, , 23, 38, 2
2023/5/11, 47, 25, , 13, 35, 2
2023/5/12, 36, 23, , 13, 36, 1
2023/5/13, 35, 28, , 14, 42, 2
2023/5/14, 42, 41, , 21, 51, 3
2023/5/15, 61, 43, , 19, 42, 2
2023/5/16, 57, 50, , 20, 26, 2
2023/5/17, 63, 51, , 24, 32, 2
2023/5/18, 65, 51, , 27, 32, 2
2023/5/19, 69, 49, , 19, 26, 1
2023/5/20, 64, 47, , 12, 29, 1
2023/5/21, 62, 47, , 15, 30, 1
2023/5/22, 63, 46, , 17, 30, 1
2023/5/23, 64, 44, , 14, 32, 1
2023/5/24, 62, 32, , 13, 32, 1
2023/5/25, 35, 33, , 13, 34, 1
2023/5/26, 35, 36, , 13, 36, 1
2023/5/27, 33, 43, , 14, 42, 1
2023/5/28, 46, 40, , 14, 46, 1
2023/5/29, 51, 43, , 14, 49, 1
2023/5/30, 44, 48, , 14, 50, 1
2023/5/31, 53, 51, , 17, 49, 1
2023/6/1, 55, 44, , 15, 50, 1
2023/6/2, 53, 49, , 15, 49, 1
2023/6/3, 64, 42, , 11, 49, 1
2023/6/4, 57, 50, , 17, 49, 1
2023/6/5, 65, 37, , 14, 51, 1
2023/6/6, 49, 31, , 8, 57, 1
2023/6/7, 43, 45, , 13, 58, 1
2023/6/8, 64, 47, , 9, 54, 2
2023/6/9, 76, 60, , 8, 52, 2
2023/6/10, 99, 54, , 7, 52, 1
2023/6/11, 77, 44, , 7, 51, 2
2023/6/12, 69, 35, , 7, 48, 1
2023/6/13, 57, 22, , 5, 16, 1
2023/6/14, 34, 25, , 5, 19, 1
2023/6/15, 33, 34, , 7, 20, 1
2023/6/16, 36, 35, , 7, 19, 1
2023/6/17, 36, 22, , 5, 18, 1
