,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Phú Nhuận,2019-12-02,0,18,13,12,5,10,18,Tốt
1,Phú Nhuận,2019-12-03,34,19,20,12,4,7,34,Tốt
2,Phú Nhuận,2019-12-04,36,17,15,13,5,7,36,Tốt
3,Phú Nhuận,2019-12-05,32,8,22,8,5,5,32,Tốt
4,Phú Nhuận,2019-12-06,13,35,20,13,5,8,35,Tốt
5,Phú Nhuận,2019-12-07,45,45,11,14,4,8,45,Tốt
6,Phú Nhuận,2019-12-08,63,47,16,14,5,9,63,Vừa Phải
7,Phú Nhuận,2019-12-09,67,54,24,15,6,10,67,Vừa Phải
8,Phú Nhuận,2019-12-10,90,37,24,13,4,9,90,Vừa Phải
9,Phú Nhuận,2019-12-11,70,50,17,13,5,8,70,Vừa Phải
10,Phú Nhuận,2019-12-12,100,46,11,13,5,11,100,Vừa Phải
11,Phú Nhuận,2019-12-13,64,40,11,13,5,8,64,Vừa Phải
12,Phú Nhuận,2019-12-14,68,27,10,9,4,7,68,Vừa Phải
13,Phú Nhuận,2019-12-15,38,23,10,9,4,7,38,Tốt
14,Phú Nhuận,2019-12-16,31,30,8,8,4,6,31,Tốt
15,Phú Nhuận,2019-12-17,41,21,10,7,4,6,41,Tốt
16,Phú Nhuận,2019-12-18,27,20,8,7,5,6,27,Tốt
17,Phú Nhuận,2019-12-19,27,19,10,7,5,5,27,Tốt
18,Phú Nhuận,2019-12-20,24,20,10,8,4,7,24,Tốt
19,Phú Nhuận,2019-12-21,26,21,11,8,5,7,26,Tốt
20,Phú Nhuận,2019-12-22,29,26,10,9,5,8,29,Tốt
21,Phú Nhuận,2019-12-23,35,26,10,7,5,8,35,Tốt
22,Phú Nhuận,2019-12-24,35,27,10,9,5,8,35,Tốt
23,Phú Nhuận,2019-12-25,35,31,11,8,5,7,35,Tốt
24,Phú Nhuận,2019-12-26,41,33,17,9,5,8,41,Tốt
25,Phú Nhuận,2019-12-27,44,38,15,11,5,11,44,Tốt
26,Phú Nhuận,2019-12-28,56,50,13,10,6,10,56,Vừa Phải
27,Phú Nhuận,2019-12-29,80,0,0,0,0,0,80,Vừa Phải
28,Phú Nhuận,2019-12-31,0,12,13,4,5,5,13,Tốt
29,Phú Nhuận,2020-01-01,17,17,14,5,5,7,17,Tốt
30,Phú Nhuận,2020-01-02,27,19,10,6,5,8,27,Tốt
31,Phú Nhuận,2020-01-03,29,19,10,5,5,7,29,Tốt
32,Phú Nhuận,2020-01-04,25,18,10,5,5,6,25,Tốt
33,Phú Nhuận,2020-01-05,25,22,10,5,5,6,25,Tốt
34,Phú Nhuận,2020-01-06,28,22,10,4,5,7,28,Tốt
35,Phú Nhuận,2020-01-07,29,22,10,3,5,7,29,Tốt
36,Phú Nhuận,2020-01-08,28,25,10,3,5,6,28,Tốt
37,Phú Nhuận,2020-01-09,31,28,10,5,5,7,31,Tốt
38,Phú Nhuận,2020-01-10,37,28,10,1,5,8,37,Tốt
39,Phú Nhuận,2020-01-11,36,22,10,1,5,7,36,Tốt
40,Phú Nhuận,2020-01-12,31,25,15,1,5,7,31,Tốt
41,Phú Nhuận,2020-01-13,36,11,14,1,5,8,36,Tốt
42,Phú Nhuận,2020-01-14,20,14,13,0,5,7,20,Tốt
43,Phú Nhuận,2020-01-15,22,31,11,95,5,8,95,Vừa Phải
44,Phú Nhuận,2020-01-16,41,12,6,13,5,8,41,Tốt
45,Phú Nhuận,2020-01-17,18,25,5,13,5,7,25,Tốt
46,Phú Nhuận,2020-01-18,39,22,5,13,5,8,39,Tốt
47,Phú Nhuận,2020-01-19,31,26,5,13,5,9,31,Tốt
48,Phú Nhuận,2020-01-20,36,22,6,14,5,9,36,Tốt
49,Phú Nhuận,2020-01-21,32,26,5,13,5,10,32,Tốt
50,Phú Nhuận,2020-01-22,37,30,5,13,5,10,37,Tốt
51,Phú Nhuận,2020-01-23,43,31,5,13,5,9,43,Tốt
52,Phú Nhuận,2020-01-24,45,33,5,13,5,7,45,Tốt
53,Phú Nhuận,2020-01-25,51,9,5,13,5,6,51,Vừa Phải
54,Phú Nhuận,2020-01-26,13,7,5,13,5,8,13,Tốt
55,Phú Nhuận,2020-01-27,12,5,5,13,5,8,13,Tốt
56,Phú Nhuận,2020-01-28,10,3,6,13,5,7,13,Tốt
57,Phú Nhuận,2020-01-29,7,17,6,13,5,8,17,Tốt
58,Phú Nhuận,2020-01-30,27,26,6,14,5,9,27,Tốt
59,Phú Nhuận,2020-01-31,48,19,7,13,5,7,48,Tốt
60,Phú Nhuận,2020-02-01,33,16,6,13,6,6,33,Tốt
61,Phú Nhuận,2020-02-02,28,19,7,13,0,7,28,Tốt
62,Phú Nhuận,2020-02-03,28,23,6,13,0,7,28,Tốt
63,Phú Nhuận,2020-02-04,32,22,6,13,0,6,32,Tốt
64,Phú Nhuận,2020-02-05,29,23,6,13,0,7,29,Tốt
65,Phú Nhuận,2020-02-06,29,25,6,13,0,8,29,Tốt
66,Phú Nhuận,2020-02-07,33,18,6,13,0,6,33,Tốt
67,Phú Nhuận,2020-02-08,25,20,8,13,0,5,25,Tốt
68,Phú Nhuận,2020-02-09,25,23,7,13,0,7,25,Tốt
69,Phú Nhuận,2020-02-10,29,25,6,13,0,9,29,Tốt
70,Phú Nhuận,2020-02-11,37,28,5,13,0,8,37,Tốt
71,Phú Nhuận,2020-02-12,38,27,7,13,0,9,38,Tốt
72,Phú Nhuận,2020-02-13,36,32,6,13,0,10,36,Tốt
73,Phú Nhuận,2020-02-14,45,35,6,13,0,8,45,Tốt
74,Phú Nhuận,2020-02-15,44,20,6,13,0,7,44,Tốt
75,Phú Nhuận,2020-02-16,31,7,6,14,0,7,31,Tốt
76,Phú Nhuận,2020-02-17,13,2,7,14,0,7,14,Tốt
77,Phú Nhuận,2020-02-18,2,16,8,13,0,7,16,Tốt
78,Phú Nhuận,2020-02-19,22,30,7,13,0,7,30,Tốt
79,Phú Nhuận,2020-02-20,42,30,7,13,0,7,42,Tốt
80,Phú Nhuận,2020-02-21,41,30,6,13,0,7,41,Tốt
81,Phú Nhuận,2020-02-22,42,28,7,13,0,6,42,Tốt
82,Phú Nhuận,2020-02-23,38,24,8,13,0,6,38,Tốt
83,Phú Nhuận,2020-02-24,33,23,7,33,0,6,33,Tốt
84,Phú Nhuận,2020-02-25,30,18,5,13,0,6,30,Tốt
85,Phú Nhuận,2020-02-26,23,17,5,13,0,6,23,Tốt
86,Phú Nhuận,2020-02-27,22,13,5,13,0,5,22,Tốt
87,Phú Nhuận,2020-02-28,16,18,5,13,0,7,18,Tốt
88,Phú Nhuận,2020-02-29,25,16,6,13,0,6,25,Tốt
89,Phú Nhuận,2020-03-01,21,22,5,13,0,7,22,Tốt
90,Phú Nhuận,2020-03-02,29,11,5,13,0,4,29,Tốt
91,Phú Nhuận,2020-03-03,16,18,6,13,0,6,18,Tốt
92,Phú Nhuận,2020-03-04,22,10,5,13,0,6,22,Tốt
