date,max
2022-12-02,21
2022-12-03,337
2022-12-04,65.5
2022-12-05,38.3
2022-12-06,84.7
2022-12-07,54.7
2022-12-08,76
2022-12-09,51.8
2022-12-10,81.7
2022-12-11,69.6
2022-12-12,136.5
2022-12-13,70.1
2022-12-14,84.8
2022-12-15,196.6
2022-12-16,221.8
2022-12-17,45.7
2022-12-18,44.1
2022-12-19,59.2
2022-12-20,91.6
2022-12-21,73.5
2022-12-22,136.5
2022-12-23,83.5
2022-12-24,121.4
2022-12-25,167.8
2022-12-26,50.3
2022-12-27,79.7
2022-12-28,62
2022-12-29,91
2022-12-30,85.8
2022-12-31,121.2
2023-01-01,85.6
2023-01-02,63.2
2023-01-03,42.9
2023-01-04,51.4
2023-01-05,103
2023-01-06,165.6
2023-01-07,83.1
2023-01-08,111.6
2023-01-09,55.6
2023-01-10,82.4
2023-01-11,89.2
2023-01-12,133.5
2023-01-13,329.8
2023-01-14,139.5
2023-01-15,452.2
2023-01-16,90
2023-01-17,59.7
2023-01-18,134.9
2023-01-19,447.2
2023-01-20,114.5
2023-01-21,310.4
2023-01-22,127.9
2023-01-23,241.7
2023-01-24,59.4
2023-01-25,74.3
2023-01-26,48.8
2023-01-27,43.9
2023-01-28,81.2
2023-01-29,86.7
2023-01-30,88.3
2023-01-31,326.4
2023-02-01,157.4
2023-02-02,79.2
2023-02-03,155.6
2023-02-04,57
2023-02-05,80.4
2023-02-06,75.3
2023-02-07,279.6
2023-02-08,125
2023-02-09,78.4
2023-02-10,210
2023-02-11,67.9
2023-02-12,168
2023-02-13,132.9
2023-02-14,273.4
2023-02-15,228.3
2023-02-16,86.1
2023-02-17,155.6
2023-02-18,125.3
2023-02-19,63.5
2023-02-20,96.8
2023-02-21,71.2
2023-02-22,131.9
2023-02-23,88.8
2023-02-24,68.8
2023-02-25,185.7
2023-02-26,62.2
2023-02-27,64.6
2023-02-28,50.6
2023-03-01,72.3
2023-03-02,74.6
2023-03-03,193.1
2023-03-04,149.8
2023-03-05,110.3
2023-03-06,107.3
2023-03-07,74.7
2023-03-08,86.4
2023-03-09,280.8
2023-03-10,84.7
2023-03-11,90.5
2023-03-12,85.7
2023-03-13,83.2
2023-03-14,90.5
2023-03-15,134.2
2023-03-16,144.8
2023-03-17,73.7
2023-03-18,116
2023-03-19,56
2023-03-20,73.6
2023-03-21,90.8
2023-03-22,96.7
2023-03-23,104.7
2023-03-24,118.1
2023-03-25,143.4
2023-03-26,175.1
2023-03-27,73.9
