date,median
2022-12-02,3.5
2022-12-03,6.9
2022-12-04,6.4
2022-12-05,20.4
2022-12-06,17.4
2022-12-07,15.1
2022-12-08,8.5
2022-12-09,16.5
2022-12-10,21.1
2022-12-11,34.5
2022-12-12,42.55
2022-12-13,44.6
2022-12-14,42.5
2022-12-15,49.8
2022-12-16,41.35
2022-12-17,7.7
2022-12-18,18.5
2022-12-19,21.05
2022-12-20,29.45
2022-12-21,13.2
2022-12-22,44.75
2022-12-23,38.7
2022-12-24,23.1
2022-12-25,16.8
2022-12-26,20.1
2022-12-27,22.6
2022-12-28,17.35
2022-12-29,31.9
2022-12-30,42.8
2022-12-31,40.54
2023-01-01,32.5
2023-01-02,11.2
2023-01-03,12.75
2023-01-04,14.4
2023-01-05,19
2023-01-06,30.4
2023-01-07,21.6
2023-01-08,21
2023-01-09,11.2
2023-01-10,44.3
2023-01-11,26.15
2023-01-12,32.9
2023-01-13,48.9
2023-01-14,49.8
2023-01-15,43.1
2023-01-16,18.3
2023-01-17,10.5
2023-01-18,26.6
2023-01-19,34.25
2023-01-20,37.79
2023-01-21,53.4
2023-01-22,45.9
2023-01-23,31.8
2023-01-24,21.7
2023-01-25,22.5
2023-01-26,30.45
2023-01-27,12.3
2023-01-28,9.19
2023-01-29,34.5
2023-01-30,35.7
2023-01-31,38.7
2023-02-01,43
2023-02-02,36.1
2023-02-03,24.8
2023-02-04,11.8
2023-02-05,16.95
2023-02-06,27.8
2023-02-07,28.6
2023-02-08,18.7
2023-02-09,19.1
2023-02-10,30.8
2023-02-11,36.8
2023-02-12,46.1
2023-02-13,43.7
2023-02-14,24.05
2023-02-15,29.7
2023-02-16,32.5
2023-02-17,24
2023-02-18,26.9
2023-02-19,11.6
2023-02-20,39.29
2023-02-21,33.79
2023-02-22,17.8
2023-02-23,21.9
2023-02-24,28.45
2023-02-25,52.4
2023-02-26,32.29
2023-02-27,32.4
2023-02-28,18.1
2023-03-01,27.3
2023-03-02,34.3
2023-03-03,40.7
2023-03-04,41.4
2023-03-05,58.1
2023-03-06,35.4
2023-03-07,25.4
2023-03-08,22.8
2023-03-09,24.7
2023-03-10,34.8
2023-03-11,31.9
2023-03-12,29.6
2023-03-13,44.2
2023-03-14,31.35
2023-03-15,18.6
2023-03-16,14.5
2023-03-17,20.39
2023-03-18,25.1
2023-03-19,23.2
2023-03-20,40.79
2023-03-21,46.8
2023-03-22,52.2
2023-03-23,51.35
2023-03-24,41.6
2023-03-25,41.2
2023-03-26,28.1
2023-03-27,16.35
2023-03-28,15.6
2023-03-29,22.1
2023-03-30,24.7
2023-03-31,33.2
2023-04-01,32.7
2023-04-02,38.9
2023-04-03,37.8
2023-04-04,43.2
2023-04-05,45.5
2023-04-06,38.2
2023-04-07,22.2
2023-04-08,12.3
2023-04-09,23.9
2023-04-10,36.4
2023-04-11,43
2023-04-12,32.7
2023-04-13,33.3
2023-04-14,39
2023-04-15,37.6
2023-04-16,38.2
2023-04-17,43.1
2023-04-18,45.5
2023-04-19,50.7
2023-04-20,52.6
2023-04-21,43.5
2023-04-22,48
2023-04-23,34.3
2023-04-24,30.65
2023-04-25,22.8
2023-04-26,22.3
2023-04-27,26.2
2023-04-28,32.7
2023-04-29,32
2023-04-30,24.25
2023-05-01,24.7
2023-05-02,25.5
2023-05-03,26.5
2023-05-04,33.6
2023-05-05,43.8
2023-05-06,49.1
2023-05-07,45.9
2023-05-15,17.55
2023-05-16,14.3
2023-05-17,40.4
2023-05-18,42.4
2023-05-19,37.9
2023-05-20,36.15
2023-05-21,33.5
2023-05-22,27
2023-05-23,15.3
2023-05-24,7.35
2023-05-25,8.8
2023-05-26,13.7
2023-05-27,15.05
2023-05-28,9.3
2023-05-29,11.3
2023-05-30,16.2
2023-05-31,11
2023-06-01,8.65
2023-06-02,11.1
2023-06-03,14
2023-06-04,17.39
2023-06-05,19.39
2023-06-06,18.5
2023-06-07,3.1
2023-06-08,11.2
2023-06-09,18.6
2023-06-10,18.1
2023-06-11,13.75
2023-06-12,19.7
2023-06-13,15.4
2023-06-14,12.8
2023-06-15,13.6
2023-06-16,4.6
2023-06-17,5.1
2023-06-18,8.5
2023-06-19,9.55
2023-06-20,7.7
2023-06-21,7.5
2023-06-22,8.4
2023-06-23,10
2023-06-24,8.69
2023-06-25,13.8
2023-06-26,11.9
2023-06-27,19.4
2023-06-28,19.4
2023-06-29,11.1
2023-06-30,8
2023-07-01,8.6
2023-07-02,12.5
2023-07-03,6
2023-07-04,6.8
2023-07-05,8
2023-07-06,14.75
2023-07-07,16.89
2023-07-08,16.8
2023-07-09,11.8
2023-07-10,9.69
2023-07-11,13.3
2023-07-12,12.8
2023-07-13,14.4
2023-07-14,17
2023-07-15,16.64
2023-07-16,15.6
2023-07-17,17.1
2023-07-18,13.1
2023-07-19,10.5
2023-07-20,16.6
2023-07-21,11.2
2023-07-22,8.4
2023-07-23,26.7
2023-07-24,10.1
2023-07-25,5
2023-07-26,8.6
2023-07-27,17.4
2023-07-28,11.2
2023-07-29,7.1
2023-07-30,8.9
2023-07-31,15.7
2023-08-01,17.85
2023-08-02,15.2
2023-08-03,18.1
2023-08-04,18.89
2023-08-05,12.7
2023-08-06,11.7
2023-08-07,9.4
2023-08-08,16.6
2023-08-09,15.7
2023-08-10,19.6
2023-08-11,22.7
2023-08-12,21.2
2023-08-13,22.05
2023-08-14,23.5
2023-08-15,16
2023-08-16,17.6
2023-08-17,9.69
2023-08-18,17.55
2023-08-19,27.9
2023-08-20,18.6
