date,min,max,median,q1,q3,stdev,count
2022-12-02T00:00:00.000Z,0.3,19.2,3.5,2.2,4.8,2.597,554
2022-12-03T00:00:00.000Z,0,294.8,6.9,3.3,12.4,22.585,649
2022-12-04T00:00:00.000Z,1.8,56.2,6.4,4.1,12.5,7.447,654
2022-12-05T00:00:00.000Z,2.8,33,20.4,13.3,26.9,7.336,655
2022-12-06T00:00:00.000Z,11.5,81,17.4,16,19.45,6.353,672
2022-12-07T00:00:00.000Z,3.3,47,15.1,10.8,18.6,5.977,647
2022-12-08T00:00:00.000Z,3.7,68.7,8.5,6.65,12.8,8.747,653
2022-12-09T00:00:00.000Z,7.2,48.3,16.5,13.4,21.5,6.263,669
2022-12-10T00:00:00.000Z,11.7,68,21.1,17,32.1,9.781,455
2022-12-11T00:00:00.000Z,26.7,58,34.5,33.4,36.5,4.973,383
2022-12-12T00:00:00.000Z,30.9,126,42.55,38.7,46.4,8.305,650
2022-12-13T00:00:00.000Z,37.8,58.5,44.6,43.2,47.4,3.32,651
2022-12-14T00:00:00.000Z,36.6,78.4,42.5,40.7,45.3,5.746,638
2022-12-15T00:00:00.000Z,33.2,182.7,49.8,37.79,54.5,14.378,666
2022-12-16T00:00:00.000Z,19.9,192.8,41.35,33.04,47.2,14.221,676
2022-12-17T00:00:00.000Z,1.8,38,7.7,5.7,19.4,7.54,658
2022-12-18T00:00:00.000Z,2,37.7,18.5,8,23.9,8.202,669
2022-12-19T00:00:00.000Z,12.5,48,21.05,18.5,26.3,5.756,650
2022-12-20T00:00:00.000Z,8.2,86.4,29.45,16.8,37.9,12.482,646
2022-12-21T00:00:00.000Z,1.5,64.4,13.2,9.25,35,13.704,637
2022-12-22T00:00:00.000Z,14.2,126.8,44.75,37.75,46.6,12.029,308
2022-12-23T00:00:00.000Z,14.3,77.5,38.7,27.7,49.9,13.815,527
2022-12-24T00:00:00.000Z,13.1,105.8,23.1,19.5,37.3,13.501,647
2022-12-25T00:00:00.000Z,7,158.9,16.8,11.1,33.6,17.749,650
2022-12-26T00:00:00.000Z,10,41.6,20.1,16.7,25.7,6.673,679
2022-12-27T00:00:00.000Z,7.6,75.1,22.6,16.8,30.9,9.831,666
2022-12-28T00:00:00.000Z,2.6,50.5,17.35,11.1,23,8.786,640
2022-12-29T00:00:00.000Z,2,83,31.9,9.7,47.4,18.648,631
2022-12-30T00:00:00.000Z,10.9,81.4,42.8,38.7,46.6,10.302,641
2022-12-31T00:00:00.000Z,28.9,111.5,40.54,37.4,44.1,6.551,650
2023-01-01T00:00:00.000Z,16.2,75.8,32.5,20,41.2,11.094,651
2023-01-02T00:00:00.000Z,0,51.4,11.2,3.9,17.9,9.877,635
2023-01-03T00:00:00.000Z,2,36.2,12.75,7.9,19,8.544,662
2023-01-04T00:00:00.000Z,1.3,42.6,14.4,6.8,20.6,9.249,638
2023-01-05T00:00:00.000Z,11.4,95.3,19,17.1,22.4,8.071,649
2023-01-06T00:00:00.000Z,12.4,148.6,30.4,18.7,37.7,12.441,652
2023-01-07T00:00:00.000Z,14.3,76.2,21.6,18.7,28.2,8.819,671
2023-01-08T00:00:00.000Z,6.2,105.5,21,12.6,31,13.545,659
2023-01-09T00:00:00.000Z,0.3,45.7,11.2,4.7,18.89,10.549,651
2023-01-10T00:00:00.000Z,5.5,78.4,44.3,20.39,48.25,15.957,633
2023-01-11T00:00:00.000Z,4.5,85.3,26.15,20.95,37.9,15.367,636
2023-01-12T00:00:00.000Z,9.2,123.6,32.9,25.75,39.4,14.294,636
2023-01-13T00:00:00.000Z,22.2,308.8,48.9,35.4,64.4,24.79,671
2023-01-14T00:00:00.000Z,16.5,126.1,49.8,34.1,56.7,18.01,659
2023-01-15T00:00:00.000Z,19.1,370.7,43.1,39.79,50.1,26.092,627
2023-01-16T00:00:00.000Z,1.8,74.9,18.3,10.95,29.9,12.711,660
2023-01-17T00:00:00.000Z,0.4,48.5,10.5,5.4,16.3,9.561,659
2023-01-18T00:00:00.000Z,5.1,126.1,26.6,18.8,33,15.86,623
2023-01-19T00:00:00.000Z,16.5,395.8,34.25,28.9,47.3,19.435,668
2023-01-20T00:00:00.000Z,15.9,107.8,37.79,31.65,41.8,11.34,668
2023-01-21T00:00:00.000Z,27.2,267.7,53.4,38.7,80.2,27.222,662
2023-01-22T00:00:00.000Z,20.2,120.6,45.9,41.5,49.3,10.947,650
2023-01-23T00:00:00.000Z,4.3,205.6,31.8,21.55,36.79,13.134,680
2023-01-24T00:00:00.000Z,0,47,21.7,3.9,33.79,14.516,623
2023-01-25T00:00:00.000Z,7.1,65.7,22.5,19,26.75,9.102,673
2023-01-26T00:00:00.000Z,16.1,41.4,30.45,22.9,33.4,5.957,662
2023-01-27T00:00:00.000Z,0,37.8,12.3,7.2,16.8,9.055,607
2023-01-28T00:00:00.000Z,0.2,74,9.19,2.35,30.65,15.349,633
2023-01-29T00:00:00.000Z,22,76.9,34.5,32.1,37.2,6.05,678
2023-01-30T00:00:00.000Z,30.9,84.3,35.7,34.1,39.1,5.526,647
2023-01-31T00:00:00.000Z,22.4,303.2,38.7,33.79,47.8,30.697,636
2023-02-01T00:00:00.000Z,16.3,146.5,43,31.15,48.9,16.28,645
2023-02-02T00:00:00.000Z,23.5,71.8,36.1,32.6,45.2,8.002,657
2023-02-03T00:00:00.000Z,3.7,140.7,24.8,7.4,32.4,15.501,668
2023-02-04T00:00:00.000Z,3.1,44.9,11.8,8.9,18.2,8.923,674
2023-02-05T00:00:00.000Z,2.9,73.3,16.95,9.8,27.3,10.383,638
2023-02-06T00:00:00.000Z,4.2,62.8,27.8,17.8,31.8,10.013,658
2023-02-07T00:00:00.000Z,8,275.4,28.6,23.6,33.79,20.088,650
2023-02-08T00:00:00.000Z,9.8,123.1,18.7,15.6,26.1,11.036,639
2023-02-09T00:00:00.000Z,6.8,68.2,19.1,14.55,26.85,9.236,649
2023-02-10T00:00:00.000Z,13.8,194.7,30.8,23,35.4,10.49,667
2023-02-11T00:00:00.000Z,13.7,54.2,36.8,27.6,40.2,9.424,640
2023-02-12T00:00:00.000Z,18.9,146.6,46.1,36.1,48.5,13.43,643
2023-02-13T00:00:00.000Z,20.4,112.7,43.7,39.4,48.4,10.186,642
2023-02-14T00:00:00.000Z,4.7,254.9,24.05,11.3,44.2,28.182,654
2023-02-15T00:00:00.000Z,1.7,208.4,29.7,9.9,33.3,21.838,655
2023-02-16T00:00:00.000Z,20.4,74.7,32.5,29.4,34.4,5.789,649
2023-02-17T00:00:00.000Z,8.1,135.4,24,19.5,32.6,13.863,662
2023-02-18T00:00:00.000Z,11.6,115.9,26.9,18.8,35.4,10.385,651
2023-02-19T00:00:00.000Z,3.1,50,11.6,5.7,14.7,9.798,595
2023-02-20T00:00:00.000Z,11.8,90.5,39.29,21,45.7,14.046,635
2023-02-21T00:00:00.000Z,26.1,57.5,33.79,30.8,39.29,6.611,640
2023-02-22T00:00:00.000Z,7.7,120.9,17.8,15.1,26.25,9.25,665
2023-02-23T00:00:00.000Z,8,80.2,21.9,11.5,32.45,11.736,649
2023-02-24T00:00:00.000Z,12.6,55.2,28.45,18,34.85,11.244,668
2023-02-25T00:00:00.000Z,33.1,169,52.4,42,64.09,13.172,655
2023-02-26T00:00:00.000Z,25,49.6,32.29,31,34,3.518,668
2023-02-27T00:00:00.000Z,13.3,53.3,32.4,26.3,38.3,7.781,654
2023-02-28T00:00:00.000Z,7.8,41.2,18.1,13.1,23.3,7.33,658
2023-03-01T00:00:00.000Z,18,63,27.3,22.5,33.6,8.321,658
2023-03-02T00:00:00.000Z,15,64.5,34.3,27.4,36.7,8.313,645
2023-03-03T00:00:00.000Z,25.5,167.9,40.7,31.7,48.9,15.933,623
2023-03-04T00:00:00.000Z,21.7,138.2,41.4,28.9,45.3,11.251,634
2023-03-05T00:00:00.000Z,43.1,101,58.1,49.3,64,11.391,639
2023-03-06T00:00:00.000Z,23.8,100.3,35.4,31.1,46.5,14.961,634
2023-03-07T00:00:00.000Z,8,63.6,25.4,19.5,34.1,11.28,637
2023-03-08T00:00:00.000Z,7.3,80,22.8,15.1,31.7,11.565,652
2023-03-09T00:00:00.000Z,7.2,217.7,24.7,12.4,31.7,18.378,642
2023-03-10T00:00:00.000Z,17,78.8,34.8,22.7,38.85,10.103,653
2023-03-11T00:00:00.000Z,16.6,80.8,31.9,24,34.5,10.241,659
2023-03-12T00:00:00.000Z,17.8,78.9,29.6,25.7,33,7.66,661
2023-03-13T00:00:00.000Z,30.5,71.1,44.2,38.45,47.7,6.336,637
2023-03-14T00:00:00.000Z,15.4,85.8,31.35,28.5,41.55,11.321,652
2023-03-15T00:00:00.000Z,11.4,125,18.6,14.6,26.5,14.224,644
2023-03-16T00:00:00.000Z,7.2,119.5,14.5,11.9,22.4,12.521,664
2023-03-17T00:00:00.000Z,11.5,63.3,20.39,15.3,26.9,8.756,673
2023-03-18T00:00:00.000Z,13.1,101.9,25.1,20.6,29.9,9.136,660
2023-03-19T00:00:00.000Z,9.4,44.8,23.2,17.1,28,8.021,635
