date,pm10,pm25
12/2/2022,8.633333333,7.666666667
12/3/2022,114.8,100.5666667
12/4/2022,25,21.46666667
12/5/2022,21.06666667,18.73333333
12/6/2022,38.56666667,36.63333333
12/7/2022,24.93333333,21.8
12/8/2022,29.96666667,26.96666667
12/9/2022,25.46666667,24
12/10/2022,38.56666667,33.6
12/11/2022,45.83333333,39.73333333
12/12/2022,73.88333333,66.48333333
12/13/2022,56.7,46.96666667
12/14/2022,60.06666667,52.5
12/15/2022,98.73333333,88.56666667
12/16/2022,97.46666667,84.68333333
12/17/2022,19.13333333,15.83333333
12/18/2022,21.86666667,19.4
12/19/2022,31.36666667,27.18333333
12/20/2022,43.93333333,41.35
12/21/2022,29.63333333,26.36666667
12/22/2022,68.55,61.91666667
12/23/2022,48.03333333,43.5
12/24/2022,53.33333333,47.33333333
12/25/2022,64.61666667,60.9
12/26/2022,27.36666667,23.9
12/27/2022,37.16666667,35.1
12/28/2022,27.93,23.48333333
12/29/2022,43.18333333,38.96666667
12/30/2022,49.73333333,45.03333333
12/31/2022,66.9,60.31333333
1/1/2023,46.23333333,41.5
1/2/2023,24.96666667,20.86666667
1/3/2023,19.45,16.98333333
1/4/2023,22.63333333,19.43333333
1/5/2023,45.6,41.9
1/6/2023,70.8,63.8
1/7/2023,40.26666667,37.36666667
1/8/2023,46.56666667,44.23333333
1/9/2023,22.53333333,19.06666667
1/10/2023,47.11666667,42.73333333
1/11/2023,40.38333333,38.65
1/12/2023,60.23333333,55.23333333
1/13/2023,137.65,126.6333333
1/14/2023,72.88333333,64.13333333
1/15/2023,174.8833333,144.3
1/16/2023,37.08333333,31.66666667
1/17/2023,23.76666667,19.8
1/18/2023,56.18333333,52.6
1/19/2023,168.0666667,148.85
1/20/2023,58.8,53.83
1/21/2023,134.7166667,116.1
1/22/2023,68.9,62.23333333
1/23/2023,94.6,80.56666667
1/24/2023,28.1,22.9
1/25/2023,35.25,31.76666667
1/26/2023,33.43333333,29.31666667
1/27/2023,19.1,16.7
1/28/2023,30.4,27.79666667
1/29/2023,50.21666667,44.46666667
1/30/2023,54.8,50.3
1/31/2023,132.1333333,121.4333333
2/1/2023,75.7,68.6
2/2/2023,49.06666667,43.8
2/3/2023,62.3,56.4
2/4/2023,24.56666667,19.93333333
2/5/2023,34.03333333,31.05
2/6/2023,36.9,31.6
2/7/2023,106.2,104
2/8/2023,51.96666667,50.53333333
2/9/2023,35.4,31.36666667
2/10/2023,86.51333333,79.76666667
2/11/2023,42.06666667,34.9
2/12/2023,81.75,70.53333333
2/13/2023,69.21666667,58.93333333
2/14/2023,101.1333333,94.55
2/15/2023,87.9,79.93333333
2/16/2023,48.96666667,42.53333333
2/17/2023,63.5,55.83333333
2/18/2023,55.66666667,51.46666667
2/19/2023,26.51666667,21.56666667
2/20/2023,52.6,47.19666667
2/21/2023,46.96666667,39.13
2/22/2023,53.16666667,48.8
2/23/2023,40.53333333,36.7
2/24/2023,37.65,32.08333333
2/25/2023,97.23333333,84.83333333
2/26/2023,42.9,35.63
2/27/2023,38.8,33
2/28/2023,26,22.36666667
3/1/2023,40.3,36.1
3/2/2023,43.73333333,37.93333333
3/3/2023,90.26666667,78.03333333
3/4/2023,74.73333333,67.1
3/5/2023,78.46666667,67.4
3/6/2023,58.7,53.16666667
3/7/2023,37.11666667,32.33333333
3/8/2023,39.7,36.7
3/9/2023,105.1,83.2
3/10/2023,47.9,43.53333333
3/11/2023,48.4,43.1
3/12/2023,45.96666667,42.1
3/13/2023,57.4,48.6
3/14/2023,47.36333333,44.18333333
3/15/2023,55.6,51.66666667
3/16/2023,56.08333333,47.06666667
3/17/2023,35.93333333,31.73
3/18/2023,52.13333333,46.7
3/19/2023,30.25,25.8
3/20/2023,45.9,39.49666667
3/21/2023,62.68333333,55.13333333
3/22/2023,70.93,61.03333333
3/23/2023,73.13,63.85
3/24/2023,66.6,58.83333333
3/25/2023,73.16666667,63.26666667
3/26/2023,74.16666667,65.76666667
3/27/2023,33.76666667,29.31666667
3/28/2023,327,215.6666667
3/29/2023,34.73333333,30.06666667
3/30/2023,110.8,97.23333333
3/31/2023,64.05,60.3
4/1/2023,55.76333333,49.53333333
4/2/2023,68.7,61.43333333
4/3/2023,60.06666667,52.66666667
4/4/2023,54.66666667,46.46666667
4/5/2023,127.2333333,115.0333333
4/6/2023,49.8,44.73333333
4/7/2023,28.23333333,24.46666667
4/8/2023,22.36666667,19.4
4/9/2023,94.55,84.1
4/10/2023,53.7,48.06666667
4/11/2023,92.93333333,79.26666667
4/12/2023,52.23333333,41.86666667
4/13/2023,53.56666667,48.53333333
4/14/2023,78.2,68.73333333
4/15/2023,62.06666667,55.46666667
4/16/2023,482.7,327.3333333
