date,max
2022-11-06,432
2022-11-07,462
2022-11-08,416
2022-11-09,276
2022-11-10,305
2022-11-11,269
2022-11-12,177
2022-11-13,161
2022-11-14,569
2022-11-15,200
2022-11-16,148
2022-11-17,84
2022-11-18,132
2022-11-19,136
2022-11-20,206
2022-11-21,390
2022-11-22,289
2022-11-23,220
2022-12-06,265
2022-12-07,248
2022-12-08,259
2022-12-09,257
2022-12-10,228
2022-12-11,276
2022-12-12,340
2022-12-13,366
2022-12-14,368
2022-12-15,449
2022-12-16,707
2022-12-17,239
2022-12-18,338
2022-12-19,429
2022-12-20,558
2022-12-21,581
2022-12-22,445
2022-12-23,506
2022-12-24,422
2022-12-25,446
2022-12-26,470
2022-12-27,406
2022-12-28,208
2022-12-29,320
2022-12-30,205
2022-12-31,274
2023-01-01,392
2023-01-02,157
2023-01-03,260
2023-01-04,332
2023-01-05,297
2023-01-06,316
2023-01-07,388
2023-01-08,326
2023-01-09,545
2023-01-10,494
2023-01-11,247
2023-01-12,127
2023-01-13,245
2023-01-14,490
2023-01-15,218
2023-01-16,34
2023-01-19,523
2023-01-20,468
2023-01-21,601
2023-01-22,442
2023-01-23,407
2023-01-24,190
2023-01-25,265
2023-01-26,304
2023-01-27,260
2023-01-28,330
2023-01-29,437
2023-01-30,437
2023-01-31,354
2023-02-01,241
2023-02-02,387
2023-02-03,295
2023-02-04,185
2023-02-05,221
2023-02-06,120
2023-02-07,154
2023-02-08,65
2023-02-09,95
2023-02-10,107
2023-02-11,94
2023-02-12,125
2023-02-13,169
2023-02-14,124
2023-02-15,168
2023-02-16,199
2023-02-17,320
2023-02-18,252
2023-02-19,222
2023-02-20,301
2023-02-21,249
2023-02-22,145
2023-02-23,143
2023-02-24,205
2023-02-25,236
2023-02-26,200
2023-03-06,203
2023-03-07,123
2023-03-08,399
2023-03-09,352
2023-03-10,400
2023-03-11,202
2023-03-12,265
2023-03-13,229
2023-03-14,258
2023-03-15,243
2023-03-16,113
2023-03-17,129
2023-03-18,123
2023-03-19,113
2023-03-20,124
2023-03-21,169
2023-03-22,215
2023-03-23,341
2023-03-24,216
2023-03-25,117
2023-03-26,107
2023-03-27,54
2023-03-28,116
2023-03-29,131
2023-03-30,169
2023-03-31,196
2023-04-01,143
2023-04-02,178
2023-04-03,173
2023-04-04,164
2023-04-05,215
2023-04-06,274
2023-04-07,181
2023-04-08,186
2023-04-09,432
2023-04-10,184
2023-04-11,219
2023-04-12,114
2023-04-13,121
2023-04-14,122
2023-04-15,284
2023-04-16,143
2023-04-17,200
2023-04-18,211
2023-04-19,196
2023-04-20,264
2023-04-21,229
2023-04-22,175
2023-04-23,112
2023-04-24,96
2023-04-25,84
2023-04-26,222
2023-04-27,223
2023-04-28,129
2023-04-29,55
2023-04-30,73
2023-05-01,96
2023-05-02,86
2023-05-03,89
2023-05-04,130
2023-05-05,116
2023-05-06,113
2023-05-07,109
2023-05-15,104
2023-05-16,154
2023-05-17,164
2023-05-18,131
2023-05-19,109
2023-05-20,102
2023-05-21,109
2023-05-22,111
2023-05-23,122
2023-05-24,106
2023-05-25,80
2023-05-26,118
2023-05-27,102
2023-05-28,50
2023-05-29,123
2023-05-30,206
2023-05-31,195
2023-06-01,165
2023-06-02,148
2023-06-03,111
2023-06-04,119
2023-06-05,188
2023-06-06,122
2023-06-07,292
2023-06-08,166
2023-06-09,84
2023-06-10,145
2023-06-11,175
2023-06-12,108
2023-06-13,84
2023-06-14,47
2023-06-15,58
2023-06-16,57
2023-06-17,50
2023-06-18,73
2023-06-19,233
2023-06-20,63
2023-06-21,115
2023-06-22,110
2023-06-23,136
2023-06-24,107
2023-06-25,63
2023-06-26,70
2023-06-27,121
2023-06-28,157
2023-06-29,47
2023-06-30,70
2023-07-01,186
2023-07-02,77
2023-07-03,126
2023-07-04,60
2023-07-05,80
2023-07-06,61
2023-07-07,38
2023-07-08,41
2023-07-09,76
2023-07-10,65
2023-07-11,89
2023-07-12,52
2023-07-13,92
2023-07-14,64
2023-07-15,150
2023-07-16,240
2023-07-17,194
2023-07-18,101
2023-07-19,154
2023-07-20,134
2023-07-21,182
2023-07-22,140
2023-07-23,75
2023-07-24,71
2023-07-25,86
2023-07-26,115
2023-07-27,87
2023-07-28,149
2023-07-29,110
2023-07-30,124
2023-07-31,71
2023-08-01,107
2023-08-02,57
2023-08-04,36
2023-08-05,134
2023-08-06,85
2023-08-07,66
2023-08-08,102
2023-08-09,76
2023-08-10,164
2023-08-11,158
2023-08-12,73
2023-08-13,45
2023-10-10,155
2023-10-11,154
2023-10-12,89
2023-10-13,263
2023-10-14,187
2023-10-15,125
2023-10-16,232
2023-10-17,254
2023-10-18,390
2023-10-19,290
2023-10-20,143
2023-10-21,277
2023-10-22,137
2023-10-23,222
2023-10-24,295
2023-10-25,397
2023-10-26,159
2023-10-27,335
2023-10-28,85
2023-10-29,109
2023-10-30,126
2023-10-31,376
2023-11-01,235
2023-11-02,414
2023-11-03,118
2023-11-04,113
2023-11-05,84
2023-11-06,74
2023-11-07,157
2023-11-08,222
2023-11-09,239
2023-11-10,122
2023-11-11,105
2023-11-12,67
2023-11-13,58
2023-11-14,65
2023-11-15,169
2023-11-16,75
2023-11-17,166
2023-11-18,222
2023-11-19,217
2023-11-20,357
2023-11-21,250
2023-11-22,313
2023-11-23,343
2023-11-24,245
2023-11-25,282
