date,median
2022-11-06,188.5
2022-11-07,217.5
2022-11-08,196.5
2022-11-09,110
2022-11-10,150.5
2022-11-11,102.5
2022-11-12,56.5
2022-11-13,93.5
2022-11-14,151.5
2022-11-15,71.5
2022-11-16,36
2022-11-17,44
2022-11-18,51.5
2022-11-19,59.5
2022-11-20,84.5
2022-11-21,168.5
2022-11-22,170
2022-11-23,110
2022-12-06,169.5
2022-12-07,155
2022-12-08,129
2022-12-09,115
2022-12-10,114
2022-12-11,177.5
2022-12-12,199
2022-12-13,215
2022-12-14,204.5
2022-12-15,186
2022-12-16,250.5
2022-12-17,77.5
2022-12-18,134.5
2022-12-19,203
2022-12-20,306.5
2022-12-21,309
2022-12-22,206
2022-12-23,119
2022-12-24,191.5
2022-12-25,134
2022-12-26,228
2022-12-27,133
2022-12-28,62
2022-12-29,105
2022-12-30,115
2022-12-31,191
2023-01-01,144.5
2023-01-02,106
2023-01-03,175.5
2023-01-04,199.5
2023-01-05,152
2023-01-06,95
2023-01-07,170.5
2023-01-08,153
2023-01-09,262
2023-01-10,265.5
2023-01-11,132
2023-01-12,92
2023-01-13,112
2023-01-14,151
2023-01-15,49
2023-01-16,31
2023-01-19,301
2023-01-20,367
2023-01-21,351
2023-01-22,250
2023-01-23,169.5
2023-01-24,102.5
2023-01-25,131
2023-01-26,194.5
2023-01-27,129.5
2023-01-28,159.5
2023-01-29,257.5
2023-01-30,214
2023-01-31,137
2023-02-01,134.5
2023-02-02,252
2023-02-03,166
2023-02-04,75
2023-02-05,70
2023-02-06,75
2023-02-07,59
2023-02-08,44
2023-02-09,59
2023-02-10,61
2023-02-11,64.5
2023-02-12,108
2023-02-13,103
2023-02-14,57
2023-02-15,81
2023-02-16,166
2023-02-17,223.5
2023-02-18,156
2023-02-19,122
2023-02-20,155.5
2023-02-21,133
2023-02-22,94
2023-02-23,83.5
2023-02-24,85
2023-02-25,86
2023-02-26,81
2023-03-06,76
2023-03-07,96
2023-03-08,156
2023-03-09,216
2023-03-10,116
2023-03-11,127
2023-03-12,110
2023-03-13,91
2023-03-14,109
2023-03-15,159.5
2023-03-16,55
2023-03-17,68
2023-03-18,74
2023-03-19,51
2023-03-20,76
2023-03-21,124.5
2023-03-22,137
2023-03-23,132
2023-03-24,125
2023-03-25,85
2023-03-26,47.5
2023-03-27,35
2023-03-28,62
2023-03-29,62
2023-03-30,74
2023-03-31,128
2023-04-01,86
2023-04-02,83.5
2023-04-03,87
2023-04-04,107
2023-04-05,129
2023-04-06,107.5
2023-04-07,97.5
2023-04-08,76.5
2023-04-09,101
2023-04-10,95.5
2023-04-11,142
2023-04-12,84
2023-04-13,63.5
2023-04-14,80
2023-04-15,95
2023-04-16,92
2023-04-17,91
2023-04-18,94
2023-04-19,92
2023-04-20,110
2023-04-21,130
2023-04-22,104
2023-04-23,76
2023-04-24,61
2023-04-25,45
2023-04-26,98
2023-04-27,53.5
2023-04-28,46
2023-04-29,30
2023-04-30,41
2023-05-01,48
2023-05-02,44
2023-05-03,36
2023-05-04,60
2023-05-05,76
2023-05-06,79
2023-05-07,72
2023-05-15,57
2023-05-16,70.5
2023-05-17,104
2023-05-18,74
2023-05-19,76.5
2023-05-20,69
2023-05-21,65.5
2023-05-22,73
2023-05-23,67
2023-05-24,59
2023-05-25,41.5
2023-05-26,36
2023-05-27,32
2023-05-28,26
2023-05-29,42
2023-05-30,52
2023-05-31,81
2023-06-01,86
2023-06-02,46
2023-06-03,36
2023-06-04,59
2023-06-05,94
2023-06-06,60
2023-06-07,75
2023-06-08,66
2023-06-09,34.5
2023-06-10,66
2023-06-11,79
2023-06-12,57.5
2023-06-13,30
2023-06-14,24
2023-06-15,21
2023-06-16,31
2023-06-17,24.5
2023-06-18,23.5
2023-06-19,49.5
2023-06-20,17
2023-06-21,46.5
2023-06-22,59
2023-06-23,19
2023-06-24,33.5
2023-06-25,22.5
2023-06-26,38.5
2023-06-27,40
2023-06-28,20.5
2023-06-29,27.5
2023-06-30,31
2023-07-01,38
2023-07-02,25.5
2023-07-03,33.5
2023-07-04,32.5
2023-07-05,16.5
2023-07-06,8.5
2023-07-07,17
2023-07-08,18.5
2023-07-09,16
2023-07-10,18
2023-07-11,18
2023-07-12,13
2023-07-13,42.5
2023-07-14,32
2023-07-15,51
2023-07-16,57
2023-07-17,58.5
2023-07-18,43
2023-07-19,76
2023-07-20,70
2023-07-21,84
2023-07-22,20
2023-07-23,17.5
2023-07-24,17
2023-07-25,24
2023-07-26,27
2023-07-27,51
2023-07-28,45
2023-07-29,51
2023-07-30,55
2023-07-31,31
2023-08-01,35
2023-08-02,48.5
2023-08-04,24.5
2023-08-05,13
2023-08-06,40
2023-08-07,27
2023-08-08,34.5
2023-08-09,37.5
2023-08-10,86
2023-08-11,46
2023-08-12,33
2023-08-13,40
2023-10-10,33
2023-10-11,35
2023-10-12,42
2023-10-13,126
2023-10-14,65
2023-10-15,66
2023-10-16,68.5
2023-10-17,118
2023-10-18,116
2023-10-19,65
2023-10-20,31.5
2023-10-21,37.5
2023-10-22,66
2023-10-23,115.5
2023-10-24,134
2023-10-25,91
2023-10-26,77.5
2023-10-27,116.5
2023-10-28,44
2023-10-29,36
2023-10-30,47
2023-10-31,108
2023-11-01,104.5
2023-11-02,88
2023-11-03,57
2023-11-04,39
2023-11-05,40
2023-11-06,24
2023-11-07,60
2023-11-08,84.5
2023-11-09,62
2023-11-10,47.5
2023-11-11,58.5
2023-11-12,26
2023-11-13,5
2023-11-14,29
2023-11-15,80
2023-11-16,17.5
2023-11-17,65.5
2023-11-18,90
2023-11-19,109
2023-11-20,138
2023-11-21,117.5
2023-11-22,195
2023-11-23,131.5
2023-11-24,143
