date,min,max,median,q1,q3,stdev,count
2022-11-06T00:00:00.000Z,116,386,188.5,151,314,87.119,22
2022-11-07T00:00:00.000Z,145,411,217.5,162.5,261,72.274,24
2022-11-08T00:00:00.000Z,109,369,196.5,138,263,72.727,24
2022-11-09T00:00:00.000Z,78,254,110,97.5,197,56.448,24
2022-11-10T00:00:00.000Z,108,273,150.5,119.5,192,47.422,24
2022-11-11T00:00:00.000Z,41,240,102.5,67,174.5,57.949,20
2022-11-12T00:00:00.000Z,41,164,56.5,48,81.5,32.613,24
2022-11-13T00:00:00.000Z,63,149,93.5,79.5,120,26.05,24
2022-11-14T00:00:00.000Z,78,505,151.5,112,170.5,104.139,24
2022-11-15T00:00:00.000Z,32,185,71.5,52.5,109.5,38.935,24
2022-11-16T00:00:00.000Z,21,138,36,28,70,33.72,23
2022-11-17T00:00:00.000Z,18,79,44,26.5,53,14.916,24
2022-11-18T00:00:00.000Z,30,123,51.5,40,67.5,22.09,24
2022-11-19T00:00:00.000Z,24,128,59.5,48.5,78.5,25.505,24
2022-11-20T00:00:00.000Z,26,188,84.5,38.5,107,41.387,24
2022-11-21T00:00:00.000Z,83,345,168.5,106.5,194,64.096,24
2022-11-22T00:00:00.000Z,86,262,170,131,194.5,51.927,24
2022-11-23T00:00:00.000Z,75,204,110,94.5,143,34.274,17
2022-12-06T00:00:00.000Z,65,237,169.5,96,210,56.649,18
2022-12-07T00:00:00.000Z,117,214,155,132,175,23.865,21
2022-12-08T00:00:00.000Z,72,230,129,103,169,39.549,23
2022-12-09T00:00:00.000Z,76,223,115,101,144.5,34.506,24
2022-12-10T00:00:00.000Z,65,202,114,81,140,38.135,24
2022-12-11T00:00:00.000Z,79,249,177.5,117,190,47.343,24
2022-12-12T00:00:00.000Z,92,298,199,126,232.5,61.392,24
2022-12-13T00:00:00.000Z,81,326,215,112,292.5,84.52,24
2022-12-14T00:00:00.000Z,79,328,204.5,116,306,92.395,24
2022-12-15T00:00:00.000Z,114,407,186,140,302,84.545,23
2022-12-16T00:00:00.000Z,79,614,250.5,197.5,388,150.565,24
2022-12-17T00:00:00.000Z,34,211,77.5,54.5,90.5,45.052,24
2022-12-18T00:00:00.000Z,38,304,134.5,65.5,245.5,93.88,24
2022-12-19T00:00:00.000Z,93,382,203,152,280,85.24,23
2022-12-20T00:00:00.000Z,165,492,306.5,247.5,402.5,88.624,24
2022-12-21T00:00:00.000Z,122,493,309,169,358.5,107.072,24
2022-12-22T00:00:00.000Z,148,393,206,176.5,319,77.243,24
2022-12-23T00:00:00.000Z,58,426,119,95,152,81.496,24
2022-12-24T00:00:00.000Z,87,380,191.5,126.5,221.5,75.448,24
2022-12-25T00:00:00.000Z,78,401,134,123,189.5,88.431,24
2022-12-26T00:00:00.000Z,134,423,228,176,347.5,94.47,24
2022-12-27T00:00:00.000Z,74,371,133,126,164.5,77.317,24
2022-12-28T00:00:00.000Z,24,189,62,37,131,51.551,24
