,Unnamed: 0,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,0,Pleiku,2020-06-21,0,21,23,10,4,2,23
1,1,Pleiku,2020-06-22,23,24,24,9,3,2,24
2,2,Pleiku,2020-06-23,31,25,21,9,3,2,31
3,3,Pleiku,2020-06-24,30,24,22,8,3,2,30
4,4,Pleiku,2020-06-25,27,22,19,9,4,3,27
5,5,Pleiku,2020-06-26,23,17,22,7,4,1,23
6,6,Pleiku,2020-06-27,22,19,20,7,4,2,22
7,7,Pleiku,2020-06-28,25,9,16,6,4,2,25
8,8,Pleiku,2020-06-29,10,8,16,4,5,2,16
9,9,Pleiku,2020-06-30,6,11,14,4,5,2,14
10,10,Pleiku,2020-07-01,9,14,17,5,4,2,17
11,11,Pleiku,2020-07-02,14,11,14,5,4,2,14
12,12,Pleiku,2020-07-03,10,14,11,5,4,3,14
13,13,Pleiku,2020-07-04,11,15,14,5,4,1,15
14,14,Pleiku,2020-07-05,14,17,14,8,4,3,17
15,15,Pleiku,2020-07-06,17,17,18,8,3,3,18
16,16,Pleiku,2020-07-07,19,22,23,7,1,2,23
17,17,Pleiku,2020-07-08,24,21,17,8,1,2,24
18,18,Pleiku,2020-07-09,24,24,21,7,1,2,24
19,19,Pleiku,2020-07-10,30,22,25,7,1,2,30
20,20,Pleiku,2020-07-11,29,22,23,8,0,2,29
21,21,Pleiku,2020-07-12,28,14,21,6,2,2,28
22,22,Pleiku,2020-07-13,17,12,19,6,1,1,19
23,23,Pleiku,2020-07-14,15,21,21,9,3,2,21
24,24,Pleiku,2020-07-15,23,21,21,8,1,2,23
25,25,Pleiku,2020-07-16,26,17,17,7,2,2,26
26,26,Pleiku,2020-07-17,17,20,15,7,1,2,20
27,27,Pleiku,2020-07-18,25,17,19,8,1,2,25
28,28,Pleiku,2020-07-19,18,22,20,8,1,2,22
29,29,Pleiku,2020-07-20,26,16,17,6,1,1,26
30,30,Pleiku,2020-07-21,18,17,19,6,1,2,19
31,31,Pleiku,2020-07-22,21,22,17,7,1,2,22
32,32,Pleiku,2020-07-23,22,17,16,7,1,3,22
33,33,Pleiku,2020-07-24,20,18,16,7,1,2,20
34,34,Pleiku,2020-07-25,21,26,20,8,1,2,26
35,35,Pleiku,2020-07-26,30,18,20,8,2,2,30
36,36,Pleiku,2020-07-27,20,22,20,8,1,2,22
37,37,Pleiku,2020-07-28,22,17,17,6,1,1,22
38,38,Pleiku,2020-07-29,19,14,16,7,1,2,19
39,39,Pleiku,2020-07-30,14,10,16,6,1,2,16
40,40,Pleiku,2020-07-31,8,3,18,2,2,1,18
41,41,Pleiku,2020-08-01,3,4,14,2,2,1,14
42,42,Pleiku,2020-08-02,4,5,13,2,1,1,13
43,43,Pleiku,2020-08-03,5,7,12,3,1,2,12
44,44,Pleiku,2020-08-04,7,12,8,5,1,2,12
45,45,Pleiku,2020-08-05,10,10,11,6,1,3,11
46,46,Pleiku,2020-08-06,10,10,11,4,1,1,11
47,47,Pleiku,2020-08-07,10,0,0,0,0,0,10
48,48,Pleiku,2020-08-08,0,7,10,3,1,1,10
49,49,Pleiku,2020-08-09,6,7,11,3,2,2,11
50,50,Pleiku,2020-08-10,5,8,13,4,1,2,13
51,51,Pleiku,2020-08-11,6,9,12,6,2,2,12
52,52,Pleiku,2020-08-12,9,14,14,7,2,3,14
53,53,Pleiku,2020-08-13,16,11,13,5,3,2,16
54,54,Pleiku,2020-08-14,11,12,11,4,3,2,12
55,55,Pleiku,2020-08-15,11,21,10,4,3,2,21
56,56,Pleiku,2020-08-16,19,26,11,4,3,2,26
57,57,Pleiku,2020-08-17,20,22,12,6,4,2,22
58,58,Pleiku,2020-08-18,20,12,14,5,5,2,20
59,59,Pleiku,2020-08-19,13,17,12,5,5,3,17
60,60,Pleiku,2020-08-20,18,19,11,5,5,2,19
61,61,Pleiku,2020-08-21,18,17,13,5,3,2,18
62,62,Pleiku,2020-08-22,16,21,12,6,3,2,21
63,63,Pleiku,2020-08-23,23,24,13,5,3,2,24
64,64,Pleiku,2020-08-24,27,23,9,5,4,2,27
65,65,Pleiku,2020-08-25,22,24,18,5,4,1,24
66,66,Pleiku,2020-08-26,25,22,21,5,4,2,25
67,67,Pleiku,2020-08-27,24,21,13,7,5,2,24
68,68,Pleiku,2020-08-28,22,14,11,5,6,1,22
69,69,Pleiku,2020-08-29,12,22,14,5,5,2,22
70,70,Pleiku,2020-08-30,23,21,15,5,6,2,23
71,71,Pleiku,2020-08-31,24,15,16,5,6,2,24
72,72,Pleiku,2020-09-01,17,13,18,6,7,2,18
73,73,Pleiku,2020-09-02,14,17,19,5,7,2,19
74,74,Pleiku,2020-09-03,22,21,18,6,8,3,22
75,75,Pleiku,2020-09-04,24,21,22,6,8,2,24
76,76,Pleiku,2020-09-05,26,17,15,6,8,3,26
77,77,Pleiku,2020-09-06,18,16,10,5,9,2,18
78,78,Pleiku,2020-09-07,17,21,13,6,9,2,21
79,79,Pleiku,2020-09-08,20,17,12,6,9,2,20
80,80,Pleiku,2020-09-09,18,15,17,5,10,1,18
81,81,Pleiku,2020-09-10,18,18,13,6,10,2,18
82,82,Pleiku,2020-09-11,20,15,13,5,10,1,20
83,83,Pleiku,2020-09-12,19,13,18,5,11,1,19
84,84,Pleiku,2020-09-13,16,14,13,7,11,2,16
85,85,Pleiku,2020-09-14,14,14,16,6,12,2,16
86,86,Pleiku,2020-09-15,15,14,12,5,11,2,15
87,87,Pleiku,2020-09-16,14,9,9,4,11,2,14
88,88,Pleiku,2020-09-17,9,5,17,6,14,3,17
89,89,Pleiku,2020-09-18,7,7,10,5,13,2,13
90,90,Pleiku,2020-09-19,7,13,12,6,13,3,13
91,91,Pleiku,2020-09-20,13,14,13,7,13,3,14
92,92,Pleiku,2020-09-21,15,13,16,5,14,1,16
93,93,Pleiku,2020-09-22,13,17,14,7,14,2,17
94,94,Pleiku,2020-09-23,19,18,13,7,14,3,19
95,95,Pleiku,2020-09-24,20,13,14,6,13,3,20
96,96,Pleiku,2020-09-25,13,13,10,7,14,3,14
97,97,Pleiku,2020-09-26,12,13,13,4,14,2,14
98,98,Pleiku,2020-09-27,17,10,15,7,15,2,17
99,99,Pleiku,2020-09-28,9,11,12,6,15,2,15
100,100,Pleiku,2020-09-29,9,13,9,6,14,3,14
101,101,Pleiku,2020-09-30,11,13,13,7,15,2,15
102,102,Pleiku,2020-10-01,14,8,12,3,15,1,15
103,103,Pleiku,2020-10-02,9,16,14,7,16,2,16
104,104,Pleiku,2020-10-03,15,12,10,5,16,1,16
105,105,Pleiku,2020-10-04,12,12,17,5,16,2,17
106,106,Pleiku,2020-10-05,12,14,18,6,17,2,18
107,107,Pleiku,2020-10-06,13,7,11,7,18,2,18
108,108,Pleiku,2020-10-07,6,9,14,2,16,1,16
109,109,Pleiku,2020-10-08,9,8,13,3,17,2,17
110,110,Pleiku,2020-10-09,7,7,16,3,16,2,16
111,111,Pleiku,2020-10-10,6,5,23,6,18,1,23
112,112,Pleiku,2020-10-11,5,8,20,9,18,3,20
113,113,Pleiku,2020-10-12,6,18,18,10,24,4,24
114,114,Pleiku,2020-10-13,18,14,19,7,40,3,40
115,115,Pleiku,2020-10-14,16,15,18,7,39,3,39
116,116,Pleiku,2020-10-15,16,12,10,8,43,4,43
117,117,Pleiku,2020-10-16,10,3,15,5,48,2,48
118,118,Pleiku,2020-10-17,3,7,13,5,40,3,40
119,119,Pleiku,2020-10-18,6,7,11,6,33,3,33
120,120,Pleiku,2020-10-19,7,10,13,2,27,1,27
121,121,Pleiku,2020-10-20,8,9,31,4,28,2,31
122,122,Pleiku,2020-10-21,11,16,22,8,25,4,25
123,123,Pleiku,2020-10-22,19,19,20,7,24,2,24
124,124,Pleiku,2020-10-23,23,27,18,7,23,2,27
125,125,Pleiku,2020-10-24,32,0,0,0,0,0,32
126,126,Pleiku,2020-11-07,0,25,45,1,1,1,45
127,127,Pleiku,2020-11-08,38,15,49,1,1,2,49
128,128,Pleiku,2020-11-09,22,4,32,5,0,2,32
129,129,Pleiku,2020-11-10,4,7,27,2,2,1,27
130,130,Pleiku,2020-11-11,9,6,26,1,1,1,26
131,131,Pleiku,2020-11-12,7,16,31,3,0,1,31
132,132,Pleiku,2020-11-13,20,27,26,11,1,3,27
133,133,Pleiku,2020-11-14,34,17,19,6,1,2,34
134,134,Pleiku,2020-11-15,23,10,13,2,1,1,23
135,135,Pleiku,2020-11-16,15,11,14,2,0,1,15
136,136,Pleiku,2020-11-17,14,13,15,3,1,1,15
