,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Quảng Yên,2/15/2021,0,25,8,6,1,1,25,Tốt
1,Quảng Yên,2/16/2021,17,25,23,5,1,1,25,Tốt
2,Quảng Yên,2/17/2021,18,36,23,15,2,1,36,Tốt
3,Quảng Yên,2/18/2021,19,49,29,14,4,1,49,Tốt
4,Quảng Yên,2/19/2021,38,54,31,14,3,1,54,Vừa Phải
5,Quảng Yên,2/20/2021,43,0,0,0,0,0,43,Tốt
6,Quảng Yên,2/23/2021,0,23,12,4,1,4,23,Tốt
7,Quảng Yên,2/24/2021,15,33,13,5,1,3,33,Tốt
8,Quảng Yên,2/25/2021,20,39,9,17,6,4,39,Tốt
9,Quảng Yên,2/26/2021,29,59,7,9,2,5,59,Vừa Phải
10,Quảng Yên,2/27/2021,56,0,0,0,0,0,56,Vừa Phải
11,Quảng Yên,2/28/2021,0,39,6,7,1,4,39,Tốt
12,Quảng Yên,3/1/2021,28,22,8,2,2,5,28,Tốt
13,Quảng Yên,3/2/2021,15,0,0,0,0,0,15,Tốt
14,Quảng Yên,3/3/2021,0,44,3,18,2,6,44,Tốt
15,Quảng Yên,3/4/2021,19,28,9,15,2,6,28,Tốt
16,Quảng Yên,3/5/2021,16,32,10,7,1,4,32,Tốt
17,Quảng Yên,3/6/2021,18,41,15,13,3,4,41,Tốt
18,Quảng Yên,3/7/2021,25,55,8,22,6,5,55,Vừa Phải
19,Quảng Yên,3/8/2021,44,71,3,33,6,4,71,Vừa Phải
20,Quảng Yên,3/9/2021,54,0,0,0,0,0,54,Vừa Phải
21,Quảng Yên,3/11/2021,0,56,18,12,2,5,56,Vừa Phải
22,Quảng Yên,3/12/2021,48,55,21,11,2,4,55,Vừa Phải
23,Quảng Yên,3/13/2021,48,53,16,8,1,4,53,Vừa Phải
24,Quảng Yên,3/14/2021,43,49,18,8,1,4,49,Tốt
25,Quảng Yên,3/15/2021,34,0,0,0,0,0,34,Tốt
26,Quảng Yên,3/28/2021,0,21,10,9,1,4,21,Tốt
27,Quảng Yên,3/29/2021,24,41,11,8,1,4,41,Tốt
28,Quảng Yên,3/30/2021,54,40,12,8,1,4,54,Vừa Phải
29,Quảng Yên,3/31/2021,47,40,9,8,1,4,47,Tốt
30,Quảng Yên,4/1/2021,45,32,9,7,1,4,45,Tốt
31,Quảng Yên,4/2/2021,32,34,8,10,1,4,34,Tốt
32,Quảng Yên,4/3/2021,31,20,6,9,2,4,31,Tốt
33,Quảng Yên,4/4/2021,12,51,11,20,4,5,51,Vừa Phải
34,Quảng Yên,4/5/2021,76,56,11,30,5,5,76,Vừa Phải
35,Quảng Yên,4/6/2021,75,36,21,15,2,4,75,Vừa Phải
