date,median
2022-11-19,55.6
2022-11-20,60.5
2022-11-21,66.09
2022-11-22,64.25
2022-11-23,26.9
2022-11-24,28.2
2022-11-25,19.25
2022-11-26,26.85
2022-11-27,15.05
2022-11-28,16.6
2022-11-29,33.5
2022-11-30,53.6
2022-12-01,51
2022-12-02,22.5
2022-12-03,15.5
2022-12-04,16.6
2022-12-05,60.8
2022-12-06,39.45
2022-12-07,53.2
2022-12-08,46.8
2022-12-09,55.65
2022-12-10,46.7
2022-12-11,37.7
2022-12-12,48.2
2022-12-13,61.3
2022-12-14,91.75
2022-12-15,63.7
2022-12-16,57.7
2022-12-17,66.2
2022-12-21,62.1
2022-12-22,53.8
2022-12-23,53
2022-12-24,54.1
2022-12-25,61.8
2022-12-26,71.25
2022-12-27,100.05
2022-12-28,66
2022-12-29,72.25
2022-12-30,65.09
2022-12-31,56.2
2023-01-01,36.2
2023-01-02,72.4
2023-01-03,21.5
2023-01-04,16.7
2023-01-05,18.5
2023-01-06,15.3
2023-01-07,26.9
2023-01-08,60.3
2023-01-09,27.5
2023-01-10,16.7
2023-01-11,18.6
2023-01-12,18.89
2023-01-13,45.85
2023-01-14,68.3
2023-01-15,63.8
2023-01-16,53.4
2023-01-17,58
2023-01-18,55.4
2023-01-19,54.1
2023-01-20,55.5
2023-01-21,63.4
2023-01-22,27
2023-01-23,21.6
2023-01-24,17.25
2023-01-25,23.35
2023-01-26,39.2
2023-01-27,43.05
2023-01-28,20.7
2023-01-29,38.2
2023-01-30,56.25
2023-01-31,60.8
2023-02-01,71.25
2023-02-02,28.65
2023-02-03,19.6
2023-02-04,19.3
2023-02-05,23.6
2023-02-06,27.4
2023-02-07,27.4
2023-02-08,32.6
2023-02-09,28.7
2023-02-10,30.2
2023-02-11,35.6
2023-02-12,36.2
2023-02-13,32.29
2023-02-14,38.04
2023-02-15,48.3
2023-02-16,51.45
2023-02-17,42.8
2023-02-18,69.84
2023-02-19,41.8
2023-02-20,51.2
2023-02-21,54.25
2023-03-06,53.45
2023-03-07,51.35
2023-03-08,36.9
2023-03-09,46.65
2023-03-10,52.8
2023-03-11,56.9
2023-03-12,57.9
2023-03-13,56.2
2023-03-14,40.5
2023-03-15,31.2
2023-03-16,28.9
2023-03-17,28.8
2023-03-18,23.55
2023-03-19,24.7
2023-03-20,24.2
2023-03-21,35.6
2023-03-22,37.3
2023-03-23,25
2023-03-24,24.5
2023-03-25,25.5
2023-03-26,23.5
2023-03-27,21
2023-03-28,31.3
2023-03-29,29.3
2023-03-30,27.6
2023-03-31,31.4
2023-04-01,45.8
2023-04-02,27.9
2023-04-03,45
2023-04-04,25
2023-04-05,16
2023-04-06,15.8
2023-04-07,14.75
2023-04-08,30.6
2023-04-09,52.4
2023-04-10,56.7
2023-04-11,47.8
2023-04-12,55.9
2023-04-13,60.8
2023-04-14,59.7
2023-04-15,68.3
2023-04-16,57.6
2023-04-17,53.2
2023-04-18,52.15
2023-04-19,57.7
2023-04-20,61.7
2023-04-21,56.1
2023-04-22,49.4
2023-04-23,36
2023-04-24,31.2
2023-04-25,43.5
2023-04-26,47.1
2023-04-27,43.5
2023-04-28,39.2
2023-04-29,38
2023-04-30,39.5
2023-05-01,33.65
2023-05-02,28.8
2023-05-03,24.8
2023-05-04,27.45
2023-05-05,48.5
2023-05-06,35.6
2023-05-07,39.79
2023-05-15,30
2023-05-16,45.7
2023-05-17,54.7
2023-05-20,42.1
2023-05-21,42.7
2023-05-22,48.7
2023-05-23,40
2023-05-24,37.4
2023-05-25,38.5
2023-05-26,44.5
2023-05-27,55.6
2023-05-28,39.9
2023-05-29,38.1
2023-05-30,26.9
2023-05-31,31.6
2023-06-01,22.8
2023-06-02,32.7
2023-06-03,24.3
2023-06-04,19.9
2023-06-05,45.55
2023-06-06,29.7
2023-06-07,29.75
2023-06-08,24.7
2023-06-09,30.3
2023-06-10,23.8
2023-06-11,19.35
2023-06-12,26.05
2023-06-13,32.7
2023-06-14,40.5
2023-06-15,29.15
2023-06-16,30.2
2023-06-17,31.3
2023-06-18,25.25
2023-06-19,36.8
2023-06-20,34.3
2023-06-21,29.7
2023-06-22,31.2
2023-06-23,35.9
2023-06-24,41.6
2023-06-25,30
2023-06-26,33.79
2023-06-27,43.3
2023-06-28,25.4
2023-06-29,35.25
2023-06-30,51.3
2023-07-01,24.7
2023-07-02,34.7
2023-07-03,26.9
2023-07-04,41.7
2023-07-05,42.6
2023-07-06,74.75
2023-07-07,26.4
2023-07-08,23.1
2023-07-09,39.9
2023-07-10,35.1
2023-07-11,25.9
2023-07-12,46.1
2023-07-13,30.7
2023-07-14,28.5
2023-07-15,27.5
2023-07-16,14.5
2023-07-17,11.9
2023-07-18,15.9
2023-07-19,20.1
2023-07-20,24.1
2023-07-21,37.8
2023-07-22,22.5
2023-07-23,17.3
2023-07-24,21.65
2023-07-25,22.2
2023-07-26,27.9
2023-07-27,17.3
2023-07-28,19.6
2023-07-29,21.4
2023-07-30,36.29
2023-07-31,26.8
2023-08-01,30.4
2023-08-02,31.4
2023-08-03,28.75
2023-08-04,37.29
2023-08-05,35.5
2023-08-06,23.6
2023-08-07,26.5
2023-08-08,22.4
2023-08-09,21.55
2023-08-10,26.4
2023-08-11,15.5
2023-08-12,17
2023-08-13,20.8
2023-08-14,19.14
2023-08-15,15.5
2023-08-16,20.9
2023-08-17,35.45
2023-08-18,38.5
2023-08-19,31.5
2023-08-20,17.5
2023-08-21,28.3
2023-08-22,32.2
2023-08-23,27.3
2023-08-24,27.3
2023-08-25,24.5
2023-08-26,30.6
2023-08-27,18.85
2023-08-28,21.5
2023-08-29,33.04
2023-08-30,40.1
2023-08-31,26.3
2023-09-01,20.2
2023-09-02,14.2
2023-09-03,22.5
2023-09-04,14.5
2023-09-05,16.39
2023-09-06,37.45
2023-09-07,36
2023-09-08,40
2023-09-09,19.5
2023-09-10,14.1
2023-09-18,43.65
2023-09-19,46.5
2023-09-20,37.5
2023-09-21,66.09
2023-09-22,59.1
2023-09-23,40.04
2023-09-24,19.3
2023-09-25,14.1
2023-09-26,14.3
2023-09-27,35.1
2023-09-28,46
2023-09-29,35.5
2023-09-30,54.4
2023-10-01,31.3
2023-10-02,55.8
2023-10-03,17.89
2023-10-04,17.7
2023-10-05,25.9
2023-10-06,42.9
2023-10-07,35.2
2023-10-08,17.75
2023-10-09,51.7
2023-10-10,53.4
2023-10-11,25.8
2023-10-12,56.2
2023-10-13,74.55
2023-10-14,48.95
2023-10-15,35
2023-10-16,34.7
2023-10-17,45.9
2023-10-18,42.7
2023-10-19,43.3
2023-10-20,31.8
2023-10-21,63.4
2023-10-22,63.6
2023-10-23,56
2023-10-24,56.2
2023-10-25,40.3
2023-10-26,40.4
2023-10-27,73.8
2023-10-28,61.7
2023-10-29,53
2023-10-30,50.2
2023-10-31,63.75
2023-11-01,48.25
2023-11-02,53.3
2023-11-03,60.2
2023-11-04,24.95
2023-11-05,27.95
2023-11-06,33.1
2023-11-07,62.8
2023-11-08,26.8
2023-11-09,34.9
2023-11-10,41.2
2023-11-11,32.3
2023-11-12,50.7
2023-11-13,61.95
2023-11-14,62.6
2023-11-15,35.6
2023-11-16,59.5
2023-11-17,24.7
2023-11-18,34.9
2023-11-19,46.3
2023-11-20,60.9
2023-11-21,65.7
2023-11-22,68.4
2023-11-23,76.5
2023-11-24,53.8
2023-11-25,62.55
