date,max
2022-11-19,80
2022-11-20,167.3
2022-11-21,56.4
2022-11-22,104
2022-11-23,332.2
2022-11-24,83.1
2022-11-25,145.6
2022-11-26,158.5
2022-11-27,81.7
2022-11-28,95.8
2022-11-29,154.3
2022-11-30,292
2022-12-01,333.7
2022-12-02,153.6
2022-12-03,236.4
2022-12-04,88.1
2022-12-05,173.2
2022-12-06,177
2022-12-07,180.2
2022-12-08,328.1
2022-12-09,335.6
2022-12-10,246.7
2022-12-11,224
2022-12-12,171.9
2022-12-13,324.2
2022-12-14,309.6
2022-12-15,152.5
2022-12-16,205
2022-12-17,205
2022-12-21,231.2
2022-12-22,192.8
2022-12-23,193.6
2022-12-24,240.3
2022-12-25,190.1
2022-12-26,268.8
2022-12-27,442.9
2022-12-28,311.2
2022-12-29,189.5
2022-12-30,367.4
2022-12-31,200
2023-01-01,103.9
2023-01-02,228.3
2023-01-03,205
2023-01-04,224.8
2023-01-05,203.1
2023-01-06,97.7
2023-01-07,125.2
2023-01-08,344.1
2023-01-09,234
2023-01-10,119.7
2023-01-11,174.7
2023-01-12,80.7
2023-01-13,115.2
2023-01-14,158
2023-01-15,170.4
2023-01-16,132.2
2023-01-17,224.4
2023-01-18,223.8
2023-01-19,193.8
2023-01-20,156.3
2023-01-21,704.3
2023-01-22,135.3
2023-01-23,105.8
2023-01-24,139
2023-01-25,109.3
2023-01-26,152.1
2023-01-27,280.8
2023-01-28,217.8
2023-01-29,155
2023-01-30,219.8
2023-01-31,342.6
2023-02-01,135.4
2023-02-02,158.6
2023-02-03,236.1
2023-02-04,110.6
2023-02-05,166.6
2023-02-06,74.5
2023-02-07,200.8
2023-02-08,120.5
2023-02-09,154.8
2023-02-10,101.4
2023-02-11,143.6
2023-02-12,109
2023-02-13,216.9
2023-02-14,330.2
2023-02-15,306.7
2023-02-16,272.3
2023-02-17,242.5
2023-02-18,159.1
2023-02-19,181
2023-02-20,102.3
2023-02-21,96.8
2023-03-06,231.5
2023-03-07,284.2
2023-03-08,181.1
2023-03-09,240.8
2023-03-10,339
2023-03-11,137.8
2023-03-12,176.8
2023-03-13,85
2023-03-14,87.8
2023-03-15,136.1
2023-03-16,113.8
2023-03-17,73.4
2023-03-18,76.9
2023-03-19,73.6
2023-03-20,121.4
2023-03-21,85.6
2023-03-22,71.1
2023-03-23,64.3
2023-03-24,53.4
2023-03-25,179.6
2023-03-26,173.5
2023-03-27,237.6
2023-03-28,128.5
2023-03-29,143.2
2023-03-30,64.1
2023-03-31,76.6
2023-04-01,135.1
2023-04-02,82.4
2023-04-03,96.9
2023-04-04,101.6
2023-04-05,86.5
2023-04-06,148.6
2023-04-07,113.5
2023-04-08,91.5
2023-04-09,119.1
2023-04-10,100.2
2023-04-11,134.1
2023-04-12,83.4
2023-04-13,199.2
2023-04-14,81.1
2023-04-15,276.8
2023-04-16,117.1
2023-04-17,121.1
2023-04-18,85.4
2023-04-19,87.1
2023-04-20,85.9
2023-04-21,91.8
2023-04-22,89
2023-04-23,121.6
2023-04-24,119.2
2023-04-25,194.4
2023-04-26,155.9
2023-04-27,197.5
2023-04-28,200.1
2023-04-29,170.4
2023-04-30,116.4
2023-05-01,380.5
2023-05-02,130.5
2023-05-03,75.2
2023-05-04,54.9
2023-05-05,117.5
2023-05-06,102.6
2023-05-07,114.3
2023-05-15,108
2023-05-16,119.4
2023-05-17,58
2023-05-20,66
2023-05-21,95.4
