date,min,max,median,q1,q3,stdev,count
2022-11-19T00:00:00.000Z,37.2,80,45.15,42.5,47.4,7.575,50
2022-11-20T00:00:00.000Z,41.1,167.3,48.6,44.5,58.7,19.569,47
2022-11-21T00:00:00.000Z,50.9,56.4,53.65,50.9,56.4,2.75,2
2022-11-22T00:00:00.000Z,48.8,104,52.3,50.1,54.5,15.39,11
2022-11-23T00:00:00.000Z,5.1,332.2,24.5,17.7,31.4,19.654,655
2022-11-24T00:00:00.000Z,7.2,83.1,25.9,20.1,31.65,10.904,688
2022-11-25T00:00:00.000Z,5.6,145.6,17.75,10.8,30.8,18.255,682
2022-11-26T00:00:00.000Z,12,158.5,24.9,19.4,32.29,19.318,666
2022-11-27T00:00:00.000Z,2.1,81.7,13.7,10.7,19.8,11.629,659
2022-11-28T00:00:00.000Z,4.6,95.8,15.2,11.75,22.7,10.478,669
2022-11-29T00:00:00.000Z,9.3,154.3,30.15,20.85,37.9,17.918,672
2022-11-30T00:00:00.000Z,22.3,292,43.8,35.2,64.7,31.261,657
2022-12-01T00:00:00.000Z,2.4,333.7,41.6,16.8,95.2,54,623
2022-12-02T00:00:00.000Z,4.7,153.6,19.7,10.1,40.1,22.17,683
2022-12-03T00:00:00.000Z,1.3,236.4,14.1,6.7,29.3,31.764,649
2022-12-04T00:00:00.000Z,2.4,88.1,14.8,8.19,22.6,16.47,423
2022-12-05T00:00:00.000Z,19.9,173.2,48.85,34.1,65.59,30.051,356
2022-12-06T00:00:00.000Z,12.8,177,33.9,23.9,45.2,18.511,678
2022-12-07T00:00:00.000Z,17.5,180.2,43.4,38.4,47.7,30.193,678
2022-12-08T00:00:00.000Z,11.2,328.1,37.5,30.4,55.1,29.747,676
2022-12-09T00:00:00.000Z,21.3,335.6,44.9,37.2,64.45,63.659,685
2022-12-10T00:00:00.000Z,17.6,246.7,38,28.1,54.4,22.719,675
2022-12-11T00:00:00.000Z,22.4,224,32.2,27.95,52.15,34.183,316
2022-12-12T00:00:00.000Z,24.6,171.9,39.35,36,45.9,10.938,458
2022-12-13T00:00:00.000Z,34.5,324.2,49.3,43.5,60.4,39.162,543
2022-12-14T00:00:00.000Z,32.2,309.6,86.5,70.65,108.3,38.992,597
2022-12-15T00:00:00.000Z,35.8,152.5,51.4,44.95,66.45,16.732,605
