,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Cao Bằng,12/27/2021,0,26,7,12,22,0,26,Tốt
1,Cao Bằng,12/28/2021,32,23,7,11,1,0,32,Tốt
2,Cao Bằng,12/29/2021,29,34,10,10,1,0,34,Tốt
3,Cao Bằng,12/30/2021,38,25,11,10,1,0,38,Tốt
4,Cao Bằng,12/31/2021,32,22,8,11,1,0,32,Tốt
5,Cao Bằng,1/1/2022,32,25,10,9,1,0,32,Tốt
6,Cao Bằng,1/2/2022,23,35,23,11,2,0,35,Tốt
7,Cao Bằng,1/3/2022,45,56,24,13,1,0,56,Vừa Phải
8,Cao Bằng,1/4/2022,82,59,18,12,1,0,82,Vừa Phải
9,Cao Bằng,1/5/2022,92,56,19,12,1,0,92,Vừa Phải
10,Cao Bằng,1/6/2022,80,55,19,13,1,0,80,Vừa Phải
11,Cao Bằng,1/7/2022,84,48,12,15,3,0,84,Vừa Phải
12,Cao Bằng,1/8/2022,69,19,6,11,1,0,69,Vừa Phải
13,Cao Bằng,1/9/2022,19,20,7,12,1,0,20,Tốt
14,Cao Bằng,1/10/2022,25,35,19,13,2,0,35,Tốt
15,Cao Bằng,1/11/2022,34,40,19,12,1,0,40,Tốt
16,Cao Bằng,1/12/2022,47,43,11,12,1,0,47,Tốt
17,Cao Bằng,1/13/2022,55,43,15,11,4,0,55,Vừa Phải
18,Cao Bằng,1/14/2022,61,54,15,14,1,0,61,Vừa Phải
19,Cao Bằng,1/15/2022,78,32,8,12,1,0,78,Vừa Phải
20,Cao Bằng,1/16/2022,49,13,12,9,1,0,49,Tốt
21,Cao Bằng,1/17/2022,18,32,27,9,1,0,32,Tốt
22,Cao Bằng,1/18/2022,38,39,20,10,1,0,39,Tốt
23,Cao Bằng,1/19/2022,49,39,18,11,1,0,49,Tốt
24,Cao Bằng,1/20/2022,56,23,16,12,1,0,56,Vừa Phải
25,Cao Bằng,1/21/2022,37,18,10,11,1,0,37,Tốt
26,Cao Bằng,1/22/2022,24,28,23,10,1,0,28,Tốt
27,Cao Bằng,1/23/2022,32,27,25,8,1,0,32,Tốt
28,Cao Bằng,1/24/2022,32,16,12,9,1,0,32,Tốt
29,Cao Bằng,1/25/2022,20,22,22,9,3,0,22,Tốt
30,Cao Bằng,1/26/2022,27,33,26,10,1,0,33,Tốt
31,Cao Bằng,1/27/2022,38,24,26,8,1,0,38,Tốt
32,Cao Bằng,1/28/2022,31,13,10,8,1,0,31,Tốt
33,Cao Bằng,1/29/2022,14,14,17,7,2,0,17,Tốt
34,Cao Bằng,1/30/2022,20,16,17,7,4,0,20,Tốt
35,Cao Bằng,1/31/2022,23,20,14,7,3,0,23,Tốt
36,Cao Bằng,2/1/2022,29,15,12,6,1,0,29,Tốt
37,Cao Bằng,2/2/2022,21,16,15,7,1,0,21,Tốt
38,Cao Bằng,2/3/2022,23,26,21,8,1,0,26,Tốt
39,Cao Bằng,2/4/2022,40,42,25,9,3,0,42,Tốt
40,Cao Bằng,2/5/2022,60,38,16,9,1,0,60,Vừa Phải
41,Cao Bằng,2/6/2022,62,15,22,8,1,0,62,Vừa Phải
42,Cao Bằng,2/7/2022,22,6,10,8,1,0,22,Tốt
43,Cao Bằng,2/8/2022,7,8,10,7,2,0,10,Tốt
44,Cao Bằng,2/9/2022,9,13,9,8,1,0,13,Tốt
45,Cao Bằng,2/10/2022,16,12,7,9,1,0,16,Tốt
46,Cao Bằng,2/11/2022,14,9,7,9,1,0,14,Tốt
47,Cao Bằng,2/12/2022,10,12,11,8,2,0,12,Tốt
48,Cao Bằng,2/13/2022,12,17,18,7,1,0,18,Tốt
49,Cao Bằng,2/14/2022,22,21,13,9,1,0,22,Tốt
50,Cao Bằng,2/15/2022,28,11,13,9,1,0,28,Tốt
51,Cao Bằng,2/16/2022,15,17,12,10,2,0,17,Tốt
52,Cao Bằng,2/17/2022,19,10,12,9,1,0,19,Tốt
53,Cao Bằng,2/18/2022,12,9,23,7,1,0,23,Tốt
54,Cao Bằng,2/19/2022,7,13,21,7,1,0,21,Tốt
55,Cao Bằng,2/20/2022,18,16,19,7,0,0,19,Tốt
56,Cao Bằng,2/21/2022,22,17,19,7,2,0,22,Tốt
57,Cao Bằng,2/22/2022,22,18,27,7,1,0,27,Tốt
58,Cao Bằng,2/23/2022,23,25,26,7,1,0,26,Tốt
