,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Sơn La,1/5/2022,0,43,0,0,0,0,43,Tốt
1,Sơn La,1/6/2022,52,36,0,0,0,0,52,Vừa Phải
2,Sơn La,1/7/2022,50,41,0,0,0,0,50,Tốt
3,Sơn La,1/8/2022,54,32,0,0,0,0,54,Vừa Phải
4,Sơn La,1/9/2022,47,25,0,0,0,0,47,Tốt
5,Sơn La,1/10/2022,34,18,0,0,0,0,34,Tốt
6,Sơn La,1/11/2022,21,36,0,0,0,0,36,Tốt
7,Sơn La,1/12/2022,49,29,0,0,0,0,49,Tốt
8,Sơn La,1/13/2022,45,0,0,0,0,0,45,Tốt
9,Sơn La,1/14/2022,0,38,0,0,0,0,38,Tốt
10,Sơn La,1/15/2022,49,25,0,0,0,0,49,Tốt
11,Sơn La,1/16/2022,38,9,0,0,0,0,38,Tốt
12,Sơn La,1/17/2022,13,19,0,0,0,0,19,Tốt
13,Sơn La,1/18/2022,23,40,0,0,0,0,40,Tốt
14,Sơn La,1/19/2022,63,36,0,0,0,0,63,Vừa Phải
15,Sơn La,1/20/2022,65,18,0,0,0,0,65,Vừa Phải
16,Sơn La,1/21/2022,28,25,0,0,0,0,28,Tốt
17,Sơn La,1/22/2022,33,39,0,0,0,0,39,Tốt
18,Sơn La,1/23/2022,47,41,0,0,0,0,47,Tốt
19,Sơn La,1/24/2022,51,0,0,0,0,0,51,Vừa Phải
20,Sơn La,1/26/2022,0,35,0,0,0,0,35,Tốt
21,Sơn La,1/27/2022,46,38,0,0,0,0,46,Tốt
22,Sơn La,1/28/2022,58,42,0,0,0,0,58,Vừa Phải
23,Sơn La,1/29/2022,63,15,0,0,0,0,63,Vừa Phải
24,Sơn La,1/30/2022,21,10,0,0,0,0,21,Tốt
25,Sơn La,1/31/2022,14,6,0,0,0,0,14,Tốt
26,Sơn La,2/1/2022,9,7,0,0,0,0,9,Tốt
27,Sơn La,2/2/2022,10,6,0,0,0,0,10,Tốt
28,Sơn La,2/3/2022,7,7,0,0,0,0,7,Tốt
29,Sơn La,2/4/2022,10,20,0,0,0,0,20,Tốt
30,Sơn La,2/5/2022,37,14,0,0,0,0,37,Tốt
31,Sơn La,2/6/2022,23,18,0,0,0,0,23,Tốt
32,Sơn La,2/7/2022,23,19,0,0,0,0,23,Tốt
33,Sơn La,2/8/2022,29,17,0,0,0,0,29,Tốt
34,Sơn La,2/9/2022,28,21,0,0,0,0,28,Tốt
35,Sơn La,2/10/2022,31,27,0,0,0,0,31,Tốt
36,Sơn La,2/11/2022,42,22,0,0,0,0,42,Tốt
37,Sơn La,2/12/2022,34,13,0,0,0,0,34,Tốt
38,Sơn La,2/13/2022,20,0,0,0,0,0,20,Tốt
39,Sơn La,3/10/2022,0,25,0,0,0,0,25,Tốt
40,Sơn La,3/11/2022,36,21,0,0,0,0,36,Tốt
41,Sơn La,3/12/2022,30,33,0,0,0,0,33,Tốt
42,Sơn La,3/13/2022,50,30,0,0,0,0,50,Tốt
43,Sơn La,3/14/2022,48,14,0,0,0,0,48,Tốt
44,Sơn La,3/15/2022,17,0,0,0,0,0,17,Tốt
45,Sơn La,3/16/2022,0,44,0,0,0,0,44,Tốt
46,Sơn La,3/17/2022,62,44,0,0,0,0,62,Vừa Phải
47,Sơn La,3/18/2022,64,38,0,0,0,0,64,Vừa Phải
48,Sơn La,3/19/2022,58,50,0,0,0,0,58,Vừa Phải
49,Sơn La,3/20/2022,79,50,0,0,0,0,79,Vừa Phải
