date,max
2021-10-08,96.3
2021-10-09,90.6
2021-10-10,56.9
2021-10-11,46.6
2021-10-12,35.1
2021-10-13,268.2
2021-10-14,61
2021-10-15,34.4
2021-10-16,166.4
2021-10-17,54.8
2021-10-18,60.2
2021-10-19,78.8
2021-10-21,45
2021-10-22,51.5
2021-10-23,139.2
2021-10-24,114
2021-10-25,444.4
2021-10-26,381.9
2021-10-27,302.5
2021-10-28,353
2021-10-29,328.9
2021-10-30,150.4
2021-10-31,63.1
2021-11-01,45.6
2021-11-02,467.7
2021-11-05,64.4
2021-11-06,65.4
2022-02-01,57.2
2022-02-02,46.3
2022-02-03,106
2022-02-04,88.1
2022-02-05,144.4
2022-02-06,175.1
2022-02-07,144.4
2022-02-08,127
2022-02-09,96.8
2022-02-10,101.2
2022-02-11,150.7
2022-02-12,68.9
2022-02-13,59.6
2022-02-14,91
2022-02-15,186.8
2022-02-16,174.7
2022-02-17,193.9
2022-02-18,188.7
2022-02-19,97.7
2022-02-20,39.8
2022-02-21,65.4
2022-02-22,75
2022-02-23,108.6
2022-02-24,126
2022-02-25,164.3
2022-02-26,263.9
2022-02-27,343.1
2022-02-28,228.7
2022-03-01,228.2
2022-03-02,221.2
2022-03-03,184
2022-03-04,331.6
2022-03-05,225.1
2022-03-06,78.9
2022-03-07,310.9
2022-03-08,203.5
2022-03-09,151.7
2022-03-10,160.3
2022-03-11,117.4
2022-03-21,208.4
2022-03-22,334.2
2022-03-23,451.9
2022-03-24,148.9
2022-03-25,303
2022-03-26,285
2022-03-27,193.3
2022-03-28,217.2
2022-03-29,279.9
2022-03-30,240.5
2022-03-31,183.6
2022-04-01,94.5
2022-04-02,98.4
2022-04-03,99.4
2022-04-04,135.9
2022-04-05,233.6
2022-04-06,365.6
2022-04-07,251.4
2022-04-08,278.8
2022-04-09,331.3
2022-04-10,107.7
2022-04-11,156.2
2022-04-12,220.1
2022-04-13,250.6
2022-04-14,152
2022-04-15,87.3
2022-04-16,75.9
2022-04-17,122.4
2022-04-18,31.1
2022-04-27,94.9
2022-04-28,156.7
2022-04-29,111.7
2022-04-30,67.3
2022-05-01,115.5
2022-05-02,110.9
2022-05-03,92.4
2022-05-04,120.8
2022-05-05,165
2022-05-06,114.9
2022-05-07,72.5
2022-05-08,139.9
2022-05-09,124.8
2022-05-10,150.3
2022-05-11,241.4
2022-05-12,208.3
2022-05-13,87.5
2022-05-14,120.5
2022-05-15,104.7
2022-05-16,282.2
2022-05-17,102.5
2022-05-18,80.2
2022-05-19,140.6
2022-05-20,504.4
2022-05-21,98.4
2022-05-22,90.6
2022-05-23,64.4
2022-05-24,93.1
2022-05-25,260.1
2022-05-26,288.2
2022-05-27,72.2
2022-05-28,94431
2022-05-29,91.4
2022-05-30,592.9
2022-05-31,410.1
2022-06-01,111.1
2022-06-02,370.5
2022-06-03,81.5
2022-06-04,72.8
2022-06-05,126
2022-06-06,203
2022-06-07,170.8
2022-06-08,326
2022-06-09,230.3
2022-06-10,116.9
2022-06-11,229.6
2022-06-12,75.5
2022-06-13,78
2022-06-14,60.8
2022-06-15,81.2
2022-06-16,96.5
2022-06-17,108.6
2022-06-18,79.4
2022-06-19,192.2
2022-06-20,153
2022-06-21,198
2022-06-22,127.2
2022-06-23,143.9
2022-06-24,352.6
2022-06-25,178.1
2022-06-26,220
2022-06-27,148.9
2022-06-28,83.2
2022-06-29,151.9
2022-06-30,94.2
2022-07-01,363.1
2022-07-02,79.9
2022-07-03,60.6
2022-07-04,202.6
2022-07-05,153.1
2022-07-06,216.8
2022-07-07,122.2
2022-07-08,450.8
2022-07-09,224.8
2022-07-10,72.6
2022-07-11,77.6
2022-07-12,80.5
2022-07-13,130.2
2022-07-14,331.7
2022-07-15,254.8
2022-07-16,256.1
2022-07-17,192.3
2022-07-18,61.6
2022-07-19,60.4
2022-07-20,122
2022-07-21,51.9
2022-07-22,87.3
2022-07-23,69.8
2022-07-24,82.8
2022-07-25,150
2022-07-26,56.9
2022-07-27,153.5
2022-07-28,286.5
2022-07-29,91.5
2022-07-30,77.1
2022-07-31,218
2022-08-01,247.4
2022-08-02,94.5
2022-08-03,96
2022-08-04,118.5
2022-08-05,143
2022-08-06,71.1
2022-08-07,66.1
2022-08-08,320.7
2022-08-09,218.2
2022-08-10,130
2022-08-11,58.4
2022-08-12,482
2022-08-13,74.8
2022-08-14,193.8
2022-08-15,93.4
2022-08-16,175.8
2022-08-17,65.8
2022-08-18,77.6
2022-08-19,109.8
2022-08-20,61.7
2022-08-21,844.6
2022-08-22,218.6
2022-08-23,279.9
2022-08-24,212.2
2022-08-25,129.4
2022-08-26,41.4
2022-08-27,55
2022-08-28,266.1
2022-08-29,142.2
2022-08-30,97.5
2022-08-31,105.5
2022-09-01,99.4
2022-09-02,101.4
2022-09-03,165.4
2022-09-04,134.3
2022-09-05,91.2
2022-09-06,250.9
2022-09-07,122
2022-09-08,153.7
2022-09-09,75.2
2022-09-10,226.6
2022-09-11,193
2022-09-12,76.5
2022-09-13,125.7
2022-09-14,112.4
2022-09-15,82.1
2022-09-16,89.5
2022-09-20,102
2022-09-21,121.3
2022-09-22,258.4
2022-09-23,136
2022-09-24,75.2
2022-09-25,170.8
2022-09-26,284.9
2022-09-27,357.7
2022-09-28,369.1
2022-09-29,257.4
2022-09-30,198.2
2022-10-01,58.8
2022-10-02,88
2022-10-03,80.1
2022-10-04,166.1
2022-10-05,153.3
2022-10-06,168.1
2022-10-07,198.9
2022-10-08,208.8
2022-10-09,81.8
2022-10-10,111.3
2022-10-11,160.2
2022-10-12,334.8
2022-10-13,97.7
2022-10-17,155.8
2022-10-18,179.5
2022-10-21,205.8
2022-10-22,119.8
2022-10-23,198.2
2022-10-24,167.6
2022-10-25,155.7
2022-10-26,235.1
2022-10-27,143.7
2022-10-28,135.4
2022-10-29,174.9
2022-10-30,129.6
2022-10-31,69.7
2022-11-01,119.7
2022-11-02,219.2
2022-11-03,223.4
2022-11-04,233.4
2022-11-05,143
2022-11-06,177.2
2022-11-07,190.9
2022-11-08,188.4
2022-11-09,182.6
2022-11-10,473.6
2022-11-11,98.6
2022-11-12,86.5
2022-11-13,115.3
2022-11-14,229.1
