date,min,max,median,q1,q3,stdev,count
2021-10-08T00:00:00.000Z,28.2,96.3,46.5,38.1,57.5,13.071,437
2021-10-09T00:00:00.000Z,9.8,90.6,36.3,23.3,51.1,22.514,553
2021-10-10T00:00:00.000Z,4,56.9,16.8,9.1,32.7,12.603,528
2021-10-11T00:00:00.000Z,3.7,46.6,18,15.1,22.1,8.144,566
2021-10-12T00:00:00.000Z,10.9,35.1,22.3,19.2,25.9,5.079,578
2021-10-13T00:00:00.000Z,9.2,268.2,25.55,19.6,35.6,23.61,558
2021-10-14T00:00:00.000Z,0.9,61,13.75,9.15,17.2,6.861,580
2021-10-15T00:00:00.000Z,5.2,34.4,17.35,12.5,20.39,5.316,566
2021-10-16T00:00:00.000Z,1.9,166.4,14.7,8.55,25.55,18.897,556
2021-10-17T00:00:00.000Z,6.7,54.8,17.8,14.3,21.5,6.172,547
2021-10-18T00:00:00.000Z,8.8,60.2,21.1,14.8,33.54,15.567,560
2021-10-19T00:00:00.000Z,39.7,78.8,61.05,53.2,65.2,7.91,282
2021-10-21T00:00:00.000Z,10.4,45,24.5,17.55,33.7,8.899,325
2021-10-22T00:00:00.000Z,7.6,51.5,28.15,21.4,33.4,9.238,492
2021-10-23T00:00:00.000Z,26,139.2,51.4,40.29,73.2,24.198,561
2021-10-24T00:00:00.000Z,29.8,114,62.85,48.4,81.7,21.184,558
2021-10-25T00:00:00.000Z,44.3,444.4,81.34,62.1,117.9,33.717,610
2021-10-26T00:00:00.000Z,82.6,381.9,145.6,106.9,180.4,48.496,488
2021-10-27T00:00:00.000Z,56.9,302.5,91.85,67.59,154.6,59.343,462
2021-10-28T00:00:00.000Z,16.5,353,69.2,53.2,87.5,32.423,545
2021-10-29T00:00:00.000Z,5.9,328.9,40.6,28.2,46.6,29.976,529
2021-10-30T00:00:00.000Z,6.2,150.4,19.5,14.75,24.4,13.381,537
2021-10-31T00:00:00.000Z,20,63.1,45.4,32.4,54.6,12.196,583
2021-11-01T00:00:00.000Z,15,45.6,29,24.75,33.79,6.067,577
2021-11-02T00:00:00.000Z,35.7,467.7,55.6,49.1,77.4,53.93,207
2021-11-05T00:00:00.000Z,33.2,64.4,49.1,45.1,53.1,6.276,370
2021-11-06T00:00:00.000Z,29.3,65.4,44.8,39.5,49.75,7.575,572
2022-02-01T00:00:00.000Z,31.7,57.2,42.9,39.54,45.5,4.268,412
2022-02-02T00:00:00.000Z,12,46.3,21.3,17.39,32.9,9.285,629
2022-02-03T00:00:00.000Z,20.1,106,48.7,43.2,53.1,10.886,619
2022-02-04T00:00:00.000Z,48.2,88.1,59.8,55,64.9,7.73,632
2022-02-05T00:00:00.000Z,59.6,144.4,84.35,66.3,100.4,20.255,614
2022-02-06T00:00:00.000Z,67,175.1,83.3,76.8,87.3,8.775,630
2022-02-07T00:00:00.000Z,37,144.4,82.8,72.8,106.3,21.486,605
2022-02-08T00:00:00.000Z,20.1,127,46.3,33.6,56.1,13.989,587
2022-02-09T00:00:00.000Z,24.3,96.8,41.35,35.9,48.4,8.329,614
2022-02-10T00:00:00.000Z,43.9,101.2,75.4,69.34,78.7,9.791,608
2022-02-11T00:00:00.000Z,38.8,150.7,69.25,61.05,97.85,24.48,616
2022-02-12T00:00:00.000Z,6,68.9,48.5,19.8,58.4,19.195,569
2022-02-13T00:00:00.000Z,6.2,59.6,27.3,16.2,43.05,14.341,569
2022-02-14T00:00:00.000Z,32.8,91,70.09,43.5,78.9,17.218,615
2022-02-15T00:00:00.000Z,54,186.8,71.7,64.4,80.1,14.686,614
2022-02-16T00:00:00.000Z,59.2,174.7,83.05,75.7,99.8,15.242,484
2022-02-17T00:00:00.000Z,32.3,193.9,82.6,73.1,112.4,28.308,563
2022-02-18T00:00:00.000Z,1.8,188.7,57.4,32,63.8,22.909,601
2022-02-19T00:00:00.000Z,3.9,97.7,11.6,7.8,17.1,8.629,610
2022-02-20T00:00:00.000Z,8,39.8,18.8,16.4,21.9,5.195,626
2022-02-21T00:00:00.000Z,18.3,65.4,24.6,22.05,27.45,5.286,628
2022-02-22T00:00:00.000Z,21.1,75,34,28.15,39.5,8.866,609
2022-02-23T00:00:00.000Z,28.2,108.6,54.2,45.05,69,16.139,609
2022-02-24T00:00:00.000Z,44.3,126,70.59,54.5,76.3,17.812,612
2022-02-25T00:00:00.000Z,64.4,164.3,82.85,77.2,106.25,21.827,580
2022-02-26T00:00:00.000Z,101.6,263.9,179.1,125.3,226.9,48.211,599
2022-02-27T00:00:00.000Z,80.4,343.1,176.7,144,211.6,45.402,626
2022-02-28T00:00:00.000Z,72.1,228.7,117.2,101.1,142.3,40.493,641
2022-03-01T00:00:00.000Z,77.9,228.2,151.5,103.95,168.15,39.046,597
2022-03-02T00:00:00.000Z,51.2,221.2,142.7,93.5,182.65,49.659,584
2022-03-03T00:00:00.000Z,48.6,184,64.1,60.1,72.3,30.385,621
2022-03-04T00:00:00.000Z,56.5,331.6,70.3,65.15,74.84,16.01,605
2022-03-05T00:00:00.000Z,51.7,225.1,69.3,65.2,73.8,13.39,590
2022-03-06T00:00:00.000Z,28.2,78.9,54,47,67,12.326,606
2022-03-07T00:00:00.000Z,48.3,310.9,77.9,57.45,104.2,52.309,621
2022-03-08T00:00:00.000Z,28.4,203.5,58.4,45.2,67.9,33.2,629
2022-03-09T00:00:00.000Z,52.5,151.7,67.3,64.59,71.75,7.362,596
2022-03-10T00:00:00.000Z,33.1,160.3,56.7,49.6,62.8,12.209,610
2022-03-11T00:00:00.000Z,52.3,117.4,63.9,59.85,66.7,7.013,217
2022-03-21T00:00:00.000Z,58.7,208.4,71.4,66.05,80.34,13.821,533
2022-03-22T00:00:00.000Z,7.4,334.2,70.7,58.8,81.59,29.831,619
2022-03-23T00:00:00.000Z,3.4,451.9,29.4,15,62.5,37.299,614
2022-03-24T00:00:00.000Z,55.1,148.9,74.5,71.8,77.3,7.609,591
2022-03-25T00:00:00.000Z,46.5,303,90,65.9,112.8,27.46,611
2022-03-26T00:00:00.000Z,49.1,285,77.6,66.5,98.2,25.786,614
