date,pm25,pm10
8/10/2021,151.66,57
9/10/2021,142.1,45.56666667
10/10/2021,121.6,25.9
11/10/2021,119,22.76666667
12/10/2021,220,22.76666667
13/10/2021,194.4666,100.9833333
14/10/2021,122.15,25.21666667
15/10/2021,217.6,18.98333333
16/10/2021,158,61
17/10/2021,22.1,26.43333333
18/10/2021,25.35,30.03333333
19/10/2021,50.61666667,59.85
21/10/2021,22.16666667,26.63333333
22/10/2021,24.76666667,29.08333333
23/10/2021,62.31666667,72.2
24/10/2021,61.01666667,68.88333333
25/10/2021,177.5666667,190.0133333
26/10/2021,190.7166667,203.3666667
27/10/2021,134.3,150.4166667
28/10/2021,136.5833333,146.2333333
29/10/2021,119.0666667,125.1333333
30/10/2021,55.26333333,58.7
31/10/2021,35.15,42.83333333
1/11/2021,26.36666667,29.86666667
2/11/2021,170.6666667,186.3333333
5/11/2021,40.33333333,48.9
6/11/2021,39.96666667,46.5
1/02/2022,36.56666667,43.93333333
2/02/2022,22.6,26.53333333
3/02/2022,48.2,58.26666667
4/02/2022,56.33333333,65.36666667
5/02/2022,84.26666667,96.11666667
6/02/2022,93.93333333,108.4666667
7/02/2022,78.63333333,88.06666667
8/02/2022,57.03333333,64.46666667
9/02/2022,47.16666667,54.15
10/02/2022,62.46666667,73.5
11/02/2022,73.46666667,86.25
12/02/2022,33.2,41.13333333
13/02/2022,24.96666667,31.03333333
14/02/2022,55.96666667,64.63
15/02/2022,87.7,104.1666667
16/02/2022,91.26666667,105.65
17/02/2022,90.03333333,102.9333333
18/02/2022,72.76666667,82.63333333
19/02/2022,32.16666667,37.73333333
20/02/2022,19.13333333,22.2
21/02/2022,31.03333333,36.1
22/02/2022,38.56666667,43.36666667
23/02/2022,54.4,63.66666667
24/02/2022,68.8,80.29666667
25/02/2022,90.33333333,103.85
26/02/2022,163.4166667,181.5333333
27/02/2022,182.8,200.0666667
28/02/2022,123.9666667,139.3333333
1/03/2022,135.9,152.5333333
