,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Thuận Thành,20/06/2020,0,43,36,3,1,1,43,Tốt
1,Thuận Thành,21/06/2020,56,34,35,3,1,1,56,Vừa Phải
2,Thuận Thành,22/06/2020,42,39,45,3,0,1,45,Tốt
3,Thuận Thành,23/06/2020,39,37,34,5,1,1,39,Tốt
4,Thuận Thành,24/06/2020,40,51,35,8,1,2,51,Vừa Phải
5,Thuận Thành,25/06/2020,79,31,38,5,1,1,79,Vừa Phải
6,Thuận Thành,26/06/2020,34,27,45,2,1,1,45,Tốt
7,Thuận Thành,27/06/2020,31,30,36,1,1,1,36,Tốt
8,Thuận Thành,28/06/2020,36,29,33,1,1,1,36,Tốt
9,Thuận Thành,29/06/2020,38,32,78,2,1,1,78,Vừa Phải
10,Thuận Thành,30/06/2020,41,41,47,4,1,1,47,Tốt
11,Thuận Thành,1/07/2020,54,36,33,4,1,1,54,Vừa Phải
12,Thuận Thành,2/07/2020,47,20,32,3,1,1,47,Tốt
13,Thuận Thành,3/07/2020,23,21,28,3,1,1,28,Tốt
14,Thuận Thành,4/07/2020,24,19,28,2,1,1,28,Tốt
15,Thuận Thành,5/07/2020,23,25,53,2,1,1,53,Vừa Phải
16,Thuận Thành,6/07/2020,28,34,71,2,1,1,71,Vừa Phải
17,Thuận Thành,7/07/2020,37,33,47,3,1,1,47,Tốt
18,Thuận Thành,8/07/2020,37,36,29,3,1,1,37,Tốt
19,Thuận Thành,9/07/2020,34,41,26,5,1,1,41,Tốt
20,Thuận Thành,10/07/2020,39,52,26,9,1,2,52,Vừa Phải
21,Thuận Thành,11/07/2020,63,51,36,5,1,2,63,Vừa Phải
22,Thuận Thành,12/07/2020,66,37,32,3,1,1,66,Vừa Phải
23,Thuận Thành,13/07/2020,45,46,43,5,1,1,46,Tốt
24,Thuận Thành,14/07/2020,68,33,29,3,1,1,68,Vừa Phải
25,Thuận Thành,15/07/2020,43,31,30,2,2,1,43,Tốt
26,Thuận Thành,16/07/2020,37,33,35,3,1,1,37,Tốt
27,Thuận Thành,17/07/2020,36,38,38,3,2,1,38,Tốt
28,Thuận Thành,18/07/2020,43,43,32,2,2,1,43,Tốt
29,Thuận Thành,19/07/2020,58,28,24,3,2,1,58,Vừa Phải
30,Thuận Thành,20/07/2020,32,25,40,3,2,1,40,Tốt
31,Thuận Thành,21/07/2020,28,22,21,2,2,1,28,Tốt
32,Thuận Thành,22/07/2020,25,24,25,2,2,1,25,Tốt
33,Thuận Thành,23/07/2020,28,29,29,3,2,1,29,Tốt
34,Thuận Thành,24/07/2020,35,32,29,2,2,1,35,Tốt
35,Thuận Thành,25/07/2020,38,32,27,2,2,1,38,Tốt
36,Thuận Thành,26/07/2020,36,59,25,8,2,2,59,Vừa Phải
37,Thuận Thành,27/07/2020,90,68,47,8,2,3,90,Vừa Phải
38,Thuận Thành,28/07/2020,118,54,31,8,2,2,118,Không tốt cho người nhạy cảm
39,Thuận Thành,29/07/2020,81,46,31,5,2,1,81,Vừa Phải
40,Thuận Thành,30/07/2020,65,59,27,8,2,2,65,Vừa Phải
41,Thuận Thành,31/07/2020,93,53,22,6,2,1,93,Vừa Phải
42,Thuận Thành,1/08/2020,60,10,20,2,2,1,60,Vừa Phải
43,Thuận Thành,2/08/2020,11,16,19,6,3,2,19,Tốt
44,Thuận Thành,3/08/2020,16,20,19,6,2,1,20,Tốt
45,Thuận Thành,4/08/2020,23,17,18,4,3,1,23,Tốt
46,Thuận Thành,5/08/2020,21,14,0,3,3,1,21,Tốt
47,Thuận Thành,6/08/2020,16,16,0,4,3,1,16,Tốt
48,Thuận Thành,7/08/2020,18,20,0,3,2,1,20,Tốt
49,Thuận Thành,8/08/2020,22,22,0,2,3,1,22,Tốt
50,Thuận Thành,9/08/2020,26,28,0,2,5,1,28,Tốt
51,Thuận Thành,10/08/2020,32,18,0,3,4,1,32,Tốt
52,Thuận Thành,11/08/2020,18,23,0,3,4,1,23,Tốt
53,Thuận Thành,12/08/2020,25,14,0,3,4,1,25,Tốt
54,Thuận Thành,13/08/2020,15,15,0,4,4,1,15,Tốt
55,Thuận Thành,14/08/2020,17,25,0,6,4,1,25,Tốt
56,Thuận Thành,15/08/2020,24,26,0,4,3,1,26,Tốt
57,Thuận Thành,16/08/2020,28,18,0,5,3,1,28,Tốt
58,Thuận Thành,17/08/2020,19,13,0,8,4,1,19,Tốt
59,Thuận Thành,18/08/2020,14,26,0,8,4,1,26,Tốt
60,Thuận Thành,19/08/2020,27,41,0,6,3,2,41,Tốt
61,Thuận Thành,20/08/2020,49,27,0,7,7,1,49,Tốt
62,Thuận Thành,21/08/2020,32,46,0,6,10,2,46,Tốt
63,Thuận Thành,22/08/2020,65,35,0,4,3,1,65,Vừa Phải
64,Thuận Thành,23/08/2020,42,35,0,3,3,1,42,Tốt
65,Thuận Thành,24/08/2020,44,40,0,5,3,1,44,Tốt
66,Thuận Thành,25/08/2020,44,48,0,6,3,2,48,Tốt
67,Thuận Thành,26/08/2020,59,54,0,8,3,2,59,Vừa Phải
68,Thuận Thành,27/08/2020,77,42,0,4,2,1,77,Vừa Phải
69,Thuận Thành,28/08/2020,54,45,0,5,1,1,54,Vừa Phải
70,Thuận Thành,29/08/2020,52,49,0,4,1,1,52,Vừa Phải
71,Thuận Thành,30/08/2020,68,55,0,5,1,2,68,Vừa Phải
72,Thuận Thành,31/08/2020,77,75,0,6,1,2,77,Vừa Phải
73,Thuận Thành,1/09/2020,109,0,0,5,1,3,109,Không tốt cho người nhạy cảm
74,Thuận Thành,2/09/2020,29,0,0,5,1,3,29,Tốt
75,Thuận Thành,3/09/2020,22,0,0,5,1,2,22,Tốt
76,Thuận Thành,4/09/2020,27,0,0,4,1,1,27,Tốt
77,Thuận Thành,5/09/2020,30,0,0,2,1,1,30,Tốt
78,Thuận Thành,6/09/2020,12,0,0,7,1,2,12,Tốt
79,Thuận Thành,7/09/2020,26,0,0,10,1,3,26,Tốt
80,Thuận Thành,8/09/2020,41,0,0,7,1,1,41,Tốt
81,Thuận Thành,9/09/2020,29,0,0,8,1,2,29,Tốt
82,Thuận Thành,10/09/2020,22,0,0,5,1,1,22,Tốt
83,Thuận Thành,11/09/2020,47,0,0,4,1,1,47,Tốt
84,Thuận Thành,12/09/2020,62,0,0,4,1,1,62,Vừa Phải
85,Thuận Thành,13/09/2020,55,0,0,6,1,1,55,Vừa Phải
86,Thuận Thành,14/09/2020,43,0,0,4,1,1,43,Tốt
87,Thuận Thành,15/09/2020,29,0,0,5,1,1,29,Tốt
88,Thuận Thành,16/09/2020,20,0,0,8,1,1,20,Tốt
89,Thuận Thành,17/09/2020,16,0,0,9,1,1,16,Tốt
90,Thuận Thành,18/09/2020,9,0,0,6,2,1,9,Tốt
91,Thuận Thành,19/09/2020,22,0,0,9,3,2,22,Tốt
92,Thuận Thành,20/09/2020,20,0,0,6,1,2,20,Tốt
93,Thuận Thành,21/09/2020,29,0,0,4,1,1,29,Tốt
94,Thuận Thành,22/09/2020,43,0,0,7,1,1,43,Tốt
95,Thuận Thành,23/09/2020,23,0,0,7,2,2,23,Tốt
96,Thuận Thành,24/09/2020,24,0,0,6,2,2,24,Tốt
97,Thuận Thành,25/09/2020,21,0,0,4,1,1,21,Tốt
98,Thuận Thành,26/09/2020,17,0,0,7,1,2,17,Tốt
99,Thuận Thành,27/09/2020,18,0,0,8,3,2,18,Tốt
100,Thuận Thành,28/09/2020,23,0,0,8,2,3,23,Tốt
101,Thuận Thành,29/09/2020,29,0,0,5,1,1,29,Tốt
102,Thuận Thành,30/09/2020,27,0,0,6,1,1,27,Tốt
103,Thuận Thành,1/10/2020,17,0,0,9,1,2,17,Tốt
104,Thuận Thành,2/10/2020,24,0,0,10,1,2,24,Tốt
105,Thuận Thành,3/10/2020,25,0,0,6,1,2,25,Tốt
