,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,Thái Nguyên,2020-06-20,0,51,0,0,0,0,51
1,Thái Nguyên,2020-06-21,63,48,0,0,0,0,63
2,Thái Nguyên,2020-06-22,52,42,0,0,0,0,52
3,Thái Nguyên,2020-06-23,50,50,0,0,0,0,50
4,Thái Nguyên,2020-06-24,59,47,0,0,0,0,59
5,Thái Nguyên,2020-06-25,59,44,0,0,0,0,59
6,Thái Nguyên,2020-06-26,52,43,0,0,0,0,52
7,Thái Nguyên,2020-06-27,44,49,0,0,0,0,49
8,Thái Nguyên,2020-06-28,59,46,0,0,0,0,59
9,Thái Nguyên,2020-06-29,50,53,0,0,0,0,53
10,Thái Nguyên,2020-06-30,66,51,0,0,0,0,66
11,Thái Nguyên,2020-07-01,68,53,0,0,0,0,68
12,Thái Nguyên,2020-07-02,77,39,0,0,0,0,77
13,Thái Nguyên,2020-07-03,50,24,0,0,0,0,50
14,Thái Nguyên,2020-07-04,32,32,0,0,0,0,32
15,Thái Nguyên,2020-07-05,38,40,0,0,0,0,40
16,Thái Nguyên,2020-07-06,39,43,0,0,0,0,43
17,Thái Nguyên,2020-07-07,47,43,0,0,0,0,47
18,Thái Nguyên,2020-07-08,48,49,0,0,0,0,49
19,Thái Nguyên,2020-07-09,59,52,0,0,0,0,59
20,Thái Nguyên,2020-07-10,69,52,0,0,0,0,69
21,Thái Nguyên,2020-07-11,68,54,0,0,0,0,68
22,Thái Nguyên,2020-07-12,74,51,0,0,0,0,74
23,Thái Nguyên,2020-07-13,65,52,0,0,0,0,65
24,Thái Nguyên,2020-07-14,72,51,0,0,0,0,72
25,Thái Nguyên,2020-07-15,74,43,0,0,0,0,74
26,Thái Nguyên,2020-07-16,51,47,0,0,0,0,51
27,Thái Nguyên,2020-07-17,55,46,0,0,0,0,55
28,Thái Nguyên,2020-07-18,52,53,0,0,0,0,53
29,Thái Nguyên,2020-07-19,70,41,0,0,0,0,70
30,Thái Nguyên,2020-07-20,49,36,0,0,0,0,49
31,Thái Nguyên,2020-07-21,40,38,0,0,0,0,40
32,Thái Nguyên,2020-07-22,43,36,0,0,0,0,43
33,Thái Nguyên,2020-07-23,44,44,0,0,0,0,44
34,Thái Nguyên,2020-07-24,68,43,0,0,0,0,68
35,Thái Nguyên,2020-07-25,57,43,0,0,0,0,57
36,Thái Nguyên,2020-07-26,53,56,0,0,0,0,56
37,Thái Nguyên,2020-07-27,88,65,0,0,0,0,88
38,Thái Nguyên,2020-07-28,108,54,0,0,0,0,108
39,Thái Nguyên,2020-07-29,85,47,0,0,0,0,85
40,Thái Nguyên,2020-07-30,72,40,0,0,0,0,72
41,Thái Nguyên,2020-07-31,58,40,0,0,0,0,58
42,Thái Nguyên,2020-08-01,52,21,0,0,0,0,52
43,Thái Nguyên,2020-08-02,28,17,0,0,0,0,28
44,Thái Nguyên,2020-08-03,22,32,0,0,0,0,32
45,Thái Nguyên,2020-08-04,41,38,0,0,0,0,41
46,Thái Nguyên,2020-08-05,37,0,0,0,0,0,37
47,Thái Nguyên,2020-08-09,0,44,0,0,0,0,44
48,Thái Nguyên,2020-08-10,64,36,0,0,0,0,64
49,Thái Nguyên,2020-08-11,47,37,0,0,0,0,47
50,Thái Nguyên,2020-08-12,45,30,0,0,0,0,45
51,Thái Nguyên,2020-08-13,38,26,0,0,0,0,38
52,Thái Nguyên,2020-08-14,32,31,0,0,0,0,32
53,Thái Nguyên,2020-08-15,32,17,0,0,0,0,32
54,Thái Nguyên,2020-08-16,15,17,0,0,0,0,17
55,Thái Nguyên,2020-08-17,21,12,0,0,0,0,21
56,Thái Nguyên,2020-08-18,17,40,0,0,0,0,40
57,Thái Nguyên,2020-08-19,60,38,0,0,0,0,60
58,Thái Nguyên,2020-08-20,45,36,0,0,0,0,45
59,Thái Nguyên,2020-08-21,46,42,0,0,0,0,46
60,Thái Nguyên,2020-08-22,56,45,0,0,0,0,56
61,Thái Nguyên,2020-08-23,63,39,0,0,0,0,63
62,Thái Nguyên,2020-08-24,54,33,0,0,0,0,54
63,Thái Nguyên,2020-08-25,41,39,0,0,0,0,41
64,Thái Nguyên,2020-08-26,68,67,0,0,0,0,68
65,Thái Nguyên,2020-08-27,106,56,0,0,0,0,106
66,Thái Nguyên,2020-08-28,86,53,0,0,0,0,86
67,Thái Nguyên,2020-08-29,74,58,0,0,0,0,74
68,Thái Nguyên,2020-08-30,98,56,0,0,0,0,98
69,Thái Nguyên,2020-08-31,81,59,0,0,0,0,81
70,Thái Nguyên,2020-09-01,93,65,0,0,0,0,93
71,Thái Nguyên,2020-09-02,115,72,0,0,0,0,115
72,Thái Nguyên,2020-09-03,130,62,0,0,0,0,130
73,Thái Nguyên,2020-09-04,108,51,0,0,0,0,108
74,Thái Nguyên,2020-09-05,79,47,0,0,0,0,79
75,Thái Nguyên,2020-09-06,72,35,0,0,0,0,72
76,Thái Nguyên,2020-09-07,52,45,0,0,0,0,52
77,Thái Nguyên,2020-09-08,56,40,0,0,0,0,56
78,Thái Nguyên,2020-09-09,45,41,0,0,0,0,45
79,Thái Nguyên,2020-09-10,53,47,0,0,0,0,53
80,Thái Nguyên,2020-09-11,66,34,0,0,0,0,66
81,Thái Nguyên,2020-09-12,41,44,0,0,0,0,44
82,Thái Nguyên,2020-09-13,49,35,0,0,0,0,49
83,Thái Nguyên,2020-09-14,47,44,0,0,0,0,47
84,Thái Nguyên,2020-09-15,56,38,0,0,0,0,56
